Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.26480857,3.7870886,2.7409992,2.1833913,1.536109,2,Sequential LSTM
2,0.40165046,3.513876,2.4639187,1.9042506,1.5417869,2,Sequential LSTM
3,-0.50971556,3.4209008,2.3304467,1.7491913,1.601255,2,Sequential LSTM
4,0.082317635,3.6593294,2.5550468,1.9664204,1.6215613,2,Sequential LSTM
5,-0.10993715,4.143232,3.0159976,2.4151375,1.6552637,2,Sequential LSTM
6,0.2633082,3.7750099,2.682363,2.0999389,1.6044737,2,Sequential LSTM
7,0.48834285,3.5582602,2.4700027,1.8899183,1.5980281,2,Sequential LSTM
8,-1.3773065,3.9552445,2.8482761,2.258219,1.6255035,2,Sequential LSTM
9,-0.4476477,3.6396368,2.4929388,1.8817018,1.6838456,2,Sequential LSTM
10,0.6954363,3.2943213,2.189109,1.599988,1.6229239,2,Sequential LSTM
11,-0.9169327,3.9031665,2.7708707,2.1673124,1.6626964,2,Sequential LSTM
12,0.10271725,4.1386113,2.9701984,2.3473878,1.7157319,2,Sequential LSTM
13,-1.2730517,3.983352,2.877464,2.287982,1.6239178,2,Sequential LSTM
14,-3.2636542,6.8065615,5.1627026,4.286463,2.4138863,2,Sequential LSTM
15,0.5516726,3.8864405,2.5772543,1.8794067,1.9224463,2,Sequential LSTM
16,0.31614354,3.3133862,2.1753013,1.5686569,1.671197,2,Sequential LSTM
17,0.534618,4.6091185,3.433443,2.8067625,1.7263939,2,Sequential LSTM
18,-1.0833212,3.8924475,2.826794,2.2587585,1.5648366,2,Sequential LSTM
19,0.46670794,3.4596875,2.3364792,1.737764,1.649353,2,Sequential LSTM
20,1.5593464,3.348123,2.2657769,1.6888448,1.5893478,2,Sequential LSTM
21,0.1551642,3.8646863,2.5406344,1.8348632,1.9442743,2,Sequential LSTM
22,0.26650316,3.6278727,2.503055,1.9034843,1.6517133,2,Sequential LSTM
23,1.1183344,3.7297668,2.6211066,2.0301478,1.627986,2,Sequential LSTM
24,0.3449648,3.8771257,2.6937592,2.0629773,1.7376904,2,Sequential LSTM
25,-0.037040934,3.452498,2.3411634,1.7487783,1.6319164,2,Sequential LSTM
26,0.11601253,3.5926435,2.4982412,1.9148805,1.6070517,2,Sequential LSTM
27,0.2119898,3.3734012,2.2431273,1.6406456,1.6597279,2,Sequential LSTM
28,-0.06494189,3.3293152,2.1891603,1.5814122,1.6742373,2,Sequential LSTM
29,0.13625659,3.2026541,2.1649458,1.6118068,1.5238005,2,Sequential LSTM
30,0.7655175,3.2325191,2.1608737,1.5896448,1.5736351,2,Sequential LSTM
31,-0.06365708,3.778187,2.6420724,2.036478,1.6683035,2,Sequential LSTM
32,0.37349063,3.3806329,2.2232687,1.6063482,1.6995065,2,Sequential LSTM
33,-0.919372,4.1962376,3.0580258,2.4513156,1.6713811,2,Sequential LSTM
34,-0.19585657,3.62952,2.4942253,1.8890672,1.6671005,2,Sequential LSTM
35,0.01863842,4.2021303,3.0531793,2.4407434,1.6871517,2,Sequential LSTM
36,-0.05962956,3.5310092,2.2976673,1.640247,1.8110743,2,Sequential LSTM
37,0.16834335,3.4729633,2.3826215,1.8014259,1.6010896,2,Sequential LSTM
38,-0.3333672,3.647687,2.5530765,1.9696068,1.6073567,2,Sequential LSTM
39,1.1161522,4.759199,3.5248938,2.8669596,1.8124896,2,Sequential LSTM
40,-0.11143079,3.8243542,2.6842535,2.076534,1.6741569,2,Sequential LSTM
41,0.8818147,5.469095,4.1172805,3.3967092,1.9850459,2,Sequential LSTM
42,-0.12414456,3.5817213,2.4629629,1.8666214,1.6428161,2,Sequential LSTM
43,-1.112136,4.9189415,3.6731653,3.009116,1.8293343,2,Sequential LSTM
44,-0.31671938,4.401782,3.1819603,2.5317461,1.7912227,2,Sequential LSTM
45,1.7128022,3.5443125,2.4252558,1.8287551,1.6432533,2,Sequential LSTM
46,-0.36229217,4.4285293,3.1585238,2.4815605,1.8649136,2,Sequential LSTM
47,1.0481794,3.6293786,2.5413194,1.9613413,1.597737,2,Sequential LSTM
48,-1.9811434,4.0543466,2.9517899,2.3640838,1.6190262,2,Sequential LSTM
49,-0.767492,3.828469,2.6460035,2.015702,1.7363685,2,Sequential LSTM
