Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.25868493,5.1116643,3.6554344,2.879205,2.138371,2,Sequential RNN
2,0.4046459,4.3544106,2.9359198,2.179806,2.082955,2,Sequential RNN
3,-0.5401113,4.043028,2.659888,1.9226204,2.0310411,2,Sequential RNN
4,0.07841727,4.195169,2.8073838,2.067637,2.0378654,2,Sequential RNN
5,-0.10936796,5.024889,3.5800693,2.8099248,2.121613,2,Sequential RNN
6,0.27674133,4.550646,3.123585,2.3629045,2.0955377,2,Sequential RNN
7,0.57110995,4.305611,2.8990972,2.1493695,2.065365,2,Sequential RNN
8,-1.4651684,4.9694448,3.5139627,2.7381308,2.1372738,2,Sequential RNN
9,-0.4310356,4.180922,2.722269,1.9447491,2.1419277,2,Sequential RNN
10,0.68701684,3.2323217,2.0004842,1.3438662,1.8088652,2,Sequential RNN
11,-0.90899473,4.5138392,3.1693356,2.4526613,1.9743074,2,Sequential RNN
12,0.06080129,4.320469,2.9399533,2.2040856,2.0271876,2,Sequential RNN
13,-1.2579101,4.860496,3.430024,2.6675262,2.1005452,2,Sequential RNN
14,-2.668849,5.3936977,3.920932,3.1358893,2.1626513,2,Sequential RNN
15,0.6569486,3.2882953,1.9841063,1.288922,1.9151082,2,Sequential RNN
16,0.09896412,2.823919,1.7050139,1.1085936,1.643031,2,Sequential RNN
17,0.60102457,5.779111,4.3098884,3.5267334,2.1574492,2,Sequential RNN
18,-1.2328732,5.0936694,3.6594422,2.894942,2.1060603,2,Sequential RNN
19,0.4615499,4.0599713,2.5985806,1.8196015,2.1459484,2,Sequential RNN
20,1.5546784,3.7843468,2.4859753,1.7938925,1.9065655,2,Sequential RNN
21,0.15928869,3.542484,2.1496072,1.4071481,2.0453413,2,Sequential RNN
22,0.2948015,4.2801833,2.8431852,2.0772085,2.110129,2,Sequential RNN
23,1.1402832,4.484929,3.0628808,2.304873,2.0881774,2,Sequential RNN
24,0.3335868,4.292646,2.8688107,2.1098511,2.0907989,2,Sequential RNN
25,-0.030167975,4.037433,2.6345239,1.8867173,2.060073,2,Sequential RNN
26,0.1027257,4.2528815,2.8622308,2.1209574,2.0420732,2,Sequential RNN
27,0.14802189,3.715171,2.3554244,1.6306255,1.9966915,2,Sequential RNN
28,-0.029218676,2.5926123,1.5157007,0.9416645,1.5813674,2,Sequential RNN
29,0.08729713,3.8097425,2.4808266,1.7724626,1.9514166,2,Sequential RNN
30,0.7782132,3.573225,2.285337,1.5988419,1.8911715,2,Sequential RNN
31,-0.035204124,4.2594256,2.9247658,2.2133389,1.9598532,2,Sequential RNN
32,0.4128519,3.23236,1.9642289,1.2882646,1.8621604,2,Sequential RNN
33,-0.9698987,5.2826886,3.7947834,3.001671,2.1848836,2,Sequential RNN
34,-0.16247016,4.246557,2.768089,1.980007,2.1710243,2,Sequential RNN
35,0.042831585,4.8893905,3.44431,2.6740246,2.1219978,2,Sequential RNN
36,-0.077800184,3.468146,2.0861144,1.3494371,2.0294144,2,Sequential RNN
37,0.20072864,4.174449,2.7517557,1.9934034,2.0891244,2,Sequential RNN
38,-0.30324006,4.384352,2.983299,2.2364812,2.0573473,2,Sequential RNN
39,1.0863523,5.2238574,3.7582057,2.9769564,2.1522033,2,Sequential RNN
40,0.22502047,4.508284,3.0691903,2.3020976,2.113204,2,Sequential RNN
41,0.9041546,5.8935375,4.3731036,3.5626523,2.2326498,2,Sequential RNN
42,0.25680098,4.2118807,2.7706344,2.0023932,2.1163661,2,Sequential RNN
43,-1.1289034,5.671906,4.159343,3.3530855,2.221094,2,Sequential RNN
44,-0.32137066,4.4246764,2.9901278,2.2254574,2.1065311,2,Sequential RNN
45,1.7217603,4.1104507,2.7022715,1.9516559,2.067812,2,Sequential RNN
46,-0.36690396,4.683828,3.261454,2.503272,2.0886543,2,Sequential RNN
47,1.1237167,4.2834263,2.8796244,2.1313422,2.061384,2,Sequential RNN
48,-2.172661,5.2507415,3.807267,3.0378382,2.1196392,2,Sequential RNN
49,-0.76395726,4.25959,2.7826722,1.9954163,2.1687484,2,Sequential RNN
50,0.51017416,3.4869301,2.1954372,1.5070195,1.8964659,2,Sequential RNN
51,-0.0083115,2.904141,1.7689853,1.1639024,1.6668963,2,Sequential RNN
