Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,-0.8143305,2.1763546,1.3354777,0.9996182,0.62292635,15,5.0,Sequential LSTM
2,0.07062017,1.6782075,0.8937738,0.58045816,0.5811131,15,5.0,Sequential LSTM
3,0.21322638,1.8158653,0.9795515,0.6455143,0.6195461,15,5.0,Sequential LSTM
4,0.31402507,2.1823356,1.3665358,1.0406922,0.6043492,15,5.0,Sequential LSTM
5,-0.16117987,1.8639797,1.067996,0.7500673,0.5896697,15,5.0,Sequential LSTM
6,0.6083323,1.7443107,0.93913996,0.617542,0.596475,15,5.0,Sequential LSTM
7,0.59952277,1.7617879,0.97849655,0.66563725,0.5802669,15,5.0,Sequential LSTM
8,-0.18260103,2.1284666,1.2841105,0.9468613,0.6255039,15,5.0,Sequential LSTM
9,0.82969874,1.8668072,1.0983559,0.79142374,0.5692736,15,5.0,Sequential LSTM
10,-0.31448224,2.1998694,1.43236,1.1258049,0.56857514,15,5.0,Sequential LSTM
11,0.6825126,1.7702748,0.94211274,0.61133176,0.6135068,15,5.0,Sequential LSTM
12,-0.80940485,1.8673509,1.1294461,0.8347157,0.54664373,15,5.0,Sequential LSTM
13,-0.94453275,1.865438,1.1537565,0.86949927,0.5272175,15,5.0,Sequential LSTM
14,-0.095763646,1.8604263,1.1082667,0.80784255,0.55720407,15,5.0,Sequential LSTM
15,0.74092275,1.933237,1.1409911,0.8245561,0.58689994,15,5.0,Sequential LSTM
16,-0.49499336,1.6635878,0.90085006,0.59620047,0.56504023,15,5.0,Sequential LSTM
17,-0.99404037,2.020059,1.1794586,0.84370935,0.62272155,15,5.0,Sequential LSTM
18,-0.515464,2.1755025,1.5180032,1.2553878,0.4870789,15,5.0,Sequential LSTM
19,0.052287936,1.7635047,1.0059803,0.7034127,0.56117874,15,5.0,Sequential LSTM
20,0.5739455,1.7487693,0.99213684,0.6899256,0.56051767,15,5.0,Sequential LSTM
21,-0.10742069,1.665456,0.9505159,0.6649572,0.5296318,15,5.0,Sequential LSTM
22,0.4691333,1.7327784,1.0294801,0.7485716,0.5210074,15,5.0,Sequential LSTM
23,0.14214827,1.6058917,0.9242638,0.65201056,0.504954,15,5.0,Sequential LSTM
24,0.6407297,1.812805,1.0462309,0.7400489,0.5678826,15,5.0,Sequential LSTM
25,0.47636876,1.9434142,1.1965839,0.8982879,0.5532562,15,5.0,Sequential LSTM
