Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,0.4685477,3.3796985,2.2914097,1.8567294,0.8062104,10,5.0,Sequential RNN
2,0.19963211,2.6504254,1.7211844,1.3500307,0.6883869,10,5.0,Sequential RNN
3,-0.43973628,2.5664103,1.5205308,1.1027901,0.7747931,10,5.0,Sequential RNN
4,-0.026280768,2.299984,1.3160423,0.9230404,0.7289093,10,5.0,Sequential RNN
5,2.3893673,2.1789722,1.3223901,0.9802575,0.63456076,10,5.0,Sequential RNN
6,0.21877635,1.8693385,1.1214638,0.82275045,0.55403006,10,5.0,Sequential RNN
7,-0.4201022,2.2195566,1.4722512,1.1737648,0.5536087,10,5.0,Sequential RNN
8,-0.10908584,2.1200058,1.3399575,1.0283937,0.57786405,10,5.0,Sequential RNN
9,-0.5755302,2.0006106,1.2671565,0.97420365,0.54334676,10,5.0,Sequential RNN
10,0.1244977,1.8895115,1.0304552,0.68733454,0.6363937,10,5.0,Sequential RNN
11,-1.3140893,3.0626483,1.964369,1.525698,0.8136122,10,5.0,Sequential RNN
12,-0.27588117,1.7294493,0.85123444,0.50046134,0.65058637,10,5.0,Sequential RNN
13,0.25554955,2.833746,1.9967204,1.6623988,0.6200734,10,5.0,Sequential RNN
14,0.012927851,1.7142043,1.0950539,0.8477554,0.4586701,10,5.0,Sequential RNN
15,1.3256807,1.4401963,0.7807799,0.51739836,0.48849955,10,5.0,Sequential RNN
16,0.17925741,0.793668,0.28651085,0.08394421,0.375705,10,5.0,Sequential RNN
17,-0.5348028,2.1127195,1.3230749,1.0076778,0.58497363,10,5.0,Sequential RNN
18,-0.32183617,2.026837,1.4463832,1.214541,0.43000317,10,5.0,Sequential RNN
19,-0.71316355,1.9441888,1.1239282,0.796303,0.60765356,10,5.0,Sequential RNN
20,0.07964089,2.0163887,1.1715418,0.83409697,0.62586707,10,5.0,Sequential RNN
21,0.9631456,1.034248,0.36816758,0.102124594,0.49343595,10,5.0,Sequential RNN
22,0.8661721,1.9008294,1.0334162,0.68695694,0.64258504,10,5.0,Sequential RNN
23,1.0741494,1.9063512,1.0878564,0.76093614,0.60634595,10,5.0,Sequential RNN
24,1.0393691,2.1685092,1.2891699,0.93794745,0.65142,10,5.0,Sequential RNN
25,-0.55854666,1.4731593,0.6314552,0.2952652,0.62353915,10,5.0,Sequential RNN
26,-0.45275497,2.2970402,1.445937,1.1059927,0.630502,10,5.0,Sequential RNN
27,0.83815,2.0565057,1.157688,0.79868597,0.665849,10,5.0,Sequential RNN
28,0.35244235,2.441041,1.5794522,1.2353196,0.63827014,10,5.0,Sequential RNN
29,-0.623464,2.037454,1.1953788,0.85904086,0.62381345,10,5.0,Sequential RNN
30,0.72660714,1.4778376,0.75028175,0.45968422,0.5389774,10,5.0,Sequential RNN
31,0.98672706,1.7566451,0.9818666,0.67240775,0.57396024,10,5.0,Sequential RNN
32,1.9833242,1.0904188,0.34324828,0.04481645,0.5535081,10,5.0,Sequential RNN
33,0.8852223,2.0412269,1.336371,1.0548408,0.5221611,10,5.0,Sequential RNN
34,-0.25529996,1.5859562,0.87983835,0.5978032,0.52309644,10,5.0,Sequential RNN
35,-0.17367,2.0798607,1.3543423,1.064559,0.53746784,10,5.0,Sequential RNN
36,1.3120579,1.6693784,0.8162343,0.47547516,0.63201386,10,5.0,Sequential RNN
37,0.9237999,1.2911187,0.68561643,0.44376895,0.4485598,10,5.0,Sequential RNN
38,0.42242292,2.1514313,1.5237188,1.2730004,0.46501306,10,5.0,Sequential RNN
39,0.1324949,2.1463213,1.3415571,1.0201216,0.596174,10,5.0,Sequential RNN
40,0.1113438,2.063513,1.1769134,0.822791,0.65679824,10,5.0,Sequential RNN
41,-1.0529187,2.5952947,1.7433684,1.4030954,0.6311119,10,5.0,Sequential RNN
42,-0.44022092,2.5979211,1.693948,1.3328875,0.6696684,10,5.0,Sequential RNN
43,-0.24824531,2.2610083,1.3156044,0.9379948,0.7003611,10,5.0,Sequential RNN
44,-0.58032703,2.6232834,1.633364,1.2379745,0.7333377,10,5.0,Sequential RNN
45,1.1248555,2.1666596,1.2301995,0.8561623,0.69373506,10,5.0,Sequential RNN
46,0.121935606,1.0465403,0.24300337,-0.07794211,0.5952648,10,5.0,Sequential RNN
47,1.7777431,2.0928166,1.2741892,0.9472158,0.606444,10,5.0,Sequential RNN
48,0.30978042,1.5479587,0.8686428,0.59731334,0.50324094,10,5.0,Sequential RNN
49,0.3779849,2.3358443,1.5102698,1.1805228,0.6115899,10,5.0,Sequential RNN
50,1.0338414,2.27095,1.3954757,1.0457977,0.64855576,10,5.0,Sequential RNN
51,0.9969749,1.5870063,0.736296,0.3965093,0.6302104,10,5.0,Sequential RNN
52,-0.28418696,1.6819549,0.92668813,0.6250221,0.55950606,10,5.0,Sequential RNN
53,0.72045594,2.401807,1.5971289,1.2757277,0.5961101,10,5.0,Sequential RNN
54,-1.0479327,2.2015426,1.1742477,0.7639296,0.76102567,10,5.0,Sequential RNN
55,1.0094088,3.118619,1.9984103,1.5509814,0.82985693,10,5.0,Sequential RNN
56,-0.48387444,2.648095,1.8796154,1.5726717,0.5692946,10,5.0,Sequential RNN
57,0.33317104,1.7579575,1.0522884,0.77043337,0.5227637,10,5.0,Sequential RNN
58,-0.18583964,1.7208567,0.9128018,0.59005225,0.59861135,10,5.0,Sequential RNN
59,-0.24429262,2.0071838,1.1984913,0.87548643,0.59908396,10,5.0,Sequential RNN
60,-0.08679748,1.6785653,0.77307665,0.4114101,0.6707909,10,5.0,Sequential RNN
61,-0.09665829,2.5953224,1.5385411,1.116446,0.7828693,10,5.0,Sequential RNN
62,0.17277724,2.1638496,1.1932317,0.80555135,0.71903956,10,5.0,Sequential RNN
63,0.06744369,1.5562065,0.6193069,0.24509428,0.6940601,10,5.0,Sequential RNN
64,0.82530576,1.1510276,0.41171098,0.116416045,0.54769015,10,5.0,Sequential RNN
65,0.35584083,1.5477501,0.91433805,0.66134316,0.4692353,10,5.0,Sequential RNN
66,0.8770087,1.3443465,0.58435965,0.28080884,0.56300235,10,5.0,Sequential RNN
67,0.67462724,1.455039,0.72443366,0.432618,0.5412367,10,5.0,Sequential RNN
68,-0.42211044,1.6070175,0.7542971,0.4137072,0.6316999,10,5.0,Sequential RNN
69,-0.06288169,1.9006524,1.0275092,0.6787619,0.6468296,10,5.0,Sequential RNN
70,0.8838819,1.5211728,0.7523552,0.44527712,0.5695446,10,5.0,Sequential RNN
71,0.03066982,1.868138,0.9682003,0.60875094,0.66667885,10,5.0,Sequential RNN
72,-0.82137495,2.5441494,1.5566723,1.1622584,0.7315285,10,5.0,Sequential RNN
73,-0.17276962,1.8232956,1.0196072,0.69860095,0.59537715,10,5.0,Sequential RNN
74,-0.30170366,2.0805163,1.1416445,0.7666443,0.6955216,10,5.0,Sequential RNN
