Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-0.6038459,1.8299472,1.3541986,1.1005788,0.6980964,15,MAP,Normal,Sequential LSTM
2,0.2302744,1.6342199,1.0706457,0.7702064,0.8269684,15,MAP,Normal,Sequential LSTM
3,0.16498043,1.6570007,1.098784,0.8012006,0.81910706,15,MAP,Normal,Sequential LSTM
4,0.06091491,1.6902705,1.209851,0.95374125,0.70495015,15,MAP,Normal,Sequential LSTM
5,0.092646964,1.9514015,1.3912473,1.0926312,0.8219499,15,MAP,Normal,Sequential LSTM
6,0.65263087,1.4905705,1.0628175,0.83478385,0.62766945,15,MAP,Normal,Sequential LSTM
7,0.76251626,1.874553,1.3026465,0.9977653,0.8391948,15,MAP,Normal,Sequential LSTM
8,-0.5819844,2.4456158,1.7880387,1.4374869,0.9649047,15,MAP,Normal,Sequential LSTM
9,0.83742803,1.9216944,1.2727394,0.9267839,0.95225304,15,MAP,Normal,Sequential LSTM
10,-0.2327716,1.9675697,1.4313718,1.1455266,0.7867974,15,MAP,Normal,Sequential LSTM
11,0.31051028,1.953849,1.3910625,1.0910431,0.8258125,15,MAP,Normal,Sequential LSTM
12,-0.24073307,1.6050473,1.0661625,0.77888495,0.79074013,15,MAP,Normal,Sequential LSTM
13,-0.83290756,2.7432852,2.0514019,1.6825612,1.0152448,15,MAP,Normal,Sequential LSTM
14,-0.15619406,2.224987,1.6683497,1.3716084,0.8167895,15,MAP,Normal,Sequential LSTM
15,-0.33258852,1.5861558,0.9940276,0.67836636,0.86886734,15,MAP,Normal,Sequential LSTM
16,-0.18131284,1.3562917,0.8592041,0.59420866,0.7294082,15,MAP,Normal,Sequential LSTM
17,-0.7555781,2.2921546,1.7315633,1.4327142,0.8225912,15,MAP,Normal,Sequential LSTM
18,-0.9165729,2.41111,1.780563,1.4444208,0.92524165,15,MAP,Normal,Sequential LSTM
19,-0.22228481,1.4765977,0.9321542,0.64191335,0.7988968,15,MAP,Normal,Sequential LSTM
20,0.60212183,1.3401476,0.83437824,0.5647544,0.74214774,15,MAP,Normal,Sequential LSTM
21,-0.020388989,1.0857112,0.7035325,0.49979442,0.5607953,15,MAP,Normal,Sequential LSTM
22,0.11489457,1.4729311,1.0370289,0.8046511,0.63962716,15,MAP,Normal,Sequential LSTM
23,0.06904483,1.3982545,0.95882535,0.7245673,0.6448024,15,MAP,Normal,Sequential LSTM
24,0.35666797,1.7270089,1.2974998,1.06853,0.6302462,15,MAP,Normal,Sequential LSTM
25,0.28231603,1.2826318,0.8596967,0.6342316,0.62059957,15,MAP,Normal,Sequential LSTM
26,-0.5692729,1.9989525,1.4936016,1.2242008,0.7415337,15,MAP,Normal,Sequential LSTM
27,0.040720128,1.748042,1.2304889,0.9545832,0.7594387,15,MAP,Normal,Sequential LSTM
28,0.5091617,1.5618153,1.07818,0.82035583,0.7096689,15,MAP,Normal,Sequential LSTM
29,0.675387,1.4871665,1.0216761,0.7735248,0.6830439,15,MAP,Normal,Sequential LSTM
30,-0.06423404,1.6781679,1.2006913,0.94615036,0.70063186,15,MAP,Normal,Sequential LSTM
31,-0.22719191,1.3934318,0.91241205,0.65598226,0.70583093,15,MAP,Normal,Sequential LSTM
32,0.6027729,1.3431832,0.9086592,0.6770161,0.6376048,15,MAP,Normal,Sequential LSTM
33,1.0240723,1.6142355,1.164924,0.9253978,0.65930337,15,MAP,Normal,Sequential LSTM
34,-0.41104233,1.7489728,1.1818632,0.87953925,0.83215606,15,MAP,Normal,Sequential LSTM
35,0.36376077,2.0140626,1.4915797,1.213046,0.76667255,15,MAP,Normal,Sequential LSTM
36,0.27851164,1.5176755,0.97925246,0.6922211,0.79006255,15,MAP,Normal,Sequential LSTM
37,0.056479495,1.5954062,1.0770692,0.80074567,0.76058894,15,MAP,Normal,Sequential LSTM
38,0.5487225,2.1636903,1.6417165,1.3634542,0.7659254,15,MAP,Normal,Sequential LSTM
39,-0.79893786,2.3215435,1.709348,1.3829889,0.89831334,15,MAP,Normal,Sequential LSTM
40,0.505539,1.6707547,1.129592,0.84110004,0.79408264,15,MAP,Normal,Sequential LSTM
41,-0.3635502,2.2248206,1.5715165,1.2232424,0.9586348,15,MAP,Normal,Sequential LSTM
42,0.043689653,2.0835931,1.3897066,1.0197984,1.018184,15,MAP,Normal,Sequential LSTM
43,0.5770227,1.6869946,1.2163708,0.96548307,0.69057626,15,MAP,Normal,Sequential LSTM
44,-0.15075867,1.9473155,1.2946818,0.94676524,0.95765096,15,MAP,Normal,Sequential LSTM
45,-0.35421383,1.982671,1.3838612,1.0646378,0.87867194,15,MAP,Normal,Sequential LSTM
46,0.8137931,1.5948485,1.0762146,0.7997328,0.7610246,15,MAP,Normal,Sequential LSTM
47,-0.27592438,1.7834224,1.305609,1.0508884,0.7011261,15,MAP,Normal,Sequential LSTM
48,-0.27533174,1.8154029,1.3457069,1.0953138,0.6892148,15,MAP,Normal,Sequential LSTM
49,-0.8049606,1.8970022,1.3379767,1.0399622,0.82029384,15,MAP,Normal,Sequential LSTM
50,0.42456728,1.6797559,1.1812073,0.9154329,0.7315522,15,MAP,Normal,Sequential LSTM
51,0.22498766,1.5122527,1.0598022,0.81860256,0.6639094,15,MAP,Normal,Sequential LSTM
52,0.21889107,1.2776177,0.8708698,0.654034,0.5968472,15,MAP,Normal,Sequential LSTM
53,0.6865134,1.9131622,1.4178944,1.1538689,0.7267381,15,MAP,Normal,Sequential LSTM
54,-1.2761523,1.5989543,1.1334915,0.88535494,0.6830034,15,MAP,Normal,Sequential LSTM
55,0.46944258,1.7888834,1.2323112,0.9356047,0.81669384,15,MAP,Normal,Sequential LSTM
56,-0.864452,1.607089,1.1232617,0.86533505,0.7099508,15,MAP,Normal,Sequential LSTM
57,0.3894572,2.0734804,1.4756405,1.1569343,0.8772486,15,MAP,Normal,Sequential LSTM
58,0.5385033,1.4589952,0.95350975,0.68403727,0.74173117,15,MAP,Normal,Sequential LSTM
59,-0.15527646,1.8175014,1.3310645,1.0717467,0.71378,15,MAP,Normal,Sequential LSTM
60,-0.2276398,1.347053,0.8802066,0.6313325,0.68503356,15,MAP,Normal,Sequential LSTM
61,-0.585125,1.8704286,1.3841412,1.1249032,0.71356046,15,MAP,Normal,Sequential LSTM
62,0.16699043,1.5386882,1.0685406,0.8179065,0.68987775,15,MAP,Normal,Sequential LSTM
63,-0.15071638,1.541357,1.0520601,0.79121774,0.71797657,15,MAP,Normal,Sequential LSTM
64,1.6120706,1.4245377,0.9071532,0.6313374,0.75919133,15,MAP,Normal,Sequential LSTM
65,1.248164,1.6454579,1.1895345,0.94648355,0.66900533,15,MAP,Normal,Sequential LSTM
66,0.46230087,1.2847266,0.8013589,0.54367733,0.7092763,15,MAP,Normal,Sequential LSTM
67,0.058524486,1.4898171,1.0527508,0.81975245,0.6413353,15,MAP,Normal,Sequential LSTM
68,0.30863374,1.6836144,1.1572182,0.87659836,0.77241474,15,MAP,Normal,Sequential LSTM
69,0.97515833,1.4584323,0.98750955,0.7364624,0.691015,15,MAP,Normal,Sequential LSTM
70,-0.4431961,1.5434992,1.0311722,0.75805247,0.75177026,15,MAP,Normal,Sequential LSTM
71,-0.23420542,1.6136972,1.1107533,0.84263575,0.73800164,15,MAP,Normal,Sequential LSTM
72,-0.05875079,1.7651954,1.2713629,1.0081025,0.7246319,15,MAP,Normal,Sequential LSTM
73,0.65346056,1.5728694,1.082842,0.82161015,0.71904856,15,MAP,Normal,Sequential LSTM
74,-0.34135655,1.8167998,1.3132896,1.0448703,0.7388326,15,MAP,Normal,Sequential LSTM
75,0.23950167,1.9355612,1.430365,1.1610467,0.74130666,15,MAP,Normal,Sequential LSTM
76,-0.3263832,1.7060611,1.1886505,0.91282076,0.7592297,15,MAP,Normal,Sequential LSTM
77,0.31178844,1.5524501,1.0622153,0.80087304,0.71935266,15,MAP,Normal,Sequential LSTM
78,-0.7215027,2.1754181,1.6401635,1.3548213,0.78541315,15,MAP,Normal,Sequential LSTM
79,0.47870782,1.5973697,1.050777,0.75939035,0.8020504,15,MAP,Normal,Sequential LSTM
80,-0.21016102,1.6414647,1.1484948,0.8856945,0.723366,15,MAP,Normal,Sequential LSTM
81,0.19606397,1.6399806,1.0861005,0.79082894,0.81274366,15,MAP,Normal,Sequential LSTM
82,0.26209602,1.4095066,0.9641542,0.7267385,0.653494,15,MAP,Normal,Sequential LSTM
83,-0.003323881,1.5107831,1.027707,0.77018094,0.70884836,15,MAP,Normal,Sequential LSTM
84,0.84169376,1.898422,1.3636531,1.0785697,0.78470075,15,MAP,Normal,Sequential LSTM
85,0.65090495,1.5857322,1.1233726,0.8768903,0.67844987,15,MAP,Normal,Sequential LSTM
86,0.061215542,1.8169249,1.2227708,0.90602946,0.8718403,15,MAP,Normal,Sequential LSTM
87,0.7113705,1.8452452,1.3103657,1.0252233,0.784863,15,MAP,Normal,Sequential LSTM
88,0.2930116,1.5553828,1.0790546,0.8251258,0.6989469,15,MAP,Normal,Sequential LSTM
89,0.975169,2.1054235,1.3907882,1.0098188,1.04863,15,MAP,Normal,Sequential LSTM
90,-0.07820802,1.5234109,1.0416237,0.7847847,0.70695716,15,MAP,Normal,Sequential LSTM
91,0.076627545,1.7142661,1.0829561,0.7464071,0.92636144,15,MAP,Normal,Sequential LSTM
92,-1.1266567,2.7613885,2.0971704,1.7430781,0.9746496,15,MAP,Normal,Sequential LSTM
93,-0.1958571,2.689001,1.993534,1.6227831,1.0205032,15,MAP,Normal,Sequential LSTM
94,0.2284652,1.6458355,1.0620829,0.75088656,0.8565775,15,MAP,Normal,Sequential LSTM
95,-0.6620292,1.8223113,1.2354897,0.9226573,0.8610807,15,MAP,Normal,Sequential LSTM
96,-0.22323534,2.0386162,1.3256516,0.9455729,1.0461782,15,MAP,Normal,Sequential LSTM
97,-1.3348864,3.6182277,2.8560266,2.4497,1.1184264,15,MAP,Normal,Sequential LSTM
