Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-0.2560423,3.5243807,2.5969234,2.1024992,1.3609172,2,MAP,Normal,Sequential RNN
2,0.4062168,3.3318446,2.3519404,1.8295573,1.4378757,2,MAP,Normal,Sequential RNN
3,-0.5619775,2.9640806,2.0448182,1.5547626,1.3488926,2,MAP,Normal,Sequential RNN
4,0.21306379,3.4160647,2.386963,1.8383526,1.5100666,2,MAP,Normal,Sequential RNN
5,-0.08290975,3.595995,2.640568,2.1312335,1.4019588,2,MAP,Normal,Sequential RNN
6,0.29262444,3.396486,2.4320526,1.9179167,1.4151747,2,MAP,Normal,Sequential RNN
7,0.63443613,3.117741,2.1950896,1.7032274,1.3538656,2,MAP,Normal,Sequential RNN
8,-1.5487545,3.4385276,2.5143988,2.0217493,1.356033,2,MAP,Normal,Sequential RNN
9,-0.8432853,3.7942405,2.553547,1.8921379,1.8205488,2,MAP,Normal,Sequential RNN
10,1.0395869,2.9060552,1.8249644,1.2486389,1.5863535,2,MAP,Normal,Sequential RNN
11,-0.9462928,3.3451197,2.423689,1.9324775,1.3520744,2,MAP,Normal,Sequential RNN
12,0.17050458,3.9115276,2.7859793,2.1859536,1.6515888,2,MAP,Normal,Sequential RNN
13,-1.1697607,3.5124493,2.561137,2.0539958,1.3959213,2,MAP,Normal,Sequential RNN
14,-2.5973191,5.0297194,3.766436,3.0929847,1.8536958,2,MAP,Normal,Sequential RNN
15,0.38600162,3.7546022,2.3463845,1.5956689,2.0663676,2,MAP,Normal,Sequential RNN
16,1.0408831,2.521773,1.5501033,1.0321096,1.4257933,2,MAP,Normal,Sequential RNN
17,0.66344607,4.13968,3.1556518,2.6310701,1.4439275,2,MAP,Normal,Sequential RNN
18,-1.4084176,3.5562458,2.6244378,2.1276944,1.3673016,2,MAP,Normal,Sequential RNN
19,0.44142243,3.5593598,2.3489113,1.7036258,1.7761683,2,MAP,Normal,Sequential RNN
20,1.5076554,2.9063191,1.985305,1.4943157,1.351463,2,MAP,Normal,Sequential RNN
21,0.15542278,2.8942606,1.9136192,1.3908429,1.4389577,2,MAP,Normal,Sequential RNN
22,0.299423,3.0821674,2.1522737,1.656551,1.364492,2,MAP,Normal,Sequential RNN
23,1.1774297,3.2175584,2.2926774,1.7996266,1.3571371,2,MAP,Normal,Sequential RNN
24,0.33543092,3.1811109,2.256571,1.7637024,1.3566362,2,MAP,Normal,Sequential RNN
25,-0.026382899,2.932065,2.0095897,1.5178216,1.3536069,2,MAP,Normal,Sequential RNN
26,0.02744013,3.1768868,2.2296782,1.7247249,1.3898995,2,MAP,Normal,Sequential RNN
27,-0.22691754,2.7535179,1.8039848,1.2977922,1.3933105,2,MAP,Normal,Sequential RNN
28,-0.29944345,2.3641543,1.3565779,0.8194425,1.4784814,2,MAP,Normal,Sequential RNN
29,-0.11735729,2.9824328,1.9959301,1.4700291,1.4475584,2,MAP,Normal,Sequential RNN
30,0.98119843,2.7892585,1.8283722,1.3161272,1.4099699,2,MAP,Normal,Sequential RNN
31,-0.28326225,3.2047887,2.2871828,1.7980106,1.3464617,2,MAP,Normal,Sequential RNN
32,0.74367297,2.566817,1.571254,1.040523,1.4608532,2,MAP,Normal,Sequential RNN
33,-0.99016964,3.5881286,2.6563811,2.15967,1.3672123,2,MAP,Normal,Sequential RNN
34,-0.0826121,3.4949334,2.3821244,1.7888901,1.6328956,2,MAP,Normal,Sequential RNN
35,-0.036965877,3.6392047,2.6553748,2.1308985,1.4436367,2,MAP,Normal,Sequential RNN
36,-0.08516157,2.5235128,1.5444622,1.0225339,1.4366236,2,MAP,Normal,Sequential RNN
37,0.22151238,3.0724816,2.1208436,1.6135288,1.3963994,2,MAP,Normal,Sequential RNN
38,-0.22011822,3.1918144,2.2634676,1.7685692,1.3622227,2,MAP,Normal,Sequential RNN
39,1.1117188,4.010103,2.9706376,2.4165022,1.5252743,2,MAP,Normal,Sequential RNN
40,0.22346178,3.2486427,2.3276494,1.8366714,1.351432,2,MAP,Normal,Sequential RNN
41,0.9046972,4.5107336,3.4385145,2.8669183,1.5733355,2,MAP,Normal,Sequential RNN
42,0.15939811,3.0667896,2.1490562,1.6598159,1.3466488,2,MAP,Normal,Sequential RNN
43,-1.1199015,4.1154027,3.0968184,2.553815,1.4946339,2,MAP,Normal,Sequential RNN
44,-0.33370584,4.0665617,2.902881,2.282527,1.7075433,2,MAP,Normal,Sequential RNN
45,1.8959014,3.1181507,2.1362062,1.6127353,1.4408698,2,MAP,Normal,Sequential RNN
46,-0.37327182,3.574269,2.6118393,2.0987716,1.4122347,2,MAP,Normal,Sequential RNN
47,1.2951202,3.357228,2.3602898,1.8288256,1.4628713,2,MAP,Normal,Sequential RNN
48,-2.3930047,3.6944253,2.7513297,2.2485688,1.3838645,2,MAP,Normal,Sequential RNN
49,-1.2983508,4.0897617,2.727548,2.0013566,1.9988635,2,MAP,Normal,Sequential RNN
50,0.054863304,3.369955,2.1738822,1.5362604,1.7550739,2,MAP,Normal,Sequential RNN
51,0.4357947,2.5482712,1.5742077,1.0549381,1.4293054,2,MAP,Normal,Sequential RNN
52,2.0018055,3.5671825,2.6292074,2.1291761,1.376351,2,MAP,Normal,Sequential RNN
53,0.7998451,4.5600038,3.5139978,2.956376,1.5348711,2,MAP,Normal,Sequential RNN
54,-0.8397604,2.9153538,1.9916376,1.499208,1.3554276,2,MAP,Normal,Sequential RNN
55,0.9179986,2.9816487,1.9035922,1.3288844,1.581901,2,MAP,Normal,Sequential RNN
56,-2.4017837,2.899587,1.9694003,1.4735212,1.364922,2,MAP,Normal,Sequential RNN
57,-2.0206435,4.059738,2.683426,1.949719,2.0195508,2,MAP,Normal,Sequential RNN
58,0.9897658,3.8015623,2.4416025,1.7166128,1.995556,2,MAP,Normal,Sequential RNN
59,0.17772076,3.2987785,2.378945,1.8885852,1.3497303,2,MAP,Normal,Sequential RNN
60,0.37203544,2.6723547,1.7231851,1.2171862,1.3927771,2,MAP,Normal,Sequential RNN
61,-0.8055762,2.9117217,1.9894484,1.4977878,1.3533107,2,MAP,Normal,Sequential RNN
62,1.4847163,3.514765,2.4371638,1.8626987,1.5812329,2,MAP,Normal,Sequential RNN
63,-0.35407525,3.086758,2.1378639,1.6320121,1.3923726,2,MAP,Normal,Sequential RNN
64,0.0004659742,2.673499,1.6746627,1.1421866,1.4656565,2,MAP,Normal,Sequential RNN
65,2.4629545,3.020804,2.07826,1.575793,1.3830552,2,MAP,Normal,Sequential RNN
66,-0.91960025,3.7549493,2.7550864,2.2220633,1.4671626,2,MAP,Normal,Sequential RNN
67,-0.24863403,3.1827874,2.0889702,1.5058602,1.6050278,2,MAP,Normal,Sequential RNN
68,-0.17872405,2.5714333,1.576798,1.0465616,1.4594918,2,MAP,Normal,Sequential RNN
69,0.16388474,3.0188417,2.0557523,1.5423328,1.4132026,2,MAP,Normal,Sequential RNN
70,-0.6842725,3.193126,2.2610352,1.7641411,1.3677162,2,MAP,Normal,Sequential RNN
71,0.4864507,2.899034,1.855978,1.2999287,1.5305427,2,MAP,Normal,Sequential RNN
72,-0.25623626,3.3056743,2.3855028,1.8949629,1.3502263,2,MAP,Normal,Sequential RNN
73,1.2172921,2.5966399,1.6070406,1.0794891,1.452102,2,MAP,Normal,Sequential RNN
74,0.023839084,3.4778888,2.5469866,2.050726,1.3659723,2,MAP,Normal,Sequential RNN
75,-1.57854,3.06536,2.1252558,1.6240896,1.3794751,2,MAP,Normal,Sequential RNN
76,-0.96209335,3.9601636,2.717095,2.0544195,1.8240339,2,MAP,Normal,Sequential RNN
77,0.10056461,2.6425796,1.5510662,0.9691844,1.6016473,2,MAP,Normal,Sequential RNN
78,-0.113475576,3.5352302,2.5829577,2.0753047,1.3973302,2,MAP,Normal,Sequential RNN
79,0.78086597,3.5709376,2.589557,2.0663862,1.4400429,2,MAP,Normal,Sequential RNN
80,-0.2839641,3.608142,2.674429,2.17667,1.3700966,2,MAP,Normal,Sequential RNN
81,0.9253645,3.1856148,2.208729,1.687955,1.4334468,2,MAP,Normal,Sequential RNN
82,2.090897,3.3389251,2.4206436,1.9311112,1.3474529,2,MAP,Normal,Sequential RNN
