Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-1.1780553,2.4964683,1.5122613,1.1191534,0.72910607,5,5.0,MAP,t-Distribution,Sequential LSTM
2,0.14465952,3.3184876,2.1542327,1.6892107,0.8624867,5,5.0,MAP,t-Distribution,Sequential LSTM
3,-0.32102254,2.520457,1.5090348,1.1050566,0.7492673,5,5.0,MAP,t-Distribution,Sequential LSTM
4,1.3378643,2.4349256,1.4086138,0.9986885,0.76029754,5,5.0,MAP,t-Distribution,Sequential LSTM
5,0.13568261,2.488506,1.5088,1.1174897,0.7257719,5,5.0,MAP,t-Distribution,Sequential LSTM
6,-0.30509186,2.6284337,1.5980605,1.1865131,0.76330626,5,5.0,MAP,t-Distribution,Sequential LSTM
7,0.36305726,3.099561,2.0494568,1.6300285,0.7779231,5,5.0,MAP,t-Distribution,Sequential LSTM
8,-0.76898867,2.5493743,1.5601286,1.165008,0.73283887,5,5.0,MAP,t-Distribution,Sequential LSTM
9,0.37085512,3.2802317,2.0798392,1.600383,0.8892577,5,5.0,MAP,t-Distribution,Sequential LSTM
10,-0.31342193,2.5399125,1.4901453,1.0708516,0.7776735,5,5.0,MAP,t-Distribution,Sequential LSTM
11,-1.1082166,2.6386354,1.4623957,0.9925868,0.871365,5,5.0,MAP,t-Distribution,Sequential LSTM
12,0.41653058,2.7054377,1.5662243,1.1112043,0.8439358,5,5.0,MAP,t-Distribution,Sequential LSTM
13,0.3990886,3.380319,2.2301495,1.7707534,0.8520522,5,5.0,MAP,t-Distribution,Sequential LSTM
14,-0.89662015,4.6742115,3.2343926,2.659306,1.0666261,5,5.0,MAP,t-Distribution,Sequential LSTM
15,0.13621292,3.1529298,1.8235866,1.2926258,0.9847849,5,5.0,MAP,t-Distribution,Sequential LSTM
16,0.6332481,2.46613,1.3887177,0.9583819,0.7981532,5,5.0,MAP,t-Distribution,Sequential LSTM
17,-0.2369615,2.5624516,1.5110433,1.091094,0.77888924,5,5.0,MAP,t-Distribution,Sequential LSTM
18,-0.3771645,3.4241219,2.2671335,1.8050137,0.85710365,5,5.0,MAP,t-Distribution,Sequential LSTM
19,-0.15898332,2.6914775,1.4834944,1.0010066,0.8948808,5,5.0,MAP,t-Distribution,Sequential LSTM
20,0.14765507,2.5548618,1.3430487,0.8590311,0.8977181,5,5.0,MAP,t-Distribution,Sequential LSTM
21,-0.31900442,2.710657,1.4488549,0.944871,0.93475014,5,5.0,MAP,t-Distribution,Sequential LSTM
22,1.8115578,2.6590965,1.621997,1.2077628,0.7682892,5,5.0,MAP,t-Distribution,Sequential LSTM
23,0.45943645,2.4926696,1.4721506,1.064539,0.7560063,5,5.0,MAP,t-Distribution,Sequential LSTM
24,-0.1587786,2.414301,1.4362352,1.0455801,0.7245566,5,5.0,MAP,t-Distribution,Sequential LSTM
25,-0.028423749,2.2802625,1.3012248,0.9101815,0.72527665,5,5.0,MAP,t-Distribution,Sequential LSTM
26,0.35163745,2.42436,1.4711078,1.0903636,0.70617473,5,5.0,MAP,t-Distribution,Sequential LSTM
27,-0.7335782,2.404519,1.39346,0.9896268,0.74899834,5,5.0,MAP,t-Distribution,Sequential LSTM
28,0.39551398,2.767866,1.62608,1.1700325,0.84584147,5,5.0,MAP,t-Distribution,Sequential LSTM
29,0.38006106,2.4757998,1.5178161,1.135182,0.7096798,5,5.0,MAP,t-Distribution,Sequential LSTM
30,-0.12546755,2.2856207,1.3340737,0.95401055,0.7049115,5,5.0,MAP,t-Distribution,Sequential LSTM
31,-0.6343344,2.5338259,1.5260097,1.1234717,0.74659604,5,5.0,MAP,t-Distribution,Sequential LSTM
32,1.0143292,2.4116986,1.3656093,0.9477844,0.77494895,5,5.0,MAP,t-Distribution,Sequential LSTM
33,0.40381774,2.6417162,1.6230882,1.2162318,0.7546055,5,5.0,MAP,t-Distribution,Sequential LSTM
34,1.0418372,2.786988,1.7057757,1.2739222,0.8009682,5,5.0,MAP,t-Distribution,Sequential LSTM
35,-0.010182224,2.6708724,1.6424774,1.23172,0.76184094,5,5.0,MAP,t-Distribution,Sequential LSTM
36,0.37548324,2.5055532,1.4226424,0.9901104,0.8022266,5,5.0,MAP,t-Distribution,Sequential LSTM
37,0.8631922,2.4793289,1.4133346,0.9875593,0.7896947,5,5.0,MAP,t-Distribution,Sequential LSTM
38,0.5605737,2.7846007,1.7371734,1.3188143,0.77594,5,5.0,MAP,t-Distribution,Sequential LSTM
39,-0.4215617,2.6962667,1.648014,1.2293249,0.77655154,5,5.0,MAP,t-Distribution,Sequential LSTM
40,0.78025395,2.5290437,1.500848,1.0901703,0.7616932,5,5.0,MAP,t-Distribution,Sequential LSTM
41,-0.35614613,3.0902393,1.9519527,1.4973028,0.84324914,5,5.0,MAP,t-Distribution,Sequential LSTM
42,0.19825847,3.1304343,1.9889463,1.5330179,0.84562063,5,5.0,MAP,t-Distribution,Sequential LSTM
43,0.1930778,2.7963088,1.7115762,1.2783167,0.803576,5,5.0,MAP,t-Distribution,Sequential LSTM
44,-1.0453184,3.2212424,2.0415857,1.5704118,0.87389654,5,5.0,MAP,t-Distribution,Sequential LSTM
45,0.6530428,2.4850378,1.4492022,1.0354729,0.767353,5,5.0,MAP,t-Distribution,Sequential LSTM
46,0.7396237,2.5320005,1.4398093,1.0035706,0.8091015,5,5.0,MAP,t-Distribution,Sequential LSTM
47,-0.5034194,2.4589572,1.470589,1.075819,0.7321887,5,5.0,MAP,t-Distribution,Sequential LSTM
48,0.11926476,2.9353173,1.7954702,1.3401972,0.8444051,5,5.0,MAP,t-Distribution,Sequential LSTM
49,0.4188041,3.4297652,2.144085,1.6305637,0.9524393,5,5.0,MAP,t-Distribution,Sequential LSTM
50,-0.3935892,3.1051166,1.956282,1.497419,0.8510633,5,5.0,MAP,t-Distribution,Sequential LSTM
51,0.8028355,2.4057548,1.4014254,1.0002801,0.74401295,5,5.0,MAP,t-Distribution,Sequential LSTM
52,-0.016507437,2.5736053,1.5523106,1.144389,0.756581,5,5.0,MAP,t-Distribution,Sequential LSTM
53,-0.6317703,2.9515405,1.7916516,1.3283734,0.8592522,5,5.0,MAP,t-Distribution,Sequential LSTM
54,-1.0052944,2.3800633,1.3838512,0.9859481,0.73799956,5,5.0,MAP,t-Distribution,Sequential LSTM
55,0.80804986,3.1358132,1.9083445,1.4180739,0.9093158,5,5.0,MAP,t-Distribution,Sequential LSTM
56,0.6134217,3.475202,2.3313932,1.8745377,0.84734005,5,5.0,MAP,t-Distribution,Sequential LSTM
57,0.97992307,3.4728177,2.1991708,1.6904559,0.94352484,5,5.0,MAP,t-Distribution,Sequential LSTM
58,0.17120387,2.8379812,1.5436003,1.0266038,0.9588847,5,5.0,MAP,t-Distribution,Sequential LSTM
59,0.18177876,2.6197925,1.6012658,1.19445,0.7545304,5,5.0,MAP,t-Distribution,Sequential LSTM
60,-0.048917644,2.3927042,1.372944,0.96563536,0.7554443,5,5.0,MAP,t-Distribution,Sequential LSTM
61,0.08062345,2.4234269,1.4640654,1.0808811,0.71070033,5,5.0,MAP,t-Distribution,Sequential LSTM
62,-1.110527,2.5626738,1.5046729,1.0820905,0.783773,5,5.0,MAP,t-Distribution,Sequential LSTM
63,-0.42903394,2.5888295,1.4699342,1.0230296,0.828884,5,5.0,MAP,t-Distribution,Sequential LSTM
64,2.6342413,2.6879594,1.5377531,1.0783423,0.8520794,5,5.0,MAP,t-Distribution,Sequential LSTM
65,-1.1946545,3.1298099,1.9127966,1.4267021,0.90157026,5,5.0,MAP,t-Distribution,Sequential LSTM
