Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.5471655,1.3992355,0.8437056,0.62181807,0.41153967,15,5.0,MAP,t-Distribution,Sequential RNN
2,0.58609015,1.6798308,0.8492135,0.51745164,0.61532605,15,5.0,MAP,t-Distribution,Sequential RNN
3,0.21029703,1.369002,0.823211,0.6052134,0.40432507,15,5.0,MAP,t-Distribution,Sequential RNN
4,0.01406608,1.3503888,0.8023026,0.58338827,0.40602532,15,5.0,MAP,t-Distribution,Sequential RNN
5,0.07374249,1.2768973,0.7517681,0.54202306,0.3890187,15,5.0,MAP,t-Distribution,Sequential RNN
6,0.42073068,1.2620513,0.71324056,0.49403673,0.40656215,15,5.0,MAP,t-Distribution,Sequential RNN
7,0.66785467,1.2889447,0.78458047,0.58312935,0.37363586,15,5.0,MAP,t-Distribution,Sequential RNN
8,-0.36354858,1.5013283,0.9405392,0.716551,0.41543582,15,5.0,MAP,t-Distribution,Sequential RNN
9,0.9031877,1.2688774,0.6354289,0.38241947,0.46926224,15,5.0,MAP,t-Distribution,Sequential RNN
10,-0.2524695,1.6220653,1.0117365,0.76796144,0.45213503,15,5.0,MAP,t-Distribution,Sequential RNN
11,0.3861342,1.5979275,0.98834264,0.74486476,0.45158386,15,5.0,MAP,t-Distribution,Sequential RNN
12,-0.4375274,1.3566899,0.76611245,0.53022635,0.43750316,15,5.0,MAP,t-Distribution,Sequential RNN
13,-1.7225075,1.5397538,0.9232971,0.67707443,0.4566746,15,5.0,MAP,t-Distribution,Sequential RNN
14,-0.15725996,2.2305784,1.2939433,0.91983616,0.6938647,15,5.0,MAP,t-Distribution,Sequential RNN
15,0.80656797,1.10719,0.43932357,0.17256704,0.49475926,15,5.0,MAP,t-Distribution,Sequential RNN
16,-0.392504,1.1465857,0.5889468,0.3662169,0.41310206,15,5.0,MAP,t-Distribution,Sequential RNN
17,-0.923233,1.6285368,1.0436108,0.80998206,0.4333165,15,5.0,MAP,t-Distribution,Sequential RNN
18,-0.17120469,1.9483247,1.2133057,0.9197274,0.5445062,15,5.0,MAP,t-Distribution,Sequential RNN
19,-0.08223191,1.3008693,0.65302014,0.39425883,0.47993034,15,5.0,MAP,t-Distribution,Sequential RNN
20,0.33458915,1.1945527,0.6357154,0.41250685,0.4139898,15,5.0,MAP,t-Distribution,Sequential RNN
21,-0.07735893,1.0978254,0.6088925,0.41360492,0.36220425,15,5.0,MAP,t-Distribution,Sequential RNN
22,0.13525608,1.3179713,0.7935786,0.5841278,0.38847312,15,5.0,MAP,t-Distribution,Sequential RNN
23,-0.10981993,1.3104095,0.76346,0.5449996,0.40518332,15,5.0,MAP,t-Distribution,Sequential RNN
24,0.4182415,1.3387392,0.8971808,0.7208153,0.32710895,15,5.0,MAP,t-Distribution,Sequential RNN
25,0.2343779,0.9722541,0.49785948,0.3083787,0.35143423,15,5.0,MAP,t-Distribution,Sequential RNN
26,-0.54049826,1.3882182,0.8848263,0.6837635,0.37291557,15,5.0,MAP,t-Distribution,Sequential RNN
27,-0.038216263,1.8290163,1.0987858,0.80712,0.54095894,15,5.0,MAP,t-Distribution,Sequential RNN
28,0.5676127,1.4818181,0.88794965,0.6507491,0.43994114,15,5.0,MAP,t-Distribution,Sequential RNN
29,0.35446697,1.1526954,0.60413086,0.38502538,0.4063798,15,5.0,MAP,t-Distribution,Sequential RNN
30,0.1875655,1.0991967,0.6112767,0.41639364,0.36145392,15,5.0,MAP,t-Distribution,Sequential RNN
31,-0.07070595,1.0072982,0.5447611,0.36001635,0.34265018,15,5.0,MAP,t-Distribution,Sequential RNN
32,0.7291921,1.0222484,0.5126571,0.3091182,0.37750813,15,5.0,MAP,t-Distribution,Sequential RNN
33,0.81344867,1.2277973,0.75521773,0.5664619,0.35008964,15,5.0,MAP,t-Distribution,Sequential RNN
34,-0.11191583,1.0269326,0.53676355,0.34098214,0.36312008,15,5.0,MAP,t-Distribution,Sequential RNN
35,0.10523978,1.2285851,0.728354,0.52855366,0.3705741,15,5.0,MAP,t-Distribution,Sequential RNN
36,-0.2031651,1.3540947,0.7356488,0.48863158,0.45814833,15,5.0,MAP,t-Distribution,Sequential RNN
37,-0.5781882,1.6009281,0.8858648,0.60025704,0.529723,15,5.0,MAP,t-Distribution,Sequential RNN
38,0.52798575,1.5388587,0.98484725,0.76356626,0.4104148,15,5.0,MAP,t-Distribution,Sequential RNN
39,-0.17777129,1.1773127,0.75003105,0.5793679,0.3165327,15,5.0,MAP,t-Distribution,Sequential RNN
40,0.53833294,1.1565711,0.61537665,0.39921495,0.40091994,15,5.0,MAP,t-Distribution,Sequential RNN
41,-0.59403455,1.0132205,0.5368628,0.3465979,0.35288852,15,5.0,MAP,t-Distribution,Sequential RNN
42,0.19666916,1.6729639,1.0508914,0.8024258,0.46083477,15,5.0,MAP,t-Distribution,Sequential RNN
43,0.5957832,1.2868634,0.75785637,0.5465625,0.39189142,15,5.0,MAP,t-Distribution,Sequential RNN
44,-0.20204103,1.178863,0.6146198,0.38925198,0.41799462,15,5.0,MAP,t-Distribution,Sequential RNN
45,0.38112164,1.5854939,0.97608083,0.7326715,0.45145667,15,5.0,MAP,t-Distribution,Sequential RNN
46,0.2983683,1.0546606,0.568903,0.37488368,0.35985196,15,5.0,MAP,t-Distribution,Sequential RNN
47,-0.17066374,1.1779913,0.71306455,0.5273653,0.3444204,15,5.0,MAP,t-Distribution,Sequential RNN
