Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.61691266,1.8973007,1.4225978,1.1695622,0.6970678,29,Sequential LSTM
2,-0.3241239,1.1823359,0.9082866,0.7622075,0.40242177,29,Sequential LSTM
3,0.1190197,2.4373083,1.8538417,1.5428302,0.8567798,29,Sequential LSTM
4,-0.19071728,2.4191406,1.7767916,1.4343939,0.94324464,29,Sequential LSTM
5,-0.35782266,2.605675,1.8752723,1.4859401,1.072543,29,Sequential LSTM
6,0.6008438,2.0752397,1.3856647,1.0180948,1.0125909,29,Sequential LSTM
7,0.13647605,2.5956004,1.8737527,1.4889798,1.0599813,29,Sequential LSTM
8,0.43037185,2.2650774,1.6441357,1.3131496,0.91180694,29,Sequential LSTM
9,0.2635647,2.3717551,1.7885131,1.4776218,0.8564495,29,Sequential LSTM
10,0.22102416,1.9520369,1.4954588,1.252084,0.6704529,29,Sequential LSTM
11,0.283155,1.638779,1.012972,0.6793924,0.91895294,29,Sequential LSTM
12,-0.77922857,2.52481,1.9569829,1.654309,0.83381325,29,Sequential LSTM
13,-2.0609863,1.914172,1.4416832,1.1898279,0.69381607,29,Sequential LSTM
14,0.36222816,1.4959317,1.1402491,0.950656,0.5222948,29,Sequential LSTM
15,1.5563736,1.578853,1.1296322,0.8901795,0.6596487,29,Sequential LSTM
16,-0.86823046,1.8243365,1.3149657,1.0434504,0.7479752,29,Sequential LSTM
17,-0.1919145,2.3910916,1.773139,1.4437461,0.9074192,29,Sequential LSTM
18,-0.032213576,2.015462,1.5589383,1.315593,0.6703731,29,Sequential LSTM
19,0.34368515,1.9895415,1.348388,1.0066277,0.94148916,29,Sequential LSTM
20,0.9648541,2.0986648,1.3722281,0.98500854,1.0667201,29,Sequential LSTM
21,-0.014578245,1.8277568,1.2697825,0.9723601,0.8193452,29,Sequential LSTM
22,0.34626773,2.5818691,1.9404156,1.5984955,0.9419283,29,Sequential LSTM
23,-0.7011666,1.4121875,0.7895167,0.45760858,0.9143478,29,Sequential LSTM
24,0.55571115,1.4106449,0.81305015,0.49450824,0.8775256,29,Sequential LSTM
25,0.12875375,2.0449271,1.3902888,1.0413408,0.9612893,29,Sequential LSTM
26,0.6063012,1.560482,0.9839888,0.67669517,0.8465393,29,Sequential LSTM
27,0.7370874,2.3384914,1.5667253,1.1553433,1.1332837,29,Sequential LSTM
28,0.31136742,1.238066,0.8028935,0.57092965,0.639019,29,Sequential LSTM
29,0.51238054,2.7495759,2.0897667,1.7380623,0.96888316,29,Sequential LSTM
30,1.2321992,2.478083,1.9255031,1.6309553,0.81142473,29,Sequential LSTM
31,0.21588844,3.5834253,2.8594804,2.4735887,1.0630621,29,Sequential LSTM
32,-0.67710733,1.9226232,1.3381091,1.0265403,0.858317,29,Sequential LSTM
33,-0.89916956,1.3565842,0.86753905,0.60685843,0.718128,29,Sequential LSTM
34,-0.0007466562,2.4453955,1.8163583,1.4810567,0.92369574,29,Sequential LSTM
35,0.97971976,2.1344028,1.5288265,1.20603,0.8892455,29,Sequential LSTM
36,0.94943434,1.943682,1.3914205,1.0970427,0.8109575,29,Sequential LSTM
37,0.0875346,2.091508,1.6610923,1.4316639,0.63203424,29,Sequential LSTM
38,-0.94568425,2.1198165,1.6098682,1.3380452,0.74882287,29,Sequential LSTM
39,-0.0406534,2.029629,1.4720693,1.174868,0.81873626,29,Sequential LSTM
40,-0.12650451,2.6121092,1.9966326,1.6685594,0.90378356,29,Sequential LSTM
41,-0.4623861,3.1740923,2.43475,2.0406518,1.0856708,29,Sequential LSTM
42,0.9758932,2.294539,1.6051527,1.2376833,1.0123143,29,Sequential LSTM
43,-0.068591975,2.2242234,1.7295036,1.465798,0.72646064,29,Sequential LSTM
44,-0.41802913,2.368821,1.5397927,1.0978872,1.2173691,29,Sequential LSTM
45,-0.022651663,2.5931714,1.8958706,1.5241815,1.023936,29,Sequential LSTM
46,-0.9471439,1.6374159,1.0419476,0.7245398,0.8744024,29,Sequential LSTM
47,-1.7883492,2.2821794,1.6850257,1.3667197,0.8768776,29,Sequential LSTM
48,-0.41390505,1.8770038,1.3574693,1.0805371,0.7628985,29,Sequential LSTM
49,-0.88561296,0.864879,0.34697616,0.07091345,0.7605034,29,Sequential LSTM
50,0.43982455,1.8061225,1.2600425,0.9689605,0.8018793,29,Sequential LSTM
51,0.45691985,2.2978792,1.6366936,1.2842554,0.97090286,29,Sequential LSTM
52,0.13684104,1.5602603,0.9377525,0.60593075,0.9141089,29,Sequential LSTM
53,0.37723586,1.8222393,1.2427443,0.93385154,0.85094637,29,Sequential LSTM
54,-1.0698761,2.5581734,1.7322131,1.2919441,1.2128632,29,Sequential LSTM
55,-0.15397537,2.1409454,1.5308228,1.2056036,0.89592123,29,Sequential LSTM
56,-0.7891634,1.8693397,1.4296212,1.1952336,0.64569545,29,Sequential LSTM
57,-0.11684412,1.6433221,1.0836781,0.78536534,0.821798,29,Sequential LSTM
58,0.47255766,1.8983496,1.2734742,0.94039106,0.9175845,29,Sequential LSTM
59,1.3000413,3.1442137,2.3606768,1.9430219,1.1505662,29,Sequential LSTM
60,-0.40103766,2.336719,1.6142402,1.2291303,1.0609081,29,Sequential LSTM
61,-0.280578,2.3879936,1.6566124,1.2667565,1.0739821,29,Sequential LSTM
62,0.7035223,2.7152221,2.051939,1.6983826,0.97398466,29,Sequential LSTM
63,1.5604618,3.0750504,2.30355,1.8923099,1.1328933,29,Sequential LSTM
64,0.49787876,1.8329486,1.2859215,0.9943346,0.80326957,29,Sequential LSTM
65,0.85085195,1.6456054,1.2352437,1.0165048,0.6025872,29,Sequential LSTM
66,0.8178461,2.3973227,1.6772282,1.2933893,1.0574074,29,Sequential LSTM
67,0.05842106,2.263164,1.7264491,1.4403592,0.78812736,29,Sequential LSTM
68,0.23444657,1.8479468,1.2445613,0.9229336,0.88602805,29,Sequential LSTM
69,1.0109143,3.1258817,2.335953,1.9148902,1.1599532,29,Sequential LSTM
70,0.2082923,2.5695426,1.7951479,1.3823642,1.1371434,29,Sequential LSTM
71,-0.2750436,2.3900323,1.7997583,1.4851192,0.86677545,29,Sequential LSTM
72,1.1391876,3.3276958,2.4297483,1.9511075,1.3185712,29,Sequential LSTM
73,0.57626593,2.884389,2.0330253,1.5792155,1.2501665,29,Sequential LSTM
74,-0.71877843,2.3258142,1.7042238,1.3728914,0.91276115,29,Sequential LSTM
75,0.32573158,1.9981308,1.3896145,1.0652509,0.8935637,29,Sequential LSTM
76,-1.0058064,2.5912254,1.8364396,1.4341086,1.1083485,29,Sequential LSTM
77,-0.7053865,1.6518353,1.1693635,0.9121871,0.7084751,29,Sequential LSTM
78,0.13089961,1.2953607,0.737181,0.43964946,0.81964684,29,Sequential LSTM
79,0.41645747,3.3514016,2.7054794,2.3611765,0.9484916,29,Sequential LSTM
80,-0.28791228,2.5557706,1.9234293,1.5863665,0.9285481,29,Sequential LSTM
81,0.48773345,2.6936517,2.1177273,1.810737,0.84570366,29,Sequential LSTM
82,-0.10538221,2.1381445,1.5004457,1.1605266,0.9364158,29,Sequential LSTM
83,0.9936494,2.0946965,1.3684602,0.9813472,1.0664271,29,Sequential LSTM
84,-0.1691494,2.5390942,1.8548377,1.4901015,1.0047823,29,Sequential LSTM
85,1.0779145,2.719662,1.9680328,1.567386,1.1037127,29,Sequential LSTM
86,-0.17091848,2.4009643,1.7993661,1.4786897,0.88340497,29,Sequential LSTM
87,0.17298447,1.9980538,1.2777249,0.89376074,1.0577524,29,Sequential LSTM
88,-0.7572719,2.5218675,1.7707999,1.3704511,1.1028894,29,Sequential LSTM
89,1.5729555,1.7397647,1.1962053,0.9064664,0.7981785,29,Sequential LSTM
90,-1.0771435,1.6612315,1.2917944,1.0948694,0.542492,29,Sequential LSTM
91,0.039954606,1.5337971,1.0538105,0.79795855,0.70482695,29,Sequential LSTM
92,-1.2033714,2.8814678,2.2133532,1.8572218,0.9810777,29,Sequential LSTM
93,0.014464799,1.3617835,0.97391653,0.76716775,0.5695552,29,Sequential LSTM
94,-0.024785664,1.1584764,0.67233294,0.41319913,0.7138671,29,Sequential LSTM
95,-0.036521412,1.9516007,1.392652,1.0947095,0.82077706,29,Sequential LSTM
96,-0.4440903,1.1036198,0.6106177,0.3478282,0.723938,29,Sequential LSTM
97,0.46999785,1.638987,1.2803818,1.0892305,0.5265867,29,Sequential LSTM
98,1.7660086,1.6746781,1.2676411,1.050674,0.5977054,29,Sequential LSTM
99,1.8928726,1.7490278,1.34599,1.1311547,0.59183276,29,Sequential LSTM
100,-0.5032401,1.3349415,0.9231157,0.7035966,0.6047365,29,Sequential LSTM
101,0.042201094,1.6577448,1.2382232,1.0146013,0.61603737,29,Sequential LSTM
102,0.5380533,1.5045608,1.0216712,0.76427186,0.70908874,29,Sequential LSTM
103,0.023824556,2.4309907,1.8006084,1.4645896,0.92567164,29,Sequential LSTM
104,0.8006174,2.218475,1.4611975,1.0575392,1.1120075,29,Sequential LSTM
105,-0.9023909,2.3672643,1.6579057,1.27979,1.0416423,29,Sequential LSTM
106,-0.18527412,2.241002,1.6177156,1.2854793,0.915252,29,Sequential LSTM
107,-0.3885407,2.6978118,2.0176353,1.655074,0.99879044,29,Sequential LSTM
108,0.5738829,2.272445,1.7183872,1.4230525,0.8135946,29,Sequential LSTM
109,0.7524563,2.5070105,1.8508766,1.5011309,0.9634863,29,Sequential LSTM
110,-0.5443214,1.1939505,0.71837366,0.46487194,0.6983514,29,Sequential LSTM
111,-2.6056435,1.1498003,0.7199927,0.49088842,0.63114196,29,Sequential LSTM
112,-2.3620434,1.1181157,0.86257035,0.72635454,0.37525037,29,Sequential LSTM
113,-1.016845,1.4838468,1.232398,1.0983653,0.3692352,29,Sequential LSTM
114,-3.3597226,1.1316957,0.8321148,0.6724262,0.4399134,29,Sequential LSTM
115,-2.6323667,1.791298,1.5825583,1.4712913,0.30652043,29,Sequential LSTM
116,4.3185363,1.0905232,0.82187045,0.6786678,0.39449763,29,Sequential LSTM
117,-2.217658,1.2913766,1.0504299,0.92199576,0.3538134,29,Sequential LSTM
118,3.7166226,1.1286267,0.8455651,0.69468236,0.41565552,29,Sequential LSTM
119,-1.4014947,1.4862872,1.2288891,1.0916858,0.37797114,29,Sequential LSTM
120,-2.6965814,1.8506074,1.5675392,1.4166517,0.41566598,29,Sequential LSTM
121,-6.2148285,2.1624672,1.8433402,1.6732321,0.4686155,29,Sequential LSTM
122,4.095381,1.2991228,1.1681367,1.0983158,0.1923439,29,Sequential LSTM
123,-4.4710274,0.8777601,0.68244547,0.578335,0.28680545,29,Sequential LSTM
124,-7.631062,1.0721658,0.9050399,0.8159556,0.24541254,29,Sequential LSTM
125,2.6398175,0.6466215,0.53640604,0.47765678,0.16184348,29,Sequential LSTM
126,-6.095616,0.36367837,0.2511615,0.19118555,0.16522312,29,Sequential LSTM
127,4.3084135,0.8206654,0.72203875,0.66946703,0.14482602,29,Sequential LSTM
128,-0.6172232,0.67876977,0.5598179,0.4964119,0.17467217,29,Sequential LSTM
129,-1.4586112,1.069078,0.9344332,0.8626622,0.19771628,29,Sequential LSTM
130,-4.95859,0.7806717,0.62155265,0.53673565,0.2336553,29,Sequential LSTM
131,-2.6379156,0.3191872,0.20835188,0.14927231,0.1627537,29,Sequential LSTM
132,6.9493937,0.76183534,0.61056525,0.5299323,0.22212948,29,Sequential LSTM
133,0.7143969,0.5765271,0.433724,0.35760415,0.2096963,29,Sequential LSTM
134,5.1456294,0.22196434,0.08725215,0.015445214,0.19781528,29,Sequential LSTM
135,-0.9049486,0.8072626,0.64576936,0.559687,0.23714143,29,Sequential LSTM
136,3.3522024,1.5023557,1.3156924,1.2161938,0.2741018,29,Sequential LSTM
137,0.8512082,0.9990844,0.79785174,0.69058686,0.29549587,29,Sequential LSTM
138,-0.6667739,1.5352228,1.2587326,1.1113522,0.40600625,29,Sequential LSTM
139,0.834893,1.4655473,1.2863228,1.1907889,0.263179,29,Sequential LSTM
140,-2.7571316,1.0220063,0.7648436,0.6277651,0.3776255,29,Sequential LSTM
141,4.9141655,1.2513947,0.92443866,0.750158,0.4801119,29,Sequential LSTM
142,-1.2070248,1.1281589,0.9341477,0.830732,0.28489184,29,Sequential LSTM
143,3.269647,1.2262882,0.9581167,0.81517076,0.39379078,29,Sequential LSTM
144,2.0923443,0.78301346,0.5908352,0.48839656,0.2821999,29,Sequential LSTM
145,-1.8421159,1.0970585,0.8633952,0.7388431,0.343118,29,Sequential LSTM
146,2.3611877,1.9326569,1.6236415,1.4589237,0.45376754,29,Sequential LSTM
147,-0.83047646,1.0434157,0.7726726,0.62835556,0.3975675,29,Sequential LSTM
148,0.8910647,1.1986957,0.9216058,0.7739057,0.4068866,29,Sequential LSTM
149,5.062535,0.53985333,0.27402237,0.13232385,0.39035398,29,Sequential LSTM
150,-2.443225,0.88691133,0.64886904,0.521983,0.34954816,29,Sequential LSTM
151,-2.3402526,1.6709477,1.369053,1.2081311,0.4433103,29,Sequential LSTM
152,1.2345604,1.1649427,0.91804755,0.7864428,0.36254776,29,Sequential LSTM
153,0.20306703,0.9087796,0.58023936,0.4051146,0.48243782,29,Sequential LSTM
154,1.2753762,1.7076489,1.4216542,1.2692077,0.4199636,29,Sequential LSTM
155,3.1121943,0.73152333,0.4575818,0.31155986,0.4022638,29,Sequential LSTM
156,0.8895697,0.89138895,0.5236239,0.32759067,0.5400364,29,Sequential LSTM
157,1.862686,0.58117247,0.33570135,0.20485558,0.36045673,29,Sequential LSTM
158,-1.5087291,1.3220502,1.0349755,0.8819536,0.42154866,29,Sequential LSTM
159,-3.4553351,1.0984695,0.7506194,0.56520164,0.510793,29,Sequential LSTM
160,-0.6728038,2.1938646,1.8830795,1.7174194,0.45636433,29,Sequential LSTM
161,0.83890396,0.42223355,0.14456317,-0.0034461657,0.40773928,29,Sequential LSTM
162,-1.0858768,1.6962094,1.1555213,0.8673132,0.7939619,29,Sequential LSTM
163,0.15079585,1.6894885,1.339652,1.153175,0.5137106,29,Sequential LSTM
164,3.0957913,2.3531716,1.8201596,1.5360428,0.7826908,29,Sequential LSTM
165,0.7212596,0.9223902,0.53051823,0.3216351,0.5754359,29,Sequential LSTM
166,-1.7968174,1.6698548,1.2899839,1.0874974,0.55781347,29,Sequential LSTM
167,-2.1274657,1.8140602,1.4732809,1.2916316,0.5004106,29,Sequential LSTM
168,1.2028314,1.7875392,1.4735577,1.3061931,0.46106,29,Sequential LSTM
169,0.31371313,0.65770864,0.3372934,0.16649929,0.47050706,29,Sequential LSTM
170,3.5723205,2.6747525,2.189573,1.930953,0.71245176,29,Sequential LSTM
171,-0.21900348,0.73497885,0.53119063,0.42256328,0.29924846,29,Sequential LSTM
172,0.38446695,1.5015023,1.1583291,0.975404,0.50392526,29,Sequential LSTM
173,-0.20033367,1.2088668,0.83868164,0.64135826,0.5435908,29,Sequential LSTM
174,0.13613631,1.2877252,0.9609046,0.7866963,0.4799124,29,Sequential LSTM
175,-0.90554786,1.3326666,0.792512,0.5045879,0.7931793,29,Sequential LSTM
176,3.3066065,0.36441958,0.1368723,0.015580472,0.3341371,29,Sequential LSTM
177,0.8550977,0.77641505,0.4687029,0.30468026,0.45185307,29,Sequential LSTM
178,-0.3762777,0.49992025,0.24214835,0.1047457,0.3785197,29,Sequential LSTM
179,0.6991874,1.9526846,1.5812482,1.3832582,0.54542744,29,Sequential LSTM
180,1.5298374,1.0183551,0.6541307,0.45998502,0.53483737,29,Sequential LSTM
181,1.8774222,1.5588751,1.0180675,0.7297958,0.7941375,29,Sequential LSTM
182,0.21553655,0.9992388,0.62246084,0.42162347,0.55327135,29,Sequential LSTM
183,4.706312,1.9856067,1.226167,0.8213559,1.1151826,29,Sequential LSTM
184,2.3696089,1.2389357,0.9632768,0.8163393,0.40478593,29,Sequential LSTM
185,-1.2250206,0.907405,0.507255,0.29395923,0.58759177,29,Sequential LSTM
186,-1.606052,2.5054488,2.108372,1.8967137,0.58308005,29,Sequential LSTM
187,-6.2152076,1.1036407,0.82343787,0.6740789,0.41145766,29,Sequential LSTM
188,-0.07854341,1.5254686,1.3490639,1.2550336,0.25903758,29,Sequential LSTM
189,-0.056152526,0.384472,0.119766146,-0.0213325,0.38870147,29,Sequential LSTM
190,1.9619627,0.7517378,0.50966495,0.3806306,0.35546657,29,Sequential LSTM
191,0.19653687,1.1609616,0.86248076,0.70337903,0.43829754,29,Sequential LSTM
192,-0.045520253,1.3417909,0.8726,0.62250304,0.68897325,29,Sequential LSTM
193,0.03382555,2.230687,1.7493913,1.4928415,0.70674914,29,Sequential LSTM
194,0.5530532,1.7330313,1.2201002,0.9466869,0.7532036,29,Sequential LSTM
195,0.11324518,2.3018346,1.6441175,1.2935275,0.9658115,29,Sequential LSTM
196,-4.134968,2.761054,2.0528617,1.6753662,1.0399305,29,Sequential LSTM
197,0.7518885,1.7205957,1.4366078,1.285231,0.41701606,29,Sequential LSTM
198,-0.09846472,0.07410539,-0.27409264,-0.45969597,0.511304,29,Sequential LSTM
199,0.6195302,1.4391845,1.1460199,0.9897518,0.4304912,29,Sequential LSTM
200,0.7783585,0.7436528,0.40147865,0.21908623,0.50245845,29,Sequential LSTM
201,-0.78871834,1.5303338,1.1497934,0.9469502,0.5587965,29,Sequential LSTM
202,1.0679992,1.2747017,0.9249711,0.73855066,0.5135549,29,Sequential LSTM
203,0.73869675,1.8888085,1.2981372,0.98328596,0.8673581,29,Sequential LSTM
204,-0.524005,3.0409296,2.545101,2.280805,0.7280886,29,Sequential LSTM
205,-0.06497236,1.8727771,1.4730333,1.2599537,0.5869955,29,Sequential LSTM
206,-1.1996707,1.7421178,1.3093057,1.0785995,0.6355542,29,Sequential LSTM
207,3.1242962,1.1599991,0.8520167,0.6878499,0.4522504,29,Sequential LSTM
208,0.50020766,0.8668866,0.5507328,0.38221017,0.46424946,29,Sequential LSTM
209,0.8492352,1.1400441,0.7446685,0.53391767,0.58058083,29,Sequential LSTM
210,1.329438,0.8734212,0.54002684,0.36231464,0.48956567,29,Sequential LSTM
211,-0.5994431,1.1919044,0.73128563,0.48575753,0.6763857,29,Sequential LSTM
212,1.8091664,1.9755716,1.5061778,1.2559723,0.6892714,29,Sequential LSTM
213,-0.7338523,1.5212326,1.1008958,0.8768392,0.61723566,29,Sequential LSTM
214,2.6994367,1.1124945,0.7592405,0.57094216,0.51872814,29,Sequential LSTM
215,-0.6911264,0.5454482,0.267028,0.11861901,0.40884018,29,Sequential LSTM
216,-0.17447439,2.1999886,1.649339,1.3558214,0.80858934,29,Sequential LSTM
