Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-1.6529094,5.138572,3.9202847,3.2708902,1.7889678,5,Sequential RNN
2,-1.8804638,4.799305,3.1509137,2.2722564,2.4205446,5,Sequential RNN
3,-1.3474126,7.7446303,5.714185,4.631878,2.9815612,5,Sequential RNN
4,1.7831447,6.6325774,4.6553164,3.6013567,2.9034693,5,Sequential RNN
5,-2.5113854,8.99695,6.787439,5.6096807,3.2445126,5,Sequential RNN
6,-3.2755234,7.8595138,4.9377313,3.3803039,4.2904305,5,Sequential RNN
7,0.605735,7.4061,5.237381,4.0813675,3.1846113,5,Sequential RNN
8,1.298473,7.9378095,5.632448,4.4035983,3.3852596,5,Sequential RNN
9,-1.8694148,8.344906,5.8230867,4.478856,3.7031133,5,Sequential RNN
10,0.2742368,9.5618105,7.1822753,5.91389,3.4941788,5,Sequential RNN
11,2.124996,6.374339,4.474802,3.4622736,2.7893353,5,Sequential RNN
12,-0.40615645,5.6200185,3.8505685,2.9073813,2.5983112,5,Sequential RNN
13,3.8525698,6.8467174,4.9249587,3.900586,2.8219638,5,Sequential RNN
14,0.73430634,4.803674,3.3530557,2.5798187,2.1301298,5,Sequential RNN
15,0.08279933,3.8941162,2.7874243,2.1975129,1.6250991,5,Sequential RNN
16,1.9752117,8.243709,6.2908907,5.2499633,2.867573,5,Sequential RNN
17,-1.3836427,5.794857,3.680969,2.5541842,3.104093,5,Sequential RNN
18,1.0934587,3.6217492,2.3046713,1.6026177,1.9340329,5,Sequential RNN
19,-1.5327389,4.363567,2.9141507,2.1415539,2.1283653,5,Sequential RNN
20,1.863629,7.7638493,5.8042674,4.7597322,2.877509,5,Sequential RNN
21,-0.64289045,6.155967,4.760901,4.017275,2.048555,5,Sequential RNN
22,2.2320352,5.2680335,3.5636826,2.6551983,2.502715,5,Sequential RNN
23,1.3143654,6.064506,4.4739847,3.6261718,2.3355694,5,Sequential RNN
24,-1.263868,6.7173767,4.790072,3.7627432,2.830109,5,Sequential RNN
25,-0.089671895,8.279789,5.960644,4.7244487,3.405498,5,Sequential RNN
26,-0.003945822,7.451348,5.2226934,4.034731,3.27262,5,Sequential RNN
27,-0.75488055,7.0794725,5.086561,4.02426,2.9264505,5,Sequential RNN
28,-0.76185584,5.4922643,3.8036044,2.9034824,2.4796767,5,Sequential RNN
29,-0.28138924,6.9705567,4.8975496,3.7925546,3.0440629,5,Sequential RNN
30,-0.28446826,8.25321,5.972733,4.75715,3.348717,5,Sequential RNN
31,-1.9940748,7.5837145,5.543174,4.4554844,2.9963884,5,Sequential RNN
32,0.83079123,7.329298,5.417417,4.3983083,2.8074613,5,Sequential RNN
33,0.045103043,6.973105,5.3813004,4.5328074,2.33745,5,Sequential RNN
34,-1.1930242,6.9140887,4.6690884,3.4724145,3.2966232,5,Sequential RNN
35,-1.5518245,8.265415,6.261823,5.193828,2.9421332,5,Sequential RNN
36,3.359554,7.988238,6.0294757,4.9853773,2.8763034,5,Sequential RNN
37,0.34222892,4.4193916,3.1219015,2.4302888,1.9052719,5,Sequential RNN
38,1.7067802,6.688069,4.7791734,3.7616584,2.8030736,5,Sequential RNN
39,-0.16497846,8.253227,5.8821898,4.6183333,3.4816973,5,Sequential RNN
40,1.5461056,9.156952,6.7427583,5.4558973,3.5450714,5,Sequential RNN
41,0.825662,5.3859878,3.909648,3.1227005,2.1678994,5,Sequential RNN
42,-0.655299,7.006261,5.0926948,4.072689,2.8099358,5,Sequential RNN
43,0.94114304,8.025282,5.727508,4.5027056,3.3741121,5,Sequential RNN
