Model,Metric,Value,N_Assets
Sequential RNN,R_hat,2.090034,2
Sequential RNN,DCC_alpha,0.000120194694,2
Sequential RNN,DCC_beta,0.0016549238,2
Sequential RNN,Converged,false,2
Sequential RNN,Training_RMSE,2.0016282,2
Sequential RNN,Validation_RMSE,1.5305886,2
Sequential RNN,Test_RMSE,3.0811775,2
Sequential RNN,Coverage_90,0.8694779116465864,2
Sequential RNN,Coverage_95,0.8955823293172691,2
Sequential LSTM,R_hat,2.1231275,2
Sequential LSTM,DCC_alpha,7.618606e-5,2
Sequential LSTM,DCC_beta,0.001660159,2
Sequential LSTM,Converged,false,2
Sequential LSTM,Training_RMSE,1.9864019,2
Sequential LSTM,Validation_RMSE,1.4387034,2
Sequential LSTM,Test_RMSE,2.9650052,2
Sequential LSTM,Coverage_90,0.8895582329317269,2
Sequential LSTM,Coverage_95,0.9176706827309237,2
