Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,N_Assets,Model
0.1555071,0.040487472,-0.32779035,-0.37038544,0.32993975,-0.37169838,-0.2541941,0.607147,0.37346822,0.81751883,1,10,BNN-DCC-GARCH
-0.23568574,-0.04984624,0.07702557,0.5194449,0.4189766,0.27641395,0.07877943,-0.80148757,0.2740674,0.4423117,2,10,BNN-DCC-GARCH
-0.03059448,-0.15828815,-0.28418505,-0.23027353,0.25877142,0.43011504,0.0033471144,0.37730363,-0.53411734,1.1679214,3,10,BNN-DCC-GARCH
-0.05451212,-0.13711838,-0.37046298,-0.119720556,0.28719237,0.31423986,-0.03218324,0.25679675,-0.30532846,1.1610965,4,10,BNN-DCC-GARCH
-0.10703921,-0.08668487,-0.39240316,-0.19421536,0.4550389,0.5250919,0.24279901,-0.0553727,-0.2560201,0.8688057,5,10,BNN-DCC-GARCH
0.15456587,0.074939854,-0.538102,-0.067896806,0.17458546,0.15200365,0.20144056,-0.6802214,0.20861429,1.3200707,6,10,BNN-DCC-GARCH
-0.014757923,0.0021513011,-0.34904626,-0.18000719,0.30450314,-0.09600305,0.10423709,-0.24803814,0.09703761,1.3799236,7,10,BNN-DCC-GARCH
0.060699295,-0.07018596,-0.38932565,-0.21092877,0.45893714,-0.09418175,0.028938083,-0.0020111194,0.11173207,1.1063265,8,10,BNN-DCC-GARCH
0.12800108,-0.09216437,-0.3754578,-0.050491884,0.086500905,0.23576933,-0.002315337,-0.08608964,0.06883071,1.0874174,9,10,BNN-DCC-GARCH
0.06631639,-0.2552556,-0.5241678,-0.22438665,0.12878011,-0.54099524,-0.1662171,0.99139655,0.7939526,0.73057675,10,10,BNN-DCC-GARCH
0.06349127,-0.070633255,-0.32020748,-0.14143178,0.2128328,0.5068019,-0.0313058,0.046566617,-0.42948455,1.16337,11,10,BNN-DCC-GARCH
-0.03575944,0.13033111,-0.10063002,0.9746518,0.18510687,0.6205607,-0.0658449,-0.88465667,-0.4043013,0.58054215,12,10,BNN-DCC-GARCH
-0.053919297,-0.11335842,-0.14983992,0.0007228279,0.5566283,0.52504015,-0.057669878,-0.06497271,-0.15154037,0.5089095,13,10,BNN-DCC-GARCH
0.0058219717,-0.19378483,-0.27838975,-0.05849901,0.2878426,1.0246433,0.094081424,-0.06398828,-0.02275696,0.20502935,14,10,BNN-DCC-GARCH
-0.069141254,-0.301276,-0.38312712,-0.097496584,0.1440592,0.79265004,0.021116858,0.6355945,-0.42537427,0.6829946,15,10,BNN-DCC-GARCH
-0.045357227,-0.26277503,-0.23101316,-0.029695034,0.20138998,0.9075875,0.19203232,0.092546366,0.23776162,-0.062477514,16,10,BNN-DCC-GARCH
-0.26793426,-0.26062116,0.41286534,-0.21914035,0.8462896,0.67277616,0.22150467,0.006248106,-0.3188424,-0.09314591,17,10,BNN-DCC-GARCH
-0.08345222,-0.11871406,0.009526295,0.3615566,0.2938792,0.580094,-0.029606035,-0.18541603,-0.3965547,0.5686872,18,10,BNN-DCC-GARCH
-0.04501784,-0.18483824,-0.27498677,0.29278103,0.13182504,1.063963,-0.1633649,0.37147564,-0.6853577,0.49352086,19,10,BNN-DCC-GARCH
0.010014569,-0.15007736,-0.3131886,0.1909965,0.08618577,0.8903602,-0.06832809,0.07264282,0.050693665,0.23070069,20,10,BNN-DCC-GARCH
-0.029493457,-0.27767792,-0.6157207,-0.09422445,0.29758453,0.5602568,-0.17047141,0.39467916,-0.6392875,1.574355,21,10,BNN-DCC-GARCH
-0.00830982,-0.14065261,-0.52641046,-0.14372644,0.5267044,-0.15653196,-0.23643236,0.56534714,0.12322348,0.9967888,22,10,BNN-DCC-GARCH
-0.012019277,-0.13664691,-1.1880417,-0.27002823,0.5659171,-0.18134078,-0.2635691,1.593582,-0.021344412,0.91349185,23,10,BNN-DCC-GARCH
0.04707576,-0.027922085,-0.6233892,-0.03093797,0.037019685,-0.5813599,-0.11722389,0.6985304,0.39722267,1.2009846,24,10,BNN-DCC-GARCH
-0.13068129,-0.03234202,-0.27376884,0.16652662,0.13070928,-0.34605432,-0.12981078,0.037896723,0.16760772,1.4099169,25,10,BNN-DCC-GARCH
0.06521068,-0.02037418,-0.23447931,0.16348217,0.14215976,0.5400701,-0.0020320062,-0.3952218,-0.07503102,0.8162157,26,10,BNN-DCC-GARCH
-0.0984869,-0.24383098,-0.5278073,-0.15281257,0.3931472,0.28197885,-0.2306964,0.99803907,0.024972277,0.5554968,27,10,BNN-DCC-GARCH
0.111630395,-0.16537611,-0.46480048,-0.048704926,0.42392692,0.7457182,-0.035540715,-0.02862242,-0.12211074,0.5838802,28,10,BNN-DCC-GARCH
-0.011861099,-0.21598051,-0.22115149,0.1076587,0.12124041,0.62365156,-0.0023713103,0.24979886,-0.24995115,0.59896624,29,10,BNN-DCC-GARCH
-0.014603731,-0.35484955,-0.43030387,-0.14264156,0.19274037,0.2814893,-0.25719917,1.3523169,-0.031549934,0.404601,30,10,BNN-DCC-GARCH
-0.16583484,-0.07660007,-0.3054949,0.1917861,0.24286298,-0.037671305,-0.026314422,0.03636819,0.20251685,0.93838143,31,10,BNN-DCC-GARCH
-0.033215936,-0.21061829,-0.22855063,-0.008554652,0.30619135,-6.5189175e-5,-0.18670458,0.5221554,-0.371512,1.2108746,32,10,BNN-DCC-GARCH
-0.118724845,0.0077583347,-0.17656681,0.028573604,0.53128463,-0.15874755,0.14199929,-0.44262946,0.60255116,0.58450186,33,10,BNN-DCC-GARCH
0.07283626,0.07481181,-0.29188046,0.21030869,-0.06484692,0.44882336,0.16140896,-0.79088926,0.059726276,1.119701,34,10,BNN-DCC-GARCH
-0.025831673,-0.13472286,-0.3151702,-0.019989604,0.38074237,0.57347125,0.08165975,-0.078851156,-0.049343687,0.5880359,35,10,BNN-DCC-GARCH
0.008374867,-0.3587693,-0.64654124,-0.25928992,0.32015872,0.075352825,-0.4786678,1.9239076,-0.21754175,0.6330159,36,10,BNN-DCC-GARCH
-0.09866255,-0.3524162,-0.41515625,-0.29051778,0.48272723,0.105189234,-0.44333774,1.8958703,-0.18155669,0.29786053,37,10,BNN-DCC-GARCH
-0.0664479,-0.18652901,-0.26946238,-0.14820093,0.16036147,-0.19613606,-0.10748563,0.71444094,0.18481289,0.9146466,38,10,BNN-DCC-GARCH
0.10450695,0.039647862,-0.30833057,0.051645417,0.19467649,1.1418451,0.021220794,-0.31425464,-0.60686976,0.67591226,39,10,BNN-DCC-GARCH
0.003854216,-0.08672944,-0.45460457,-0.06842996,0.061237868,-0.095586576,-0.3298694,1.1258143,-0.5010559,1.3453692,40,10,BNN-DCC-GARCH
0.03389211,0.41258702,-0.19803658,0.17007583,0.1907162,0.11254506,0.3844598,-0.87380296,-0.24169269,1.0092565,41,10,BNN-DCC-GARCH
0.49299014,0.06952881,-0.23379135,-0.022025533,0.09454757,0.78622156,0.093707465,-0.3233903,-0.53941846,0.58163,42,10,BNN-DCC-GARCH
-0.037846137,0.31983605,-0.33472347,0.26314124,0.36013585,0.054595795,0.35024455,-1.2916322,-0.064155124,1.3804033,43,10,BNN-DCC-GARCH
0.18289675,0.037711196,-0.33491093,-0.020976814,0.2098303,1.007972,0.05802856,-0.2724162,-0.62892663,0.760792,44,10,BNN-DCC-GARCH
0.004401561,0.031088986,-0.23645519,0.4580224,0.13755518,0.89303213,0.011244752,-0.47973716,-0.5811938,0.7620411,45,10,BNN-DCC-GARCH
-0.6555135,0.062383227,-0.41630238,-0.25595015,0.4210742,-0.34042758,0.19513103,0.09829595,-0.17145738,2.0627663,46,10,BNN-DCC-GARCH
-0.10286716,-0.05907824,-0.37380898,-0.19352293,0.3007447,-0.31910744,-0.18046059,0.82437974,-0.28548285,1.3892038,47,10,BNN-DCC-GARCH
-0.09361162,0.00037233726,-0.22608669,0.0034122742,0.15673128,0.3075677,-0.05495281,0.12335304,-0.5631596,1.3463744,48,10,BNN-DCC-GARCH
0.15508495,-0.12226749,-0.32482755,-0.04141409,0.105790995,0.8938681,-0.044020504,0.102534465,-0.54299533,0.81824654,49,10,BNN-DCC-GARCH
0.11718123,-0.0729426,-0.37181914,0.009782473,0.10931542,0.3891969,-0.07395751,0.02558652,-0.40992126,1.2775779,50,10,BNN-DCC-GARCH
-0.024115145,-0.2845596,-0.33317018,-0.08153097,0.15493205,-0.093364105,-0.22198923,0.90016174,-0.29394817,1.2775834,51,10,BNN-DCC-GARCH
-0.01859079,0.033270024,-0.42229888,0.058206454,0.40144986,-0.5892069,-0.3378093,0.33485192,-0.47376928,2.0138972,52,10,BNN-DCC-GARCH
0.06404408,0.18180363,-0.36644372,-0.063546635,0.51339495,-0.23245977,-0.07347484,-0.21587649,-0.1170076,1.3095665,53,10,BNN-DCC-GARCH
-0.5053525,-0.055983167,-0.17020407,-0.036810473,0.35702366,-0.11110418,-0.2091676,0.5355243,-0.71072656,1.906801,54,10,BNN-DCC-GARCH
-0.06566762,-0.017010406,-0.18267415,0.07507476,0.39505672,0.74639964,-0.23297703,0.05666975,-0.6575451,0.88267344,55,10,BNN-DCC-GARCH
-0.07600888,-0.08963368,-0.20709234,-0.19477549,0.65819883,-0.07582714,-0.12784748,0.04377539,0.30830744,0.7609034,56,10,BNN-DCC-GARCH
-0.07903599,0.072863095,-0.15170586,0.0065770783,0.29880935,1.3883556,0.12863491,-0.52207494,-0.38778016,0.24535665,57,10,BNN-DCC-GARCH
-0.020076508,-0.07235829,-0.63343817,-0.07478388,0.1904875,0.58565706,0.045377173,-0.17374058,-0.16434962,1.3172258,58,10,BNN-DCC-GARCH
-0.032881334,-0.003558299,-0.291292,0.14397007,0.12290903,-0.50318766,-0.04516543,-0.17961437,0.66518354,1.1236364,59,10,BNN-DCC-GARCH
-0.12623438,-0.35073975,-0.29571843,-0.24682826,0.39662835,0.03294094,-0.37471727,1.3912594,-1.2627603,1.8361698,60,10,BNN-DCC-GARCH
0.17756626,-0.11276006,-0.46644378,-0.32208446,0.26739648,-0.001240678,-0.341288,0.8141981,-0.44403893,1.4286953,61,10,BNN-DCC-GARCH
0.23193845,-0.09943759,-0.37369126,-0.036453497,0.11922604,0.81625384,-0.08238298,-0.040062748,-0.5136855,0.97829485,62,10,BNN-DCC-GARCH
0.028464366,-0.2635711,-0.35449657,-0.20324147,0.116120845,-0.25776604,-0.2726463,1.472289,-0.21763597,0.95248276,63,10,BNN-DCC-GARCH
-0.086670205,-0.21985272,-0.29118958,-0.19885467,0.5793542,0.114042394,-0.18857004,0.8368486,0.14413412,0.31075794,64,10,BNN-DCC-GARCH
0.30524686,-0.15445511,-0.6905018,-0.36812314,0.25659373,-0.5925345,-0.20764737,0.3226068,1.3964245,0.73239005,65,10,BNN-DCC-GARCH
-0.20166089,0.009907527,-0.3723115,-0.009970677,0.26539448,-0.16670792,0.09082201,-0.018369034,-0.19509587,1.5979918,66,10,BNN-DCC-GARCH
0.097849205,-0.20429425,-0.20687966,-0.3731836,0.41589645,-0.56320035,-0.43412438,1.8731203,0.030331092,0.36448452,67,10,BNN-DCC-GARCH
0.062025595,-0.14426915,-0.36268157,-0.13312884,0.2598698,-0.08725421,-0.16846345,0.6683835,-0.2526758,1.1581943,68,10,BNN-DCC-GARCH
0.0009210637,-0.15392771,-0.3392495,-0.064583324,0.28822765,0.38250238,-0.051541876,0.24885613,-0.34106582,1.0298615,69,10,BNN-DCC-GARCH
-0.04619777,-0.05270043,-0.4232957,-0.040145177,0.35295987,-0.07749986,-0.08594308,0.20562774,-0.29026628,1.4574603,70,10,BNN-DCC-GARCH
0.030068718,-0.1600145,-0.417538,-0.0585376,0.21645117,0.08702311,-0.120443515,0.556425,-0.30794466,1.1745104,71,10,BNN-DCC-GARCH
0.104565114,-0.07267503,-0.39474908,-0.0732976,0.17208605,-0.1131081,-0.048847307,0.055562157,-0.0266961,1.3971597,72,10,BNN-DCC-GARCH
-0.0060523245,-0.38027897,-0.45439544,-0.3129435,0.23731291,-0.04744593,-0.17301273,1.3392258,0.09378993,0.7038002,73,10,BNN-DCC-GARCH
-0.014924229,-0.30358216,-0.47921726,-0.23622543,0.19399719,-0.36559495,-0.047366325,0.74008334,0.28224906,1.2305812,74,10,BNN-DCC-GARCH
0.14621753,-0.14496548,-0.4204326,-0.07374784,0.055255078,-0.02903034,-0.10188211,0.38706002,-0.21995027,1.401476,75,10,BNN-DCC-GARCH
0.3697542,-0.13543884,-0.58735716,-0.12705708,0.08688449,0.17564882,-0.04946486,0.018330606,0.20034143,1.0483586,76,10,BNN-DCC-GARCH
0.08856143,-0.42104846,-0.662239,0.090426065,-0.0080971485,-0.23797739,-0.39763722,1.2606609,1.0895705,0.1977807,77,10,BNN-DCC-GARCH
0.39129317,-0.11479373,-0.6256724,-0.23168032,0.15188552,0.07364059,-0.03253296,-0.13064808,0.42898628,1.0895213,78,10,BNN-DCC-GARCH
-0.03249304,-0.045522127,-0.27314353,-0.08811574,0.15215828,0.4941806,0.042001218,-0.09605177,-0.3120609,1.1590469,79,10,BNN-DCC-GARCH
0.008005171,0.08857638,-0.31176925,-0.16161747,1.0234987,0.07107645,0.055442095,-0.64454734,0.21527861,0.6560568,80,10,BNN-DCC-GARCH
-0.078587465,0.024232566,-0.2447794,0.17971563,0.15640332,0.31403178,0.034737315,-0.314802,-0.39566404,1.324712,81,10,BNN-DCC-GARCH
-0.07026571,0.36679173,-0.19715717,0.3759767,0.30296448,-0.40268242,0.42974603,-2.4153414,1.3969456,1.2130222,82,10,BNN-DCC-GARCH
0.00873769,0.116632536,-0.26904973,-0.16688897,0.3887851,-0.21691254,0.2390848,-0.77520335,0.2511787,1.4236356,83,10,BNN-DCC-GARCH
-0.30574173,0.030026056,-0.23837118,0.65829796,0.33484918,-0.20251466,-0.114377186,-0.3491335,0.37527955,0.81168556,84,10,BNN-DCC-GARCH
-0.09936437,-0.06688602,-0.3696733,-0.36153212,0.31409886,-0.28457618,0.23045862,0.2185056,0.19899403,1.2199751,85,10,BNN-DCC-GARCH
-0.29631126,0.07652546,-0.22157705,0.036301345,0.39481995,-0.13740903,0.08685333,-0.032471642,-0.08845428,1.1817231,86,10,BNN-DCC-GARCH
-0.30324897,-0.0020252487,-0.33780566,0.012356945,0.32857484,-0.49937478,-0.028971499,0.18593164,0.20129062,1.443272,87,10,BNN-DCC-GARCH
-0.104161136,-0.15238161,-0.49138093,-0.037869595,0.2902634,-0.4807449,-0.1965114,0.9034166,-0.037808266,1.3071778,88,10,BNN-DCC-GARCH
-0.23138589,0.20149617,0.37348008,0.3532948,0.13492419,0.5560582,1.975724,-2.538311,0.065759085,0.10896,89,10,BNN-DCC-GARCH
