Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
0.09897394,0.036374602,0.052457176,-0.013980487,0.22395913,0.23188901,0.07535366,0.11071359,0.06102008,0.21701965,-0.036595616,-0.07562406,0.057093084,-0.048786856,0.01013311,1,15,BNN-DCC-GARCH
0.11181397,0.014815122,-0.0050899447,0.09297657,0.20352748,0.25614142,0.04375732,0.060445208,0.090849236,0.3489636,-0.052407447,-0.03448578,0.031742744,-0.11627136,-0.04677811,2,15,BNN-DCC-GARCH
0.1840541,0.0586963,0.024919122,0.00024707534,0.2410774,0.29828808,0.02140587,-0.022175064,0.087798886,0.4016691,-0.07751902,-0.034918964,0.034761336,-0.14323537,-0.075068854,3,15,BNN-DCC-GARCH
0.14414638,0.028934546,0.052787695,-0.011202074,0.2307813,0.3318298,0.044137083,-0.005958022,0.08946122,0.4095543,-0.06914208,-0.075360514,0.030681504,-0.13145503,-0.069196135,4,15,BNN-DCC-GARCH
0.124016374,0.029897507,0.04858696,-0.012672129,0.21138617,0.35903275,0.07075692,0.014120813,0.07882674,0.40321764,-0.06745835,-0.103142515,0.029956864,-0.12687398,-0.059651777,5,15,BNN-DCC-GARCH
0.10523893,0.007869464,0.055893302,0.017151928,0.21187194,0.33781442,0.072100505,0.03089954,0.07729151,0.41189715,-0.070820086,-0.10080471,0.02509172,-0.12408051,-0.0574151,6,15,BNN-DCC-GARCH
0.18388972,0.0046203476,-0.0034971414,0.011695915,0.24689251,0.3597656,0.06577256,-0.052716874,0.13465458,0.3616779,-0.034869127,-0.071194716,-0.004919031,-0.10677251,-0.09499975,7,15,BNN-DCC-GARCH
0.12950344,-0.002004214,0.03052702,0.0020379,0.22715046,0.35832757,0.058778394,-0.02485292,0.13046892,0.38375327,-0.038871095,-0.07885378,-0.0064203343,-0.10246977,-0.06707484,8,15,BNN-DCC-GARCH
0.09350283,0.037215594,-0.00913433,-0.04820626,0.23693755,0.38680342,0.07266691,-0.0060415445,0.26736435,0.31082284,-0.053600304,-0.13090822,0.0020582676,-0.08232723,-0.077153884,9,15,BNN-DCC-GARCH
0.13157679,-0.11060692,0.04819484,0.007109371,0.21046746,0.39876327,0.020629402,-0.035666537,0.15123105,0.3773043,-0.04056598,-0.08005434,0.025014471,-0.08740934,-0.0159878,10,15,BNN-DCC-GARCH
0.22085035,-0.07883892,0.14847283,-0.046990134,0.20748977,0.38434386,0.06311258,-0.064019606,0.07405846,0.38188294,0.0019652522,-0.04282647,-0.047233906,-0.13168389,-0.070583105,11,15,BNN-DCC-GARCH
0.19221558,-0.02462762,0.096592076,-0.05386382,0.22649145,0.3584431,0.0659718,-0.024428025,0.049257405,0.40203562,-0.024303049,-0.074265175,-0.0026066254,-0.12573715,-0.06117558,12,15,BNN-DCC-GARCH
0.19402072,0.0044481144,0.032805264,-0.048317228,0.25297624,0.30603933,0.080862895,0.02131235,0.1012392,0.3905934,-0.032219734,-0.09786879,-0.030435666,-0.09453239,-0.08092371,13,15,BNN-DCC-GARCH
0.20626187,-0.0965461,-0.07271287,-0.20753317,0.2748692,0.19531576,0.3487326,0.15859094,-0.033651225,0.235173,0.09644538,-0.12341238,0.04499674,-0.09973287,0.07320312,14,15,BNN-DCC-GARCH
0.27619216,-0.13792162,-0.031311408,-0.16596088,0.30600017,0.225661,0.21949841,0.13720854,-0.06880525,0.2885044,0.01896229,-0.15920913,0.052895058,-0.022245597,0.060531884,15,15,BNN-DCC-GARCH
0.20238078,-0.1239752,0.006470589,-0.07570448,0.23715782,0.30861503,0.14525399,0.09119548,-0.049254555,0.33579046,-0.050447002,-0.1356532,0.14934963,-0.072844796,0.03166544,16,15,BNN-DCC-GARCH
0.15295422,-0.11029106,0.062169768,-0.014553331,0.19944207,0.3336543,0.1107921,0.06687186,-0.0001560712,0.3764345,-0.081762336,-0.109372914,0.12766191,-0.109035656,-0.0048093903,17,15,BNN-DCC-GARCH
0.15300117,-0.06974638,0.026037935,0.07573753,0.21401961,0.31563342,0.108471386,0.061189514,0.051545054,0.35499564,-0.086646326,-0.1076906,0.06486429,-0.11055244,-0.050859805,18,15,BNN-DCC-GARCH
0.14429118,-0.028306706,0.016860086,0.061270706,0.23855786,0.29845503,0.07705822,0.05442109,0.038808454,0.38485074,-0.07646303,-0.10688478,0.03889073,-0.10217045,-0.039639127,19,15,BNN-DCC-GARCH
0.11914535,-0.009096729,0.03131593,0.035273828,0.22533219,0.32346052,0.063939214,0.036292106,0.06349859,0.40269142,-0.07144771,-0.10236877,0.036871027,-0.11459717,-0.040309783,20,15,BNN-DCC-GARCH
0.41441178,-0.028558273,-0.28295547,-0.06852822,0.24056414,0.4558996,-0.10004943,-0.10963071,-0.004065769,0.7533949,-0.10239941,-0.077758804,0.07704982,-0.0655282,-0.10184599,21,15,BNN-DCC-GARCH
0.24152817,-0.022214197,-0.09981978,-0.01409024,0.23107189,0.4089555,-0.021507924,-0.04371144,0.048779644,0.6047082,-0.1040688,-0.104910865,0.049752325,-0.103268616,-0.07120391,22,15,BNN-DCC-GARCH
0.25522718,0.22054568,-0.0436872,0.11437188,0.10411052,0.53664607,0.061019342,-0.02342624,-0.042724088,0.42581764,-0.36416993,-0.13451287,0.08365261,-0.109173335,-0.08369726,23,15,BNN-DCC-GARCH
0.0762166,0.064153135,0.042025674,0.029498672,0.10517843,0.52038705,0.14595257,-0.07091339,0.12342199,0.4294565,-0.20216797,-0.07983384,0.07637545,-0.1585485,-0.10120241,24,15,BNN-DCC-GARCH
0.019088384,0.03765498,0.08270296,0.044395268,0.23805723,0.43277642,0.06498907,-0.1097899,0.22114448,0.3757327,-0.07855036,-0.09284961,0.012798868,-0.14435154,-0.103798956,25,15,BNN-DCC-GARCH
