Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
0.82652634,0.17347366,1,2,BNN-DCC-GARCH
0.91507804,0.08492196,2,2,BNN-DCC-GARCH
0.8902442,0.10975584,3,2,BNN-DCC-GARCH
0.9605712,0.039428744,4,2,BNN-DCC-GARCH
0.94151247,0.05848751,5,2,BNN-DCC-GARCH
0.9500136,0.049986396,6,2,BNN-DCC-GARCH
0.91347986,0.086520106,7,2,BNN-DCC-GARCH
0.8858403,0.11415972,8,2,BNN-DCC-GARCH
0.9750707,0.024929272,9,2,BNN-DCC-GARCH
0.92871445,0.071285546,10,2,BNN-DCC-GARCH
0.8514806,0.14851938,11,2,BNN-DCC-GARCH
0.9958976,0.004102384,12,2,BNN-DCC-GARCH
0.95172936,0.04827065,13,2,BNN-DCC-GARCH
1.162481,-0.1624809,14,2,BNN-DCC-GARCH
0.9307667,0.069233276,15,2,BNN-DCC-GARCH
0.8856054,0.1143946,16,2,BNN-DCC-GARCH
0.8426575,0.15734248,17,2,BNN-DCC-GARCH
0.86368364,0.13631637,18,2,BNN-DCC-GARCH
0.9336385,0.06636147,19,2,BNN-DCC-GARCH
0.8928722,0.107127786,20,2,BNN-DCC-GARCH
0.84118366,0.15881631,21,2,BNN-DCC-GARCH
0.8896668,0.110333204,22,2,BNN-DCC-GARCH
0.89954954,0.100450434,23,2,BNN-DCC-GARCH
0.8395639,0.16043606,24,2,BNN-DCC-GARCH
0.86982673,0.13017328,25,2,BNN-DCC-GARCH
0.9141506,0.08584941,26,2,BNN-DCC-GARCH
0.8987694,0.10123063,27,2,BNN-DCC-GARCH
0.8615578,0.13844223,28,2,BNN-DCC-GARCH
0.9142536,0.085746385,29,2,BNN-DCC-GARCH
0.90710956,0.09289043,30,2,BNN-DCC-GARCH
0.8520994,0.14790057,31,2,BNN-DCC-GARCH
0.8680895,0.13191052,32,2,BNN-DCC-GARCH
0.8625579,0.13744211,33,2,BNN-DCC-GARCH
0.9532065,0.04679352,34,2,BNN-DCC-GARCH
0.96719325,0.032806735,35,2,BNN-DCC-GARCH
0.8978245,0.102175444,36,2,BNN-DCC-GARCH
0.9220724,0.07792759,37,2,BNN-DCC-GARCH
0.9137456,0.08625442,38,2,BNN-DCC-GARCH
0.9860142,0.013985803,39,2,BNN-DCC-GARCH
0.86551577,0.13448423,40,2,BNN-DCC-GARCH
0.95066,0.04933999,41,2,BNN-DCC-GARCH
0.8702554,0.12974457,42,2,BNN-DCC-GARCH
0.9419234,0.05807661,43,2,BNN-DCC-GARCH
1.0413936,-0.041393675,44,2,BNN-DCC-GARCH
0.9766184,0.023381589,45,2,BNN-DCC-GARCH
0.8097132,0.1902868,46,2,BNN-DCC-GARCH
0.91657,0.08342999,47,2,BNN-DCC-GARCH
0.83378124,0.16621876,48,2,BNN-DCC-GARCH
0.97817004,0.021829981,49,2,BNN-DCC-GARCH
0.9556434,0.044356573,50,2,BNN-DCC-GARCH
0.8968491,0.10315089,51,2,BNN-DCC-GARCH
0.8982738,0.101726204,52,2,BNN-DCC-GARCH
0.77724075,0.22275925,53,2,BNN-DCC-GARCH
0.81432843,0.18567155,54,2,BNN-DCC-GARCH
0.8822363,0.11776371,55,2,BNN-DCC-GARCH
0.85174733,0.14825268,56,2,BNN-DCC-GARCH
0.98184896,0.018151069,57,2,BNN-DCC-GARCH
0.95173293,0.04826708,58,2,BNN-DCC-GARCH
0.8585516,0.14144836,59,2,BNN-DCC-GARCH
0.870374,0.12962598,60,2,BNN-DCC-GARCH
0.8781415,0.121858485,61,2,BNN-DCC-GARCH
0.9698679,0.0301321,62,2,BNN-DCC-GARCH
0.84620494,0.15379505,63,2,BNN-DCC-GARCH
0.87723446,0.122765556,64,2,BNN-DCC-GARCH
0.9076646,0.09233543,65,2,BNN-DCC-GARCH
0.7670847,0.23291528,66,2,BNN-DCC-GARCH
0.8815314,0.118468605,67,2,BNN-DCC-GARCH
0.87915677,0.12084325,68,2,BNN-DCC-GARCH
0.9171232,0.08287679,69,2,BNN-DCC-GARCH
0.91657525,0.08342477,70,2,BNN-DCC-GARCH
0.9178776,0.08212236,71,2,BNN-DCC-GARCH
0.8945614,0.105438575,72,2,BNN-DCC-GARCH
0.88447803,0.11552196,73,2,BNN-DCC-GARCH
0.82786894,0.17213106,74,2,BNN-DCC-GARCH
0.88832986,0.11167013,75,2,BNN-DCC-GARCH
1.0120413,-0.012041271,76,2,BNN-DCC-GARCH
0.8958935,0.104106486,77,2,BNN-DCC-GARCH
0.92523164,0.074768335,78,2,BNN-DCC-GARCH
0.95659745,0.043402568,79,2,BNN-DCC-GARCH
0.8879443,0.112055704,80,2,BNN-DCC-GARCH
0.9290427,0.07095731,81,2,BNN-DCC-GARCH
0.8642799,0.13572004,82,2,BNN-DCC-GARCH
0.77482015,0.22517987,83,2,BNN-DCC-GARCH
0.9046728,0.09532722,84,2,BNN-DCC-GARCH
0.8591286,0.14087138,85,2,BNN-DCC-GARCH
0.8448645,0.15513553,86,2,BNN-DCC-GARCH
0.8467602,0.15323977,87,2,BNN-DCC-GARCH
0.8792716,0.120728366,88,2,BNN-DCC-GARCH
0.9290101,0.07098991,89,2,BNN-DCC-GARCH
0.8810617,0.11893835,90,2,BNN-DCC-GARCH
0.9060222,0.093977824,91,2,BNN-DCC-GARCH
0.9481748,0.051825214,92,2,BNN-DCC-GARCH
1.0933185,-0.09331843,93,2,BNN-DCC-GARCH
0.9148396,0.08516035,94,2,BNN-DCC-GARCH
0.89415246,0.10584754,95,2,BNN-DCC-GARCH
1.010933,-0.010933046,96,2,BNN-DCC-GARCH
0.9569352,0.04306475,97,2,BNN-DCC-GARCH
0.9256341,0.07436593,98,2,BNN-DCC-GARCH
0.87291276,0.12708725,99,2,BNN-DCC-GARCH
0.86153215,0.13846785,100,2,BNN-DCC-GARCH
0.8049583,0.19504173,101,2,BNN-DCC-GARCH
1.0386407,-0.03864069,102,2,BNN-DCC-GARCH
0.9959438,0.004056243,103,2,BNN-DCC-GARCH
0.89112574,0.10887424,104,2,BNN-DCC-GARCH
0.8523496,0.1476504,105,2,BNN-DCC-GARCH
0.88884526,0.111154735,106,2,BNN-DCC-GARCH
0.88926786,0.11073216,107,2,BNN-DCC-GARCH
0.9554042,0.044595804,108,2,BNN-DCC-GARCH
0.9183799,0.081620105,109,2,BNN-DCC-GARCH
0.9891902,0.010809783,110,2,BNN-DCC-GARCH
0.9670791,0.0329209,111,2,BNN-DCC-GARCH
1.0980483,-0.09804835,112,2,BNN-DCC-GARCH
1.1107502,-0.11075017,113,2,BNN-DCC-GARCH
1.6814424,-0.6814424,114,2,BNN-DCC-GARCH
1.1353993,-0.13539934,115,2,BNN-DCC-GARCH
1.0179071,-0.01790714,116,2,BNN-DCC-GARCH
0.9110056,0.0889944,117,2,BNN-DCC-GARCH
0.7566876,0.2433124,118,2,BNN-DCC-GARCH
0.9810852,0.01891482,119,2,BNN-DCC-GARCH
0.72132236,0.27867767,120,2,BNN-DCC-GARCH
1.0912927,-0.091292724,121,2,BNN-DCC-GARCH
3.19622,-2.19622,122,2,BNN-DCC-GARCH
