Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,N_Assets,Model
-0.043449596,-0.115777664,-0.28307045,-0.03550232,-0.056886923,0.009639144,-0.03229349,0.28312218,0.2869336,-0.12822789,0.11438305,0.4599385,0.23931114,0.28543,-0.21473978,-0.01455799,0.009154352,-0.22015454,-0.068636954,0.119648315,0.57432795,-0.08584146,-0.3143039,-0.009023316,-0.2003857,-0.115184136,-0.074562766,0.018412713,0.38204125,0.23025665,1,30,BNN-DCC-GARCH
-0.018661212,-0.02629491,-0.06353015,-0.025996923,-0.015461263,0.04165318,-0.0042288895,0.07686215,0.4154949,0.115682185,0.024461208,0.5458849,0.022951502,-0.041338205,0.022018664,-0.009820512,-0.08343051,-0.06501028,-0.040668756,-0.07983139,0.44384032,0.090858966,-0.29267365,0.028525613,0.017725065,-0.046624966,-0.02745617,-0.013131822,-0.16805439,0.17625521,2,30,BNN-DCC-GARCH
-0.027152007,-0.040269222,-0.17372729,-0.02296286,-0.040131062,-0.09823558,-0.018108806,0.22784777,-0.08792279,0.067595914,-0.097256295,-0.106878065,0.2441537,0.31152922,-0.13476789,0.001366363,-0.2163551,0.55840707,-0.096234806,-0.10331627,0.34881976,-0.19529705,0.03869189,-0.008799571,-0.0227544,0.16366419,-0.07076487,-0.038825497,0.38754472,0.25013864,3,30,BNN-DCC-GARCH
-0.033711504,-0.035511557,-0.18427038,-0.04827157,-0.0760963,0.22585258,-0.023985911,0.1742277,0.19711065,0.073615655,-0.09863425,0.14681184,0.27624914,0.21451561,-0.22435537,0.0020747846,-0.27096725,0.19989002,-0.10075738,-0.0065499814,0.04530973,-0.09047262,-0.14923362,-0.006221475,-0.059670858,0.105175935,-0.03268869,-0.05378694,0.37538692,0.45896515,4,30,BNN-DCC-GARCH
-0.027292922,-0.043349303,-0.11943862,-0.06066256,-0.02581675,-0.02135082,-0.061267152,0.39910993,0.08148862,0.17677051,-0.031052869,-0.02697461,0.048497815,0.17401125,-0.17652503,0.004982785,-0.31084424,-0.0874797,-0.07361268,-0.07142899,0.015738972,-0.1422843,-0.037944075,-0.013678892,0.058815356,0.17991674,0.05388236,-0.05526109,0.8073946,0.38565543,5,30,BNN-DCC-GARCH
-0.06469556,-0.029738776,-0.33974308,-0.059544202,-0.10376914,0.024325876,-0.064562365,0.20924744,0.1527155,-0.053107362,0.3412179,0.07968176,0.42998147,-0.058003645,-0.10755591,0.061257802,-0.22142647,-0.1560863,-0.08869992,0.16052645,0.22075464,-0.22661759,-0.07461443,-0.12317671,0.24825643,0.07553299,-0.017653262,-0.044597775,0.3669265,0.46316797,6,30,BNN-DCC-GARCH
-0.018917095,-0.025979951,-0.08396394,-0.029593151,-0.002109303,0.035583586,-0.039581735,0.25733835,-0.00940332,0.43223798,0.02311123,-0.04283508,-0.08967205,0.21666025,-0.15241195,0.03548546,-0.40184367,-0.2051242,-0.07434682,-0.172725,0.17893171,-0.25937593,0.00361792,-0.041852903,0.22082593,0.34931362,-0.0114667965,-0.06784507,0.6439822,0.33196008,7,30,BNN-DCC-GARCH
-0.058128648,-0.01974055,-0.31651187,-0.046898685,-0.09478115,-0.075982854,-0.043126598,0.17586015,0.108476125,-0.19745174,-0.0022406294,-0.3294585,0.49470273,0.33382475,-0.46161622,0.056913327,-0.14239675,0.81048566,-0.074799806,0.15163746,0.00084324373,-0.35262465,0.21071693,-0.10144295,-0.14299954,-0.26807782,0.15120856,-0.06236897,0.8997078,0.39627114,8,30,BNN-DCC-GARCH
-0.020029973,-0.015227539,-0.13252454,-0.024834942,-0.03791402,-0.2211807,-0.011343531,0.10671615,0.19740964,0.09817136,-0.038083017,-0.080095604,0.15268293,0.88138014,-0.31712353,0.010527531,-0.3246314,-0.09390488,-0.06461204,0.030976638,0.03594859,-0.055940174,-0.0069303554,0.034258474,-0.11438716,-0.031628944,0.0738018,0.08318462,0.6307863,0.25454807,9,30,BNN-DCC-GARCH
-0.010410031,-0.020254679,-0.14363873,-0.029582892,-0.056962576,0.07895163,-0.01820441,0.11265553,0.019852228,-0.11195863,-0.13596937,-0.03237466,0.3719918,0.09637628,-0.12809938,-0.004641969,-0.0326397,0.8975334,-0.07619586,0.00230584,0.16066256,-0.14801493,-0.020603336,0.0017242489,-0.016890857,-0.12135844,-0.04003021,-0.023135299,0.13998304,0.28892952,10,30,BNN-DCC-GARCH
-0.015926313,-0.043990087,-0.38648623,-0.051680423,-0.121862955,0.28997847,-0.046539977,0.16457373,0.023403719,-0.28063968,-0.044180695,-0.08765984,0.70362955,0.037255943,-0.26457757,0.02923063,-0.013442436,0.38734096,-0.07832871,0.25208265,0.3089243,-0.3322198,0.046308674,-0.06874288,-0.04985884,-0.0432724,-0.1590985,-0.021989059,0.45897236,0.40879482,11,30,BNN-DCC-GARCH
-0.008551043,-0.033661757,-0.20803015,-0.09333576,-0.052910708,-0.16310833,-0.04662779,0.24928135,0.2659164,0.122232504,-0.027334118,-0.015896522,0.26345512,0.51647633,-0.21310617,0.002721023,-0.3559833,0.04413939,-0.10012949,0.02065649,-0.03179635,-0.011088942,-0.011670693,0.036106188,-0.015876126,-0.032343857,0.061025295,0.03763933,0.3513673,0.4504343,12,30,BNN-DCC-GARCH
-0.039421633,-0.043228187,-0.39210868,-0.09543984,-0.08067598,-0.20097819,-0.059960723,0.2198572,0.32126412,0.19739163,0.4726761,-0.44261864,0.16748202,-0.11767635,-0.21401182,0.10820975,0.036451858,-0.2927275,-0.056679934,0.02297423,0.016324677,-0.13429947,0.5101568,-0.12675515,0.21905738,-0.19036333,0.15615235,0.0702146,0.23313217,0.73560053,13,30,BNN-DCC-GARCH
-0.03259467,-0.041707106,-0.2655963,-0.10968668,0.018182319,0.11040133,-0.017249675,0.19431597,0.26572967,0.3451014,0.74145675,-0.25192195,-0.09273711,-0.05502345,-0.1159425,0.07996962,0.0577262,-0.18136568,-0.09830636,-0.11846907,0.18533018,-0.19272588,0.38395965,-0.31284603,0.039930854,-0.21477829,0.039063558,0.024345322,0.1626262,0.4528116,14,30,BNN-DCC-GARCH
-0.007109806,-0.04557753,-0.16639103,-0.13654912,0.01691256,-0.3618269,0.0034458793,0.18946482,0.53598046,0.23470666,-0.18066603,-0.37160796,0.15850863,0.7373115,-0.3355301,0.027444396,-0.38288575,0.04656967,-0.08707687,-0.062667616,0.15309642,0.26464143,0.48552448,0.16080272,-0.15380591,-0.18597358,0.10062847,0.10243044,-0.22936769,0.48956677,15,30,BNN-DCC-GARCH
-0.0009442794,-0.043033887,-0.19641224,-0.11813566,-0.019358195,-0.18211755,0.044430204,0.07645052,0.4094321,0.034128807,-0.093233116,-0.67805076,0.22723328,0.79287934,-0.4495083,0.0331247,-0.41111454,0.85010237,-0.09628658,0.08547412,-0.05011596,0.2335899,0.8755608,-0.07052316,-0.2674581,-0.29523376,0.09045538,0.06799769,-0.19409044,0.34475732,16,30,BNN-DCC-GARCH
-0.050971903,-0.04345329,-0.17053011,-0.055888243,-0.04291364,-0.03910423,-0.037817623,0.140004,0.09566998,-0.20685026,0.22229323,0.010988518,0.14237721,0.14993235,-0.22598422,0.01782529,-0.31476125,0.81588435,-0.00770128,0.14295767,0.111243725,-0.17067248,-0.112026565,-0.17561735,-0.19207199,-0.06286741,0.018912219,-0.12129033,0.8073876,0.3550459,17,30,BNN-DCC-GARCH
-0.027020082,-0.06279316,-0.038682684,0.04059996,0.09392636,-0.12574755,-0.060249615,0.19435406,-0.0775711,0.5926652,0.30310652,-0.23108259,-0.23555563,-0.09450627,-0.26150084,0.12081786,-0.08143756,0.12737215,-0.07142537,-0.48143443,0.17051268,-0.3231611,0.20193928,-0.17992237,0.04535465,-0.1355147,0.0657751,0.083920695,1.0434858,0.40377468,18,30,BNN-DCC-GARCH
-0.017534532,-0.09947029,-0.07949246,-0.028831663,-0.027232712,-0.2731191,-0.033449687,0.20983191,0.42194286,0.30681804,-0.3712145,-0.44524774,0.21520977,0.69588244,-0.46579337,0.10616519,-0.47004977,0.5552362,-0.15818287,-0.12096389,-0.041898694,0.15005937,0.56419474,0.09434366,-0.050206434,-0.20573366,0.03163631,0.19292285,-0.14429976,0.48847795,19,30,BNN-DCC-GARCH
