Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.39680776,0.06829273,-0.078345925,0.02230051,0.59094495,1,5,BNN-DCC-GARCH
0.3440742,0.12747717,-0.0905249,0.01090748,0.6080661,2,5,BNN-DCC-GARCH
0.21725424,0.1419187,-0.07610133,0.12480459,0.5921238,3,5,BNN-DCC-GARCH
0.092196934,0.11400522,-0.038521573,0.28180683,0.5505126,4,5,BNN-DCC-GARCH
0.1653132,0.17430225,-0.075388834,0.14353868,0.5922347,5,5,BNN-DCC-GARCH
0.2556677,0.17700662,-0.096246436,0.048368152,0.615204,6,5,BNN-DCC-GARCH
0.15952183,0.1507133,-0.065544724,0.17378324,0.58152634,7,5,BNN-DCC-GARCH
0.16134425,0.19688244,-0.08193503,0.12331317,0.6003952,8,5,BNN-DCC-GARCH
0.13375862,0.26511624,-0.09863955,0.07867759,0.6210871,9,5,BNN-DCC-GARCH
0.26593998,0.13129202,-0.08429338,0.08635876,0.60070264,10,5,BNN-DCC-GARCH
0.4108248,0.09307678,-0.10215498,-0.020753711,0.6190071,11,5,BNN-DCC-GARCH
0.10526884,0.049100224,-0.018402765,0.33741188,0.5266218,12,5,BNN-DCC-GARCH
0.09984035,0.18879104,-0.06308237,0.1942519,0.58019906,13,5,BNN-DCC-GARCH
0.4039189,0.12260975,-0.110665105,-0.04511179,0.62924826,14,5,BNN-DCC-GARCH
0.1886734,0.15193267,-0.07362719,0.14324129,0.5897798,15,5,BNN-DCC-GARCH
0.20740731,0.10553165,-0.06300468,0.17345391,0.5766118,16,5,BNN-DCC-GARCH
0.20053242,0.037104815,-0.036786433,0.25316536,0.54598385,17,5,BNN-DCC-GARCH
0.31775403,0.23686656,-0.1277078,-0.07871423,0.6518014,18,5,BNN-DCC-GARCH
0.15323183,0.20020574,-0.08026337,0.12821493,0.5986109,19,5,BNN-DCC-GARCH
0.26349807,0.19010603,-0.100902095,0.026383733,0.6209143,20,5,BNN-DCC-GARCH
0.34509674,0.17919596,-0.12450976,-0.04474082,0.6449579,21,5,BNN-DCC-GARCH
