Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
0.052789785,-0.22869606,-0.30275217,-0.21317369,-0.005800568,0.89705956,-0.19083059,1.2906775,-0.2978118,0.64246315,-0.69253564,-0.09361921,0.43054903,0.2532028,-0.54152197,1,15,Sequential LSTM
-0.23036589,0.073359676,-1.4769062,0.08752369,-0.54105496,-0.188039,0.09485261,-0.4510134,0.22149593,0.6607009,-0.4440024,-0.14986968,2.745536,1.7216759,-1.1238936,2,15,Sequential LSTM
-0.31117424,-0.06075431,-1.9576612,-0.07233168,-0.7318178,1.5189303,0.013735975,0.15354317,-0.12343392,0.06847417,-1.2280765,-0.1459961,4.1813564,0.07065389,-0.37544835,3,15,Sequential LSTM
-0.32065487,-0.17549503,-1.7218895,-0.16161236,-0.6923596,0.9757815,-0.16567846,0.72950435,-0.008958656,-0.12637897,-0.78516734,-0.18715361,3.6574442,0.7623083,-0.7796892,4,15,Sequential LSTM
-0.36225984,-0.15557586,-2.4049346,-0.16022512,-0.72533953,0.7057948,-0.115832455,0.46438658,0.2127008,0.07849121,-0.27662328,-0.19532841,3.8664668,2.0580223,-1.9897435,5,15,Sequential LSTM
-0.33928424,-0.031673003,-1.6744068,0.020874761,-0.7294769,0.5628201,0.07620889,-0.03197833,-0.2737165,0.2251178,-0.96785986,-0.25701192,3.817073,1.5924643,-0.98915046,6,15,Sequential LSTM
-0.4356205,-0.012933807,-2.0794048,0.081281275,-0.99442184,1.1214925,-0.01054433,-0.26704162,0.0039092503,-0.01409781,-0.12073659,-0.11869504,4.2774453,0.30754936,-0.73818207,7,15,Sequential LSTM
0.13132598,-0.28855845,0.2519929,-0.32406044,0.50776505,0.61413056,-0.4036424,1.9442205,-0.15934724,1.0173731,0.5591081,0.0724294,-1.8148856,-0.52848345,-0.57936835,8,15,Sequential LSTM
-0.34991443,-0.056311574,-1.8538826,-0.05184742,-0.85539174,0.5464251,-0.0200943,0.14560923,-0.27988923,0.48852894,-0.9476374,-0.19655639,4.1069407,0.74642146,-0.42239988,9,15,Sequential LSTM
-0.27452564,-0.09075908,-1.4466074,-0.08652887,-0.68094116,0.71885735,-0.086993285,0.29361612,0.042954553,-0.2459156,-0.53926295,-0.11736519,3.5585282,0.06710081,-0.11215683,10,15,Sequential LSTM
0.24040872,-0.06208164,0.83100945,-0.009479223,0.45734286,1.3358636,0.07391891,0.25755593,-0.18355225,1.3034172,0.6347576,0.23149733,-2.4073803,-2.083138,0.3798599,11,15,Sequential LSTM
-0.25496268,-0.1805026,-1.2596643,-0.10478452,-0.428069,0.7872236,-0.1567958,0.9216416,-0.28587666,-0.08132005,-1.5637094,-0.3475437,3.005479,3.0815768,-2.1326919,12,15,Sequential LSTM
0.06901073,-0.3463894,0.20003304,-0.35133255,0.47926593,0.6532609,-0.35742894,2.2162137,-0.21430722,0.63868964,-0.33039227,0.0036753796,-1.0072528,-0.41675168,-0.23629442,13,15,Sequential LSTM
0.6007473,-0.08927353,2.1911445,-0.11468805,1.4315397,0.21646446,0.008455128,0.6275679,-0.29091346,1.2013162,-0.45795673,0.05124354,-4.2227664,0.35578763,-0.5086677,14,15,Sequential LSTM
-0.35316694,-0.14664228,-2.0626333,-0.1203745,-0.7478543,0.61125517,-0.11685744,0.5026273,-0.067308255,0.23155594,-0.9071958,-0.2668535,4.0421853,1.9127256,-1.5114642,15,15,Sequential LSTM
0.3261246,-0.08243656,1.021977,-0.061695818,0.48467994,0.67572755,0.037426554,0.30677783,-0.0069293906,0.87749565,-0.1946109,-0.016651977,-2.1728878,1.4987415,-1.6937376,16,15,Sequential LSTM
-0.5599054,-0.06123171,-3.2000322,-0.07847897,-1.2575009,0.36804265,-0.03945036,-0.03817834,0.20111254,0.4328653,-0.12842111,-0.1345893,5.6249905,1.1486775,-1.2778991,17,15,Sequential LSTM
0.18767369,-0.34947315,0.7281936,-0.40880924,0.8638317,0.49670705,-0.34670982,2.0888894,-0.2987027,0.9362739,-0.639419,-0.008044407,-1.8477495,0.012127122,-0.41478866,18,15,Sequential LSTM
-0.43309712,-0.09564389,-2.9093788,-0.06956919,-0.93862754,0.26456624,-0.10254132,0.19030222,-0.023014395,-0.2247365,-0.69641167,-0.25299552,5.680706,1.5943364,-0.9838957,19,15,Sequential LSTM
-0.24286544,-0.17049068,-1.5144691,-0.13058972,-0.606911,0.8190642,-0.11375661,0.5565844,0.0052639632,0.38166443,-0.698121,-0.17455754,2.994267,1.0158411,-1.1209235,20,15,Sequential LSTM
-0.34241664,0.06858,-2.1917453,-0.0023701806,-0.8939849,0.6628789,0.15447293,-0.6647456,0.8886997,0.20222098,-0.462768,-0.058825072,4.1085825,0.69018996,-1.1587696,21,15,Sequential LSTM
-0.19004354,-0.14789426,-0.82353354,-0.13136071,-0.463769,1.4521023,-0.07701395,0.5004328,0.09423069,-0.13335364,-0.68042016,-0.135362,2.0846121,0.37301648,-0.72164375,22,15,Sequential LSTM
-0.28166595,-0.055998202,-1.7899654,-0.071691625,-0.6746752,1.1457415,0.08175122,0.015641548,-0.029786913,-0.29974508,-1.4817972,-0.2797792,4.1912475,1.9316522,-1.4009306,23,15,Sequential LSTM
-0.107940875,-0.21151249,-0.6608401,-0.26179478,-0.18157272,1.4754201,-0.27496424,1.3711095,-0.04295445,-0.07984128,-0.18103293,-0.04146202,1.0239615,-0.60499865,-0.22157688,24,15,Sequential LSTM
-0.08594438,-0.14184101,-0.5853113,-0.08817996,-0.20810542,1.4694393,-0.06429368,0.5246103,-0.09756758,0.068075925,-0.48346165,-0.098950036,1.1859751,0.26302674,-0.6574729,25,15,Sequential LSTM
-0.47601345,-0.17608249,-2.1310115,-0.102117755,-0.93589395,0.8589282,-0.22014733,0.7598397,-0.37669146,-0.057928037,-0.6541538,-0.24236196,4.5360384,0.78521425,-0.5676174,26,15,Sequential LSTM
-0.49303177,0.07469013,-2.3211439,0.035317875,-1.2007816,0.5446563,0.122676276,-0.61073804,0.47841513,-0.1839731,-0.6280655,-0.15141223,5.324156,0.38958132,-0.3803483,27,15,Sequential LSTM
-0.111165665,0.08471343,-0.57090354,0.20356268,-0.29518664,0.5382546,0.22909762,-0.5091424,-0.20852448,0.08974703,-0.7112832,-0.21744958,1.6114511,2.1560993,-1.2892702,28,15,Sequential LSTM
-0.2728765,-0.09523357,-1.6251782,-0.027468186,-0.59436834,1.428514,-0.04222257,0.12287,-0.0745298,-0.1606657,-0.15836877,-0.17885663,2.9140656,1.2108743,-1.4465562,29,15,Sequential LSTM
-0.22810301,-0.042409886,-1.3716797,-0.06741879,-0.53706235,0.45134914,0.061593547,0.03164199,0.046216536,0.2590116,-1.1263424,-0.22066306,3.1224039,2.0650105,-1.443548,30,15,Sequential LSTM
-0.23487079,-0.2126813,-1.6888063,-0.15835616,-0.5113473,0.86671376,-0.17086315,0.8024738,-0.029092414,0.2680529,-0.33503774,-0.15837078,2.7246962,1.3414235,-1.5039331,31,15,Sequential LSTM
-0.16333799,-0.13211542,-1.4393103,-0.13069634,-0.36037514,0.83384836,-0.14584845,0.6741756,-0.26127368,0.49304646,-0.048231393,-0.13209447,1.9801819,1.2861241,-1.4540938,32,15,Sequential LSTM
-0.32263568,-0.1798713,-1.4606022,-0.20165162,-0.67483795,0.7385932,-0.20314793,0.90360427,-0.097553514,-0.11969681,-0.58651894,-0.16098894,3.3738112,0.34871948,-0.35722366,33,15,Sequential LSTM
0.027660407,-0.18513393,0.60739577,-0.16562593,0.20647845,0.31194964,-0.08194561,0.9681492,-0.34062973,0.296413,-0.99898267,-0.23333393,-0.10966835,1.748983,-1.0517098,34,15,Sequential LSTM
-0.12651783,-0.31497157,-0.7831074,-0.30832314,-0.18972115,0.783416,-0.25127116,1.4768741,-0.16903815,0.22250193,-0.9656176,-0.22888681,1.5949416,1.6899601,-1.4302384,35,15,Sequential LSTM
-0.53046274,0.04649547,-2.3538413,0.035906795,-1.071372,-0.19877611,0.067389555,-0.50810385,0.11173903,0.005168643,-0.50385535,-0.306851,5.087861,2.794284,-1.6755813,36,15,Sequential LSTM
-0.47417632,0.021556197,-1.9519631,0.043344885,-1.0815374,0.10699789,0.043482542,-0.3884562,0.114032924,-0.14190736,-0.42939624,-0.19247612,4.803223,1.2213913,-0.6941174,37,15,Sequential LSTM
-0.4941192,-0.1582872,-2.166492,-0.14315106,-1.0797544,1.0795274,-0.13908195,0.3841983,0.3031685,-0.29539979,-1.0184951,-0.2606942,5.0381575,0.7772757,-0.8268519,38,15,Sequential LSTM
0.14422795,-0.22079363,0.63930625,-0.25186798,0.5355145,0.55724394,-0.24880812,1.3336625,0.04260332,0.48260108,0.532064,-0.08632928,-2.1495287,2.0588706,-2.368767,39,15,Sequential LSTM
-0.2741871,-0.104448885,-1.6233217,-0.09261951,-0.6386478,1.053054,-0.057713915,0.2981194,-0.15897161,0.110461615,-0.78910273,-0.21649379,3.3910236,1.1971116,-1.0942626,40,15,Sequential LSTM
-0.4042831,-0.027827485,-2.2802474,-0.026087062,-0.8974376,-0.03748172,0.00081149145,-0.08712337,-0.05075915,-0.22506218,-0.8396874,-0.28482482,4.9137073,2.63036,-1.3840564,41,15,Sequential LSTM
-0.2481382,0.13049322,-1.6357355,0.22579563,-0.76006484,0.7197273,0.21611004,-0.8361418,-0.10718498,0.08479632,-1.6850495,-0.27828595,4.3553123,1.8696975,-1.051331,42,15,Sequential LSTM
0.054128032,-0.23197633,-0.06911362,-0.30483556,0.086702205,0.74701905,-0.2072626,1.2795949,0.1490743,0.16350764,-0.8660233,-0.17100722,0.23984684,1.534928,-1.4045829,43,15,Sequential LSTM
-0.20840605,0.028703734,-1.2603892,0.01032876,-0.44845617,-0.1558639,0.11391535,-0.22246797,-0.17214409,0.9319629,-0.89776313,-0.18866928,2.685583,1.8837887,-1.1001232,44,15,Sequential LSTM
-0.43715298,0.038613748,-2.1495266,0.1630702,-1.0064005,0.60075116,0.057672735,-0.47662604,-0.05698589,-0.26259553,-0.47783035,-0.18226919,4.863524,0.9982524,-0.67249626,45,15,Sequential LSTM
-0.31416625,-0.22942632,-1.5196551,-0.18783058,-0.63274306,0.70246285,-0.2180728,0.99410146,-0.22023529,-0.034866583,-0.6539985,-0.22552946,3.3083472,1.038228,-0.80661416,46,15,Sequential LSTM
-0.029730823,-0.22301571,-0.5839496,-0.23242755,-0.026940579,0.9375637,-0.17052406,1.0830295,-0.10066653,0.30089492,-0.68196946,-0.20241803,0.7469428,2.3611736,-2.177963,47,15,Sequential LSTM
