Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,N_Assets,Model
-0.100719586,0.13355637,-0.58302367,-0.008665326,-0.27280486,0.37282544,0.19784671,-0.58713347,1.8083893,0.27081266,-0.10370885,-0.5686158,0.94187045,0.63919556,-0.6908553,0.016865794,-0.054632436,-2.8944874,0.20212239,0.15902828,0.1469317,0.7207372,0.81199706,0.27660444,0.02669308,-0.70157266,-0.025858862,0.20900197,0.6575994,1,29,Sequential LSTM
0.0076150466,0.011590218,-0.027408369,0.035941962,-0.013363255,0.32019478,0.060908914,-0.10897309,-0.039211437,0.3003678,-0.10614668,-0.4472995,0.065009445,0.6017913,-0.36715898,-0.039480194,0.8307237,-1.593587,0.19233465,-0.15398803,0.2485754,0.29325497,0.7413442,0.30712554,-0.017647265,-0.06447328,-0.031103902,0.040413495,-0.047350273,2,29,Sequential LSTM
-0.0022856304,-0.007392326,-0.22509386,-0.061328247,-0.10747856,-0.24057871,0.05216726,0.14913267,1.389393,1.3565952,-0.7433825,-0.79005533,0.29948035,-0.8958081,0.79180396,0.03206509,-0.35721397,-2.1205862,0.15870178,-0.970268,1.1357799,0.69369024,1.3677914,0.7314,0.13322903,-0.5963447,-0.04774041,0.12722059,-0.25289413,3,29,Sequential LSTM
-0.07653179,0.14658211,-0.59523904,-0.03281014,-0.44557467,0.8859917,0.30416587,-0.8584913,3.1478605,0.33835515,-1.3060457,1.0365318,1.570081,-0.45302364,0.042308375,0.01898033,-0.25578615,-1.0738946,-0.16032463,-0.049334556,0.24138153,0.74073493,-0.49743873,0.69898295,0.14389972,-1.8886038,-0.077650934,0.45431557,-0.99942017,4,29,Sequential LSTM
0.03057715,-0.04628577,-0.047259342,0.03791573,0.08055431,0.5154042,0.19380279,-0.015800841,-0.2578849,1.8432311,-1.5486693,0.2070903,0.6621321,0.959305,-0.79073316,-0.17199993,0.25969723,-3.6891968,-0.09948028,-1.355054,0.601823,0.397705,0.062341686,1.0500091,0.03210005,0.4700278,-0.13618892,-0.10053154,1.8553686,5,29,Sequential LSTM
-0.2055931,0.12713315,-1.3677092,0.17194603,-0.597635,0.55880123,0.33191863,-0.74399644,1.0918365,0.884758,-1.4285257,0.17612872,3.0684333,0.55234003,-0.5626681,-0.04472215,0.7543103,-2.02539,-0.045883268,-0.4494129,0.16425155,0.7723354,0.12552954,0.8375844,0.11330652,-1.4475415,0.028954362,0.18070124,-0.021190863,6,29,Sequential LSTM
-0.080833,0.1774234,-0.7990589,0.014816419,-0.42363137,0.70681643,0.23727056,-0.814424,3.1698945,0.64658546,-1.105429,0.4960553,1.5509803,-0.59931487,0.050297562,0.019935537,-0.54035467,-3.860854,0.0435742,0.103853725,0.38417765,1.1715463,0.05876274,0.95852745,0.15974997,-1.3345736,0.09617544,0.27159116,0.24043888,7,29,Sequential LSTM
-0.14462316,0.09867113,-1.3831668,-0.049848676,-0.5998202,0.35660675,0.061109792,-0.5240073,3.2811334,1.1034412,0.16067941,-0.118813574,1.6896296,-0.3733221,0.33037654,-0.041960407,0.01938766,-0.82644755,0.20513448,-0.6320427,0.45125893,0.5325809,0.40768307,0.15376933,0.007207967,-2.168278,0.2104597,0.54076815,-1.7475667,8,29,Sequential LSTM
-0.15197757,0.11155009,-1.1888393,-0.055878926,-0.6053064,0.35459983,0.09448108,-0.58856344,2.80536,-0.36837292,-0.76658654,-0.079417296,2.63823,-0.6401636,0.63595223,-0.023638181,-1.0619419,0.58033216,0.024366047,0.40891564,0.1120721,0.5456864,0.17273733,0.32735547,-0.070143364,-1.0779979,0.044428684,0.058329836,-1.2355703,9,29,Sequential LSTM
0.008783095,0.07107852,-0.288502,-0.009098282,-0.25668278,-0.019117309,0.050996747,-0.34023014,1.8866322,0.2500672,-0.4992687,-0.13626108,0.6067445,-0.6210626,0.85219574,0.015468584,0.018510854,0.39961684,0.13074619,-0.15202895,0.65486073,0.31689224,0.40681309,0.48738706,-0.0027328823,-1.2791164,0.06538683,0.30237746,-1.9204566,10,29,Sequential LSTM
-0.18584631,0.12492187,-1.5375473,0.07760345,-0.61076885,0.14585337,0.17842631,-0.7874073,0.5001531,0.27319628,-0.58513755,0.27765328,3.1747787,0.5074573,0.09260669,-0.13221522,-0.52203155,-1.9573517,0.066140525,0.0017581852,0.62777185,0.6218002,0.026197169,0.62401927,0.019261729,0.90706897,-0.061733183,0.43703818,-1.3036683,11,29,Sequential LSTM
-0.038820717,0.047131587,-0.23199536,-0.020942163,-0.27828166,0.5649385,0.10639726,-0.38447547,2.9135416,0.30339035,-1.0827167,0.9463624,0.7811856,0.29022318,0.063998014,-0.08339893,-0.2650751,-0.22438662,-0.3236604,0.08297623,0.11358371,0.5246073,-0.53178394,0.68746513,0.24475852,-1.6775572,0.008091456,0.3820972,-1.9176542,12,29,Sequential LSTM
