Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.07004413,-0.20869991,0.5214801,-0.38797355,1.0051491,1,5,Sequential LSTM
-0.1644199,-0.12051713,0.04477409,0.016680643,1.2234825,2,5,Sequential LSTM
-0.053668357,-0.32642743,0.76387924,-0.43082798,1.0470446,3,5,Sequential LSTM
-0.17536789,-0.49232224,1.0405558,0.08179467,0.5453394,4,5,Sequential LSTM
0.0493202,-0.27773154,0.7141378,-0.42380005,0.9380733,5,5,Sequential LSTM
-0.22362866,-0.24991858,0.28584647,0.12539698,1.0623037,6,5,Sequential LSTM
-0.0858166,-0.1931114,0.33373603,-0.28756124,1.232753,7,5,Sequential LSTM
-0.27385136,-0.36431098,0.7034587,-0.16131416,1.0960177,8,5,Sequential LSTM
-0.18722153,-0.44555473,1.0639077,-0.19481017,0.7636785,9,5,Sequential LSTM
0.307557,-0.3754786,0.9330824,-0.5032372,0.6380763,10,5,Sequential LSTM
-0.12101681,-0.31542072,0.66504633,-0.3887059,1.1600969,11,5,Sequential LSTM
-0.43610024,-0.5500356,1.1868683,0.12281141,0.67645645,12,5,Sequential LSTM
0.1975896,-0.13412295,0.20010313,-0.3959368,1.1323669,13,5,Sequential LSTM
-0.11587015,-0.27078545,0.8693167,-0.34011096,0.8574503,14,5,Sequential LSTM
-0.41762027,-0.6550137,1.92834,-0.16253103,0.3068253,15,5,Sequential LSTM
0.3976018,-0.23730356,0.65149844,-0.53216845,0.7203718,16,5,Sequential LSTM
-0.307259,-0.3117057,0.7169598,-0.26676938,1.1687742,17,5,Sequential LSTM
-0.21592748,-0.09494999,-0.028912298,0.11017361,1.2296164,18,5,Sequential LSTM
0.18111446,-0.31976575,0.7049892,-0.4530587,0.88672084,19,5,Sequential LSTM
0.098632805,-0.13365903,0.3272901,-0.4585186,1.1662549,20,5,Sequential LSTM
0.44812116,-0.052800503,0.16048744,-0.4080971,0.85228896,21,5,Sequential LSTM
-0.51241356,-0.28765363,0.16056304,1.0195692,0.61993504,22,5,Sequential LSTM
0.2648574,-0.1606397,0.43966675,-0.3494545,0.80557024,23,5,Sequential LSTM
-0.3536006,-0.3163666,0.5786124,-0.16670603,1.2580608,24,5,Sequential LSTM
0.13115968,-0.30987054,0.6221437,-0.3735361,0.9301036,25,5,Sequential LSTM
0.053349305,-0.40978596,0.8765746,-0.1851899,0.66505235,26,5,Sequential LSTM
0.47609577,-0.31526628,0.6926204,-0.43258554,0.57913613,27,5,Sequential LSTM
-0.5081389,-0.82085603,1.8211862,0.39591938,0.11188901,28,5,Sequential LSTM
-0.08989821,-0.4383569,0.9896077,-0.23349266,0.77214015,29,5,Sequential LSTM
0.36305058,-0.27906972,0.63264304,-0.49709004,0.780466,30,5,Sequential LSTM
-0.41441453,-0.46598506,0.9558285,-0.117813386,1.0423844,31,5,Sequential LSTM
-0.33878064,-0.7158084,1.8569226,-0.14867173,0.34633774,32,5,Sequential LSTM
-0.1782452,-0.22049373,0.45009804,-0.30794063,1.2565814,33,5,Sequential LSTM
-0.08390482,-0.508535,1.2660855,-0.26395214,0.5903065,34,5,Sequential LSTM
0.06753074,-0.24647374,0.5569063,-0.40222007,1.024257,35,5,Sequential LSTM
0.4503953,-0.3094545,0.8559458,-0.5532463,0.5563601,36,5,Sequential LSTM
0.15928288,-0.3792259,0.66899127,-0.07110126,0.62205285,37,5,Sequential LSTM
-0.1250612,-0.20362648,0.22622734,-0.058950745,1.1614112,38,5,Sequential LSTM
-0.20490287,-0.4832558,1.3730965,-0.30855763,0.6236202,39,5,Sequential LSTM
-0.3225323,-0.42626834,0.92343557,-0.25001433,1.0753793,40,5,Sequential LSTM
-0.2673299,-0.42222965,1.2765381,-0.2974824,0.71050394,41,5,Sequential LSTM
-0.30170763,-0.47829667,1.1233503,-0.32614288,0.9827969,42,5,Sequential LSTM
-0.17867714,-0.27597648,0.55605537,-0.27373558,1.1723338,43,5,Sequential LSTM
-0.012569382,-0.4754994,1.257984,-0.19506992,0.42515466,44,5,Sequential LSTM
-0.47542086,-0.5546253,1.0830038,0.42445087,0.522591,45,5,Sequential LSTM
0.075628094,-0.11929202,0.2202724,-0.41319168,1.2365831,46,5,Sequential LSTM
0.2473919,-0.3128978,0.6774033,-0.35796848,0.74607134,47,5,Sequential LSTM
-0.5131228,-0.57038856,1.3361207,-0.029041003,0.7764317,48,5,Sequential LSTM
-0.41537926,-0.5853771,1.5768936,-0.13458018,0.5584431,49,5,Sequential LSTM
-0.43036145,-0.5675573,1.5308784,-0.17914534,0.64618546,50,5,Sequential LSTM
-0.51524603,-0.72110915,1.7160392,0.10526648,0.41504905,51,5,Sequential LSTM
-0.19778004,-0.2656676,0.48304287,-0.2196315,1.2000363,52,5,Sequential LSTM
-0.44979823,-0.5294312,1.3111626,-0.13785061,0.80591756,53,5,Sequential LSTM
-0.4833358,-0.5977379,1.2187263,0.11164741,0.7507,54,5,Sequential LSTM
-0.43113923,-0.51207113,1.3207506,-0.16969305,0.79215294,55,5,Sequential LSTM
-0.44185475,-0.30564463,0.4372283,0.04033402,1.2699369,56,5,Sequential LSTM
-0.3188746,-0.510841,1.5008011,-0.2606622,0.58957636,57,5,Sequential LSTM
0.18271717,-0.21398492,0.4782711,-0.4972379,1.0502348,58,5,Sequential LSTM
-0.45713723,-0.42111558,0.7974696,-0.035624534,1.1164078,59,5,Sequential LSTM
0.59017,-0.2833073,0.721908,-0.5625918,0.5338209,60,5,Sequential LSTM
-0.4373789,-0.3643652,0.44030282,0.4632837,0.89815766,61,5,Sequential LSTM
-0.03308182,-0.43405452,0.9241804,-0.044894785,0.5878508,62,5,Sequential LSTM
-0.31639606,-0.50522965,1.258333,-0.31087247,0.87416494,63,5,Sequential LSTM
0.50915194,-0.44662738,0.9425788,-0.023242498,0.018139001,64,5,Sequential LSTM
-0.12835968,-0.21950652,0.2600101,-0.060943905,1.1487997,65,5,Sequential LSTM
-0.1734917,-0.17356218,0.3720367,-0.26691297,1.2419297,66,5,Sequential LSTM
-0.31719944,-0.3325826,0.28348386,0.8272539,0.5390443,67,5,Sequential LSTM
-0.5597757,-0.6468125,1.9070868,0.061002,0.23849958,68,5,Sequential LSTM
-0.071682684,-0.41441306,0.7185528,0.07053149,0.69701135,69,5,Sequential LSTM
-0.29846823,-0.49002296,0.8458372,0.26748034,0.67517364,70,5,Sequential LSTM
-0.21846682,-0.5393297,1.3100228,-0.19675148,0.644525,71,5,Sequential LSTM
-0.19234915,-0.49293745,1.1029989,-0.21869296,0.80098075,72,5,Sequential LSTM
-0.35059878,-0.7315687,1.7641951,0.00033383316,0.31763855,73,5,Sequential LSTM
-0.15383208,-0.30219406,0.470846,-0.07253215,1.0577124,74,5,Sequential LSTM
-0.11315483,-0.304047,0.3870155,0.23541662,0.79476964,75,5,Sequential LSTM
-0.038520217,-0.4259013,1.2158082,-0.35773212,0.6063457,76,5,Sequential LSTM
0.21645239,-0.2729431,0.7477288,-0.46643853,0.7752006,77,5,Sequential LSTM
0.032741435,-0.28311312,0.65992373,-0.37014735,0.9605953,78,5,Sequential LSTM
-0.29106644,-0.516051,1.1908456,0.23311572,0.38315582,79,5,Sequential LSTM
-0.19872384,-0.1544812,0.2075982,-0.20775647,1.3533634,80,5,Sequential LSTM
-0.122366555,-0.4843176,0.9231771,0.37714127,0.30636552,81,5,Sequential LSTM
-0.3374488,-0.2161176,0.07301028,0.6861248,0.79443115,82,5,Sequential LSTM
-0.49845397,-0.36513156,0.6178161,0.08657408,1.1591953,83,5,Sequential LSTM
-0.434876,-0.510454,0.8490269,0.43213174,0.6641712,84,5,Sequential LSTM
-0.40767044,-0.33518937,0.44500637,0.23068477,1.0671686,85,5,Sequential LSTM
-0.49363267,-0.5754363,1.4432652,-0.07335846,0.69916207,86,5,Sequential LSTM
-0.40432137,-0.5061999,0.82842696,0.43847087,0.64362335,87,5,Sequential LSTM
0.388873,-0.3001321,0.72713166,-0.5282841,0.71241134,88,5,Sequential LSTM
-0.23468095,-0.4962739,1.5266804,-0.2829534,0.48722768,89,5,Sequential LSTM
-0.7229545,-0.5456446,0.6797261,1.3113556,0.27751762,90,5,Sequential LSTM
-0.35705578,-0.41265324,1.0296804,-0.18494809,0.92497665,91,5,Sequential LSTM
-0.041428886,-0.31880477,0.7009704,-0.39599288,1.0552561,92,5,Sequential LSTM
-0.30003408,-0.25024465,0.6598246,-0.26058835,1.1510425,93,5,Sequential LSTM
-0.38608631,-0.46012834,0.9557675,-0.22794259,1.1183897,94,5,Sequential LSTM
-0.11481132,-0.29082662,0.649322,-0.35837314,1.1146892,95,5,Sequential LSTM
-0.10098642,-0.45640764,1.2284352,-0.25995857,0.5889174,96,5,Sequential LSTM
-0.14276844,-0.454055,1.4528022,-0.32271254,0.4667335,97,5,Sequential LSTM
-0.44447303,-0.63671786,1.871346,-0.14188957,0.35173398,98,5,Sequential LSTM
0.6841185,-0.11388565,0.24982384,-0.54760087,0.72754407,99,5,Sequential LSTM
0.17384371,-0.150638,0.38143224,-0.37965432,0.97501665,100,5,Sequential LSTM
-0.17915978,-0.14862703,0.0772883,0.067101076,1.1833974,101,5,Sequential LSTM
-0.24557461,-0.43796012,1.514807,-0.26707324,0.43580097,102,5,Sequential LSTM
-0.099155195,-0.40990388,0.95238364,-0.17199616,0.72867143,103,5,Sequential LSTM
0.38451996,-0.45860124,1.2448261,-0.51886666,0.34812155,104,5,Sequential LSTM
0.1772992,-0.31009832,0.53435904,-0.19788867,0.7963289,105,5,Sequential LSTM
-0.12729207,-0.35188064,0.7494061,-0.24788898,0.97765565,106,5,Sequential LSTM
