Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,N_Assets,Model
-0.03799332,-0.26328084,-0.50237256,-0.18988849,0.09438708,-0.57005525,-0.27302247,1.4060004,-0.20843242,1.5446575,1,10,Sequential RNN
-0.036898945,0.17462745,-0.2075605,0.5354189,0.27770758,-0.22205897,0.20699836,-0.95654845,0.10611599,1.1221985,2,10,Sequential RNN
-0.09267265,-0.14339344,-0.6931116,-0.18295838,0.36136878,-0.39668694,-0.1198705,0.79625964,-0.33827347,1.8093381,3,10,Sequential RNN
-0.0024787376,-0.08638092,-0.51714945,0.2124183,0.07980649,0.37830466,0.020757074,-0.13855553,0.03946325,1.0138149,4,10,Sequential RNN
-0.024367057,-0.05341469,-0.55635744,-0.031321477,0.11738154,-0.70629495,-0.07489878,0.24593109,0.4316711,1.6516703,5,10,Sequential RNN
-0.03030136,-0.043495633,-0.41305777,-0.02795399,0.015000653,-0.40777373,-0.038638927,0.3634089,-0.28420076,1.8670125,6,10,Sequential RNN
-0.053161453,-0.47312754,-0.93901193,-0.7049791,0.5077481,-0.21026394,-0.69024354,3.2366602,-0.43196592,0.758345,7,10,Sequential RNN
-0.04014395,-0.108722344,-0.5414409,-0.14173594,0.4364183,-0.14108212,0.029232047,0.37144047,-0.28342384,1.4194583,8,10,Sequential RNN
0.026450291,-0.07073479,-0.40189353,-0.097133644,0.59409994,-0.06548051,0.016168388,-0.22419609,0.77642393,0.44629598,9,10,Sequential RNN
-0.030249402,-0.31237966,-0.779092,-0.14122191,0.098631956,0.033604037,-0.15891382,1.1748465,-0.7346711,1.8494449,10,10,Sequential RNN
-0.008936068,-0.05261183,-0.48527038,-0.07634509,0.15148655,0.19230244,0.3389265,0.06326106,-0.6063203,1.4835075,11,10,Sequential RNN
-0.054671034,-0.18578789,-0.3596036,0.19732617,0.16580267,0.7047945,-0.08356638,0.37480354,-0.307886,0.5487881,12,10,Sequential RNN
-0.092310645,-0.15237199,-0.4145782,-0.20484658,0.6682347,-0.32869598,-0.17272207,0.7416163,-0.065416686,1.0210911,13,10,Sequential RNN
