Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
-0.023668058,-0.07614579,-1.1614119,-0.06504769,-0.33876905,0.24821419,-0.037453156,0.18364425,0.48985198,0.85418844,-0.34610707,-0.0049070753,1.6904973,0.47090426,-0.88379145,1,15,Sequential RNN
-0.293829,-0.0024102968,-1.6004305,0.0078756055,-0.51288843,-0.04982523,-0.028182387,-0.11169361,-0.027377743,-0.1373556,-0.11545155,-0.09809728,3.538259,0.80935395,-0.37794745,2,15,Sequential RNN
-0.2656309,-0.0416796,-2.0169837,-0.07302108,-0.28662992,0.1116242,0.036976546,0.06687833,0.028662706,1.6623526,-0.20672026,-0.018692806,2.4107628,0.7178152,-1.1257141,3,15,Sequential RNN
-0.345033,-0.09608387,-2.0646741,-0.056473285,-0.60084426,0.075797535,-0.15791352,0.43825167,-0.00011354235,0.22218397,-0.1701489,-0.08766134,3.7897863,0.5441726,-0.49124554,4,15,Sequential RNN
-0.21206078,-0.035102967,-1.5454874,-0.058708496,-0.45613238,0.117515415,-0.00042025067,0.020281607,0.2568646,0.39994895,-0.881941,-0.11279883,3.1875777,1.1151576,-0.794694,5,15,Sequential RNN
-0.2732577,-0.025847496,-1.7050109,0.00944588,-0.576706,-0.036870327,-0.065626964,0.05982176,0.016279956,0.49951962,-0.3790159,-0.08291543,3.306487,0.7817585,-0.52806234,6,15,Sequential RNN
-0.15015173,-0.09413812,-1.2466643,-0.12890019,-0.48523727,0.88258624,-0.1078625,0.4023023,0.66396093,-0.14615458,-0.6380042,-0.095488876,2.5492055,0.34921592,-0.7546685,7,15,Sequential RNN
-0.30729428,-0.06606907,-1.9303544,-0.10802958,-0.699982,0.6633587,-0.07564582,0.27829182,0.2646342,0.4321463,-0.4421726,-0.014870623,3.5901542,-0.5472371,-0.036929417,8,15,Sequential RNN
-0.2303005,-0.12771653,-1.3249098,-0.09695796,-0.47531614,0.3885368,-0.12821928,0.6155947,-0.0012877635,0.19125529,-0.45095748,-0.14101143,2.6628034,0.9916771,-0.87319064,9,15,Sequential RNN
-0.19491808,-0.14437397,-1.3935536,-0.13838254,-0.33831683,0.16363616,-0.16267662,0.70302504,0.27167657,0.6883001,-0.10885788,-0.018514162,2.067628,0.051040344,-0.44571227,10,15,Sequential RNN
-0.3710692,0.06536971,-3.2077515,-0.011028195,-0.89535,0.04305618,0.19471593,-0.5825496,0.61138,0.8537825,0.16062811,-0.029372644,4.5883226,0.80536216,-1.2254953,11,15,Sequential RNN
-0.27727166,-0.07563999,-1.4274348,0.06531309,-0.4605612,0.040857248,-0.18691827,0.5188307,-0.11119402,0.050557185,-0.3601223,-0.105794184,2.9616747,0.86109763,-0.4933936,12,15,Sequential RNN
-0.19748029,-0.134375,-1.5173862,-0.121568106,-0.44235554,0.17184135,-0.15699747,0.67221564,0.25313205,0.60228175,-0.5085156,-0.032916177,2.6545897,-0.18607889,-0.05638629,13,15,Sequential RNN
-0.25427678,-0.17844798,-1.8700273,-0.13270521,-0.44749296,0.7171919,-0.14940815,0.9857433,0.09371087,-0.060893875,-0.67580205,-0.104859315,3.3475232,-0.2949548,0.024699686,14,15,Sequential RNN
-0.17783691,-0.08983818,-1.1610789,-0.06043613,-0.3049077,-0.1680421,-0.085684165,0.35913646,-0.06692237,0.455163,-0.16516507,-0.102047466,2.1587024,1.012742,-0.6037855,15,15,Sequential RNN
-0.09547616,-0.12365426,-0.7573314,-0.08322848,-0.14352728,0.1329218,-0.08685084,0.5434639,-0.052399155,1.1208787,-0.20721036,-0.0052531254,0.9440646,0.39920652,-0.585605,16,15,Sequential RNN
-0.3127319,-0.026240956,-1.9529829,-0.072547294,-0.5852128,0.119704925,-0.017006906,-0.031191833,0.34149796,0.4366411,-0.60241264,-0.07655339,3.6899548,0.9292336,-0.84015304,17,15,Sequential RNN
-0.30536088,-0.09684329,-1.9255906,-0.091005765,-0.61447084,0.122556046,-0.13224488,0.40882647,0.3155491,0.18829794,-0.3646346,-0.0583585,3.6744947,0.04272497,-0.16393967,18,15,Sequential RNN
-0.21007076,-0.17474072,-1.2354413,-0.13488166,-0.39598775,0.23933974,-0.1590653,0.74403864,-0.0074431794,0.30103347,-0.3663673,-0.11303527,2.4016361,0.9162529,-0.80526733,19,15,Sequential RNN
-0.14757577,-0.13443667,-1.1708152,-0.097103775,-0.3258133,0.5519305,-0.08538766,0.4652344,0.24665576,0.7190023,-0.41198358,-0.0554793,1.7961034,0.8607907,-1.2111225,20,15,Sequential RNN
-0.13333978,-0.0940808,-0.95064646,-0.09030336,-0.21009393,-0.024752066,-0.07332675,0.37605813,0.20262471,1.2077726,-0.084261805,0.04691125,1.1504275,0.44082054,-0.7638099,21,15,Sequential RNN
-0.25712475,-0.13139057,-1.5890666,-0.117047414,-0.45152116,0.13390426,-0.16504723,0.6664854,0.021228524,0.3929165,-0.34743536,-0.096082665,2.863403,0.75097847,-0.67420053,22,15,Sequential RNN
0.0049049696,-0.11025153,-0.5994013,-0.09060753,-0.15541752,0.8486753,-0.03819558,0.3763336,0.5609667,0.4676409,-0.75050896,-0.030282056,1.078417,0.106401674,-0.6686752,23,15,Sequential RNN
0.02401378,-0.07553059,-0.47693154,-0.08719997,-0.018671319,0.48132896,-0.056012508,0.41127747,0.0551746,1.2123927,-0.43064934,0.002167563,0.4213287,-0.0032894802,-0.45939907,24,15,Sequential RNN
-0.08904005,-0.05769546,-0.676145,-0.033929475,-0.17373973,0.027718483,-0.042817697,0.27165297,-0.05346166,1.1194495,-0.20577732,-0.026292777,1.0130993,0.37736824,-0.45038933,25,15,Sequential RNN
-0.064945586,-0.10933038,-1.0498776,-0.11224952,-0.32215062,1.0068953,-0.086580426,0.50411505,0.104490034,0.607922,-0.5496032,-0.030205293,1.76359,-0.1931974,-0.46887258,26,15,Sequential RNN
-0.27873835,-0.033060923,-1.6632302,-0.057044268,-0.7205764,0.1680263,-0.0060008354,-0.082112655,0.5606006,0.2006377,-0.5105797,-0.07599177,3.4628456,0.76508486,-0.72986054,27,15,Sequential RNN
