Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
-0.31286776,-0.023793563,0.19635284,-0.3062405,1.4465489,1,5,Sequential RNN
-0.53135324,-0.042601567,0.3069695,-0.11245878,1.379444,2,5,Sequential RNN
-0.63591135,-0.044270325,0.64226836,-0.16963382,1.2075472,3,5,Sequential RNN
-0.78198045,-0.08760644,0.5870651,0.107426375,1.1750956,4,5,Sequential RNN
-0.35497716,-0.024165902,0.20783545,-0.27431384,1.4456211,5,5,Sequential RNN
-0.5015771,-0.043430988,0.32201934,-0.20888,1.4318688,6,5,Sequential RNN
-0.48715636,-0.06040743,0.43211356,-0.17628956,1.2917398,7,5,Sequential RNN
-0.54027575,-0.04193853,0.3104901,-0.1926629,1.4643872,8,5,Sequential RNN
-0.6764469,-0.08423035,0.72278386,-0.0032630938,1.0411564,9,5,Sequential RNN
-0.86846644,0.020812385,0.6505437,0.07798164,1.1191287,10,5,Sequential RNN
-0.6760479,-0.052872315,0.709897,0.018720636,1.0003028,11,5,Sequential RNN
-0.6719166,-0.07942778,0.5413756,-0.012307087,1.222276,12,5,Sequential RNN
-0.48462906,-0.0617832,0.44682735,-0.25805557,1.3576404,13,5,Sequential RNN
-0.80455136,-0.093383186,0.6420672,-0.090628274,1.3464956,14,5,Sequential RNN
-0.86264795,0.064356,0.4823322,0.27747104,1.0384885,15,5,Sequential RNN
-0.61252135,0.100633144,0.7881497,-0.1825794,0.9063176,16,5,Sequential RNN
-0.48433974,-0.02707289,0.31209862,-0.2269338,1.4262477,17,5,Sequential RNN
-0.512705,-0.040004708,0.3069816,-0.19624072,1.441969,18,5,Sequential RNN
-0.8491099,-0.034364235,0.7754012,0.017640337,1.090433,19,5,Sequential RNN
-0.7141539,-0.024597537,0.83904344,-0.07127025,0.9709783,20,5,Sequential RNN
-0.47505024,-0.039731745,0.69777644,-0.16349804,0.9805038,21,5,Sequential RNN
-0.55438167,-0.04594479,0.333736,-0.15382887,1.4204192,22,5,Sequential RNN
-0.2960926,-0.030402757,0.22421183,-0.23112196,1.3334056,23,5,Sequential RNN
-0.46501818,-0.04347202,0.33172405,-0.22765425,1.4044205,24,5,Sequential RNN
-0.6765917,-0.07825807,0.7474053,-0.090910524,1.0983547,25,5,Sequential RNN
-0.6190094,-0.0709599,0.51349026,-0.10698698,1.283466,26,5,Sequential RNN
-0.5674248,-0.06058092,0.5603847,-0.2312921,1.298913,27,5,Sequential RNN
-0.8154468,-0.056905475,0.72856104,-0.018114597,1.1619059,28,5,Sequential RNN
-0.61369807,-0.057417855,0.52817416,-0.18495588,1.3278973,29,5,Sequential RNN
-0.60735595,-0.04788235,0.59856284,-0.22587292,1.2825484,30,5,Sequential RNN
-0.5512851,-0.05712626,0.4239081,-0.16206606,1.3465695,31,5,Sequential RNN
-0.80325615,-0.02392344,0.75037324,0.012568828,1.0642374,32,5,Sequential RNN
-0.35673016,-0.022875521,0.2103161,-0.3102941,1.4795833,33,5,Sequential RNN
-0.6873776,-0.09634846,0.68709505,-0.13203889,1.2286699,34,5,Sequential RNN
-0.41378117,-0.03744285,0.29384682,-0.2838949,1.4412721,35,5,Sequential RNN
-0.60209733,0.30264923,0.529984,-0.090498306,0.8599623,36,5,Sequential RNN
-0.67182976,-0.039222714,0.47930172,-0.19213383,1.4238846,37,5,Sequential RNN
