Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.004167915,0.0140326945,0.010200173,0.008157287,0.0056277853,30,BNN-DCC-GARCH
2,0.0024422698,0.020409906,0.016124127,0.013839638,0.006293361,30,BNN-DCC-GARCH
3,-0.00016464813,0.01551665,0.010697867,0.008129265,0.0070760385,30,BNN-DCC-GARCH
4,0.0003971837,0.017862985,0.0130104115,0.010423796,0.0071256594,30,BNN-DCC-GARCH
5,-0.002269944,0.018349987,0.013553663,0.010997033,0.007043059,30,BNN-DCC-GARCH
6,0.0015885427,0.020431912,0.015814211,0.013352793,0.0067807655,30,BNN-DCC-GARCH
7,0.0013969583,0.017138744,0.012291725,0.009708071,0.007117503,30,BNN-DCC-GARCH
8,-0.000674529,0.021345356,0.016701376,0.01422595,0.0068193544,30,BNN-DCC-GARCH
9,0.002985086,0.011770953,0.006985022,0.004433931,0.0070277997,30,BNN-DCC-GARCH
10,-0.0028748598,0.019398592,0.0146661885,0.01214363,0.0069491975,30,BNN-DCC-GARCH
11,0.0038968304,0.016587978,0.011995711,0.009547851,0.006743416,30,BNN-DCC-GARCH
12,-0.0013867215,0.016808782,0.012095742,0.009583505,0.0069207633,30,BNN-DCC-GARCH
13,-0.011411266,0.02251449,0.017886287,0.01541927,0.006796188,30,BNN-DCC-GARCH
14,0.0022931672,0.026749965,0.022080675,0.019591758,0.006856519,30,BNN-DCC-GARCH
15,0.006837988,0.017360076,0.012033119,0.009193639,0.0078222575,30,BNN-DCC-GARCH
16,2.3922696e-6,0.012217528,0.0067930184,0.0039015396,0.007965507,30,BNN-DCC-GARCH
17,-0.0027304837,0.020927737,0.015174324,0.012107527,0.008448478,30,BNN-DCC-GARCH
18,0.002486313,0.026508067,0.021165539,0.018317759,0.007845121,30,BNN-DCC-GARCH
19,-0.002767411,0.01796736,0.011969351,0.008772175,0.008807649,30,BNN-DCC-GARCH
20,0.007572533,0.018794853,0.012918609,0.009786339,0.008628846,30,BNN-DCC-GARCH
21,-0.0025000528,0.01282804,0.007643125,0.00487936,0.007613678,30,BNN-DCC-GARCH
22,0.0020337673,0.022147926,0.017135747,0.014464057,0.0073600276,30,BNN-DCC-GARCH
23,0.00059380394,0.016986324,0.011598397,0.008726419,0.007911786,30,BNN-DCC-GARCH
24,0.00045098327,0.01660441,0.011527521,0.0088213375,0.0074550495,30,BNN-DCC-GARCH
25,-0.00018761886,0.014605554,0.009860137,0.0073306407,0.006968307,30,BNN-DCC-GARCH
26,0.0030021106,0.018455291,0.013780671,0.011288914,0.006864346,30,BNN-DCC-GARCH
27,0.00016626566,0.01645087,0.01147958,0.008829684,0.007299986,30,BNN-DCC-GARCH
28,0.0021984233,0.023620812,0.018787812,0.01621163,0.007096918,30,BNN-DCC-GARCH
29,0.004108323,0.015418803,0.010257523,0.007506355,0.007578973,30,BNN-DCC-GARCH
30,-0.0014041754,0.017087335,0.012182892,0.00956863,0.0072018253,30,BNN-DCC-GARCH
31,4.7267633e-5,0.012042453,0.0073647713,0.004871382,0.0068688416,30,BNN-DCC-GARCH
32,0.00063115015,0.012369597,0.007822065,0.005398049,0.006677728,30,BNN-DCC-GARCH
33,0.0021747882,0.020799074,0.016247388,0.013821159,0.0066838283,30,BNN-DCC-GARCH
34,-0.00092027255,0.017580297,0.012688448,0.010080898,0.007183333,30,BNN-DCC-GARCH
35,0.004687114,0.018222626,0.01340302,0.010833978,0.007077249,30,BNN-DCC-GARCH
36,-0.0032833181,0.015084092,0.010063463,0.007387269,0.007372436,30,BNN-DCC-GARCH
37,-0.00055495795,0.023244895,0.018267736,0.015614714,0.007308603,30,BNN-DCC-GARCH
38,0.0010679772,0.017272199,0.012468318,0.009907661,0.0070541548,30,BNN-DCC-GARCH
39,-0.0016587087,0.019039737,0.014403248,0.011931816,0.006808353,30,BNN-DCC-GARCH
40,1.376932e-5,0.013647317,0.009068854,0.006628352,0.006723146,30,BNN-DCC-GARCH
41,-0.0016846637,0.016235301,0.011723871,0.0093191,0.0066247145,30,BNN-DCC-GARCH
42,0.0016924732,0.016747234,0.0122592645,0.0098669985,0.0065902653,30,BNN-DCC-GARCH
43,0.0021806683,0.017669292,0.013109986,0.010679695,0.0066950163,30,BNN-DCC-GARCH
44,0.000820661,0.01618023,0.011575315,0.009120713,0.0067619896,30,BNN-DCC-GARCH
45,0.003031629,0.015642332,0.011105305,0.008686889,0.0066623017,30,BNN-DCC-GARCH
46,0.0027706155,0.014254228,0.009632889,0.007169532,0.006786108,30,BNN-DCC-GARCH
47,-0.004320552,0.017429102,0.012803092,0.010337245,0.006792967,30,BNN-DCC-GARCH
48,-0.0019419135,0.01745912,0.012835306,0.010370629,0.006789744,30,BNN-DCC-GARCH
49,-0.0039053452,0.01826643,0.0137252975,0.011304694,0.0066683297,30,BNN-DCC-GARCH
50,0.001446836,0.015231522,0.010698784,0.008282656,0.0066560027,30,BNN-DCC-GARCH
