Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.2643675,3.7844589,2.790904,2.261299,1.4589652,2,Sequential LSTM
2,0.40342858,3.4554236,2.5266094,2.031515,1.3638978,2,Sequential LSTM
3,-0.50192577,3.1990607,2.2688808,1.773057,1.3659037,2,Sequential LSTM
4,0.10160392,3.471807,2.4871185,1.9622406,1.4459445,2,Sequential LSTM
5,-0.13305642,3.9510927,2.9580066,2.42865,1.4582788,2,Sequential LSTM
6,0.258669,3.5787876,2.6545603,2.1619105,1.3571615,2,Sequential LSTM
7,0.43082318,3.2357147,2.34878,1.8760091,1.302401,2,Sequential LSTM
8,-1.2352757,3.6584654,2.7011817,2.1909118,1.4057021,2,Sequential LSTM
9,-0.6617446,3.6790695,2.5186694,1.9001306,1.7039642,2,Sequential LSTM
10,0.9624678,3.2540984,2.2353065,1.6922511,1.4960223,2,Sequential LSTM
11,-0.890797,3.5889442,2.5776598,2.0386055,1.4849986,2,Sequential LSTM
12,0.07719728,3.8432379,2.798345,2.2413747,1.5343523,2,Sequential LSTM
13,-1.3175484,3.8077927,2.8455334,2.3326113,1.4130087,2,Sequential LSTM
14,-2.2509563,5.2129064,3.987209,3.3338645,1.7998487,2,Sequential LSTM
15,0.3655082,4.2168055,2.9119065,2.2163432,1.9161522,2,Sequential LSTM
16,0.71933347,3.7740324,2.626538,2.014878,1.6850133,2,Sequential LSTM
17,0.4110779,4.8564615,3.6232023,2.9658258,1.810953,2,Sequential LSTM
18,-1.070834,3.863822,2.8679435,2.3371003,1.4623774,2,Sequential LSTM
19,0.44978863,3.596912,2.4646626,1.8611276,1.6626291,2,Sequential LSTM
20,1.5568923,3.238791,2.2799535,1.7688555,1.4079837,2,Sequential LSTM
21,0.14219637,4.120666,2.9064415,2.2592118,1.7830031,2,Sequential LSTM
22,0.21974632,3.2005913,2.3121908,1.8386368,1.3045543,2,Sequential LSTM
23,1.0482721,3.351819,2.4605632,1.9854888,1.3087449,2,Sequential LSTM
24,0.35933825,3.5669034,2.530919,1.9786981,1.5212684,2,Sequential LSTM
25,-0.040492345,3.1789238,2.246427,1.7493705,1.3693037,2,Sequential LSTM
26,0.1380812,3.310642,2.4109843,1.9314313,1.3210827,2,Sequential LSTM
27,0.124099456,3.1987667,2.2195725,1.697623,1.4378773,2,Sequential LSTM
28,-0.25525957,3.9332545,2.734622,2.095703,1.7601068,2,Sequential LSTM
29,-0.02017683,3.1357276,2.187133,1.6814951,1.3929428,2,Sequential LSTM
30,0.87436134,3.1292846,2.1704316,1.6593261,1.4080058,2,Sequential LSTM
31,0.14213336,3.4788406,2.4843829,1.9542978,1.4602891,2,Sequential LSTM
