Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,0.3760375,2.553879,2.009364,1.7191161,0.7995824,10,Sequential RNN
2,0.54624426,2.6413374,2.057597,1.7464399,0.8571814,10,Sequential RNN
3,-0.02709148,1.5147226,0.95438075,0.6556963,0.82282233,10,Sequential RNN
4,0.33937988,1.5618302,1.1039367,0.8598614,0.6723839,10,Sequential RNN
5,1.0223773,1.8439976,1.234231,0.90920085,0.8954,10,Sequential RNN
6,-0.7253676,1.3878028,0.8560793,0.5726496,0.7807979,10,Sequential RNN
7,-0.5567171,3.2999206,2.4628556,2.0166664,1.229171,10,Sequential RNN
8,-0.77672935,2.3071337,1.7190388,1.4055613,0.86357427,10,Sequential RNN
9,-0.34097993,2.2499428,1.5777086,1.219381,0.9871282,10,Sequential RNN
10,-0.8628098,2.31568,1.6890738,1.3550673,0.9201267,10,Sequential RNN
11,0.09635813,2.3362145,1.763333,1.4579651,0.84123474,10,Sequential RNN
12,-0.602701,1.3901967,1.0024928,0.79583097,0.56931573,10,Sequential RNN
13,0.43467483,2.5213068,1.9811566,1.6932358,0.79317075,10,Sequential RNN
14,0.11583579,2.2767677,1.6947608,1.3845276,0.85463613,10,Sequential RNN
15,1.1143159,1.0732968,0.54720503,0.26677734,0.77252823,10,Sequential RNN
16,-0.12010401,1.5689273,1.0646942,0.79591805,0.74043,10,Sequential RNN
17,-0.7797335,1.6069171,1.0672538,0.7795923,0.79245627,10,Sequential RNN
18,-0.501051,3.1373734,2.4095035,2.021521,1.0688236,10,Sequential RNN
19,-0.28950396,1.5486343,0.91197664,0.57261294,0.93488675,10,Sequential RNN
20,-0.089386776,2.061038,1.5653168,1.3010781,0.7279309,10,Sequential RNN
21,0.80205536,1.9270586,1.4296299,1.1644808,0.7304384,10,Sequential RNN
22,1.8184816,1.9267709,1.2843148,0.94186014,0.94340104,10,Sequential RNN
23,0.03829766,1.2881253,0.8697458,0.6467329,0.61436033,10,Sequential RNN
24,1.4946862,1.9695289,1.4334395,1.1476823,0.78720945,10,Sequential RNN
25,-0.69873637,1.7904658,1.2216128,0.91839194,0.8353201,10,Sequential RNN
26,-1.3305026,2.8231888,2.188362,1.8499742,0.9321976,10,Sequential RNN
27,0.06673154,2.2253203,1.5640702,1.2115974,0.97099966,10,Sequential RNN
28,0.91115934,2.7706852,1.8955547,1.4290754,1.2850668,10,Sequential RNN
29,-0.31440496,0.9983627,0.5645508,0.33331186,0.6370219,10,Sequential RNN
30,0.70233834,2.0675194,1.5072101,1.2085428,0.82277465,10,Sequential RNN
31,0.9755755,1.514035,1.0217392,0.75932556,0.722902,10,Sequential RNN
32,2.0302272,1.3551058,0.91837287,0.6855768,0.64131147,10,Sequential RNN
33,1.2815799,1.3859413,0.8634105,0.584881,0.76729906,10,Sequential RNN
34,0.6301536,1.0533963,0.56191176,0.2999309,0.72171026,10,Sequential RNN
35,-0.7293388,2.0483537,1.518135,1.2355074,0.7785887,10,Sequential RNN
36,-0.047043756,1.9262575,1.33581,1.021078,0.86703074,10,Sequential RNN
37,0.18438013,1.8168658,1.2474252,0.9438904,0.8361836,10,Sequential RNN
38,0.49332634,2.838394,2.2640061,1.9578344,0.84344774,10,Sequential RNN
39,0.56666934,2.2501714,1.678404,1.3736289,0.83960015,10,Sequential RNN
40,0.738061,1.7755611,1.3104984,1.0626016,0.6829115,10,Sequential RNN
41,0.17929055,1.8414112,1.2806718,0.9817755,0.82340616,10,Sequential RNN
42,0.7229103,3.005518,2.295883,1.9176204,1.042047,10,Sequential RNN
43,0.01503363,1.6197615,1.2014424,0.9784615,0.6142722,10,Sequential RNN
44,-0.5104271,2.3530867,1.5811014,1.1696026,1.1336049,10,Sequential RNN
45,1.8296788,2.5495849,1.914172,1.5754731,0.9330562,10,Sequential RNN
46,0.106262,1.2641664,0.74475646,0.46789032,0.762716,10,Sequential RNN
47,1.5485406,1.5604717,1.1441449,0.9222263,0.6113466,10,Sequential RNN
48,-0.19451106,1.5959886,1.0435549,0.74908566,0.8112098,10,Sequential RNN
49,0.37567437,2.5736303,1.8042499,1.3941398,1.1297808,10,Sequential RNN
50,0.40253502,1.7525342,1.159512,0.84340787,0.8708106,10,Sequential RNN
51,0.9756744,1.7042024,1.1910309,0.91748995,0.753556,10,Sequential RNN
52,0.0158809,1.1726766,0.7087741,0.46149567,0.68120795,10,Sequential RNN
