Metric,Value,N_Assets,Model
R_hat,2.1206908,30,rnn
Training_RMSE,0.84337413,30,rnn
Validation_RMSE,0.8400513,30,rnn
Test_RMSE,0.23722602,30,rnn
DCC_alpha,0.49732372,30,rnn
DCC_beta,0.24889281,30,rnn
Converged,false,30,rnn
R_hat,2.1223533,30,lstm
Training_RMSE,0.7317652,30,lstm
Validation_RMSE,0.7286724,30,lstm
Test_RMSE,0.3340318,30,lstm
DCC_alpha,0.52895194,30,lstm
DCC_beta,0.24361904,30,lstm
Converged,false,30,lstm
R_hat,2.1228683,30,windowed
Training_RMSE,0.702417,30,windowed
Validation_RMSE,0.70239943,30,windowed
Test_RMSE,0.70331043,30,windowed
DCC_alpha,0.24525656,30,windowed
DCC_beta,0.29865947,30,windowed
Converged,false,30,windowed
