Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day
-0.15396355,-0.42886037,-0.4532006,-0.5648081,0.13916439,0.4592335,-1.5227878,3.0783398,-0.5239118,0.9707946,1
-0.22669654,-0.089203954,0.60251373,0.4857815,0.019030528,-0.10595324,-0.6357283,0.35399497,-0.5418931,1.1381544,2
-0.025955403,-0.28182265,-0.25437796,-0.62197304,0.08009724,0.20017593,-1.3575242,2.898681,-0.49280387,0.8555029,3
0.12957503,-0.2840662,-0.42517996,-0.7129125,0.22784479,0.33377978,-1.0252166,2.5076613,-0.513555,0.76206946,4
-0.010593768,-0.26963052,-0.36256605,-0.5176327,0.19430304,0.31642708,-0.8726917,2.1199696,-0.5026684,0.9050833,5
0.15913893,-0.32564163,-0.48979658,-0.8018506,0.22371934,0.36107382,-0.69894487,1.9132369,0.3074454,0.35161936,6
0.020331267,-0.28091782,-0.30271947,-0.72050893,0.2528266,0.33851835,-0.8526696,2.3649433,-0.04665885,0.22685508,7
0.39776063,-0.28056887,-0.14297952,-0.4223811,0.10987076,0.671637,-0.48640162,1.3301659,-0.49012488,0.31302184,8
0.5099789,-0.20928663,-0.12089128,-0.4283497,0.03294683,0.8140689,-0.40302506,1.022548,-0.31641638,0.09842643,9
0.13938975,-0.2998064,-0.06062097,-0.6098391,0.30736327,0.7344432,-0.6531095,1.880212,-0.5098878,0.071855605,10
0.32735893,-0.2924102,-0.10306229,-0.7434624,0.23338377,0.39975888,-0.817463,2.4891481,-0.32195383,-0.171298,11
0.054839462,-0.025347618,-0.0410261,0.058132,0.37616497,0.87080985,0.18456112,-0.44617817,-0.3137824,0.28182685,12
-0.18963583,-0.004333339,0.008911032,0.107342295,0.63251936,1.081385,0.2677221,-0.6748243,-0.3043737,0.07528737,13
0.0011501926,-0.3480703,-0.45259476,-0.40658703,0.2663573,0.88558924,-0.23604703,1.1986983,-0.4752269,0.5667311,14
-0.22744384,0.037237693,-0.26366153,-0.19616577,0.7324486,0.43641338,0.37734124,-0.54104275,-0.35924155,1.0041145,15
-0.3702697,-0.1327968,-0.15175349,-0.21727921,0.5710005,0.9052919,0.23479174,0.14768757,-0.7565375,0.769865,16
-0.44501615,-0.31467974,0.121263415,-0.32716617,0.59210277,0.8000875,0.10560056,0.572973,-0.6683023,0.5631372,17
-0.33729246,0.006739734,-0.10117548,0.09194483,0.70067203,0.9815684,0.49455675,-0.8520668,-0.73646307,0.75151604,18
-0.4116216,0.09836256,0.21180132,0.021341676,1.0163506,0.79843736,0.93760616,-1.7106886,-0.1510899,0.18950048,19
-0.6739423,-0.23760124,0.08898833,-0.11525171,0.7932574,1.0148902,-0.09545133,0.83261955,-0.7575558,0.15004702,20
-0.4070921,-0.34010357,-0.23331197,-0.23039143,0.074977495,0.24435674,-1.2630849,3.524246,-0.5217702,0.1521739,21
-0.50299513,-0.33673277,-0.15733749,-0.39923522,0.42052573,0.6788903,-0.8584376,2.6479146,-0.7158691,0.22327673,22
-0.3126059,-0.36812556,-0.54243237,-0.38922673,0.26553196,0.9397282,-1.0703052,3.2662625,-0.94752717,0.15870017,23
-0.5259414,-0.47536266,-0.71465063,-0.52635765,0.23729523,0.88154954,-0.9770384,3.3771226,0.049411763,-0.32602847,24
-0.47380504,-0.46450806,-0.58514255,-0.48901185,0.32467324,0.82192224,-1.2114892,3.6012435,-0.12261462,-0.40126768,25
-0.368872,-0.41249394,-0.46660686,-0.5004159,0.23715433,0.72923964,-1.1209944,3.4361696,-0.18177181,-0.35140866,26
-0.33588266,-0.40780193,-0.49703422,-0.4938401,0.23872912,0.94318503,-1.0200415,3.103923,-0.2375337,-0.2937032,27
-0.25693712,-0.6830187,-0.7608476,-0.819935,0.3507948,1.0786293,-0.8639236,3.2474334,-0.0028170964,-0.28937837,28
-0.29825875,-0.47553182,-0.505461,-0.52044064,0.20581515,1.0902351,-0.46243057,2.5288513,-0.29764462,-0.26513422,29
-0.20234415,-0.45930728,-0.34479257,-0.53396904,0.17912121,0.8160618,-0.8082283,2.8929853,-0.2186835,-0.32084352,30
0.041779205,-0.3619552,-0.5148462,-0.5347426,0.16128832,0.9231459,-0.50793123,2.2069166,-0.22897345,-0.18468127,31
-0.11937011,-0.37790278,-0.4081238,-0.48567283,0.12597756,0.44591787,-0.6921657,2.6071403,-0.22705682,0.13125624,32
-0.036524586,-0.09830369,-0.37950507,-0.523311,0.5412387,0.97055817,0.12118546,0.94405746,-0.12989679,-0.4094986,33
0.07349175,-0.23842396,-0.47823822,-0.8401365,0.12235187,0.8483066,-0.30646336,2.061998,-0.24143915,-0.0014469561,34
-0.30501384,-0.08826557,-0.19483663,-0.26495418,0.50545466,0.99479777,0.17114304,0.43773812,-0.092483334,-0.16357999,35
-0.13920629,-0.36580706,-0.44210207,-0.6032129,0.1632314,0.61646813,-0.65960985,2.799565,-0.21157104,-0.15775548,36
0.048743803,-0.15617524,-0.5111902,-0.99318665,0.29509723,0.38492483,-0.5839491,2.7102165,-0.19599937,0.0015181365,37
0.007875861,-0.13658625,-0.3185565,-0.5901597,0.17586961,0.2604367,-0.26419717,1.5778288,-0.2779071,0.5653958,38
0.21562013,-0.25822857,-0.41168183,-0.69543207,0.08829982,0.34573808,-0.47790834,2.0890586,-0.28517565,0.3897098,39
-0.13840246,-0.16170967,-0.40241742,-0.5019792,0.28275067,0.6712755,-0.43657866,1.7549185,-0.6248434,0.5569862,40
-0.094184674,-0.23719774,-0.35874075,-0.46725738,0.15438919,0.29130197,-0.5760615,2.1935236,-0.4243685,0.51859576,41
0.33471277,-0.104115434,-0.14397526,-0.65584654,0.16759787,0.6412668,-0.016074816,0.94880044,-0.5669482,0.39458224,42
0.11759596,-0.28323308,-0.31369355,-0.45459437,0.17002429,0.49400288,-0.62622786,1.8141377,-0.6561677,0.7381558,43
-0.03998108,-0.31748718,-0.39404714,-0.92665714,0.2870272,0.53924316,-0.8425675,2.629663,-0.4829262,0.54773295,44
-0.18063335,-0.27192816,-0.52564496,-0.4164205,0.32862234,0.719168,-0.9641779,2.3646226,-0.5673495,0.5137415,45
-0.15727235,-0.19282459,-0.5782979,-0.5081816,0.4147176,1.7804607,-0.46002805,1.2687591,-0.9436228,0.3762898,46
-0.29474875,-0.2858276,-0.4259569,-0.5245936,0.4980306,1.1733793,-0.7036272,1.9841752,-0.5558114,0.13498037,47
-0.02465022,-0.22975233,-0.36786738,-0.40839124,0.12537454,1.2010207,-0.37598413,1.3327832,-0.3682298,0.115696676,48
0.033886477,-0.31067795,-0.55018294,-0.63823855,0.32933897,1.1071664,-0.65886754,2.0522332,-0.36455697,-0.000101223966,49
-0.12989517,-0.43123105,-0.5824012,-0.74766576,0.23711699,1.0719368,-0.90002966,2.8171098,-0.28454673,-0.050394062,50
-0.07542887,-0.42008808,-0.45924243,-0.5526487,0.2175086,1.0990962,-0.6725286,2.2810051,-0.36780843,-0.049864735,51
-0.05664404,-0.44541574,-0.48714185,-0.73542005,0.2872164,1.2833318,-0.7994191,2.6499124,-0.56151056,-0.13490924,52
0.11404313,-0.55826294,-0.28479418,-0.54674,0.16641316,1.0309863,-0.5433401,2.196784,-0.45409226,-0.12099705,53
-0.2035894,-0.41138914,0.13928808,-0.41432095,0.41341826,1.102659,-0.37797618,1.6343328,-0.74551797,-0.13690448,54
-0.05570034,-0.31682053,0.028062157,-0.8367644,0.53510034,0.6903263,-0.96788394,2.3720512,-0.33225575,-0.11611492,55
-0.07003935,-0.0744752,0.47143373,-0.2947198,0.72354406,0.46435776,-0.14484762,0.31075567,-0.136828,-0.24918124,56
-0.23841587,-0.11734483,0.31645942,-0.41158286,0.5410446,1.1049837,-0.09663904,0.43181232,-0.48178682,-0.04853065,57
-0.023948243,0.11521652,0.5410118,0.057608478,0.74096215,0.7157228,0.43550968,-1.3459997,-0.103759974,-0.13232349,58
-0.15512064,-0.058098834,0.316668,-0.06256558,0.83717376,1.0108591,0.0043794457,-0.3942447,-0.41244712,-0.08660352,59
-0.17653948,-0.22111738,-0.07392206,-0.18375239,0.36618662,1.2176429,-0.4245221,1.1525382,-0.75156707,0.09505266,60
-0.15504892,-0.18099868,-0.070717864,-0.1423518,0.46448764,0.7425454,-0.37697828,0.95636666,-0.66651744,0.42921326,61
-0.188608,-0.20022264,-0.17555538,-0.16151285,0.39025033,0.802762,-0.4027009,1.1523412,-0.76052326,0.54376954,62
-0.21444863,-0.25735134,-0.19973797,-0.23215875,0.20508909,0.46232057,-0.70048726,2.2208123,-0.5502672,0.26622924,63
-0.12474868,-0.20178029,-0.16449457,-0.44584578,0.29966876,0.8741832,-0.34415203,1.5074496,-0.5278489,0.12756863,64
-0.12539813,-0.15983169,-0.11825825,-0.3898924,0.4587504,0.64653397,-0.4600832,1.5420915,-0.48517483,0.09126262,65
-0.24557526,-0.1207664,-0.25063562,-0.2623591,0.33722258,0.9301333,-0.1251191,0.84031665,-0.61125034,0.50803334,66
-0.14395003,-0.22434486,0.032284748,-0.50217223,0.5368289,0.86281484,-0.6231014,1.4277723,-0.27292246,-0.09320975,67
-0.16048096,-0.27250558,-0.036849223,-0.50531125,0.5525053,0.8514292,-0.4019071,1.2919602,-0.4056807,0.086840004,68
-0.17024519,-0.20156807,-0.21553577,-0.402867,0.4598745,0.5258846,-0.43900374,1.2276355,-0.37042812,0.5862532,69
-0.13430667,-0.17405693,-0.1716992,-0.36238614,0.41569853,0.6726061,-0.33443555,0.99882394,-0.34946302,0.4392189,70
