Metric,Value,N_Assets
Training_Days,3210.0,5
Testing_Days,1070.0,5
Successful_Forecasts,1063.0,5
Success_Rate,0.9934579439252337,5
Forecast_RMSE,0.011442748094620852,5
Computation_Time,34.1519570350647,5
Mean_Daily_Return,0.00014201438252283157,5
Daily_Volatility,0.009403938352570057,5
Annualized_Return,0.03578762439575355,5
Annualized_Volatility,0.1492828933528969,5
Min_Return,-0.05682001354623835,5
Max_Return,0.0428752092308599,5
VaR_1_PF,0.017873941,5
VaR_1_TUFF,80.0,5
VaR_1_LRUC,5.395569,5
VaR_1_LRIND,0.8855962,5
VaR_1_LRCC,6.281165,5
VaR_1_BASEL,-1.0,5
VaR_10_PF,0.0837253,5
VaR_10_TUFF,46.0,5
VaR_10_LRUC,3.2929688,5
VaR_10_LRIND,9.277319,5
VaR_10_LRCC,12.570288,5
VaR_10_BASEL,-1.0,5
VaR_5_PF,0.04797742,5
VaR_5_TUFF,78.0,5
VaR_5_LRUC,0.09274292,5
VaR_5_LRIND,15.57515,5
VaR_5_LRCC,15.667892,5
VaR_5_BASEL,-1.0,5
Training_Days,3210.0,2
Testing_Days,1070.0,2
Successful_Forecasts,1062.0,2
Success_Rate,0.9925233644859813,2
Forecast_RMSE,0.012877523406750009,2
Computation_Time,26.699548959732056,2
Mean_Daily_Return,0.0002573519971749122,2
Daily_Volatility,0.013326588008695931,2
Annualized_Return,0.06485270328807788,2
Annualized_Volatility,0.2115530261761495,2
Min_Return,-0.08271564342744213,2
Max_Return,0.07158565716456779,2
VaR_1_PF,0.010357816,2
VaR_1_TUFF,79.0,2
VaR_1_LRUC,0.013595581,2
VaR_1_LRIND,2.951953e-27,2
VaR_1_LRCC,0.013595581,2
VaR_1_BASEL,1.0,2
VaR_10_PF,0.058380414,2
VaR_10_TUFF,31.0,2
VaR_10_LRUC,23.677704,2
VaR_10_LRIND,1.5017465,2
VaR_10_LRCC,25.179451,2
VaR_10_BASEL,-1.0,2
VaR_5_PF,0.032956686,2
VaR_5_TUFF,78.0,2
VaR_5_LRUC,7.3448486,2
VaR_5_LRIND,0.023118133,2
VaR_5_LRCC,7.3679667,2
VaR_5_BASEL,1.0,2
Training_Days,3210.0,10
Testing_Days,1070.0,10
Successful_Forecasts,999.0,10
Success_Rate,0.9336448598130841,10
Forecast_RMSE,0.010824306380358625,10
Computation_Time,79.65809917449951,10
Mean_Daily_Return,0.0002835430884873443,10
Daily_Volatility,0.007836646661152557,10
Annualized_Return,0.07145285829881076,10
Annualized_Volatility,0.12440290906856595,10
Min_Return,-0.046133250861000556,10
Max_Return,0.03879214012826464,10
VaR_1_PF,0.02002002,10
VaR_1_TUFF,77.0,10
VaR_1_LRUC,7.84758,10
VaR_1_LRIND,12.630964,10
VaR_1_LRCC,20.478544,10
VaR_1_BASEL,-1.0,10
VaR_10_PF,0.08708709,10
VaR_10_TUFF,32.0,10
VaR_10_LRUC,1.9266968,10
VaR_10_LRIND,18.24152,10
VaR_10_LRCC,20.168217,10
VaR_10_BASEL,-1.0,10
VaR_5_PF,0.05105105,10
VaR_5_TUFF,74.0,10
VaR_5_LRUC,0.023162842,10
VaR_5_LRIND,18.06696,10
VaR_5_LRCC,18.090122,10
VaR_5_BASEL,-1.0,10
Training_Days,3210.0,30
Testing_Days,1070.0,30
Successful_Forecasts,872.0,30
Success_Rate,0.8149532710280374,30
Forecast_RMSE,0.010940177136402265,30
Computation_Time,634.4631328582764,30
Mean_Daily_Return,0.00015361725060572746,30
Daily_Volatility,0.004889350800105937,30
Annualized_Return,0.03871154715264332,30
Annualized_Volatility,0.07761603773780994,30
Min_Return,-0.023647090560147705,30
Max_Return,0.01651146264902758,30
VaR_1_PF,0.025229357,30
VaR_1_TUFF,60.0,30
VaR_1_LRUC,14.363983,30
VaR_1_LRIND,15.089659,30
VaR_1_LRCC,29.453642,30
VaR_1_BASEL,-1.0,30
VaR_10_PF,0.06995413,30
VaR_10_TUFF,24.0,30
VaR_10_LRUC,9.670776,30
VaR_10_LRIND,20.715242,30
VaR_10_LRCC,30.386019,30
VaR_10_BASEL,-1.0,30
VaR_5_PF,0.041284405,30
VaR_5_TUFF,58.0,30
VaR_5_LRUC,1.4788208,30
VaR_5_LRIND,20.980347,30
VaR_5_LRCC,22.459167,30
VaR_5_BASEL,1.0,30
