Day,Actual_Returns,N_Assets,VaR_1_percent,Violation_1_percent,VaR_5_percent,Violation_5_percent,VaR_10_percent,Violation_10_percent
1,0.002599346474818119,30,-0.009238816142138385,false,-0.006433477297744076,false,-0.00493796154032409,false
2,0.0020756466857293292,30,-0.009152249449238972,false,-0.00637182484193112,false,-0.004889590772112385,false
3,-0.0005830050813855125,30,-0.009105457450686309,false,-0.006342403416567906,false,-0.004869429535040559,false
4,-0.00017894863615442982,30,-0.00908696483837773,false,-0.006328526937803439,false,-0.004858013899987493,false
5,0.004301252040132645,30,-0.008993995932320852,false,-0.00626663518274672,false,-0.004812689259134937,false
6,0.0021113642212209865,30,-0.009097350041320933,false,-0.006337987762075499,false,-0.004866981941410422,false
7,0.0009266234440050156,30,-0.009008774085105167,false,-0.006275259058267003,false,-0.004818032312218286,false
8,0.0012142462018210985,30,-0.008966846135130607,false,-0.006244948277000391,false,-0.004793914600603155,false
9,0.0013761183036484893,30,-0.008885577157459868,false,-0.006187734708187259,false,-0.004749524881240373,false
10,0.000732002761018092,30,-0.008827155130976157,false,-0.006146971126531834,false,-0.004718174951181796,false
11,-0.0007148197999833261,30,-0.008809992492664096,false,-0.006135586966708644,false,-0.004709871276859061,false
12,0.0003702160151077559,30,-0.008750011636255654,false,-0.0060926404112134165,false,-0.004676005644149063,false
13,0.0014412795769587563,30,-0.008741059485327619,false,-0.006087183176217925,false,-0.004672411535905059,false
14,-0.001957352590342207,30,-0.008775505451470055,false,-0.006112389938442208,false,-0.004692692912708173,false
15,-0.00020623202593086318,30,-0.008848115288109656,false,-0.006164761252980578,false,-0.004734275146002486,false
16,-0.003433327670970111,30,-0.008801759189931016,false,-0.006131600168603402,false,-0.004708148274657683,false
17,-0.0002633573630235926,30,-0.008960096004911006,false,-0.006243286827214299,false,-0.004794965907526647,false
18,0.003785872963760416,30,-0.008915364662504368,false,-0.006212408933907295,false,-0.0047714732366730805,false
19,-0.00014733893979141047,30,-0.009021103892856215,false,-0.006295976334105484,false,-0.004843220916258234,false
20,0.001097825005556858,30,-0.00907327731354031,false,-0.0063348261759838,false,-0.0048749680075761016,false
21,0.0033510768377507747,30,-0.008938279994288223,false,-0.006225063005445328,false,-0.004778657068343553,false
22,-0.0015407447640307336,30,-0.008880701121371782,false,-0.006185060595753899,false,-0.004748024606159625,false
23,-0.0007259938865507496,30,-0.008832874815860217,false,-0.006150167112866199,false,-0.004720025563157699,false
24,-0.005579649895626179,30,-0.008736707274201241,false,-0.00607414861532836,false,-0.004654748446483824,true
25,0.0055508245763415025,30,-0.009201217987248007,false,-0.006406184403572815,false,-0.004916162342509887,false
26,-0.0005264946453280817,30,-0.009537769211389508,false,-0.006649469451479785,false,-0.005109727536976777,false
27,0.004184454510357584,30,-0.009283683800744914,false,-0.006467397270647837,false,-0.004966045342489161,false
28,0.002197038537804334,30,-0.00938975184619079,false,-0.006546801377536057,false,-0.005031235002396211,false
29,0.005262185644485115,30,-0.009163357585900476,false,-0.006374577119762501,false,-0.004887888572520406,false
30,0.0013761646595297373,30,-0.00954162520201041,false,-0.0066445368244968505,false,-0.005100109730469542,false
31,-0.0015586554811171309,30,-0.009542981357578943,false,-0.006649286737457647,false,-0.005106668842938318,false
32,-0.0003763667350723694,30,-0.009474778676172522,false,-0.006601869043423965,false,-0.005070331548762862,false
33,-0.0036963584855638208,30,-0.009556167589603043,false,-0.006662412062274745,false,-0.005119761698348737,false
34,-0.005019098627425826,30,-0.009614210346781473,false,-0.006704953918977893,false,-0.005154040082366113,false
35,0.0011500581348592215,30,-0.00971308569831624,false,-0.00677136924486401,false,-0.005203151088689974,false
36,0.003976994859797891,30,-0.009574185907636026,false,-0.006673620741516938,false,-0.0051273401843490995,false
37,0.003060115241754023,30,-0.009596050296896617,false,-0.006688069884030367,false,-0.005137836286260072,false
38,-0.0007497530049014545,30,-0.0094646744081983,false,-0.006592313350422646,false,-0.005061068299049718,false
39,0.001964755513880577,30,-0.009337734361648906,false,-0.006502198798205954,false,-0.004990585281597317,false
40,-0.0018188289491207477,30,-0.009240898195878392,false,-0.006434351314769012,false,-0.004938191557446291,false
41,0.002609963204284856,30,-0.00927206773438951,false,-0.006457591630250836,false,-0.004957204833471509,false
