Metric,Value,N_Assets
Training_Days,3210,10
Testing_Days,1070,10
Successful_Forecasts,999,10
Success_Rate,0.9336448598130841,10
Forecast_RMSE,0.010824306380358625,10
Computation_Time,79.65809917449951,10
Mean_Daily_Return,0.0002835430884873443,10
Daily_Volatility,0.007836646661152557,10
Annualized_Return,0.07145285829881076,10
Annualized_Volatility,0.12440290906856595,10
Min_Return,-0.046133250861000556,10
Max_Return,0.03879214012826464,10
VaR_1_PF,0.02002002,10
VaR_1_TUFF,77,10
VaR_1_LRUC,7.84758,10
VaR_1_LRIND,12.630964,10
VaR_1_LRCC,20.478544,10
VaR_1_BASEL,-1,10
VaR_10_PF,0.08708709,10
VaR_10_TUFF,32,10
VaR_10_LRUC,1.9266968,10
VaR_10_LRIND,18.24152,10
VaR_10_LRCC,20.168217,10
VaR_10_BASEL,-1,10
VaR_5_PF,0.05105105,10
VaR_5_TUFF,74,10
VaR_5_LRUC,0.023162842,10
VaR_5_LRIND,18.06696,10
VaR_5_LRCC,18.090122,10
VaR_5_BASEL,-1,10
