Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model
0.028570415,-0.3445476,-0.46227795,-0.32154578,0.24434333,0.5868402,-0.35776284,1.9936485,-1.1944864,0.82721806,1,Sequential LSTM
-0.05014334,-0.3473159,-0.38857383,-0.28755382,0.23418052,0.6709871,-0.29997247,1.8062787,-1.1117601,0.77387315,2,Sequential LSTM
-0.042859435,-0.18000717,-0.4616673,-0.0954104,0.21493478,0.41730535,-0.14886135,0.83888054,-1.033548,1.491233,3,Sequential LSTM
-0.035813417,-0.32441494,-0.49493968,-0.24338873,0.24748804,0.59010977,-0.29934245,1.6672041,-1.1100401,1.0031374,4,Sequential LSTM
-0.041452732,-0.3062686,-0.4811129,-0.20827883,0.2433464,0.64919627,-0.25718033,1.4786661,-1.1079948,1.0310794,5,Sequential LSTM
0.02686627,-0.3508931,-0.48828384,-0.31453198,0.22520894,0.62046844,-0.30473256,1.7481092,-0.8946235,0.7324121,6,Sequential LSTM
-0.016170124,-0.34347996,-0.42915723,-0.26457235,0.23867662,0.7401236,-0.28062156,1.6568441,-0.9836914,0.68204814,7,Sequential LSTM
-0.027142646,-0.39107108,-0.46874866,-0.29405966,0.20726542,0.44451723,-0.34429657,2.011141,-0.9387001,0.8010949,8,Sequential LSTM
-0.0423816,-0.41023818,-0.565251,-0.33069095,0.34189546,0.6301792,-0.33935225,1.9383239,-1.0407686,0.81828403,9,Sequential LSTM
-0.084624045,-0.39726424,-0.721105,-0.33024675,0.33692205,-0.023438761,-0.36806643,1.9677521,-0.91961867,1.5396898,10,Sequential LSTM
-0.012735505,-0.33644554,-0.43204165,-0.24749696,0.18301101,0.6157345,-0.2862653,1.7335951,-1.0025775,0.78522193,11,Sequential LSTM
-0.060570184,-0.31743652,-0.5031772,-0.2524576,0.21585378,0.40010974,-0.31337944,1.76924,-1.0383326,1.1001499,12,Sequential LSTM
-0.061697487,-0.49442276,-0.48206598,-0.32717255,0.20916456,0.23595062,-0.4056779,2.4427865,-0.90989244,0.7930276,13,Sequential LSTM
-0.067140184,-0.48728976,-0.4365863,-0.30804145,0.17508587,0.13486753,-0.40007633,2.4909766,-0.816931,0.715135,14,Sequential LSTM
-0.06593198,-0.28710878,-0.6598352,-0.22547539,0.22823732,-0.4296932,-0.29772317,1.5238345,-0.57943994,1.7931359,15,Sequential LSTM
-0.07818948,-0.20769487,-0.6148807,-0.14147013,0.16230941,-0.56804967,-0.20113127,1.0748899,-0.5390306,2.1132474,16,Sequential LSTM
-0.05301131,-0.44060853,-0.46958697,-0.33500317,0.19793315,0.36090666,-0.4061668,2.3449798,-0.94682246,0.74737966,17,Sequential LSTM
-0.071965516,-0.48217285,-0.45427734,-0.3075207,0.17754687,0.11340836,-0.38897362,2.36354,-0.8160502,0.8664651,18,Sequential LSTM
-0.11340397,-0.29038486,-0.6023781,-0.22113247,0.22699432,-0.28405112,-0.28030077,1.5795542,-0.7470847,1.7321874,19,Sequential LSTM
-0.09370593,-0.38252366,-0.59312624,-0.29519364,0.21925934,-0.092765585,-0.336569,2.0484943,-0.8613922,1.3875225,20,Sequential LSTM
-0.10140123,-0.27678818,-0.6942396,-0.18745983,0.16391848,-0.5530089,-0.25667194,1.4130427,-0.6436445,2.1362529,21,Sequential LSTM
-0.024031792,-0.35958254,-0.54233927,-0.30560562,0.22829562,0.28392026,-0.35653222,1.976901,-0.9794467,1.0784212,22,Sequential LSTM
-0.042615734,-0.24799673,-0.6708802,-0.1706443,0.20321642,-0.016990094,-0.24606891,1.3369255,-0.9688924,1.8239465,23,Sequential LSTM
0.004928388,-0.34351748,-0.5709433,-0.26623055,0.19162595,0.24093881,-0.33517033,1.8471938,-0.93001395,1.1611886,24,Sequential LSTM
-0.04616495,-0.36313674,-0.613441,-0.2343693,0.22331733,0.29418638,-0.32935458,1.8050704,-0.98375964,1.2476522,25,Sequential LSTM
-0.026969025,-0.34663495,-0.4499695,-0.23650119,0.20909056,0.654064,-0.30152816,1.7400374,-0.9750035,0.7334143,26,Sequential LSTM
-0.11295017,-0.29858068,-0.6760451,-0.22156957,0.25390524,-0.34666,-0.331904,1.6457189,-0.721453,1.8095384,27,Sequential LSTM
-0.06884094,-0.3122046,-0.7413048,-0.2200951,0.25560772,-0.23095722,-0.24631757,1.3504196,-0.82804406,2.0417368,28,Sequential LSTM
-0.039254263,-0.26633236,-0.5010397,-0.17279339,0.23931296,0.46349478,-0.17352137,1.142511,-0.9959746,1.3035969,29,Sequential LSTM
-0.07723792,-0.40994865,-0.7460583,-0.3367415,0.3082119,-0.24514197,-0.38702622,2.0606365,-0.7589261,1.5922322,30,Sequential LSTM
-0.051151823,-0.28229624,-0.54007304,-0.21029896,0.24134503,0.2971482,-0.25531337,1.4343519,-0.96411014,1.3303984,31,Sequential LSTM
-0.09429372,-0.33470795,-0.748793,-0.2452827,0.25485176,-0.46385017,-0.32434762,1.6243528,-0.64580363,1.9778742,32,Sequential LSTM
-0.026521662,-0.3562488,-0.5164217,-0.32798213,0.21680008,0.38913605,-0.308063,1.9220551,-0.8595291,0.86677516,33,Sequential LSTM
-0.020390397,-0.27877375,-0.55502677,-0.18224128,0.25117904,0.56665987,-0.18825965,1.200633,-1.0195321,1.225752,34,Sequential LSTM
-0.021166017,-0.4209863,-0.48588273,-0.32604235,0.23412536,0.5013903,-0.3641447,2.1534996,-0.9728042,0.7020109,35,Sequential LSTM
-0.098023616,-0.31179252,-0.70281285,-0.247524,0.20703828,-0.5697437,-0.30957404,1.6752123,-0.46577883,1.822999,36,Sequential LSTM
-0.09222488,-0.38150755,-0.674951,-0.3175822,0.20538872,-0.34545285,-0.41523007,2.2102032,-0.7283752,1.539732,37,Sequential LSTM
-0.006896692,-0.38393018,-0.50817156,-0.32884124,0.21655513,0.2495702,-0.3902215,2.1608894,-0.9104924,0.9015388,38,Sequential LSTM
-0.009072975,-0.40248442,-0.4910778,-0.30894047,0.22290325,0.70020086,-0.35949373,2.073656,-1.065394,0.63970315,39,Sequential LSTM
-0.0417113,-0.34504673,-0.5776505,-0.27052742,0.21817139,0.15643017,-0.3614605,1.9739815,-0.977533,1.2253464,40,Sequential LSTM
-0.060209166,-0.50464946,-0.49046558,-0.39764443,0.25346053,0.63765913,-0.4606977,2.6495223,-1.0692595,0.44228378,41,Sequential LSTM
-0.010713989,-0.26006183,-0.54334015,-0.18231271,0.19590847,0.2586048,-0.26554644,1.3695353,-1.0331681,1.4710946,42,Sequential LSTM
-0.031335063,-0.3734855,-0.48386508,-0.36577183,0.21864663,0.21366128,-0.43145064,2.3362472,-0.902848,0.820201,43,Sequential LSTM
-0.009771131,-0.44658682,-0.5948167,-0.3491007,0.30599305,0.6438413,-0.3850304,2.074002,-1.0984608,0.85993004,44,Sequential LSTM
-0.044399235,-0.26564753,-0.47127035,-0.17962444,0.22625087,0.63125646,-0.23222606,1.3212582,-1.0917588,1.106161,45,Sequential LSTM
-0.09015755,-0.18460786,-0.6428585,-0.16895986,0.19453362,-0.16368277,-0.18451293,1.0763276,-0.8820381,2.0459564,46,Sequential LSTM
-0.0185638,-0.40436438,-0.5278373,-0.34977677,0.25444892,0.4020482,-0.38486305,2.195307,-0.99019355,0.8237946,47,Sequential LSTM
-0.030815544,-0.38694495,-0.40968078,-0.2773141,0.2127163,0.6746113,-0.35811925,2.0904388,-0.99977,0.4848782,48,Sequential LSTM
0.019828545,-0.41163227,-0.52560127,-0.2926023,0.3253421,0.9030661,-0.3363319,1.812081,-1.1147021,0.6205522,49,Sequential LSTM
-0.017813135,-0.3136756,-0.5800613,-0.18832795,0.25109315,0.4598186,-0.25446522,1.408669,-1.0788445,1.313607,50,Sequential LSTM
-0.046026547,-0.40306348,-0.7619693,-0.30033347,0.27360672,-0.11606768,-0.37787947,1.9418793,-0.90016717,1.6900212,51,Sequential LSTM
-0.045770776,-0.2947512,-0.5546999,-0.26719904,0.21219912,-0.055414323,-0.34730002,1.8103378,-0.91045666,1.453055,52,Sequential LSTM
-0.049336307,-0.44811147,-0.48131993,-0.348758,0.22094856,0.42149198,-0.41164613,2.4034278,-1.0001423,0.6934459,53,Sequential LSTM
-0.08536768,-0.3068303,-0.64458436,-0.23040295,0.23899116,-0.07143918,-0.31969228,1.6693164,-0.95668876,1.706698,54,Sequential LSTM
-0.027933735,-0.18423569,-0.56602544,-0.14631858,0.20402375,0.10329281,-0.2123518,1.0021776,-0.98222345,1.8095945,55,Sequential LSTM
-0.020010758,-0.41174698,-0.4636523,-0.31309825,0.1966717,0.23521093,-0.39345577,2.1478252,-0.82683706,0.84909326,56,Sequential LSTM
-0.0067203534,-0.394715,-0.4898781,-0.2936819,0.35765067,0.9555377,-0.2864037,1.6308146,-1.1185484,0.6459445,57,Sequential LSTM
-0.078243315,-0.25766042,-0.61984247,-0.17570356,0.22283836,-0.20396289,-0.23912144,1.3330599,-0.8199697,1.8386055,58,Sequential LSTM
-0.025711654,-0.37897688,-0.52833825,-0.30417845,0.22855566,0.2508342,-0.38258195,2.113497,-0.96071136,0.98761165,59,Sequential LSTM
-0.09642317,-0.29489586,-0.7187292,-0.22612202,0.21146767,-0.51968366,-0.3170212,1.5942171,-0.6382375,2.0054278,60,Sequential LSTM
-0.0031466747,-0.3502639,-0.52030665,-0.2674332,0.22722876,0.41485354,-0.33297962,1.8214637,-1.0031446,1.0137286,61,Sequential LSTM
-0.034701284,-0.30719364,-0.4877409,-0.21304598,0.23777534,0.64697313,-0.26522592,1.512777,-1.0965714,1.0069537,62,Sequential LSTM
-0.04778101,-0.40184748,-0.7290208,-0.30518275,0.22277169,-0.22454041,-0.40416467,2.1193345,-0.889602,1.6600329,63,Sequential LSTM
-0.09692789,-0.24097452,-0.6557902,-0.18995106,0.16847076,-0.62000304,-0.2725991,1.3751694,-0.43893147,1.9715371,64,Sequential LSTM
-0.020930048,-0.29565725,-0.5930689,-0.29467165,0.24965459,-0.23580207,-0.37771425,1.8060614,-0.76591295,1.5280412,65,Sequential LSTM
-0.10492973,-0.24990657,-0.61970896,-0.16153066,0.18736452,-0.1371116,-0.24173239,1.4024718,-0.92488366,1.8499674,66,Sequential LSTM
0.0068583563,-0.3586208,-0.6397602,-0.3624319,0.2734469,-0.14691767,-0.42467207,2.059788,-0.8085936,1.400903,67,Sequential LSTM
-0.030130027,-0.39764223,-0.70643014,-0.31613922,0.29252574,0.010209735,-0.37199056,1.9249816,-0.93533707,1.5299522,68,Sequential LSTM
-0.04595277,-0.25630048,-0.52188486,-0.17076534,0.24481352,0.39355925,-0.22765325,1.2460358,-1.0332594,1.3714076,69,Sequential LSTM
-0.062002633,-0.29609296,-0.56835324,-0.2327354,0.20930871,0.0952396,-0.30506343,1.6534446,-0.9483982,1.4546529,70,Sequential LSTM
-0.03480659,-0.35345754,-0.64574784,-0.2562515,0.29959893,0.26150423,-0.30463752,1.645886,-1.0348418,1.4227536,71,Sequential LSTM
-0.02100693,-0.35893708,-0.43876448,-0.26724777,0.21642072,0.66875905,-0.30640343,1.8286101,-1.0183063,0.69687605,72,Sequential LSTM
-0.08538142,-0.30074045,-0.725968,-0.23078176,0.2732137,-0.26569945,-0.29880473,1.5147313,-0.8068504,1.9262812,73,Sequential LSTM
-0.023517588,-0.33383232,-0.5681914,-0.28636894,0.19344994,-0.07391053,-0.3714317,1.9525404,-0.82662386,1.337886,74,Sequential LSTM
-0.016813682,-0.36292553,-0.44670904,-0.26713726,0.21528918,0.61539775,-0.31978828,1.8479676,-0.9877253,0.7224446,75,Sequential LSTM
-0.03087449,-0.27088597,-0.522722,-0.17799558,0.269346,0.574714,-0.22151878,1.2439586,-1.0930791,1.2290574,76,Sequential LSTM
-0.11692893,-0.48067906,-0.7967483,-0.3388634,0.30851558,-0.5123288,-0.4413497,2.3505282,-0.5628731,1.5907276,77,Sequential LSTM
-0.054307748,-0.49859336,-0.46534705,-0.36208096,0.20683426,0.35681555,-0.421185,2.562846,-0.91707283,0.59209126,78,Sequential LSTM
-0.011899768,-0.40871742,-0.42575422,-0.31729132,0.20075822,0.8273188,-0.31192827,2.000202,-1.0193547,0.4666668,79,Sequential LSTM
-0.039366763,-0.36436555,-0.49292248,-0.35012135,0.21759973,0.23413022,-0.36698216,2.121732,-0.9055891,0.94588536,80,Sequential LSTM
-0.070483595,-0.32533237,-0.58607256,-0.24569304,0.25710437,0.34588438,-0.27581874,1.6145496,-1.0448608,1.3307228,81,Sequential LSTM
-0.03726844,-0.22034718,-0.5459651,-0.24510808,0.20343868,-0.31128913,-0.3114166,1.4924579,-0.7469862,1.7224841,82,Sequential LSTM
-0.048617583,-0.2929322,-0.51133716,-0.25529492,0.19920045,0.2633677,-0.28689092,1.6818694,-0.96916175,1.219797,83,Sequential LSTM
-0.098228134,-0.3379847,-0.6273148,-0.31250116,0.23176019,-0.21497123,-0.3821309,2.061759,-0.8008489,1.4804606,84,Sequential LSTM
-0.05507141,-0.29351273,-0.48950833,-0.23236059,0.21470523,0.4173858,-0.24748015,1.5198286,-0.9590019,1.1250155,85,Sequential LSTM
-0.052159954,-0.38860998,-0.4579305,-0.30279946,0.22303453,0.6967568,-0.33583334,2.0331552,-1.0405407,0.6249275,86,Sequential LSTM
-0.0990759,-0.27150542,-0.61171085,-0.21925756,0.22611447,-0.161208,-0.29495063,1.5945014,-0.8569626,1.6940551,87,Sequential LSTM
-0.09771385,-0.3757193,-0.754741,-0.30230954,0.28376448,-0.35066262,-0.3736896,1.9395905,-0.76291734,1.7943983,88,Sequential LSTM
-0.07405826,-0.37873778,-0.7362353,-0.27307436,0.25918534,-0.099110894,-0.37877432,1.8396175,-0.95392454,1.7951126,89,Sequential LSTM
-0.035320528,-0.3618939,-0.6669251,-0.32692686,0.25499675,-0.20071258,-0.43510857,2.0500808,-0.8277861,1.5495961,90,Sequential LSTM
-0.028082127,-0.22838831,-0.5653342,-0.17133048,0.2703761,0.42945817,-0.22906637,1.1087443,-1.0383004,1.4519234,91,Sequential LSTM
-0.052772727,-0.48112726,-0.41569552,-0.36776847,0.24218194,0.6106511,-0.41841614,2.4334385,-0.9688687,0.41837734,92,Sequential LSTM
-0.09052363,-0.55247533,-0.42903462,-0.38566327,0.19228593,-0.17434856,-0.4544432,2.9334683,-0.61059695,0.5713312,93,Sequential LSTM
-0.0905473,-0.33279496,-0.57415587,-0.2572558,0.24745797,-0.23983257,-0.28671676,1.7878898,-0.67507243,1.4210278,94,Sequential LSTM
-0.088246,-0.28879583,-0.4833721,-0.16271362,0.28138143,0.7169528,-0.21440037,1.2322775,-1.1862257,1.1931417,95,Sequential LSTM
0.0041558607,-0.2711798,-0.5804275,-0.178704,0.27866298,0.46087396,-0.21711193,1.0335208,-0.96882737,1.4390371,96,Sequential LSTM
-0.045630485,-0.49652302,-0.48613036,-0.33927143,0.16040204,0.045125302,-0.42353195,2.5194764,-0.70586133,0.7719448,97,Sequential LSTM
-0.079514585,-0.27198598,-0.64101547,-0.21523257,0.24167332,-0.2827934,-0.27063966,1.4157081,-0.68107617,1.7848765,98,Sequential LSTM
-0.04470358,-0.10516141,-0.5861821,-0.093904816,0.13973975,-0.48484722,-0.15949653,0.75023425,-0.63188744,2.2162092,99,Sequential LSTM
-0.03489806,-0.22268838,-0.68880385,-0.17340067,0.18876408,-0.36435243,-0.26061007,1.358904,-0.78555655,1.9826419,100,Sequential LSTM
-0.0134798195,-0.21766713,-0.47606292,-0.2398435,0.19240673,-0.29938975,-0.32081372,1.5251613,-0.63099587,1.4806848,101,Sequential LSTM
-0.04264217,-0.56796473,-0.5590365,-0.45082012,0.24721658,0.31156152,-0.49579605,2.9296186,-0.98923916,0.6171021,102,Sequential LSTM
-0.04758006,-0.3647294,-0.4374128,-0.26235148,0.25296617,0.91348886,-0.30766353,1.8387513,-1.1687309,0.58326185,103,Sequential LSTM
