Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,Model
-0.23091125,-0.099066995,-1.7799909,-0.045626774,-0.50397974,0.5442766,-0.06379683,0.21031314,-0.14345141,0.14738975,-0.52676153,-0.23104668,3.2493536,1.8543202,-1.3810213,1,Sequential LSTM
-0.2421708,-0.048780147,-1.5928599,0.07242998,-0.51459605,0.34535697,0.0022469957,-0.17190225,-0.037060406,-0.116896234,-0.47513217,-0.17233297,3.2526515,1.8290473,-1.1300018,2,Sequential LSTM
-0.25806212,-0.106902696,-1.9703038,-0.050699294,-0.57145876,0.55420357,-0.07580368,0.23261803,-0.038491253,0.062689126,-0.5138416,-0.15791975,3.7361805,1.0463501,-0.8885583,3,Sequential LSTM
-0.26871195,-0.06721083,-1.8618912,-0.015075897,-0.5578835,0.34864834,-0.044440407,0.043149892,-0.06902451,0.053058427,-0.37079802,-0.1757852,3.5961432,1.3851379,-0.99531615,4,Sequential LSTM
-0.26689997,-0.027650397,-1.8827527,0.013274114,-0.5913735,0.4886937,-0.0014956788,-0.111715354,0.0005041669,0.007499785,-0.470179,-0.14656189,3.7988129,0.9321586,-0.7423149,5,Sequential LSTM
-0.26587465,-0.049145598,-1.7587229,0.0014369572,-0.55184287,0.27708244,-0.027746812,-0.019733572,-0.11723315,0.021006597,-0.40044713,-0.19710982,3.524585,1.6124744,-1.048729,6,Sequential LSTM
-0.24792299,-0.114870645,-1.6268657,-0.08209478,-0.51438683,0.3358574,-0.096081525,0.39591587,-0.16214171,0.071880646,-0.42582384,-0.21602842,3.2285194,1.4878232,-1.0337801,7,Sequential LSTM
-0.2813961,-0.097275026,-1.8710583,-0.059156716,-0.60815996,0.35438314,-0.06765246,0.2163543,-0.10379824,0.046700682,-0.47159868,-0.19051437,3.767217,1.2154582,-0.84950316,8,Sequential LSTM
-0.10181325,-0.21898296,-0.96887344,-0.17486127,-0.19810008,0.20375216,-0.1734949,1.026752,-0.21885425,0.25890577,-0.26287106,-0.26418445,1.4684902,2.2701275,-1.6459922,9,Sequential LSTM
-0.23094864,-0.09727401,-1.7208622,-0.045773312,-0.49334544,0.19637094,-0.06311365,0.17076586,-0.16074249,0.047369543,-0.28577763,-0.1968451,3.2537358,1.657475,-1.0310348,10,Sequential LSTM
-0.16287377,-0.15829617,-1.6872771,-0.10730306,-0.4514509,0.8842615,-0.1074184,0.49550402,-0.115053356,0.24295054,-0.67376107,-0.1990749,2.9953384,1.2479836,-1.2035294,11,Sequential LSTM
-0.2408957,-0.042982526,-1.6308458,-0.0053955237,-0.503827,0.31113493,-0.02386267,-0.041149627,-0.09352922,-0.05107632,-0.3395468,-0.16252513,3.3520207,1.329047,-0.85656625,12,Sequential LSTM
-0.23888013,-0.094502896,-1.5635511,-0.057300586,-0.53674793,0.1914027,-0.08154678,0.30343083,-0.060765978,-0.006985046,-0.38578686,-0.16338019,3.3997054,0.83708715,-0.5421787,13,Sequential LSTM
-0.20886813,-0.18073249,-1.787155,-0.16652054,-0.5050012,0.5069436,-0.14003947,0.7387321,0.02693186,0.40140563,-0.5122816,-0.13780397,3.1828794,0.15030113,-0.36879128,14,Sequential LSTM
-0.063214414,-0.14774367,-0.9216835,-0.11267204,-0.14949818,0.16029298,-0.068328455,0.4192115,-0.19005767,0.14835495,-0.48463267,-0.31460586,1.4799992,3.0849595,-1.8403816,15,Sequential LSTM
-0.15483432,-0.18278368,-1.4703804,-0.12421166,-0.31824788,0.40029845,-0.105425976,0.61437756,-0.19252506,0.30016342,-0.6404196,-0.2589809,2.4916682,2.042709,-1.4014072,16,Sequential LSTM
-0.27534428,-0.05268159,-1.9229512,-0.01002107,-0.61825746,0.5986352,-0.019006744,-0.056339927,0.029878827,0.059722006,-0.5631232,-0.155124,3.8720593,0.88768953,-0.7751354,17,Sequential LSTM
-0.22756553,-0.07789348,-1.4057748,-0.04159192,-0.51690394,0.1442222,-0.07402042,0.23691508,-0.094279066,-0.0042458912,-0.34072435,-0.14050785,3.2304506,0.7334855,-0.42156604,18,Sequential LSTM
-0.11650306,-0.15152419,-1.1937945,-0.08272589,-0.2738989,0.27360633,-0.0941033,0.5020401,-0.21286525,0.17326616,-0.5492747,-0.27884907,2.0709126,2.4594808,-1.525767,19,Sequential LSTM
-0.12366293,-0.20870993,-1.2017916,-0.14286357,-0.24845669,0.29497552,-0.15132783,0.844404,-0.20983078,0.33851478,-0.46842784,-0.2577142,1.9117084,2.1209762,-1.4977936,20,Sequential LSTM
-0.14601134,-0.16747312,-1.4932355,-0.109251514,-0.3357787,0.5114589,-0.11284799,0.57773846,0.0019534137,0.4001336,-0.6845133,-0.19403511,2.542708,1.3881742,-1.17902,21,Sequential LSTM
-0.2530898,-0.05094455,-1.5792848,-0.0074464525,-0.5139678,0.25412095,-0.051348403,0.052057005,-0.07754844,-0.021224145,-0.32279715,-0.13887113,3.355524,1.0547464,-0.69992584,22,Sequential LSTM
-0.13074495,-0.14728026,-1.1702422,-0.098203324,-0.27448085,0.31613064,-0.11386934,0.6171725,-0.25369072,0.23505257,-0.589757,-0.22949803,2.1153476,2.0023494,-1.2782862,23,Sequential LSTM
-0.22145729,-0.11971902,-1.6605788,-0.09265716,-0.47565648,0.32321855,-0.1188038,0.47698584,-0.19406292,0.08861426,-0.4504626,-0.20530134,3.1697748,1.5284381,-1.048332,24,Sequential LSTM
-0.12404585,-0.16576363,-1.1499718,-0.11602093,-0.23870249,0.26190284,-0.13413857,0.68839395,-0.179116,0.23220108,-0.3962145,-0.25057682,1.8346865,2.3549702,-1.617604,25,Sequential LSTM
-0.19954894,-0.13737771,-1.6432428,-0.091086835,-0.45151186,0.50100166,-0.115348145,0.46813095,-0.1564002,0.19669577,-0.4334973,-0.22825986,2.899681,1.8067334,-1.415969,26,Sequential LSTM
-0.17409673,-0.15420862,-1.3944436,-0.06975127,-0.3597387,0.5964459,-0.09381691,0.4448148,-0.059830774,0.066701725,-0.6828421,-0.25243062,2.5844717,2.052085,-1.5033598,27,Sequential LSTM
-0.24592093,-0.058352675,-1.7772934,0.0124290995,-0.4857315,0.23156708,-0.04030428,0.008676066,-0.19051205,0.054121464,-0.4128796,-0.24470547,3.2640927,2.2906973,-1.4058837,28,Sequential LSTM
