Asset_1_Weight,Asset_2_Weight,Day,Model
1.1649143,-0.1649143,1,Sequential LSTM
1.1917319,-0.19173193,2,Sequential LSTM
1.1940349,-0.19403489,3,Sequential LSTM
1.1963196,-0.19631962,4,Sequential LSTM
1.1703554,-0.17035541,5,Sequential LSTM
1.1894633,-0.18946326,6,Sequential LSTM
1.1941811,-0.19418104,7,Sequential LSTM
1.17653,-0.17653005,8,Sequential LSTM
1.1909993,-0.19099924,9,Sequential LSTM
1.1475,-0.1475,10,Sequential LSTM
1.1813848,-0.18138483,11,Sequential LSTM
1.1937453,-0.19374532,12,Sequential LSTM
1.17733,-0.17733,13,Sequential LSTM
1.1629814,-0.16298142,14,Sequential LSTM
1.1167432,-0.116743244,15,Sequential LSTM
1.1314887,-0.13148873,16,Sequential LSTM
1.0870283,-0.08702824,17,Sequential LSTM
1.1600443,-0.16004431,18,Sequential LSTM
1.1823444,-0.1823444,19,Sequential LSTM
1.1885499,-0.18854989,20,Sequential LSTM
1.1754171,-0.17541705,21,Sequential LSTM
1.2001475,-0.20014754,22,Sequential LSTM
1.1935048,-0.1935048,23,Sequential LSTM
1.1941853,-0.19418529,24,Sequential LSTM
1.195707,-0.195707,25,Sequential LSTM
1.1956111,-0.19561107,26,Sequential LSTM
1.1839201,-0.18392016,27,Sequential LSTM
1.104353,-0.10435298,28,Sequential LSTM
1.1868374,-0.18683746,29,Sequential LSTM
1.1798724,-0.17987236,30,Sequential LSTM
1.1898153,-0.18981522,31,Sequential LSTM
1.1425972,-0.14259721,32,Sequential LSTM
1.1644539,-0.16445382,33,Sequential LSTM
1.1964455,-0.19644544,34,Sequential LSTM
1.1775792,-0.17757918,35,Sequential LSTM
1.1465741,-0.1465741,36,Sequential LSTM
1.1958904,-0.19589041,37,Sequential LSTM
1.192549,-0.19254902,38,Sequential LSTM
1.1607872,-0.16078722,39,Sequential LSTM
1.1921753,-0.19217531,40,Sequential LSTM
1.0803211,-0.0803211,41,Sequential LSTM
1.1946672,-0.19466726,42,Sequential LSTM
1.1255344,-0.12553446,43,Sequential LSTM
1.1973915,-0.19739151,44,Sequential LSTM
1.1975225,-0.19752255,45,Sequential LSTM
1.1861295,-0.18612939,46,Sequential LSTM
1.1945733,-0.1945733,47,Sequential LSTM
1.1583009,-0.15830083,48,Sequential LSTM
1.1841251,-0.18412508,49,Sequential LSTM
1.1584643,-0.15846431,50,Sequential LSTM
1.1340876,-0.13408756,51,Sequential LSTM
1.1627125,-0.16271241,52,Sequential LSTM
1.0356411,-0.03564103,53,Sequential LSTM
1.1791177,-0.17911762,54,Sequential LSTM
1.1611683,-0.1611684,55,Sequential LSTM
1.1807775,-0.18077758,56,Sequential LSTM
1.1727004,-0.1727004,57,Sequential LSTM
1.1347193,-0.13471924,58,Sequential LSTM
1.1741805,-0.17418051,59,Sequential LSTM
1.1675975,-0.16759753,60,Sequential LSTM
1.1912307,-0.19123061,61,Sequential LSTM
1.1956378,-0.19563785,62,Sequential LSTM
1.1884795,-0.18847957,63,Sequential LSTM
1.1589426,-0.15894255,64,Sequential LSTM
1.1932054,-0.1932054,65,Sequential LSTM
1.1841357,-0.18413574,66,Sequential LSTM
1.1824545,-0.18245442,67,Sequential LSTM
1.1362097,-0.13620968,68,Sequential LSTM
1.189182,-0.18918204,69,Sequential LSTM
1.190096,-0.19009599,70,Sequential LSTM
1.1703235,-0.17032352,71,Sequential LSTM
1.183966,-0.18396607,72,Sequential LSTM
1.1507549,-0.15075493,73,Sequential LSTM
1.1817973,-0.18179728,74,Sequential LSTM
1.1953138,-0.19531377,75,Sequential LSTM
1.1939676,-0.19396757,76,Sequential LSTM
1.0958191,-0.0958191,77,Sequential LSTM
1.1696051,-0.1696051,78,Sequential LSTM
1.1796346,-0.17963453,79,Sequential LSTM
1.1582677,-0.15826774,80,Sequential LSTM
1.1948625,-0.19486244,81,Sequential LSTM
1.1843518,-0.1843518,82,Sequential LSTM
1.178648,-0.17864797,83,Sequential LSTM
1.1934803,-0.19348025,84,Sequential LSTM
1.1919498,-0.19194983,85,Sequential LSTM
1.1046652,-0.104665145,86,Sequential LSTM
1.1895599,-0.18955995,87,Sequential LSTM
1.1654155,-0.16541556,88,Sequential LSTM
1.1396265,-0.13962655,89,Sequential LSTM
1.1655515,-0.16555148,90,Sequential LSTM
1.1624553,-0.16245532,91,Sequential LSTM
1.1656277,-0.16562773,92,Sequential LSTM
1.0269319,-0.026931837,93,Sequential LSTM
1.1233257,-0.123325676,94,Sequential LSTM
1.1756803,-0.17568034,95,Sequential LSTM
1.1820533,-0.18205328,96,Sequential LSTM
1.1348267,-0.13482669,97,Sequential LSTM
1.1517227,-0.15172265,98,Sequential LSTM
1.1840956,-0.1840956,99,Sequential LSTM
1.1906749,-0.19067496,100,Sequential LSTM
1.1570802,-0.1570802,101,Sequential LSTM
1.1549865,-0.15498646,102,Sequential LSTM
1.1772819,-0.17728183,103,Sequential LSTM
1.1514589,-0.15145884,104,Sequential LSTM
1.1979402,-0.19794019,105,Sequential LSTM
1.1894673,-0.18946725,106,Sequential LSTM
1.1816472,-0.18164714,107,Sequential LSTM
1.1917228,-0.19172277,108,Sequential LSTM
1.1901877,-0.1901877,109,Sequential LSTM
1.1313096,-0.13130966,110,Sequential LSTM
1.1931404,-0.19314036,111,Sequential LSTM
1.191564,-0.1915639,112,Sequential LSTM
1.1875507,-0.18755072,113,Sequential LSTM
1.1220281,-0.12202816,114,Sequential LSTM
1.0099517,-0.009951723,115,Sequential LSTM
1.1813709,-0.18137085,116,Sequential LSTM
1.0911427,-0.091142684,117,Sequential LSTM
1.1796378,-0.17963779,118,Sequential LSTM
1.1942196,-0.19421954,119,Sequential LSTM
0.93643665,0.06356333,120,Sequential LSTM
1.1296576,-0.12965758,121,Sequential LSTM
1.3066732,-0.30667314,122,Sequential LSTM
1.0986491,-0.09864919,123,Sequential LSTM
1.1038573,-0.10385734,124,Sequential LSTM
1.4778429,-0.477843,125,Sequential LSTM
1.1630698,-0.16306989,126,Sequential LSTM
1.6696848,-0.6696847,127,Sequential LSTM
1.3939368,-0.39393678,128,Sequential LSTM
1.6082889,-0.6082889,129,Sequential LSTM
1.3414072,-0.34140715,130,Sequential LSTM
1.2519734,-0.25197345,131,Sequential LSTM
1.4470304,-0.4470304,132,Sequential LSTM
1.3350365,-0.33503655,133,Sequential LSTM
1.3669516,-0.36695156,134,Sequential LSTM
1.2947798,-0.2947798,135,Sequential LSTM
1.3471954,-0.34719533,136,Sequential LSTM
1.2289047,-0.22890468,137,Sequential LSTM
1.2373334,-0.23733345,138,Sequential LSTM
1.0234057,-0.023405714,139,Sequential LSTM
1.1220121,-0.12201215,140,Sequential LSTM
1.1082134,-0.10821338,141,Sequential LSTM
1.1891012,-0.18910117,142,Sequential LSTM
1.149707,-0.14970699,143,Sequential LSTM
1.0323842,-0.032384153,144,Sequential LSTM
1.1797998,-0.1797998,145,Sequential LSTM
1.128688,-0.12868795,146,Sequential LSTM
1.1832939,-0.183294,147,Sequential LSTM
1.1948512,-0.19485116,148,Sequential LSTM
1.2075,-0.20749994,149,Sequential LSTM
1.1944809,-0.19448087,150,Sequential LSTM
1.1998835,-0.19988345,151,Sequential LSTM
1.2468485,-0.24684843,152,Sequential LSTM
1.0886112,-0.0886112,153,Sequential LSTM
1.0588112,-0.058811206,154,Sequential LSTM
0.9037418,0.09625823,155,Sequential LSTM
1.0821079,-0.08210796,156,Sequential LSTM
1.0179253,-0.017925305,157,Sequential LSTM
1.0690044,-0.06900438,158,Sequential LSTM
1.01849,-0.01848994,159,Sequential LSTM
1.2497735,-0.24977352,160,Sequential LSTM
1.1909584,-0.19095834,161,Sequential LSTM
1.1965932,-0.19659312,162,Sequential LSTM
1.1281455,-0.12814549,163,Sequential LSTM
0.9824243,0.017575664,164,Sequential LSTM
1.0895755,-0.08957548,165,Sequential LSTM
1.0792084,-0.07920835,166,Sequential LSTM
1.1827576,-0.18275768,167,Sequential LSTM
1.0769011,-0.07690112,168,Sequential LSTM
1.1231227,-0.12312274,169,Sequential LSTM
1.1759642,-0.17596428,170,Sequential LSTM
1.1189239,-0.118923955,171,Sequential LSTM
1.1922592,-0.19225916,172,Sequential LSTM
1.1599244,-0.15992436,173,Sequential LSTM
1.0170014,-0.017001377,174,Sequential LSTM
1.1804985,-0.18049847,175,Sequential LSTM
1.3075773,-0.30757728,176,Sequential LSTM
1.1078364,-0.10783634,177,Sequential LSTM
1.1451426,-0.14514261,178,Sequential LSTM
1.2104028,-0.21040289,179,Sequential LSTM
1.202255,-0.20225498,180,Sequential LSTM
1.097234,-0.097233996,181,Sequential LSTM
1.1046246,-0.10462459,182,Sequential LSTM
1.193975,-0.193975,183,Sequential LSTM
1.091858,-0.09185808,184,Sequential LSTM
1.0590804,-0.05908039,185,Sequential LSTM
1.1793069,-0.17930691,186,Sequential LSTM
1.0749213,-0.07492131,187,Sequential LSTM
1.1424587,-0.1424587,188,Sequential LSTM
1.0175709,-0.017570827,189,Sequential LSTM
1.1667768,-0.16677675,190,Sequential LSTM
1.2024078,-0.20240784,191,Sequential LSTM
1.1968607,-0.19686066,192,Sequential LSTM
1.2091347,-0.20913473,193,Sequential LSTM
1.2015378,-0.20153785,194,Sequential LSTM
1.1831939,-0.18319386,195,Sequential LSTM
1.1647458,-0.16474584,196,Sequential LSTM
1.0720485,-0.072048604,197,Sequential LSTM
1.1940889,-0.19408888,198,Sequential LSTM
0.97548205,0.024517976,199,Sequential LSTM
1.0832636,-0.08326366,200,Sequential LSTM
1.1193473,-0.11934737,201,Sequential LSTM
1.0947521,-0.09475212,202,Sequential LSTM
1.1958884,-0.19588836,203,Sequential LSTM
1.0979879,-0.09798785,204,Sequential LSTM
1.1640981,-0.16409817,205,Sequential LSTM
1.1715184,-0.17151843,206,Sequential LSTM
1.1867257,-0.18672568,207,Sequential LSTM
1.1941886,-0.19418862,208,Sequential LSTM
1.1339532,-0.13395326,209,Sequential LSTM
1.1905173,-0.1905173,210,Sequential LSTM
1.1721743,-0.17217436,211,Sequential LSTM
1.1925681,-0.19256811,212,Sequential LSTM
1.1285626,-0.12856255,213,Sequential LSTM
1.1639465,-0.16394654,214,Sequential LSTM
1.2128173,-0.21281728,215,Sequential LSTM
1.0910308,-0.09103086,216,Sequential LSTM
1.0298926,-0.029892571,217,Sequential LSTM
1.20137,-0.20136999,218,Sequential LSTM
1.1161785,-0.11617853,219,Sequential LSTM
1.1879702,-0.18797022,220,Sequential LSTM
1.1374931,-0.13749313,221,Sequential LSTM
1.1631763,-0.16317631,222,Sequential LSTM
1.1735861,-0.17358613,223,Sequential LSTM
1.1268997,-0.12689973,224,Sequential LSTM
1.1368743,-0.13687435,225,Sequential LSTM
1.1099396,-0.10993957,226,Sequential LSTM
1.1886045,-0.18860443,227,Sequential LSTM
1.1349196,-0.13491964,228,Sequential LSTM
1.1919788,-0.19197884,229,Sequential LSTM
1.1429503,-0.14295028,230,Sequential LSTM
1.1593695,-0.15936948,231,Sequential LSTM
1.1952606,-0.19526067,232,Sequential LSTM
1.1929067,-0.19290678,233,Sequential LSTM
1.0668045,-0.066804565,234,Sequential LSTM
1.159571,-0.15957104,235,Sequential LSTM
1.1284251,-0.12842509,236,Sequential LSTM
1.197498,-0.19749795,237,Sequential LSTM
1.1978483,-0.19784838,238,Sequential LSTM
1.1904837,-0.1904837,239,Sequential LSTM
1.192484,-0.19248399,240,Sequential LSTM
1.184617,-0.18461707,241,Sequential LSTM
1.1770666,-0.1770666,242,Sequential LSTM
1.0752654,-0.07526544,243,Sequential LSTM
1.0193701,-0.01937013,244,Sequential LSTM
0.9801126,0.019887382,245,Sequential LSTM
1.1712583,-0.17125833,246,Sequential LSTM
1.1814274,-0.18142736,247,Sequential LSTM
1.1255614,-0.12556139,248,Sequential LSTM
1.0300363,-0.030036317,249,Sequential LSTM
