Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.23228273,0.058461055,0.062535584,0.48272586,0.62856025,1,Sequential LSTM
-0.76758635,-0.023701979,0.51994413,0.124376535,1.1469676,2,Sequential LSTM
-0.22660878,-0.13837406,0.48921895,0.21962094,0.65614295,3,Sequential LSTM
-0.64062315,-0.17470695,0.69848704,0.4496677,0.6671754,4,Sequential LSTM
-0.10790046,-0.08922975,0.21711849,0.40832576,0.57168597,5,Sequential LSTM
-0.39139545,-0.07485247,0.3291168,0.41995028,0.71718085,6,Sequential LSTM
-0.32468152,-0.09707509,0.4868799,-0.1386762,1.073553,7,Sequential LSTM
-0.3609912,-0.12915893,0.4643258,0.17991614,0.8459082,8,Sequential LSTM
-0.6500585,-0.07106239,0.6120972,-0.16589537,1.274919,9,Sequential LSTM
-0.35860643,-0.11038031,0.40640673,-0.054085996,1.116666,10,Sequential LSTM
0.19838083,-0.24305134,0.47952503,0.18260889,0.3825366,11,Sequential LSTM
-0.61792713,-0.20084013,0.68366134,0.42175227,0.7133537,12,Sequential LSTM
-0.6069212,-0.12666824,0.6638867,-0.12133087,1.1910336,13,Sequential LSTM
-0.64062285,-0.20257068,1.1520218,-0.19233163,0.8835034,14,Sequential LSTM
-0.5993013,-0.05399757,0.5075516,-0.1112759,1.2570231,15,Sequential LSTM
-0.53587365,-0.19437577,0.7214309,-0.024094813,1.0329133,16,Sequential LSTM
-0.38560274,-0.18795401,0.41348287,0.43255958,0.72751427,17,Sequential LSTM
-0.7116272,-0.09375006,0.5371469,0.06018312,1.2080473,18,Sequential LSTM
-0.56066906,-0.15825059,0.62724346,0.08647989,1.0051963,19,Sequential LSTM
-0.32435444,-0.25428995,0.74212843,0.16750531,0.66901064,20,Sequential LSTM
-0.7817207,-0.33524883,1.2521198,0.17824383,0.68660593,21,Sequential LSTM
-0.7789589,-0.22752158,0.7458166,0.51513225,0.7455317,22,Sequential LSTM
-0.26366967,-0.16937065,0.38918123,0.5024793,0.5413798,23,Sequential LSTM
-0.42572063,-0.15261589,0.38957652,0.47499385,0.71376616,24,Sequential LSTM
-0.17701282,-0.20274171,0.49026403,0.2628464,0.62664413,25,Sequential LSTM
-0.17866409,-0.22401345,0.56826454,0.20675492,0.627658,26,Sequential LSTM
-0.44711572,-0.27483124,0.6789874,0.36687037,0.6760892,27,Sequential LSTM
-0.61128783,-0.09812935,0.47754237,0.15626813,1.0756067,28,Sequential LSTM
-0.12486145,-0.098247275,0.30408022,-0.030819971,0.9498485,29,Sequential LSTM
-0.36939442,-0.18214485,0.4497544,0.21183868,0.8899462,30,Sequential LSTM
-0.059798177,-0.18906598,0.34164855,0.21564652,0.6915691,31,Sequential LSTM
-0.46408918,-0.056156177,0.3656663,0.04524422,1.1093348,32,Sequential LSTM
