Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model
-0.08733184,-0.042879824,-0.49942333,0.01580516,-0.11088653,0.134873,0.017729947,0.08408251,-0.7007239,0.32449305,-0.049613997,-0.1395902,1.1117429,-0.06220013,-0.07025061,-0.005759031,0.09742346,-0.67210716,0.04209471,-0.37712675,0.34024775,-0.10675051,0.14487222,-0.007836707,-0.090362005,0.82486,-0.08396322,-0.13082929,1.0994104,1,Sequential RNN
-0.03466407,-0.018469436,-0.16668987,0.19310199,0.02955729,-0.25098142,0.02906685,-0.0057462826,-1.210259,0.46596047,-0.22164592,0.4107888,0.35077044,-0.9726328,0.2981762,0.09841558,-0.17034636,2.1229942,-0.06660849,-0.6914608,-0.0028795868,0.50873184,-0.44810554,-0.19752005,-0.11220469,0.7776663,-0.08049736,-0.24375455,0.60923636,2,Sequential RNN
-0.035037894,-0.030831505,-0.44217956,-0.020449987,-0.20288809,0.057606947,-0.073627226,0.10726,0.45308518,-0.7186647,-0.46557274,-0.41268528,1.5972096,0.10959081,-0.03357499,0.04061317,-0.26323938,-0.08463541,0.013426507,0.7216122,0.26947162,-0.108075954,0.5317192,0.2073947,-0.16023698,0.025290018,-0.06563079,-0.04092281,0.023973376,3,Sequential RNN
-0.14875305,-0.033579115,-0.86892515,0.02117674,-0.31343243,0.13469492,-0.046598326,0.105748184,-0.655205,-0.23587734,-0.15119857,-0.39814597,2.3471923,-0.06166586,-0.09725945,0.019636922,0.1928286,-0.8569725,-0.022050006,-0.026438382,0.3538187,-0.22423497,0.48523104,0.08144659,-0.04792338,0.6442321,-0.09182576,-0.16703679,1.061116,4,Sequential RNN
-0.032127667,-0.015122628,-0.35150376,-0.05286749,-0.1971112,0.42437,-0.057899896,0.14647351,0.1850234,-1.0796741,-0.61434716,-0.2316897,1.6491045,0.6085224,-0.3790005,-0.01960259,-0.047290698,-0.27215677,-0.0754303,1.233505,0.18048406,-0.18520053,0.23980643,0.35188264,0.055252455,0.120731436,-0.123200074,-0.046089772,-0.41484103,5,Sequential RNN
-0.111757554,-0.011821949,-0.49006695,0.012771776,-0.16660294,0.13215905,-0.04497814,0.07321844,-0.64344203,-0.7286584,0.5205469,0.014977133,1.101873,-1.0392457,0.77370816,0.07002175,-0.52332276,1.7277206,-0.008688134,0.6399607,0.030029709,0.042337287,0.0070263417,-0.37725407,-0.13375033,1.2084341,-0.07992937,-0.19590893,-0.79935795,6,Sequential RNN
-0.14465174,-0.026861167,-0.7722711,-0.07299757,-0.27087504,0.5137736,-0.031399257,0.18161802,0.10742717,-0.33503363,-0.059165835,-0.3773319,1.5953234,0.5072797,-0.40871176,0.032542806,-0.8516433,-0.96695757,0.11515779,0.34041977,0.44095108,-0.19267292,0.33044112,-0.15765463,-0.25144663,0.8255373,-0.2797563,-0.10456266,1.3135213,7,Sequential RNN
-0.07873649,-0.02019899,-0.363452,-0.11410605,-0.005476487,0.17644656,-0.069519766,0.06919234,0.7294142,-0.43149522,1.7049938,-0.8923977,-0.094539344,-0.41575903,-0.13805461,0.15638863,-0.3716145,-1.630619,0.52812654,0.56251925,0.33832106,0.0023605765,1.1127131,-0.5653513,-0.079438925,0.039226744,0.1596367,-0.042372383,0.73379225,8,Sequential RNN
-0.11254433,-0.012054352,-0.7118373,0.009473532,-0.18854585,0.37876,0.004398064,0.0070445705,-0.7860738,-0.2688976,-0.06965061,-0.25614887,1.9004234,0.45565987,-0.30161664,-0.027205558,0.1020423,-0.75984204,0.060644872,0.105682574,0.085027486,-0.12445513,0.23174621,-0.044739492,-0.18290046,0.8368471,-0.18968162,-0.06825849,0.9267021,9,Sequential RNN
-0.077800356,-0.013433688,-0.5208755,-0.06495979,-0.24508601,-0.23546734,-0.050085753,0.069089636,1.0634092,0.067319885,0.1447785,-0.49037284,0.84297985,0.11657128,-0.0076552373,-0.0095120175,-0.076427884,-0.9463089,0.18552376,-0.008763529,0.9596441,-0.10177796,0.65339386,0.14404114,-0.059036065,-0.5788713,-0.03278163,0.08192223,0.19054234,10,Sequential RNN
-0.016416034,-0.00057330146,-0.25260285,-0.004020664,-0.042433776,0.7878065,0.0352436,0.06851833,-0.4038161,0.66424984,-0.1665117,-0.58495843,0.3773669,-0.16539413,0.017067121,-0.030825322,-0.81807345,-0.14077395,0.20372406,-0.7863692,0.1310396,-0.16633141,0.517001,-0.31218526,-0.48074797,1.1195027,-0.31566176,-0.27714217,2.043318,11,Sequential RNN
-0.13039172,-0.04592671,-0.5251001,0.039148167,-0.13081984,0.13850273,-0.025761822,0.109755486,-0.79424435,-0.24315882,-0.031515755,-0.041573703,1.3752558,0.11067174,-0.03942499,-0.05295571,0.9704179,-1.1826252,0.008979277,0.14876893,0.36153632,-0.23360293,0.08024212,0.18922447,0.03739777,0.54234725,-0.015966924,-0.060953684,0.44177422,12,Sequential RNN
0.0069805114,0.022364402,0.22882868,-0.031254053,0.17360377,0.58702254,0.007151685,-0.036325324,-0.21476524,0.43846434,1.5188687,-0.3726286,-1.002171,-0.10786692,-0.5383244,0.12740348,0.7922328,-1.7532483,0.1714651,-0.32662088,0.2135299,-0.21933822,0.4749356,-0.7135501,0.11725686,-0.23234172,-0.14456505,0.039763972,1.7731276,13,Sequential RNN
0.03758112,-0.03731498,0.39699176,-0.05061601,0.15227735,0.4459049,0.053669263,0.0765928,-0.3721241,0.6333613,0.2420622,0.47459242,-0.5891125,-0.18534409,-0.032687906,0.01979161,0.19277813,-0.49329698,-0.06344699,-0.52673274,0.022001343,-0.1485021,-0.49450117,-0.3393072,-0.09356729,-0.0061835754,-0.11063641,-0.06985085,1.8656206,14,Sequential RNN
0.0241961,-0.1223618,-0.33360982,-0.103817575,-0.034902364,0.3398043,-0.041561488,0.44118083,-0.25355396,0.7391787,-0.50267774,-0.09643784,0.48385474,0.984666,-0.5646131,-0.12468583,1.2736118,-0.6538651,-0.16503888,-0.9297132,0.64381796,-0.34216735,0.0022224472,0.2353287,-0.3080993,-0.8260656,-0.19240184,-0.09112372,1.518835,15,Sequential RNN
0.10091033,-0.19280176,0.3888907,-0.08583341,0.2043815,0.55518067,-0.008813219,0.45629612,-0.37089804,1.652593,-0.4227943,0.03634717,-0.74328554,0.7104983,-0.412951,-0.07412546,1.1302923,0.8511983,-0.018219111,-1.5413392,0.7877726,-0.03970074,-0.014629501,0.033898298,-0.48316994,-0.77549946,-0.38405797,-0.19113708,-0.1490037,16,Sequential RNN
-0.0023960478,-0.03383599,0.14817701,0.037714,0.10287908,0.68939126,0.0049358965,0.09624836,-1.4623085,-1.5090532,-0.42526278,-0.15249291,0.6458358,-0.103648804,-0.10846892,0.16993238,-0.54509306,1.1530606,-0.030929018,1.561792,-0.05623644,-0.3887531,0.055622213,-0.23500238,-0.17072316,1.909193,-0.35680744,-0.17011817,0.17634818,17,Sequential RNN
0.025108434,-0.04967093,0.45282722,0.031393733,0.26810688,0.59187263,0.05104625,0.04837598,-0.8235281,0.9343254,1.1361095,-0.2965231,-1.0792791,-0.14792122,-0.20292234,0.070823796,0.068272956,-0.64205885,0.32861465,-0.79016656,0.031116156,-0.04465047,0.2691403,-0.6987919,-0.27861774,0.7808165,-0.1916403,-0.15693145,1.3147517,18,Sequential RNN
0.01767593,-0.12173257,0.24228492,0.008131527,0.17550027,1.311646,0.049798418,0.31734863,-1.844073,1.0211785,-0.702985,0.228188,-0.09947472,0.8852444,-0.92000324,-0.045362473,1.0055766,-0.050602045,-0.08195035,-1.2194902,0.371908,-0.4651327,-0.3338107,-0.13235599,-0.64706105,0.8800287,-0.5056882,-0.35863355,2.013846,19,Sequential RNN
0.054849137,-0.048337754,0.42802286,0.06949926,0.2688933,0.9654238,0.036675,0.22529088,-1.4843484,0.6330376,-0.8859719,-0.22312234,-0.25646073,0.51967037,-0.58435875,-0.08140364,0.51884687,-0.73895645,0.05480901,-0.77761537,0.1754864,-0.27892956,0.0762785,0.1582822,-0.44946948,0.9304387,-0.2925702,-0.26201162,2.2480524,20,Sequential RNN
0.07879109,-0.062015355,0.65249544,-0.03766182,0.16265981,0.5922318,0.010569715,0.1587929,-0.0740161,1.3888172,-0.13748324,0.3281516,-1.1694683,1.6159499,-0.96453816,-0.061357714,0.30864075,1.8391991,-0.27199158,-1.2073847,0.0026013758,-0.18554561,-0.46775657,-0.3834607,-0.6800343,-0.5691524,-0.25217068,-0.12227858,0.50741524,21,Sequential RNN
-0.17906003,-0.031072406,-1.2308278,-0.049433738,-0.3241593,0.42999417,-0.04347989,0.15237814,-0.53248495,0.85453534,0.5513191,-0.05135052,1.9303093,0.12813853,-0.44413394,0.049383372,0.15313442,-0.6849581,-0.11442617,-0.7650405,0.18758018,-0.17026855,0.098366685,-0.33615172,0.18314135,0.47876254,-0.08676494,-0.13215584,0.9787253,22,Sequential RNN
-0.00063986116,-0.036440875,-0.1403021,0.0033781321,0.025057353,0.39213645,0.036146566,0.028551472,-0.7112112,1.4585027,-0.6649029,0.19843192,0.3984491,1.1958917,-0.64190996,-0.09663566,0.6080918,-0.57284904,-0.13008149,-1.0731577,0.2441664,-0.19718955,-0.1850226,0.41639137,-0.19949017,0.3889845,-0.15683126,-0.12727736,0.5397622,23,Sequential RNN
-0.13946632,-0.019981496,-0.8758583,-0.04436597,-0.28674257,-0.048330188,-0.078172125,0.22372435,-0.07089508,-0.06413363,0.63557565,-0.18294464,1.5386891,-0.35089326,0.3535943,0.044020165,-0.67278993,1.1915884,0.059880693,-0.020267393,0.27981514,0.0014060882,0.18020141,-0.37576413,-0.17835566,0.66736954,-0.07956109,-0.18171743,-0.5056256,24,Sequential RNN
-0.1414915,-0.006811717,-0.86730844,0.010468791,-0.32222828,-0.09020101,-0.0168306,0.021849733,-0.42571953,-0.13354826,-0.33269528,-0.17493589,2.4172373,-0.07246562,0.010058038,-0.022687886,-0.30879834,0.095337845,0.04367448,-0.25369787,0.33063683,-0.077566296,0.09158439,0.12256118,-0.29605925,0.5175924,-0.051810253,-0.18667987,1.120535,25,Sequential RNN
