Asset_1_Weight,Asset_2_Weight,Day,Model
1.1463046,-0.14630458,1,Sequential RNN
1.1741779,-0.17417787,2,Sequential RNN
1.2055421,-0.20554207,3,Sequential RNN
1.1903399,-0.19033991,4,Sequential RNN
1.2065952,-0.20659517,5,Sequential RNN
1.2026285,-0.20262846,6,Sequential RNN
1.2112358,-0.21123579,7,Sequential RNN
1.1853609,-0.18536095,8,Sequential RNN
1.0997257,-0.09972567,9,Sequential RNN
1.0267636,-0.026763514,10,Sequential RNN
1.1409047,-0.14090464,11,Sequential RNN
1.1855813,-0.18558128,12,Sequential RNN
1.2042941,-0.20429413,13,Sequential RNN
1.3316157,-0.33161566,14,Sequential RNN
1.0463768,-0.04637686,15,Sequential RNN
1.0541488,-0.054148734,16,Sequential RNN
1.1421065,-0.14210653,17,Sequential RNN
1.0962951,-0.096295066,18,Sequential RNN
1.0740262,-0.07402618,19,Sequential RNN
1.148016,-0.14801604,20,Sequential RNN
1.3303977,-0.33039778,21,Sequential RNN
1.256717,-0.25671697,22,Sequential RNN
1.2320017,-0.23200162,23,Sequential RNN
1.2294937,-0.22949374,24,Sequential RNN
1.2305781,-0.230578,25,Sequential RNN
1.2166102,-0.21661018,26,Sequential RNN
1.201021,-0.20102099,27,Sequential RNN
1.0238941,-0.023894066,28,Sequential RNN
1.0590583,-0.059058286,29,Sequential RNN
1.083687,-0.08368694,30,Sequential RNN
1.1605523,-0.16055223,31,Sequential RNN
1.1471899,-0.14718989,32,Sequential RNN
1.2152214,-0.21522139,33,Sequential RNN
1.1900676,-0.1900677,34,Sequential RNN
1.229178,-0.22917792,35,Sequential RNN
1.2491466,-0.24914663,36,Sequential RNN
1.1925895,-0.1925895,37,Sequential RNN
1.2052275,-0.20522745,38,Sequential RNN
1.229357,-0.22935705,39,Sequential RNN
1.2065737,-0.20657368,40,Sequential RNN
1.1385144,-0.13851437,41,Sequential RNN
1.2016189,-0.2016189,42,Sequential RNN
1.2016543,-0.2016543,43,Sequential RNN
1.2138188,-0.21381882,44,Sequential RNN
1.2084891,-0.20848912,45,Sequential RNN
1.1857606,-0.18576059,46,Sequential RNN
1.1986662,-0.19866624,47,Sequential RNN
1.1327591,-0.13275912,48,Sequential RNN
1.0161685,-0.016168503,49,Sequential RNN
1.0022473,-0.0022473335,50,Sequential RNN
1.0177408,-0.017740851,51,Sequential RNN
1.1636403,-0.16364022,52,Sequential RNN
0.89990216,0.10009785,53,Sequential RNN
1.0806081,-0.08060815,54,Sequential RNN
1.0112182,-0.011218214,55,Sequential RNN
1.1191866,-0.119186684,56,Sequential RNN
0.89727837,0.10272163,57,Sequential RNN
0.88072777,0.11927225,58,Sequential RNN
1.0709609,-0.07096083,59,Sequential RNN
1.1670216,-0.16702162,60,Sequential RNN
1.1754186,-0.17541857,61,Sequential RNN
1.1535224,-0.15352233,62,Sequential RNN
1.2476839,-0.24768382,63,Sequential RNN
1.1294,-0.1294,64,Sequential RNN
1.1478604,-0.14786042,65,Sequential RNN
1.1549891,-0.15498906,66,Sequential RNN
1.1366936,-0.13669355,67,Sequential RNN
1.0469362,-0.046936173,68,Sequential RNN
1.0959207,-0.09592074,69,Sequential RNN
1.1593682,-0.1593681,70,Sequential RNN
1.1019877,-0.101987734,71,Sequential RNN
1.1795522,-0.17955215,72,Sequential RNN
1.1823472,-0.18234713,73,Sequential RNN
1.2060043,-0.20600425,74,Sequential RNN
1.2125589,-0.21255893,75,Sequential RNN
1.0951499,-0.09514983,76,Sequential RNN
0.9874052,0.012594821,77,Sequential RNN
1.1534529,-0.15345284,78,Sequential RNN
1.1749685,-0.17496848,79,Sequential RNN
1.1330427,-0.13304274,80,Sequential RNN
1.1787679,-0.17876795,81,Sequential RNN
1.1855041,-0.18550406,82,Sequential RNN
1.1100638,-0.110063806,83,Sequential RNN
1.1567895,-0.1567895,84,Sequential RNN
1.197754,-0.19775409,85,Sequential RNN
1.0649216,-0.06492157,86,Sequential RNN
1.144358,-0.14435808,87,Sequential RNN
1.1248704,-0.124870405,88,Sequential RNN
1.2361046,-0.23610465,89,Sequential RNN
1.3035862,-0.30358627,90,Sequential RNN
1.0389313,-0.038931277,91,Sequential RNN
1.175121,-0.17512089,92,Sequential RNN
1.1623977,-0.1623977,93,Sequential RNN
1.1215239,-0.12152392,94,Sequential RNN
1.2127794,-0.2127794,95,Sequential RNN
1.223938,-0.22393802,96,Sequential RNN
1.1607171,-0.1607171,97,Sequential RNN
1.0392702,-0.039270103,98,Sequential RNN
1.1460013,-0.14600134,99,Sequential RNN
1.1860482,-0.18604816,100,Sequential RNN
1.0815924,-0.08159243,101,Sequential RNN
1.1576269,-0.15762687,102,Sequential RNN
1.1791867,-0.17918667,103,Sequential RNN
1.3556832,-0.35568318,104,Sequential RNN
1.2759537,-0.27595365,105,Sequential RNN
1.2407321,-0.24073206,106,Sequential RNN
1.1953015,-0.19530149,107,Sequential RNN
1.2044427,-0.20444277,108,Sequential RNN
1.2075915,-0.2075916,109,Sequential RNN
1.3045387,-0.30453867,110,Sequential RNN
1.2429296,-0.2429296,111,Sequential RNN
1.0432156,-0.043215606,112,Sequential RNN
1.0347799,-0.034779936,113,Sequential RNN
1.8157244,-0.8157244,114,Sequential RNN
1.1899971,-0.18999712,115,Sequential RNN
0.9181219,0.08187814,116,Sequential RNN
0.996012,0.0039880136,117,Sequential RNN
1.1034986,-0.103498615,118,Sequential RNN
1.0978914,-0.09789143,119,Sequential RNN
0.8008389,0.19916111,120,Sequential RNN
1.0201982,-0.020198267,121,Sequential RNN
2.5529568,-1.5529567,122,Sequential RNN
2.0762088,-1.0762088,123,Sequential RNN
2.6482573,-1.6482573,124,Sequential RNN
3.0325286,-2.0325286,125,Sequential RNN
2.9178872,-1.9178872,126,Sequential RNN
3.291666,-2.291666,127,Sequential RNN
2.961672,-1.9616722,128,Sequential RNN
3.359166,-2.359166,129,Sequential RNN
3.5483208,-2.5483208,130,Sequential RNN
2.0908325,-1.0908325,131,Sequential RNN
3.076986,-2.076986,132,Sequential RNN
3.0448844,-2.0448844,133,Sequential RNN
2.9256098,-1.9256098,134,Sequential RNN
2.697446,-1.6974461,135,Sequential RNN
3.1272738,-2.1272738,136,Sequential RNN
1.6811502,-0.68115026,137,Sequential RNN
1.6440542,-0.64405423,138,Sequential RNN
0.9578344,0.04216555,139,Sequential RNN
0.7652559,0.23474409,140,Sequential RNN
1.212741,-0.21274105,141,Sequential RNN
2.124196,-1.1241959,142,Sequential RNN
1.3335518,-0.3335518,143,Sequential RNN
0.84787273,0.15212724,144,Sequential RNN
1.1070395,-0.10703948,145,Sequential RNN
1.0116986,-0.011698657,146,Sequential RNN
1.1884419,-0.18844181,147,Sequential RNN
1.4760474,-0.47604743,148,Sequential RNN
1.3546433,-0.35464337,149,Sequential RNN
1.3301181,-0.33011812,150,Sequential RNN
1.1635576,-0.16355765,151,Sequential RNN
1.5924746,-0.5924746,152,Sequential RNN
1.3096474,-0.3096474,153,Sequential RNN
1.2040756,-0.20407562,154,Sequential RNN
0.7538002,0.24619977,155,Sequential RNN
1.0363704,-0.0363704,156,Sequential RNN
0.8078158,0.19218422,157,Sequential RNN
1.0694928,-0.06949277,158,Sequential RNN
0.90832305,0.091676936,159,Sequential RNN
1.4921364,-0.49213636,160,Sequential RNN
1.3590288,-0.35902885,161,Sequential RNN
1.3835462,-0.38354623,162,Sequential RNN
1.384859,-0.3848589,163,Sequential RNN
1.0096478,-0.009647854,164,Sequential RNN
1.3946556,-0.39465553,165,Sequential RNN
1.3748294,-0.37482944,166,Sequential RNN
1.249473,-0.24947295,167,Sequential RNN
1.1358888,-0.13588884,168,Sequential RNN
0.89573395,0.10426606,169,Sequential RNN
1.1335956,-0.13359554,170,Sequential RNN
1.9789022,-0.9789022,171,Sequential RNN
1.3083408,-0.30834076,172,Sequential RNN
1.3403988,-0.3403988,173,Sequential RNN
0.80532515,0.19467485,174,Sequential RNN
0.93515384,0.064846165,175,Sequential RNN
2.2616284,-1.2616284,176,Sequential RNN
1.0123842,-0.012384159,177,Sequential RNN
0.9924471,0.0075529087,178,Sequential RNN
1.0826876,-0.082687646,179,Sequential RNN
1.3752658,-0.37526578,180,Sequential RNN
1.4225917,-0.42259163,181,Sequential RNN
1.5232139,-0.52321386,182,Sequential RNN
1.3430285,-0.34302855,183,Sequential RNN
1.3190087,-0.3190087,184,Sequential RNN
0.908085,0.09191501,185,Sequential RNN
1.0713359,-0.0713359,186,Sequential RNN
0.9661503,0.033849716,187,Sequential RNN
1.8892303,-0.8892302,188,Sequential RNN
1.1814125,-0.18141247,189,Sequential RNN
1.4731234,-0.47312346,190,Sequential RNN
1.4037474,-0.4037474,191,Sequential RNN
1.3770374,-0.37703747,192,Sequential RNN
1.3705854,-0.3705854,193,Sequential RNN
1.2846661,-0.2846661,194,Sequential RNN
1.2547127,-0.2547127,195,Sequential RNN
1.2657856,-0.26578555,196,Sequential RNN
1.5259126,-0.52591264,197,Sequential RNN
1.1713787,-0.1713787,198,Sequential RNN
0.969028,0.030972026,199,Sequential RNN
1.0342109,-0.034210976,200,Sequential RNN
1.0598263,-0.059826285,201,Sequential RNN
1.3888918,-0.38889188,202,Sequential RNN
1.3170359,-0.31703594,203,Sequential RNN
1.3176259,-0.31762588,204,Sequential RNN
1.3694892,-0.36948916,205,Sequential RNN
1.074949,-0.074949026,206,Sequential RNN
1.1645023,-0.16450223,207,Sequential RNN
1.147582,-0.147582,208,Sequential RNN
1.0361848,-0.03618483,209,Sequential RNN
1.1133806,-0.1133805,210,Sequential RNN
1.5824316,-0.58243155,211,Sequential RNN
1.585634,-0.58563405,212,Sequential RNN
1.3778074,-0.37780735,213,Sequential RNN
1.0863377,-0.08633764,214,Sequential RNN
1.4943776,-0.49437758,215,Sequential RNN
0.9705322,0.02946784,216,Sequential RNN
1.113828,-0.113827966,217,Sequential RNN
1.171208,-0.17120801,218,Sequential RNN
1.1968273,-0.1968273,219,Sequential RNN
1.2611363,-0.26113626,220,Sequential RNN
1.1884282,-0.18842816,221,Sequential RNN
1.2479231,-0.24792314,222,Sequential RNN
1.3138871,-0.3138871,223,Sequential RNN
1.2380288,-0.23802881,224,Sequential RNN
0.98275834,0.017241638,225,Sequential RNN
1.1511799,-0.15117994,226,Sequential RNN
1.2068461,-0.2068461,227,Sequential RNN
1.3670442,-0.36704424,228,Sequential RNN
1.3388143,-0.33881423,229,Sequential RNN
1.1659886,-0.16598852,230,Sequential RNN
1.1026815,-0.10268147,231,Sequential RNN
1.1423513,-0.1423513,232,Sequential RNN
1.18157,-0.18157007,233,Sequential RNN
1.2510589,-0.25105897,234,Sequential RNN
1.3459125,-0.34591243,235,Sequential RNN
1.1883919,-0.18839188,236,Sequential RNN
1.3099858,-0.3099858,237,Sequential RNN
1.2524592,-0.25245917,238,Sequential RNN
1.2071248,-0.20712486,239,Sequential RNN
1.2125012,-0.21250123,240,Sequential RNN
1.2031485,-0.20314845,241,Sequential RNN
1.173155,-0.17315498,242,Sequential RNN
1.2933208,-0.29332075,243,Sequential RNN
1.2883992,-0.28839922,244,Sequential RNN
0.9701313,0.02986871,245,Sequential RNN
1.107513,-0.10751295,246,Sequential RNN
1.1293595,-0.1293595,247,Sequential RNN
0.7386143,0.26138568,248,Sequential RNN
0.92742497,0.07257501,249,Sequential RNN
