Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.8607207,-0.17040294,1.2804663,-0.0118032405,0.7624605,1,Sequential RNN
-0.8102566,-0.056243073,0.5760139,0.30796963,0.9825161,2,Sequential RNN
-0.8780728,-0.19126694,0.9831916,0.12277979,0.9633683,3,Sequential RNN
-0.88330764,-0.1979714,0.9960672,0.07594987,1.009262,4,Sequential RNN
-0.6257945,-0.14943938,1.103652,-0.019142881,0.69072473,5,Sequential RNN
-0.6794722,-0.14282116,0.92233247,-0.0711163,0.97107726,6,Sequential RNN
-0.4096996,-0.10288924,0.54215926,-0.2783957,1.2488253,7,Sequential RNN
-0.7723981,-0.14345552,0.9766397,-0.10860837,1.0478224,8,Sequential RNN
0.1152925,0.016352959,0.10893616,-0.4675712,1.2269896,9,Sequential RNN
-0.36220968,-0.21211724,0.8216626,-0.30543512,1.0580995,10,Sequential RNN
-0.41891956,-0.24448827,1.0418878,-0.43140766,1.0529277,11,Sequential RNN
-0.70624673,-0.2283974,0.97984225,-0.06660195,1.0214038,12,Sequential RNN
-0.7051042,-0.18968911,0.92277426,-0.11157274,1.0835918,13,Sequential RNN
-0.5938217,-0.22042121,1.0182005,-0.24614778,1.0421902,14,Sequential RNN
-0.45592773,-0.2915813,1.0326569,-0.28119043,0.99604255,15,Sequential RNN
-0.6627918,-0.23961875,1.136405,-0.21686581,0.9828714,16,Sequential RNN
-0.71602327,-0.18314944,1.1377808,-0.0008993952,0.7622914,17,Sequential RNN
-0.821513,-0.17270099,0.76862097,0.39843422,0.8271588,18,Sequential RNN
-0.40218592,-0.26679367,0.955353,-0.15639603,0.8700226,19,Sequential RNN
-0.63364154,-0.25447902,1.1137366,-0.02821682,0.80260074,20,Sequential RNN
-0.75446784,-0.2739002,1.2841895,0.027890798,0.7162878,21,Sequential RNN
-1.0305991,-0.19366454,1.059264,0.26636615,0.8986335,22,Sequential RNN
-0.7284302,-0.17166619,1.1338094,0.12473727,0.6415497,23,Sequential RNN
-0.74261475,-0.12909605,0.79796195,-0.012767365,1.0865161,24,Sequential RNN
-0.6512592,-0.19085313,0.97349936,-0.10697895,0.97559196,25,Sequential RNN
-0.49408123,-0.16122328,0.75725484,-0.27478954,1.1728392,26,Sequential RNN
-0.63076055,-0.2589454,1.1692264,-0.22335714,0.9438367,27,Sequential RNN
-0.86107135,-0.06659048,0.7272737,0.28075314,0.91963494,28,Sequential RNN
