Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,-0.25157332,1.7195828,0.9354822,0.6222997,0.5808664,29,5.0,Sequential LSTM
2,0.010894213,2.8890405,1.7176434,1.2497691,0.8677779,29,5.0,Sequential LSTM
3,-0.19554682,1.8077768,1.0116653,0.6936855,0.5897642,29,5.0,Sequential LSTM
4,-0.3985297,2.104087,1.1881938,0.8223709,0.6784996,29,5.0,Sequential LSTM
5,-0.45844924,1.7533525,0.95744383,0.6395451,0.58961356,29,5.0,Sequential LSTM
6,1.2302299,2.2262347,1.1838775,0.7675435,0.772184,29,5.0,Sequential LSTM
7,0.5387057,1.795827,0.923833,0.5755445,0.64597803,29,5.0,Sequential LSTM
8,0.10808018,2.019151,1.1378157,0.7857962,0.6528986,29,5.0,Sequential LSTM
9,0.6162407,2.0794928,1.2392688,0.90366983,0.6224427,29,5.0,Sequential LSTM
10,0.054328777,1.9881417,1.1347053,0.79382944,0.6322306,29,5.0,Sequential LSTM
11,0.5642488,1.8059295,0.94571114,0.6021259,0.63725513,29,5.0,Sequential LSTM
12,-0.45872787,1.9123122,1.1606883,0.86047804,0.5568068,29,5.0,Sequential LSTM
13,-1.7352947,1.956312,1.2448738,0.9607138,0.5270379,29,5.0,Sequential LSTM
14,0.39069897,1.9030837,1.2421732,0.9781944,0.48960683,29,5.0,Sequential LSTM
15,1.230794,1.8748353,1.0339108,0.6980318,0.62296176,29,5.0,Sequential LSTM
16,-0.2979298,1.5490593,0.83460814,0.5492451,0.52926916,29,5.0,Sequential LSTM
17,-0.9809402,2.3440478,1.4321972,1.067989,0.6755045,29,5.0,Sequential LSTM
18,0.07986578,2.186308,1.4361408,1.1365123,0.555728,29,5.0,Sequential LSTM
19,0.25890484,2.0570052,1.2025915,0.8613251,0.63295436,29,5.0,Sequential LSTM
20,0.90884924,2.1681254,1.2312711,0.85707575,0.6940274,29,5.0,Sequential LSTM
21,-0.10305552,1.4255356,0.8067812,0.5596415,0.45837638,29,5.0,Sequential LSTM
22,-0.41069266,2.0487635,1.1673105,0.81524396,0.65298545,29,5.0,Sequential LSTM
23,-0.37948388,2.3358173,1.4425707,1.0857936,0.66172224,29,5.0,Sequential LSTM
24,0.21459565,1.9768773,1.0902175,0.73607177,0.6568422,29,5.0,Sequential LSTM
25,0.34479046,2.742712,1.6530544,1.2178271,0.8072254,29,5.0,Sequential LSTM
26,0.15686886,2.1941562,1.2474978,0.86938715,0.70128995,29,5.0,Sequential LSTM
27,-0.5995548,1.9664378,1.0741379,0.71773964,0.6610208,29,5.0,Sequential LSTM
28,0.17657231,2.374706,1.3395202,0.9260501,0.7668719,29,5.0,Sequential LSTM
29,0.8148777,2.0630102,1.1130351,0.7335999,0.7037471,29,5.0,Sequential LSTM
30,1.0381199,1.7967247,0.9692524,0.63874674,0.61299634,29,5.0,Sequential LSTM
31,0.3458868,1.7785118,0.92741114,0.5874681,0.63050026,29,5.0,Sequential LSTM
32,0.7152137,2.2944765,1.3219609,0.9335224,0.7204454,29,5.0,Sequential LSTM
33,1.3100647,2.608736,1.5789788,1.1676761,0.762851,29,5.0,Sequential LSTM
34,-0.5716933,1.6337818,0.7781968,0.43646258,0.63382214,29,5.0,Sequential LSTM
35,1.3426834,1.7673954,0.8643512,0.5036611,0.6689801,29,5.0,Sequential LSTM
36,0.055679277,1.708915,1.0171137,0.7407968,0.5124905,29,5.0,Sequential LSTM
37,0.32008433,1.547802,0.8301407,0.54349536,0.5316473,29,5.0,Sequential LSTM
38,0.018675582,1.5450593,0.7874751,0.48488373,0.56122273,29,5.0,Sequential LSTM
39,0.036084067,2.0445848,1.207797,0.8735707,0.619897,29,5.0,Sequential LSTM
40,0.22363308,1.6770325,0.8347821,0.4983738,0.62394434,29,5.0,Sequential LSTM
41,-0.2756947,1.7255378,0.9669554,0.663965,0.56196254,29,5.0,Sequential LSTM
42,-0.10806362,1.4929359,0.6873465,0.3655812,0.59678507,29,5.0,Sequential LSTM
43,0.029996818,2.0457003,1.2688234,0.9585263,0.575515,29,5.0,Sequential LSTM
44,-0.7168026,1.8572453,0.99777883,0.6544941,0.6366978,29,5.0,Sequential LSTM
45,0.006681323,2.5539155,1.5959126,1.2132714,0.7096936,29,5.0,Sequential LSTM
46,0.02293177,2.0668783,1.1548094,0.7905147,0.6756657,29,5.0,Sequential LSTM
47,-0.6937855,2.1881907,1.3469623,1.0109622,0.62318647,29,5.0,Sequential LSTM
48,-0.11694956,2.4585135,1.4716464,1.0774757,0.73107696,29,5.0,Sequential LSTM
49,-1.1452597,2.0088434,1.0038314,0.60241336,0.7445189,29,5.0,Sequential LSTM
50,0.086933844,1.6694951,0.80639684,0.46166164,0.639388,29,5.0,Sequential LSTM
51,1.0796955,2.4803233,1.3741469,0.93232256,0.8194618,29,5.0,Sequential LSTM
52,0.4339531,1.8516817,1.0941677,0.79160464,0.5611707,29,5.0,Sequential LSTM
53,0.16607101,1.7624432,1.0383253,0.74910134,0.5364303,29,5.0,Sequential LSTM
54,-1.2208594,2.2758782,1.2838188,0.8875744,0.7349232,29,5.0,Sequential LSTM
55,0.35320395,1.7203133,0.8489873,0.500966,0.6454831,29,5.0,Sequential LSTM
56,-1.4317142,2.0360007,1.099539,0.7255013,0.69373596,29,5.0,Sequential LSTM
57,0.05194415,1.9251283,1.0591178,0.7132194,0.64154565,29,5.0,Sequential LSTM
58,0.8969642,2.1083,1.2065423,0.84636587,0.668027,29,5.0,Sequential LSTM
59,0.84710854,2.1863444,1.2949879,0.9389665,0.66032183,29,5.0,Sequential LSTM
