Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,-1.6413089,2.977317,1.8633943,1.4184756,0.8252008,5,5.0,Sequential RNN
2,-0.334162,3.1586907,2.0278141,1.5761243,0.8377598,5,5.0,Sequential RNN
3,0.24118783,2.7923584,1.6140273,1.1433831,0.87291455,5,5.0,Sequential RNN
4,1.4514388,2.8588686,1.6505766,1.1679654,0.8951092,5,5.0,Sequential RNN
5,0.13241342,2.8295994,1.775332,1.3542409,0.7810077,5,5.0,Sequential RNN
6,-0.5772955,2.8617017,1.7212471,1.2657309,0.8448554,5,5.0,Sequential RNN
7,0.24394388,3.278801,2.1556203,1.7070041,0.8320584,5,5.0,Sequential RNN
8,-0.4663724,2.9657907,1.8445687,1.3967346,0.8306078,5,5.0,Sequential RNN
9,0.09728938,3.267839,2.0449584,1.5565203,0.905917,5,5.0,Sequential RNN
10,-0.033481836,2.3742597,1.2415177,0.7890824,0.83914155,5,5.0,Sequential RNN
11,-0.9844671,3.1072214,1.9166706,1.4411464,0.8819661,5,5.0,Sequential RNN
12,0.33229393,2.6067214,1.4650241,1.009011,0.8457763,5,5.0,Sequential RNN
13,-0.67849696,3.1031942,2.027745,1.5981925,0.79669935,5,5.0,Sequential RNN
14,-0.17779876,3.5074213,2.3740754,1.9213991,0.8395881,5,5.0,Sequential RNN
15,0.06391361,2.3443673,1.1931335,0.7333124,0.8528405,5,5.0,Sequential RNN
16,0.85808474,2.4875321,1.3059478,0.8340038,0.8753248,5,5.0,Sequential RNN
17,-1.0919608,2.7958977,1.795233,1.3955512,0.74129814,5,5.0,Sequential RNN
18,0.8667053,2.914394,1.9169145,1.5185051,0.7389385,5,5.0,Sequential RNN
19,0.54468775,2.2503972,1.1492735,0.70946646,0.8157191,5,5.0,Sequential RNN
20,1.3387134,2.3931677,1.3465106,0.928459,0.77536964,5,5.0,Sequential RNN
21,-0.4188894,2.125502,1.0975144,0.6869198,0.76153916,5,5.0,Sequential RNN
22,2.134851,2.7732186,1.5925587,1.1209836,0.8746397,5,5.0,Sequential RNN
23,-0.085884936,2.6898344,1.6266168,1.2019521,0.78763694,5,5.0,Sequential RNN
24,-0.26946977,2.7659543,1.6216182,1.1645517,0.847731,5,5.0,Sequential RNN
25,-0.06265682,2.694323,1.5239758,1.0565201,0.867,5,5.0,Sequential RNN
26,0.22585541,3.1017704,1.8977153,1.4167967,0.8919706,5,5.0,Sequential RNN
27,-1.3136108,2.5031896,1.3068913,0.82907104,0.8862245,5,5.0,Sequential RNN
28,0.15672162,2.2017927,1.0750177,0.6249654,0.8347212,5,5.0,Sequential RNN
29,0.57048976,2.9211495,1.7833095,1.3288378,0.84291816,5,5.0,Sequential RNN
30,-0.19056518,2.5009234,1.3779062,0.929355,0.83193725,5,5.0,Sequential RNN
31,-0.62237257,2.8414023,1.7222346,1.2752223,0.82908493,5,5.0,Sequential RNN
32,0.9100344,2.477173,1.2959645,0.82417077,0.87504625,5,5.0,Sequential RNN
33,0.5663661,2.8244717,1.7767746,1.3583076,0.77614003,5,5.0,Sequential RNN
34,0.8041877,2.5349658,1.4736131,1.0496918,0.7862563,5,5.0,Sequential RNN
35,0.15487696,2.7242918,1.7400844,1.3469758,0.7291066,5,5.0,Sequential RNN
