Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,0.83199257,-3.1251273,-1.7193581,-1.1578716,1.0414009,10,5.0,Sequential LSTM
2,-1.0908257,-3.6913939,-2.2641945,-1.6941487,1.0572771,10,5.0,Sequential LSTM
3,-0.09536593,-3.4128015,-2.048078,-1.502987,1.0109941,10,5.0,Sequential LSTM
4,-0.2959292,-3.3944683,-1.9773945,-1.4113904,1.0497777,10,5.0,Sequential LSTM
5,2.2808661,-3.2429824,-1.8668469,-1.3171962,1.0194494,10,5.0,Sequential LSTM
6,0.289454,-3.3409328,-1.9852147,-1.4437187,1.0043236,10,5.0,Sequential LSTM
7,-0.12187111,-3.3327227,-1.9506464,-1.3986232,1.0238498,10,5.0,Sequential LSTM
8,-0.96639705,-3.1756577,-1.7932348,-1.2410733,1.024107,10,5.0,Sequential LSTM
9,-0.557435,-3.783659,-2.2208786,-1.5966786,1.157717,10,5.0,Sequential LSTM
10,-1.1161269,-4.005743,-2.4113579,-1.7745339,1.1811297,10,5.0,Sequential LSTM
11,-0.956989,-2.9998713,-1.648608,-1.1088918,1.0010238,10,5.0,Sequential LSTM
12,-0.4257898,-3.2702527,-1.911589,-1.3689172,1.0065053,10,5.0,Sequential LSTM
13,0.96716744,-3.3136945,-1.9018097,-1.3378808,1.0459317,10,5.0,Sequential LSTM
14,-0.8013599,-2.6692812,-1.3224312,-0.7844773,0.99775434,10,5.0,Sequential LSTM
15,0.9799834,-3.6444387,-2.3081799,-1.7744572,0.989908,10,5.0,Sequential LSTM
16,0.027604062,-3.6576605,-2.4186356,-1.923749,0.917877,10,5.0,Sequential LSTM
17,0.056665715,-2.8734596,-1.4804702,-0.9240877,1.0319347,10,5.0,Sequential LSTM
18,-1.2173389,-3.3190145,-2.0142221,-1.4930671,0.96659774,10,5.0,Sequential LSTM
19,-0.57351655,-3.5231037,-2.154229,-1.6074787,1.01407,10,5.0,Sequential LSTM
20,-0.47600928,-3.4574218,-2.0566392,-1.4971449,1.0377073,10,5.0,Sequential LSTM
21,0.83503586,-3.8277235,-2.3980482,-1.8270128,1.059112,10,5.0,Sequential LSTM
22,0.71256274,-3.351555,-1.9968752,-1.4557946,1.0035548,10,5.0,Sequential LSTM
23,0.901602,-3.7680335,-2.3032484,-1.7181897,1.0851214,10,5.0,Sequential LSTM
