Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
1,0.4685477,-3.8545463,-2.0407326,-1.3162658,1.3436841,10,5.0,Sequential RNN
2,0.19963211,-3.5265718,-1.977837,-1.3592473,1.1473117,10,5.0,Sequential RNN
3,-0.43973628,-4.3859234,-2.642791,-1.9465562,1.291322,10,5.0,Sequential RNN
4,-0.026280768,-4.240626,-2.6007235,-1.9457206,1.2148488,10,5.0,Sequential RNN
5,2.3893673,-3.5150352,-2.0873973,-1.5171771,1.0576012,10,5.0,Sequential RNN
6,0.21877635,-3.1020536,-1.8555958,-1.3577399,0.9233834,10,5.0,Sequential RNN
7,-0.4201022,-2.7480547,-1.5025444,-1.0050677,0.9226813,10,5.0,Sequential RNN
8,-0.10908584,-3.0652528,-1.7651727,-1.2458999,0.96310675,10,5.0,Sequential RNN
9,-0.5755302,-2.8749194,-1.6524967,-1.1642418,0.9055781,10,5.0,Sequential RNN
10,0.1244977,-3.8209436,-2.3891819,-1.8173137,1.060656,10,5.0,Sequential RNN
11,-1.3140893,-4.2380133,-2.407546,-1.6764283,1.3560205,10,5.0,Sequential RNN
12,-0.27588117,-4.1083584,-2.6446674,-2.0600457,1.0843109,10,5.0,Sequential RNN
13,0.25554955,-2.7302618,-1.3352203,-0.7780178,1.0334554,10,5.0,Sequential RNN
14,0.012927851,-2.4015107,-1.3695935,-0.9574292,0.7644504,10,5.0,Sequential RNN
15,1.3256807,-2.9431806,-1.8441534,-1.4051845,0.81416595,10,5.0,Sequential RNN
16,0.17925741,-2.5775864,-1.732325,-1.3947142,0.62617475,10,5.0,Sequential RNN
17,-0.5348028,-3.1363344,-1.8202592,-1.2945975,0.9749563,10,5.0,Sequential RNN
18,-0.32183617,-1.8316455,-0.8642229,-0.4778189,0.7166723,10,5.0,Sequential RNN
19,-0.71316355,-3.508376,-2.1412747,-1.5952328,1.012756,10,5.0,Sequential RNN
20,0.07964089,-3.5996072,-2.1915302,-1.6291225,1.0431117,10,5.0,Sequential RNN
21,0.9631456,-3.3934247,-2.2832923,-1.8398864,0.82239324,10,5.0,Sequential RNN
22,0.8661721,-3.8651817,-2.4194908,-1.8420601,1.0709755,10,5.0,Sequential RNN
23,1.0741494,-3.5344808,-2.170321,-1.6254536,1.0105767,10,5.0,Sequential RNN
24,1.0393691,-3.6767776,-2.2112107,-1.6258404,1.0856998,10,5.0,Sequential RNN
25,-0.55854666,-4.1219497,-2.71911,-2.158792,1.0392321,10,5.0,Sequential RNN
26,-0.45275497,-3.3605475,-1.9420424,-1.3754686,1.0508369,10,5.0,Sequential RNN
27,0.83815,-3.918255,-2.4202268,-1.8218902,1.1097484,10,5.0,Sequential RNN
28,0.35244235,-3.2862494,-1.8502673,-1.2767133,1.0637833,10,5.0,Sequential RNN
29,-0.623464,-3.5601184,-2.1566603,-1.5960966,1.0396893,10,5.0,Sequential RNN
30,0.72660714,-3.3584855,-2.1458926,-1.661564,0.89829576,10,5.0,Sequential RNN
31,0.98672706,-3.3935854,-2.102287,-1.5865222,0.9566004,10,5.0,Sequential RNN
32,1.9833242,-3.8762908,-2.6310067,-2.133621,0.9225135,10,5.0,Sequential RNN
33,0.8852223,-2.6442,-1.4694414,-1.0002233,0.87026846,10,5.0,Sequential RNN
34,-0.25529996,-3.1078658,-1.9310014,-1.4609429,0.87182754,10,5.0,Sequential RNN
35,-0.17367,-2.7429178,-1.5337212,-1.050749,0.8957797,10,5.0,Sequential RNN
36,1.3120579,-4.0017743,-2.579868,-2.011936,1.0533564,10,5.0,Sequential RNN
37,0.9237999,-2.7338736,-1.7247021,-1.3216237,0.7475995,10,5.0,Sequential RNN
38,0.42242292,-2.0211985,-0.97501105,-0.55714715,0.7750216,10,5.0,Sequential RNN
39,0.1324949,-3.2032354,-1.8619608,-1.3262346,0.99362314,10,5.0,Sequential RNN
40,0.1113438,-3.8300343,-2.3523672,-1.762164,1.0946639,10,5.0,Sequential RNN
41,-1.0529187,-3.0677655,-1.6478888,-1.0807666,1.0518534,10,5.0,Sequential RNN
42,-0.44022092,-3.4111102,-1.9044893,-1.3027202,1.1161137,10,5.0,Sequential RNN
43,-0.24824531,-4.023432,-2.4477594,-1.8184096,1.1672683,10,5.0,Sequential RNN
44,-0.58032703,-3.957064,-2.3071988,-1.6482153,1.2222295,10,5.0,Sequential RNN
45,1.1248555,-4.058328,-2.4975603,-1.8741653,1.1562253,10,5.0,Sequential RNN
46,0.121935606,-4.2948585,-2.9556296,-2.4207203,0.9921079,10,5.0,Sequential RNN
47,1.7777431,-3.348895,-1.984515,-1.4395599,1.0107402,10,5.0,Sequential RNN
48,0.30978042,-2.9676964,-1.8355033,-1.3832877,0.838735,10,5.0,Sequential RNN
49,0.3779849,-3.1520405,-1.7760849,-1.226506,1.0193161,10,5.0,Sequential RNN
50,1.0338414,-3.548638,-2.089515,-1.5067178,1.0809265,10,5.0,Sequential RNN
51,0.9969749,-4.0679655,-2.6501153,-2.0838037,1.0503507,10,5.0,Sequential RNN
52,-0.28418696,-3.3385754,-2.079797,-1.577021,0.9325104,10,5.0,Sequential RNN
53,0.72045594,-2.9471762,-1.6060464,-1.0703778,0.9935169,10,5.0,Sequential RNN
54,-1.0479327,-4.6272535,-2.9150958,-2.2312334,1.2683766,10,5.0,Sequential RNN
55,1.0094088,-4.3278084,-2.460794,-1.7150788,1.3830951,10,5.0,Sequential RNN
56,-0.48387444,-2.4602685,-1.1794678,-0.66789556,0.9488243,10,5.0,Sequential RNN
57,0.33317104,-2.9328768,-1.7567623,-1.2870026,0.8712727,10,5.0,Sequential RNN
58,-0.18583964,-3.6505704,-2.3038132,-1.7658966,0.99768525,10,5.0,Sequential RNN
59,-0.24429262,-3.3684855,-2.0206642,-1.482323,0.9984734,10,5.0,Sequential RNN
60,-0.08679748,-4.34054,-2.8313925,-2.2286158,1.1179851,10,5.0,Sequential RNN
61,-0.09665829,-4.4294777,-2.668177,-1.9646846,1.3047823,10,5.0,Sequential RNN
62,0.17277724,-4.2881966,-2.6704996,-2.024365,1.1983991,10,5.0,Sequential RNN
63,0.06744369,-4.671698,-3.1102011,-2.4865127,1.1567671,10,5.0,Sequential RNN
64,0.82530576,-3.7634764,-2.5312812,-2.0391228,0.9128167,10,5.0,Sequential RNN
65,0.35584083,-2.6627662,-1.6070795,-1.1854215,0.78205854,10,5.0,Sequential RNN
66,0.8770087,-3.7075565,-2.440913,-1.9349953,0.9383374,10,5.0,Sequential RNN
67,0.67462724,-3.4015567,-2.1838813,-1.6975219,0.9020611,10,5.0,Sequential RNN
68,-0.42211044,-4.0613203,-2.6401196,-2.072469,1.0528334,10,5.0,Sequential RNN
69,-0.06288169,-3.9034438,-2.4482055,-1.8669598,1.0780494,10,5.0,Sequential RNN
70,0.8838819,-3.589433,-2.308071,-1.7962737,0.9492408,10,5.0,Sequential RNN
71,0.03066982,-4.114068,-2.614172,-2.01509,1.1111312,10,5.0,Sequential RNN
72,-0.82137495,-4.019964,-2.3741689,-1.7168114,1.2192141,10,5.0,Sequential RNN
73,-0.17276962,-3.5191107,-2.1796298,-1.6446195,0.9922952,10,5.0,Sequential RNN
74,-0.30170366,-4.1605005,-2.5957143,-1.9707129,1.1592026,10,5.0,Sequential RNN
75,-0.3422808,-4.1008735,-2.4274955,-1.7591219,1.2396481,10,5.0,Sequential RNN
76,-0.28924766,-3.27954,-1.8808941,-1.3222531,1.036125,10,5.0,Sequential RNN
77,-0.2645941,-3.3477993,-2.2026367,-1.7452409,0.84834284,10,5.0,Sequential RNN
78,-1.5319278,-3.3945265,-1.6810863,-0.9967106,1.2693264,10,5.0,Sequential RNN
79,0.5442654,-4.6007977,-3.0054734,-2.3682752,1.1818252,10,5.0,Sequential RNN
80,-0.34371135,-3.5041387,-1.9332137,-1.3057616,1.1637499,10,5.0,Sequential RNN
81,0.59401155,-3.2390614,-1.9570874,-1.4450455,0.9496943,10,5.0,Sequential RNN
82,1.7236873,-3.881496,-2.2765093,-1.6354527,1.1889831,10,5.0,Sequential RNN
83,-0.9846453,-3.3702796,-2.0731306,-1.5550287,0.960935,10,5.0,Sequential RNN
84,0.19463933,-2.8623781,-1.5947565,-1.0884477,0.9390614,10,5.0,Sequential RNN
85,1.1653905,-3.133512,-1.911153,-1.4229234,0.90552986,10,5.0,Sequential RNN
86,-0.38484773,-3.7441177,-2.4099183,-1.8770176,0.988382,10,5.0,Sequential RNN
87,0.19079752,-3.6967106,-2.2702856,-1.700549,1.0567032,10,5.0,Sequential RNN
88,-0.6543772,-4.03221,-2.568706,-1.984159,1.084173,10,5.0,Sequential RNN
89,-1.4649642,-4.0127506,-2.1655772,-1.4277861,1.3683972,10,5.0,Sequential RNN
90,0.07741205,-5.1605573,-3.5579123,-2.9177897,1.1872493,10,5.0,Sequential RNN
91,0.8918159,-5.2027254,-3.1382627,-2.3136835,1.5293663,10,5.0,Sequential RNN
92,-1.5662978,-3.7174554,-2.082068,-1.4288675,1.2115043,10,5.0,Sequential RNN
93,1.0656668,-4.2750764,-2.663,-2.0191107,1.194236,10,5.0,Sequential RNN
94,-2.0139356,-3.1309474,-1.8969812,-1.4041156,0.9141287,10,5.0,Sequential RNN
