Asset_1_Weight,Asset_2_Weight,Day,Model
1.1680669,-0.16806678,1,Sequential LSTM
1.2021794,-0.20217976,2,Sequential LSTM
1.2099586,-0.20995863,3,Sequential LSTM
1.2104763,-0.2104761,4,Sequential LSTM
1.1880231,-0.18802288,5,Sequential LSTM
1.2065502,-0.20655064,6,Sequential LSTM
1.2111529,-0.2111529,7,Sequential LSTM
1.1891332,-0.18913338,8,Sequential LSTM
1.1896126,-0.18961258,9,Sequential LSTM
1.1264969,-0.12649688,10,Sequential LSTM
1.1803416,-0.18034157,11,Sequential LSTM
1.207211,-0.20721117,12,Sequential LSTM
1.1934216,-0.19342178,13,Sequential LSTM
1.2182972,-0.21829714,14,Sequential LSTM
1.1077479,-0.107747935,15,Sequential LSTM
1.1221238,-0.12212385,16,Sequential LSTM
1.0843601,-0.084360026,17,Sequential LSTM
1.1564479,-0.15644793,18,Sequential LSTM
1.1738094,-0.17380944,19,Sequential LSTM
1.1937432,-0.19374304,20,Sequential LSTM
1.2258062,-0.22580649,21,Sequential LSTM
1.2293495,-0.22934942,22,Sequential LSTM
1.2160614,-0.21606168,23,Sequential LSTM
1.2154434,-0.21544327,24,Sequential LSTM
1.2166709,-0.2166707,25,Sequential LSTM
1.2139251,-0.21392514,26,Sequential LSTM
1.2017367,-0.20173693,27,Sequential LSTM
1.1036308,-0.10363088,28,Sequential LSTM
1.1839554,-0.18395528,29,Sequential LSTM
1.1809869,-0.18098694,30,Sequential LSTM
1.2000754,-0.20007548,31,Sequential LSTM
1.1508864,-0.15088625,32,Sequential LSTM
1.1776522,-0.17765245,33,Sequential LSTM
1.2062006,-0.20620073,34,Sequential LSTM
1.1975693,-0.19756933,35,Sequential LSTM
1.1720665,-0.17206661,36,Sequential LSTM
1.2109469,-0.21094719,37,Sequential LSTM
1.2089084,-0.20890842,38,Sequential LSTM
1.188529,-0.188529,39,Sequential LSTM
1.2104151,-0.21041498,40,Sequential LSTM
1.1032498,-0.10324969,41,Sequential LSTM
1.2151489,-0.21514899,42,Sequential LSTM
1.1517242,-0.1517242,43,Sequential LSTM
1.2207512,-0.220751,44,Sequential LSTM
1.214976,-0.2149759,45,Sequential LSTM
1.1955328,-0.1955325,46,Sequential LSTM
1.2082033,-0.20820354,47,Sequential LSTM
1.1569457,-0.15694553,48,Sequential LSTM
1.1680754,-0.16807528,49,Sequential LSTM
1.1257097,-0.12570973,50,Sequential LSTM
1.1153119,-0.11531167,51,Sequential LSTM
1.1658952,-0.16589507,52,Sequential LSTM
0.9856793,0.014320617,53,Sequential LSTM
1.1705741,-0.17057383,54,Sequential LSTM
1.1425375,-0.14253736,55,Sequential LSTM
1.1867841,-0.1867838,56,Sequential LSTM
1.1379818,-0.13798168,57,Sequential LSTM
1.0720024,-0.07200231,58,Sequential LSTM
1.1513354,-0.15133536,59,Sequential LSTM
