Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.59270513,0.11896122,0.118595,0.74780935,0.60733974,1,Sequential LSTM
-0.83029723,-0.06001531,0.5597568,0.31297347,1.017582,2,Sequential LSTM
-0.46161082,-0.16859788,0.5910732,0.3560877,0.6830479,3,Sequential LSTM
-0.7593291,-0.1994612,0.74097997,0.5284313,0.68937904,4,Sequential LSTM
-0.26338032,-0.10339215,0.28056052,0.4908039,0.595408,5,Sequential LSTM
-0.510874,-0.101135634,0.4015972,0.4932132,0.71719915,6,Sequential LSTM
-0.41579735,-0.14312303,0.5490779,-0.0381199,1.0479624,7,Sequential LSTM
-0.50747055,-0.1654544,0.54089934,0.28492838,0.84709734,8,Sequential LSTM
-0.73016435,-0.11159152,0.65420204,-0.049462557,1.2370162,9,Sequential LSTM
-0.4795486,-0.16519518,0.48258582,0.078989506,1.0831684,10,Sequential LSTM
0.029342994,-0.28608438,0.6038323,0.2546544,0.39825448,11,Sequential LSTM
-0.6695611,-0.21233481,0.705155,0.45540044,0.7213404,12,Sequential LSTM
-0.6460553,-0.1523087,0.6848954,-0.03117233,1.1446408,13,Sequential LSTM
-0.6497149,-0.23112924,1.1443189,-0.11568375,0.85220873,14,Sequential LSTM
-0.63173366,-0.09776793,0.50390536,-0.0007323502,1.2263287,15,Sequential LSTM
-0.6149428,-0.2284412,0.74174654,0.097053744,1.004584,16,Sequential LSTM
-0.5289506,-0.2005105,0.46601272,0.5344261,0.72902226,17,Sequential LSTM
-0.77407974,-0.11296613,0.56230354,0.17521824,1.149524,18,Sequential LSTM
-0.62635016,-0.18621315,0.64653915,0.1948963,0.9711279,19,Sequential LSTM
-0.42835903,-0.2820012,0.7965515,0.2524152,0.6613938,20,Sequential LSTM
-0.83064866,-0.34972656,1.26777,0.2355891,0.67701614,21,Sequential LSTM
-0.8528728,-0.23279613,0.7542948,0.57970065,0.75167364,22,Sequential LSTM
-0.37017152,-0.16789523,0.40776417,0.5653846,0.5649178,23,Sequential LSTM
-0.54475623,-0.16299556,0.43644875,0.53032464,0.7409785,24,Sequential LSTM
-0.3155398,-0.22747701,0.5756254,0.31316707,0.6542246,25,Sequential LSTM
-0.32789126,-0.25165886,0.6608288,0.2622005,0.65652066,26,Sequential LSTM
-0.551865,-0.30024862,0.7497805,0.40531993,0.697013,27,Sequential LSTM
-0.71665186,-0.14719492,0.55404544,0.27241677,1.0373846,28,Sequential LSTM
-0.314436,-0.14445333,0.42159662,0.08880669,0.94848585,29,Sequential LSTM
-0.53137374,-0.22144827,0.55716145,0.31009454,0.8855662,30,Sequential LSTM
-0.23574868,-0.2229437,0.46461967,0.28480554,0.70926714,31,Sequential LSTM
-0.59757453,-0.09319735,0.45595437,0.14988114,1.084936,32,Sequential LSTM
-0.44944412,-0.0765686,0.255661,0.30609873,0.96425307,33,Sequential LSTM
-0.31874126,-0.18407208,0.5239798,0.13926457,0.83956885,34,Sequential LSTM
-0.31511176,-0.14123346,0.4183337,0.2231395,0.8148722,35,Sequential LSTM
-0.48873007,-0.23804513,0.71115524,0.1078843,0.9077353,36,Sequential LSTM
-0.41963494,-0.21894066,0.4960661,0.36930782,0.7732018,37,Sequential LSTM
-0.39725536,-0.17479047,0.46795315,0.17887743,0.92521536,38,Sequential LSTM
-0.20136791,-0.2212585,0.6238329,0.2433515,0.55544204,39,Sequential LSTM
-0.04812184,-0.20792267,0.43800136,0.2044821,0.61356103,40,Sequential LSTM
-0.5827741,-0.12488263,0.7179388,0.039182313,0.9505357,41,Sequential LSTM
0.25634238,-0.20910633,0.35348454,0.05382459,0.54545474,42,Sequential LSTM
-0.44131362,-0.042296246,0.23688167,0.43299773,0.8137303,43,Sequential LSTM
-0.46897346,-0.20732532,0.8083411,0.08583508,0.78212285,44,Sequential LSTM
-0.77226365,-0.15688036,0.59080946,0.56353545,0.7747991,45,Sequential LSTM
-0.81719315,-0.07755978,0.34983647,0.53390765,1.0110089,46,Sequential LSTM
-0.4895966,-0.17397669,0.5274909,0.35589808,0.7801841,47,Sequential LSTM
0.032328393,-0.21730478,0.40446582,0.1717524,0.60875815,48,Sequential LSTM
-0.5163376,-0.14298654,0.5366849,-0.06448717,1.1871266,49,Sequential LSTM
-0.12264121,-0.11599209,0.2850727,-0.114702255,1.0682626,50,Sequential LSTM
-0.59124357,-0.11573863,0.44117,0.20749485,1.0583171,51,Sequential LSTM
-0.40186462,-0.07996415,0.18469945,0.58491945,0.7122099,52,Sequential LSTM
-0.34793538,-0.063900426,0.25425556,0.08256689,1.0750132,53,Sequential LSTM
-0.38856727,-0.15749776,0.48341966,0.21132243,0.851323,54,Sequential LSTM
-0.2580777,0.014536177,0.22499296,-0.13761039,1.1561586,55,Sequential LSTM
-0.7264984,-0.092102334,0.5053373,-0.018357914,1.3316214,56,Sequential LSTM
-0.4153412,-0.1725561,0.56003267,-0.12444865,1.1523134,57,Sequential LSTM
-0.2706522,-0.11189937,0.30942512,-0.026771862,1.0998985,58,Sequential LSTM
-0.2308435,-0.19339092,0.44404495,0.18831745,0.79187196,59,Sequential LSTM
-0.5576407,-0.30437613,0.81509817,0.2986008,0.74831766,60,Sequential LSTM
-0.5039408,-0.20900047,0.53034276,0.28171048,0.9008879,61,Sequential LSTM
-0.5535209,-0.2449683,0.69694513,0.2954251,0.8061189,62,Sequential LSTM
-0.042735826,-0.26075974,0.58364695,0.014784323,0.7050645,63,Sequential LSTM
-0.46426484,-0.22247301,0.53651476,0.39462334,0.7555998,64,Sequential LSTM
0.15537277,-0.14201154,0.04642091,0.38452852,0.55568933,65,Sequential LSTM
0.5134279,-0.21409711,0.18585783,0.13297942,0.3818321,66,Sequential LSTM
-0.04925648,-0.23989373,0.3872771,0.37823024,0.5236427,67,Sequential LSTM
-0.105292104,-0.00686161,0.18435006,-0.19142245,1.1192261,68,Sequential LSTM
-0.16642198,-0.14376241,0.39457235,0.15580258,0.75980955,69,Sequential LSTM
-0.27835897,-0.1791674,0.41233948,0.46434948,0.5808375,70,Sequential LSTM
-0.37809494,-0.113553226,0.41840154,-0.0013158995,1.074563,71,Sequential LSTM
-0.13356885,-0.2409612,0.5703583,0.24030265,0.56386906,72,Sequential LSTM
-0.6565133,-0.15513895,0.5529047,0.21024798,1.0484993,73,Sequential LSTM
-0.5761779,-0.13753007,0.3374853,0.5372807,0.8389423,74,Sequential LSTM
-0.46314645,-0.19259962,0.5868264,0.15252681,0.91639274,75,Sequential LSTM
-0.25155887,-0.19997858,0.55437547,-0.054556895,0.9517191,76,Sequential LSTM
