Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model
0.07629579,-0.12897874,-0.67095596,-0.91890234,0.27417862,-0.5177225,-0.8182588,3.593402,-1.15361,1.2645518,1,Sequential RNN
-0.22446127,0.06523916,-0.14886905,1.181546,0.19984993,0.467906,0.04044065,-1.219949,-0.56370664,1.202005,2,Sequential RNN
0.1360024,-0.12601377,-0.84557235,-0.24005148,0.2718234,0.47455347,0.12822086,0.32958233,-1.0762936,1.9477484,3,Sequential RNN
0.040714752,-0.2685204,-0.618637,-0.4306628,0.3882331,0.2387337,-0.3914604,1.7105824,-0.98876953,1.3197865,4,Sequential RNN
-0.012421769,-0.18494509,-0.65726763,-0.28108725,0.22983035,-0.0512307,-0.2177729,1.3418964,-0.86184984,1.6948482,5,Sequential RNN
0.086473964,-0.20687844,-0.64005613,-0.50254667,0.27327558,-0.28996783,-0.19290282,1.0988599,0.7235837,0.65015894,6,Sequential RNN
0.13337258,-0.05591287,-0.563673,-0.22053215,0.22494023,0.31926864,0.16962774,-0.26776996,-0.053779602,1.3144585,7,Sequential RNN
0.10288981,-0.15849711,-0.6788698,-0.32337448,0.2955179,0.03718238,-0.100844525,0.61851287,-0.04164894,1.2491323,8,Sequential RNN
0.03841095,-0.083887435,-0.16734149,0.104605615,0.17500341,0.7465458,0.3145305,-0.86284673,0.09784328,0.63713604,9,Sequential RNN
-0.07240177,-0.23110034,-0.3160518,-0.1895826,0.34038803,1.4262661,0.16374306,0.32310802,-0.76275903,0.3183901,10,Sequential RNN
0.043174993,-0.26349068,-0.57188034,-0.7793682,0.36222136,0.62161666,0.13291594,1.1941489,-1.0547171,1.315378,11,Sequential RNN
0.20803499,-0.23437777,-0.69928503,-0.69874465,0.14221288,-0.53660685,-0.28837222,1.5317428,-0.048345614,1.6237411,12,Sequential RNN
-0.07754258,-0.13189682,-0.71333665,-0.05929406,0.37000638,0.48983583,-0.11943814,0.83505464,-1.1214802,1.5280913,13,Sequential RNN
-0.084369875,0.06002413,-0.21702492,0.056060385,0.35029638,1.2120845,0.16916393,-0.26658082,-0.7827723,0.50311905,14,Sequential RNN
0.10842082,-0.1931734,-0.6465094,-0.22545986,0.18148267,0.33611572,0.15074034,-0.090925016,0.060231563,1.319077,15,Sequential RNN
0.091066144,-0.2790199,-0.38762218,-0.11120544,0.13335009,-0.2667758,0.2163851,0.010653239,0.52689904,1.0662699,16,Sequential RNN
-0.12903005,-0.34808135,-0.46919736,-0.24372137,0.14193954,-0.3615983,-0.31250122,1.6424589,-0.5732797,1.653011,17,Sequential RNN
-0.031033805,-0.045657635,-0.2676488,0.512492,0.05835031,0.46803057,-0.09871683,0.04171144,-0.8369365,1.1994092,18,Sequential RNN
-0.02307076,-0.3180123,-0.7765724,-0.036851108,0.06615595,-0.36936656,-0.227648,1.2231388,-0.5267729,1.9889996,19,Sequential RNN
