Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,Model
-0.02320309,-0.08067823,-0.6321268,-0.12837844,-0.22684613,0.764291,-0.18857853,0.9126778,0.5878408,-0.042722594,-0.66846275,-0.09335838,1.3534884,0.0062675737,-0.5402108,1,Sequential RNN
-0.21124968,-0.07951126,-0.96748644,0.14742652,-0.344967,0.22435312,0.15575151,-0.5966892,1.2648237,-0.18177855,0.34194976,0.4878883,1.5735855,-0.18026467,-0.6338311,2,Sequential RNN
-0.11156028,-0.11263411,-0.7168102,-0.1676938,-0.24432583,0.75842535,-0.065888554,0.8338053,0.36523357,0.13213384,-0.42204404,-0.05180285,1.4769565,-0.73081803,0.05702262,3,Sequential RNN
0.16893148,-0.15728997,-0.05472474,-0.29709417,0.23435858,1.102525,-0.250379,1.523545,-0.062222213,0.36300495,-0.7252535,-0.11934652,-0.13108824,-0.24755776,-0.34740898,4,Sequential RNN
-0.043402858,-0.07812476,-0.59230685,-0.09189363,-0.17797865,1.3505055,-0.02168749,0.40761033,0.1653497,-0.035719085,-0.7767256,-0.024288133,1.5176271,-0.615737,0.01677192,5,Sequential RNN
0.050867826,-0.11991446,-0.24577652,-0.10480639,-0.03658708,1.107176,-0.030776586,0.48807898,0.7125691,0.1557551,-0.8131385,-0.027917802,0.47159016,0.044357583,-0.6514776,6,Sequential RNN
0.08809354,-0.09998472,0.02864199,-0.1445244,0.120938785,0.92598295,-0.10716997,0.76452315,0.44135335,0.5562155,-0.34368375,-0.003963851,-0.37213477,-0.55677176,-0.29751605,7,Sequential RNN
0.23194066,-0.27155232,0.578954,-0.27176178,0.48285094,0.6759578,-0.23267901,1.4114505,0.36159587,0.6386443,-0.71540076,-0.0567695,-1.3502779,-0.30105525,-0.18189792,8,Sequential RNN
-0.017946249,-0.12817259,-0.48115218,-0.1785787,-0.019245878,0.37562564,-0.12442215,1.1224314,0.1233546,0.71323377,-0.29716828,-0.13278231,0.33240715,0.47788337,-0.7654673,9,Sequential RNN
0.22976649,-0.3026217,-0.39194575,-0.21242052,0.060555395,0.17487492,-0.24286938,1.761582,-0.14100073,0.40035334,-0.2491571,-0.05795611,0.032143258,0.047509417,-0.10881339,10,Sequential RNN
0.040993005,-0.15467902,-1.1679704,-0.20962253,-0.4184717,0.6031238,-0.13614656,0.9478462,-0.029574377,0.18390752,-0.44269863,0.05333018,2.2854896,-0.966525,0.4109972,11,Sequential RNN
0.33337072,-0.13089637,0.5550471,-0.26228023,0.39528987,0.5677402,-0.18131256,1.0926807,-0.2610722,0.2538076,-0.103548355,-0.023461549,-1.1795863,0.7905119,-0.8462905,12,Sequential RNN
0.34457412,-0.06790385,1.0811425,-0.13448802,0.5986815,1.3424251,-0.074977726,0.43940026,-0.19285184,0.6217277,-0.6253807,-0.022173192,-1.6902615,0.2974468,-0.9173609,13,Sequential RNN
0.23640203,-0.14710316,1.4227523,-0.19217032,0.52150226,0.4459745,0.056619402,0.33833,-0.4783615,1.2187842,-0.39920884,-0.030130517,-1.8418932,0.101553164,-0.25305015,14,Sequential RNN
0.184278,-0.18401682,0.2625745,-0.21828204,0.29160604,0.96845865,-0.10824093,0.8891527,0.047869097,0.4444067,-0.27946958,-0.14412664,-0.85615534,0.67908114,-0.9771355,15,Sequential RNN
0.113082714,-0.19554824,-0.048239093,-0.12955824,0.06481061,1.6044502,-0.0040475475,0.5450479,0.11156251,0.18450068,-0.76595306,-0.047771577,0.0592414,0.1454553,-0.6370332,16,Sequential RNN
0.12176654,-0.21765533,0.4507963,-0.18409067,0.23083866,1.276257,-0.07831508,1.0056123,-0.03423347,0.39298135,-0.83505034,-0.08578566,-0.57357407,-0.04040989,-0.42913738,17,Sequential RNN
