Asset_1_Weight,Asset_2_Weight,Day,Model
1.0494839,-0.049484067,1,Sequential RNN
1.1126024,-0.11260237,2,Sequential RNN
1.1743038,-0.17430359,3,Sequential RNN
1.1634517,-0.16345154,4,Sequential RNN
1.1912984,-0.19129822,5,Sequential RNN
1.184146,-0.18414588,6,Sequential RNN
1.196198,-0.19619773,7,Sequential RNN
1.1586099,-0.15860969,8,Sequential RNN
1.052931,-0.052930854,9,Sequential RNN
0.9602778,0.03972215,10,Sequential RNN
1.0984992,-0.09849896,11,Sequential RNN
1.1702085,-0.17020857,12,Sequential RNN
1.1903633,-0.19036339,13,Sequential RNN
1.4076178,-0.40761808,14,Sequential RNN
1.0020984,-0.002098407,15,Sequential RNN
0.9997897,0.0002100993,16,Sequential RNN
1.1184365,-0.11843658,17,Sequential RNN
1.0448436,-0.04484363,18,Sequential RNN
1.0207964,-0.020796383,19,Sequential RNN
1.1094253,-0.10942526,20,Sequential RNN
1.3869373,-0.38693744,21,Sequential RNN
1.2648367,-0.26483652,22,Sequential RNN
1.2271416,-0.22714174,23,Sequential RNN
1.22534,-0.2253397,24,Sequential RNN
1.2266023,-0.2266022,25,Sequential RNN
1.2046996,-0.20469965,26,Sequential RNN
1.1862355,-0.18623543,27,Sequential RNN
0.97048163,0.02951844,28,Sequential RNN
1.0010139,-0.0010139123,29,Sequential RNN
1.0294881,-0.02948812,30,Sequential RNN
1.1265143,-0.12651452,31,Sequential RNN
1.1226422,-0.12264238,32,Sequential RNN
1.2078106,-0.20781021,33,Sequential RNN
1.1726792,-0.17267916,34,Sequential RNN
1.2293435,-0.22934362,35,Sequential RNN
1.2703108,-0.27031052,36,Sequential RNN
1.1717011,-0.171701,37,Sequential RNN
1.1881953,-0.18819545,38,Sequential RNN
1.237204,-0.23720369,39,Sequential RNN
1.19185,-0.19184983,40,Sequential RNN
1.127387,-0.12738703,41,Sequential RNN
1.1866043,-0.18660444,42,Sequential RNN
1.2035413,-0.20354123,43,Sequential RNN
1.2118279,-0.21182796,44,Sequential RNN
1.1943861,-0.19438612,45,Sequential RNN
1.1632559,-0.16325597,46,Sequential RNN
1.1806667,-0.18066646,47,Sequential RNN
1.0875654,-0.08756539,48,Sequential RNN
0.9624383,0.037561726,49,Sequential RNN
0.93543595,0.064564146,50,Sequential RNN
0.95437604,0.04562387,51,Sequential RNN
1.1371137,-0.13711372,52,Sequential RNN
0.8297914,0.1702086,53,Sequential RNN
1.0339563,-0.033956517,54,Sequential RNN
0.9481845,0.0518156,55,Sequential RNN
1.0763311,-0.07633131,56,Sequential RNN
0.84169996,0.15830007,57,Sequential RNN
0.8182897,0.18171018,58,Sequential RNN
1.0152268,-0.01522712,59,Sequential RNN
1.147797,-0.14779702,60,Sequential RNN
1.1495657,-0.14956574,61,Sequential RNN
1.1223694,-0.122369364,62,Sequential RNN
1.2574325,-0.2574321,63,Sequential RNN
1.0926887,-0.092688344,64,Sequential RNN
1.1095862,-0.10958643,65,Sequential RNN
1.1287514,-0.1287515,66,Sequential RNN
1.101498,-0.101497956,67,Sequential RNN
0.9887698,0.011230319,68,Sequential RNN
1.0433193,-0.043319203,69,Sequential RNN
1.1249572,-0.124957226,70,Sequential RNN
1.0529071,-0.052907,71,Sequential RNN
1.1529105,-0.15291052,72,Sequential RNN
1.1700916,-0.17009176,73,Sequential RNN
1.1906563,-0.19065638,74,Sequential RNN
1.1995672,-0.19956724,75,Sequential RNN
1.0540764,-0.054076888,76,Sequential RNN
0.923923,0.076077,77,Sequential RNN
1.1242446,-0.124244824,78,Sequential RNN
1.1503941,-0.15039408,79,Sequential RNN
1.0894738,-0.089473724,80,Sequential RNN
1.1516063,-0.15160638,81,Sequential RNN
1.1595739,-0.15957397,82,Sequential RNN
1.0686543,-0.06865416,83,Sequential RNN
1.1251049,-0.125105,84,Sequential RNN
1.1797032,-0.1797033,85,Sequential RNN
1.007855,-0.007855365,86,Sequential RNN
1.107443,-0.107442856,87,Sequential RNN
1.085343,-0.0853431,88,Sequential RNN
1.2487969,-0.2487966,89,Sequential RNN
1.346655,-0.3466547,90,Sequential RNN
0.9799593,0.020040529,91,Sequential RNN
1.1557709,-0.15577072,92,Sequential RNN
1.1744754,-0.1744754,93,Sequential RNN
1.101198,-0.10119814,94,Sequential RNN
1.2029797,-0.20297961,95,Sequential RNN
1.2276653,-0.22766525,96,Sequential RNN
1.1361251,-0.1361252,97,Sequential RNN
0.98393226,0.016067622,98,Sequential RNN
1.1068087,-0.1068085,99,Sequential RNN
1.1606679,-0.16066794,100,Sequential RNN
1.0225139,-0.02251386,101,Sequential RNN
1.1456546,-0.14565457,102,Sequential RNN
1.1572073,-0.15720743,103,Sequential RNN
1.4321977,-0.43219787,104,Sequential RNN
1.2941264,-0.29412645,105,Sequential RNN
1.2399896,-0.23998982,106,Sequential RNN
1.1725641,-0.17256403,107,Sequential RNN
1.1887625,-0.1887626,108,Sequential RNN
1.1944577,-0.19445787,109,Sequential RNN
1.3617468,-0.36174676,110,Sequential RNN
1.2450819,-0.24508189,111,Sequential RNN
1.0071914,-0.00719106,112,Sequential RNN
0.99194026,0.008059948,113,Sequential RNN
2.0255775,-1.0255771,114,Sequential RNN
1.1993952,-0.19939512,115,Sequential RNN
0.8886697,0.11133029,116,Sequential RNN
0.94707143,0.052928485,117,Sequential RNN
1.0599055,-0.059905585,118,Sequential RNN
1.066095,-0.066095226,119,Sequential RNN
0.7549171,0.24508287,120,Sequential RNN
0.9898635,0.010136741,121,Sequential RNN
2.7864382,-1.786438,122,Sequential RNN
2.3716547,-1.3716545,123,Sequential RNN
2.8960006,-1.896,124,Sequential RNN
3.1839323,-2.183931,125,Sequential RNN
3.3329983,-2.3329978,126,Sequential RNN
3.3408654,-2.3408656,127,Sequential RNN
3.0570517,-2.0570514,128,Sequential RNN
3.4345062,-2.4345062,129,Sequential RNN
3.8049781,-2.8049781,130,Sequential RNN
2.1981447,-1.1981448,131,Sequential RNN
3.2613866,-2.261386,132,Sequential RNN
3.2723236,-2.2723231,133,Sequential RNN
3.0770376,-2.0770378,134,Sequential RNN
2.8822176,-1.8822174,135,Sequential RNN
3.2861385,-2.286139,136,Sequential RNN
1.7224933,-0.72249305,137,Sequential RNN
1.7223336,-0.7223337,138,Sequential RNN
0.91411513,0.0858849,139,Sequential RNN
0.7260206,0.27397954,140,Sequential RNN
1.2331523,-0.23315218,141,Sequential RNN
2.3682575,-1.3682578,142,Sequential RNN
1.3617988,-0.361799,143,Sequential RNN
0.8034552,0.19654499,144,Sequential RNN
1.0916322,-0.09163206,145,Sequential RNN
