Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.772317,-0.17351602,1.1820898,-0.011728216,0.7754711,1,Sequential RNN
-0.77472574,-0.08540577,0.60001653,0.40757072,0.85254395,2,Sequential RNN
-0.8488786,-0.19994846,0.9492681,0.19672075,0.90283805,3,Sequential RNN
-0.84707594,-0.20590664,0.95423055,0.13531162,0.9634402,4,Sequential RNN
-0.5497298,-0.1365975,1.0180306,0.014181083,0.6541159,5,Sequential RNN
-0.581986,-0.14271839,0.85382307,-0.047191836,0.9180734,6,Sequential RNN
-0.32488805,-0.1240918,0.5321501,-0.23982908,1.1566588,7,Sequential RNN
-0.71536803,-0.14675201,0.9307363,-0.06939793,1.0007817,8,Sequential RNN
0.22130536,0.006363696,0.07862356,-0.449286,1.1429933,9,Sequential RNN
-0.23323959,-0.21126968,0.73211306,-0.29817906,1.0105752,10,Sequential RNN
-0.30359557,-0.24615805,0.9540215,-0.4484043,1.044136,11,Sequential RNN
-0.63454795,-0.23361377,0.9174602,-0.040011615,0.9907131,12,Sequential RNN
-0.63597065,-0.20173673,0.8966775,-0.07004398,1.0110744,13,Sequential RNN
-0.53955775,-0.25398415,1.0301795,-0.20369208,0.96705455,14,Sequential RNN
-0.3744116,-0.30996007,0.997691,-0.2484427,0.9351236,15,Sequential RNN
-0.56954277,-0.23959559,1.0739992,-0.19908403,0.9342229,16,Sequential RNN
-0.65908325,-0.18398039,1.0677243,0.032495715,0.74284357,17,Sequential RNN
-0.7880434,-0.17436357,0.76037616,0.47867,0.72336084,18,Sequential RNN
-0.29531533,-0.2761654,0.90963674,-0.15722357,0.81906754,19,Sequential RNN
-0.56168467,-0.25565964,1.0640881,-0.001788595,0.755045,20,Sequential RNN
-0.70783156,-0.29807478,1.2848469,0.05173749,0.66932195,21,Sequential RNN
-1.0101058,-0.20414637,1.0481917,0.32977128,0.836289,22,Sequential RNN
-0.6927108,-0.15851155,1.056788,0.1827368,0.6116977,23,Sequential RNN
-0.6886588,-0.13746554,0.7500423,0.044606786,1.0314754,24,Sequential RNN
-0.56905866,-0.2000491,0.92528975,-0.064786784,0.90860456,25,Sequential RNN
-0.3876615,-0.17473425,0.70680267,-0.2540231,1.1096159,26,Sequential RNN
-0.5282774,-0.27574736,1.1207747,-0.21981429,0.90306455,27,Sequential RNN
-0.7613108,-0.067416616,0.6487285,0.33693808,0.8430606,28,Sequential RNN
-0.16101322,0.016509544,0.24356848,-0.2527455,1.1536808,29,Sequential RNN
-0.46498093,-0.17698306,0.75408965,-0.11849028,1.0063647,30,Sequential RNN
-0.2936955,-0.16928352,0.69174355,-0.24266039,1.0138962,31,Sequential RNN
-0.47559777,-0.11334677,0.7381373,-0.14912432,0.9999319,32,Sequential RNN
-0.6543054,-0.19545169,1.1742345,0.032330073,0.64319235,33,Sequential RNN
-0.03180384,-0.1669327,0.42192718,-0.12414142,0.90095085,34,Sequential RNN
-0.2614249,-0.17977239,0.8387243,-0.10271254,0.70518565,35,Sequential RNN
-0.5701296,-0.37419158,1.3151276,-0.15905267,0.78824675,36,Sequential RNN
-0.622892,-0.24355283,1.1180472,-0.013771593,0.76216924,37,Sequential RNN
-0.6571863,-0.19388096,0.9057004,-0.005798584,0.95116514,38,Sequential RNN
-0.5531981,-0.12195,0.914863,-0.038077835,0.7983629,39,Sequential RNN
-0.6477027,-0.16092932,0.9115675,-0.095012486,0.9920768,40,Sequential RNN
-0.6208789,-0.12458986,0.8601996,-0.027109433,0.91237867,41,Sequential RNN
-0.6316507,-0.1975005,0.6888375,0.12317092,1.0171423,42,Sequential RNN
-0.5972649,-0.0739063,0.886327,0.015756294,0.76908827,43,Sequential RNN
-0.14222437,-0.07700213,0.29352412,-0.11160942,1.0373116,44,Sequential RNN
-0.69233686,-0.14733112,0.67319417,0.26650614,0.8999678,45,Sequential RNN
-0.9858004,-0.20301875,1.3695167,0.22560091,0.5937013,46,Sequential RNN
-0.4900941,-0.18223178,0.8419457,-0.111667566,0.9420476,47,Sequential RNN
-0.1865697,-0.22897986,0.7428235,-0.2028617,0.8755877,48,Sequential RNN
0.6945264,0.011983148,-0.09058742,-0.56412554,0.9482033,49,Sequential RNN
1.0730377,0.059719067,-0.22448973,-0.6520987,0.74383163,50,Sequential RNN
-0.45555565,-0.07143425,0.54989463,-0.09964223,1.0767374,51,Sequential RNN
-0.71804106,-0.1509319,1.1456779,0.07489276,0.64840186,52,Sequential RNN
-0.8038388,-0.18351063,1.1390902,0.032116838,0.8161425,53,Sequential RNN
-0.7027872,-0.16216134,0.8339163,-0.16590692,1.1969393,54,Sequential RNN
0.25712073,0.16543867,-0.10837319,-0.6666704,1.3524839,55,Sequential RNN
-0.38999617,-0.09299114,0.5606835,-0.34573776,1.2680415,56,Sequential RNN
0.4957942,-0.12029862,0.21666363,-0.4552082,0.86304903,57,Sequential RNN
0.23281756,-0.2185978,0.72543985,-0.46706277,0.7274034,58,Sequential RNN
-0.13974829,-0.20349951,0.7105655,-0.34787086,0.9805532,59,Sequential RNN
-0.5011697,-0.3095207,1.1056896,-0.19506004,0.9000609,60,Sequential RNN
-0.36781925,-0.12099638,0.5885297,-0.25907472,1.1593605,61,Sequential RNN
-0.52869254,-0.19854966,0.8431784,-0.09960481,0.9836682,62,Sequential RNN
-0.008136704,-0.16903467,0.6142478,-0.29638553,0.8593087,63,Sequential RNN
-0.56148934,-0.21587124,0.8428976,0.23029214,0.7041714,64,Sequential RNN
-0.2092807,-0.2906408,1.2212102,-0.15253477,0.4312462,65,Sequential RNN
-0.38001317,-0.2195813,1.1339302,-0.2397225,0.70538664,66,Sequential RNN
-0.25643107,-0.2118826,0.7441786,-0.07276705,0.79690194,67,Sequential RNN
-0.066304564,0.11893265,0.06716328,-0.30483583,1.1850444,68,Sequential RNN
-0.38306367,-0.05142046,0.5343821,-0.21496809,1.1150705,69,Sequential RNN
-0.737232,-0.18369116,1.0741553,0.070505016,0.7762628,70,Sequential RNN
-0.5028236,-0.10271121,0.63392675,-0.1835437,1.1551518,71,Sequential RNN
-0.51144755,-0.21215631,0.9150451,-0.2169836,1.0255421,72,Sequential RNN
-0.5635807,-0.1849249,0.82328105,-0.10405616,1.0292807,73,Sequential RNN
-0.7482218,-0.21976581,1.2306466,0.18569918,0.55164206,74,Sequential RNN
-0.28050363,-0.12712531,0.45687407,-0.12613292,1.0768877,75,Sequential RNN
0.29441428,-0.14096415,0.31593686,-0.3563763,0.8869893,76,Sequential RNN
-0.29477814,-0.41561198,0.9981943,0.105428636,0.6067672,77,Sequential RNN
-0.14690343,-0.30219853,0.68005997,-0.368771,1.1378131,78,Sequential RNN
0.023150135,-0.29471385,0.6713858,-0.41558582,1.0157638,79,Sequential RNN
-0.6742815,-0.18620902,1.2140015,-0.20418926,0.8506781,80,Sequential RNN
-0.17844877,-0.14537497,0.6740153,-0.49179146,1.1415998,81,Sequential RNN
-0.7055676,-0.20550038,1.3672152,0.0015582622,0.5422943,82,Sequential RNN
-0.42551127,-0.19868773,0.87964785,-0.16694424,0.91149557,83,Sequential RNN
-0.63926756,-0.20993748,0.9012494,0.15262619,0.7953296,84,Sequential RNN
-0.5620143,-0.1931769,0.8186477,0.013853568,0.9226902,85,Sequential RNN
-0.52199495,-0.31313857,1.091407,-0.013487331,0.7572141,86,Sequential RNN
-0.5838791,-0.23219775,0.9614373,-0.095969304,0.95060915,87,Sequential RNN
-0.45364696,-0.25003666,0.8787368,-0.1478646,0.9728116,88,Sequential RNN
-0.5223864,-0.3408367,1.069568,-0.18588735,0.9795424,89,Sequential RNN
-0.60249865,-0.21761408,0.7315401,-0.092450745,1.1810236,90,Sequential RNN
0.07551517,-0.01759497,0.28640914,-0.72006327,1.3757339,91,Sequential RNN
-0.49639916,-0.06712147,1.0390503,-0.20973003,0.7342003,92,Sequential RNN
-0.44061935,-0.43358493,0.66529757,0.14078017,1.0681263,93,Sequential RNN
-0.9453711,-0.36225274,1.1406823,0.5916057,0.5753359,94,Sequential RNN
-0.70726687,-0.26494008,1.146345,0.41727364,0.40858856,95,Sequential RNN
0.32611674,-0.21187463,0.21382023,-0.5325457,1.2044835,96,Sequential RNN
-0.62557596,-0.030096302,0.44932953,0.17236695,1.0339757,97,Sequential RNN
-0.36541963,-0.19471344,0.6432835,-0.048142172,0.9649919,98,Sequential RNN
-0.54241014,-0.27887002,1.1721798,-0.022722246,0.6718225,99,Sequential RNN
-0.5818425,-0.19988742,0.9869065,0.02651155,0.7683121,100,Sequential RNN
-0.7931785,-0.14306082,1.5774062,-0.22091682,0.57974946,101,Sequential RNN
-0.14094126,-0.012504586,0.4657476,-0.5977288,1.2854275,102,Sequential RNN
-0.3902014,-0.14692879,0.70594645,-0.250355,1.0815386,103,Sequential RNN
-1.0045644,-0.3522618,1.3571811,0.3614705,0.6381748,104,Sequential RNN
-0.67389596,-0.21020441,1.0814621,0.03338478,0.7692534,105,Sequential RNN
0.027033357,-0.14034848,0.45043963,-0.47628632,1.1391617,106,Sequential RNN
-0.5371176,-0.24637671,0.96226,-0.005218895,0.8264533,107,Sequential RNN
0.5252509,-0.09185099,0.1324127,-1.0846921,1.518879,108,Sequential RNN
-0.31601214,-0.21855134,0.9144027,-0.3953311,1.0154918,109,Sequential RNN
-0.12252459,-0.33494854,0.8399732,-0.80356354,1.4210632,110,Sequential RNN
-0.34342858,-0.16223615,0.2832547,0.14250542,1.0799047,111,Sequential RNN
0.93468255,-0.0019821064,-0.4425042,0.07937561,0.43042806,112,Sequential RNN
-0.7198737,-0.05575577,0.17598835,0.6735402,0.9261008,113,Sequential RNN
-0.7532545,-0.1296708,0.38626903,0.21671066,1.2799459,114,Sequential RNN
0.06205637,-0.39096412,0.35813,0.00906087,0.96171653,115,Sequential RNN
2.155834,0.2272926,-0.91241,-0.5520909,0.081374645,116,Sequential RNN
-0.90520227,-0.6008343,1.6040509,-0.035559427,0.9375452,117,Sequential RNN
-0.45513278,-0.23358786,1.1918623,-0.19758524,0.69444394,118,Sequential RNN
0.048126284,-0.23526964,0.8784379,-0.21077225,0.5194776,119,Sequential RNN
-0.19993198,-0.07508144,0.5560203,-0.03818772,0.757181,120,Sequential RNN
0.5650474,-0.07335922,0.24490494,-0.7082972,0.97170454,121,Sequential RNN
2.417291,-0.643524,-0.18335801,-0.41149068,-0.17891835,122,Sequential RNN
-1.6658015,-0.29911038,0.86532485,1.5086997,0.5908875,123,Sequential RNN
1.7771662,-0.49409717,-0.18115324,-0.9531446,0.8512285,124,Sequential RNN
2.6775916,-0.40593815,-0.8864675,-0.20377655,-0.18140948,125,Sequential RNN
-1.6561923,2.2841449,-0.5393454,0.0075026173,0.90389,126,Sequential RNN
2.5291147,-0.88206077,-0.548102,-0.20759492,0.10864264,127,Sequential RNN
4.88238,-5.439581,1.3151783,1.5409294,-1.2989058,128,Sequential RNN
2.5824225,-0.8974184,-0.5254373,0.14349492,-0.3030618,129,Sequential RNN
-1.9694908,3.961414,-2.287914,0.37538856,0.9206026,130,Sequential RNN
-0.24357086,-0.45434028,0.8965052,0.41015685,0.39124915,131,Sequential RNN
3.406853,-2.0144372,0.6610375,-0.75986046,-0.29359245,132,Sequential RNN
-1.8888451,-0.7452782,1.80397,1.6830336,0.14711945,133,Sequential RNN
-1.0131377,-1.3700721,1.6669471,1.2209299,0.49533245,134,Sequential RNN
-1.2371352,-0.8420688,2.4299634,0.54192835,0.10731247,135,Sequential RNN
0.95357686,-0.33252728,-0.010536986,-0.68270224,1.0721897,136,Sequential RNN
-0.41877648,-0.80040765,1.9261291,-0.25663224,0.54968697,137,Sequential RNN
-0.21126412,-0.27036178,0.795284,-0.1605534,0.84689546,138,Sequential RNN
0.6175256,-0.10281708,-0.18088122,0.6991806,-0.033007916,139,Sequential RNN
0.5939924,-0.1479145,-0.12878366,0.72811645,-0.04541074,140,Sequential RNN
0.65402985,-0.38153377,0.0920928,0.3122258,0.32318547,141,Sequential RNN
-1.2486955,-1.1616561,2.7122202,0.49575537,0.20237646,142,Sequential RNN
0.11636074,-1.3163065,2.2552733,-0.41177154,0.35644418,143,Sequential RNN
-0.051241115,-0.28568906,0.19863628,-0.10378478,1.2420787,144,Sequential RNN
-0.43983802,-0.4728595,1.720671,-0.39257172,0.5845978,145,Sequential RNN
0.25326115,-0.2400422,0.4598725,-0.50019705,1.0271057,146,Sequential RNN
-1.1340104,-0.27028513,1.3117971,-0.6076437,1.7001414,147,Sequential RNN
0.81371725,-0.31209508,1.2703968,-1.7582669,0.98624784,148,Sequential RNN
-0.8485889,-0.25924388,1.1504371,-0.2053824,1.1627781,149,Sequential RNN
-1.3845057,-0.21529217,2.33878,-0.5340637,0.7950808,150,Sequential RNN
-0.18123141,-0.18055445,0.8651332,-1.1865652,1.6832182,151,Sequential RNN
3.080323,-0.3785775,-0.91116875,-1.009936,0.21935897,152,Sequential RNN
-2.2414184,-0.61357653,2.43375,0.9136295,0.507616,153,Sequential RNN
-1.454773,-0.05532746,1.5269017,0.4475259,0.53567266,154,Sequential RNN
0.722603,0.68189704,-0.45280352,-0.6227659,0.6710693,155,Sequential RNN
-2.3562627,-1.0302885,2.2894964,1.1586475,0.93840706,156,Sequential RNN
-2.084934,-1.1201893,2.4876728,0.6676088,1.0498416,157,Sequential RNN
-1.1637058,-0.73678243,2.0440464,0.47414866,0.38229373,158,Sequential RNN
-0.20348376,-0.82428586,1.8395436,-0.1831026,0.37132907,159,Sequential RNN
1.7721177,-0.18431085,0.39611703,-1.2849225,0.30099848,160,Sequential RNN
-0.05636634,-0.2827446,0.48931873,-0.037037287,0.88682944,161,Sequential RNN
-0.95512384,-0.31526697,1.0540451,0.42374954,0.79259604,162,Sequential RNN
-0.8031502,-0.22065464,1.0224416,0.33324283,0.66811997,163,Sequential RNN
-1.1289263,0.084521145,1.1434034,0.15751567,0.7434862,164,Sequential RNN
-2.265986,-0.44248196,2.1806273,0.99043554,0.53740466,165,Sequential RNN
-0.911777,-0.737892,1.4743118,0.0068451785,1.1685117,166,Sequential RNN
-0.65885127,-0.2991918,1.1646186,-0.0055298577,0.7989545,167,Sequential RNN
-0.854897,-0.37024596,1.1164695,0.5705108,0.5381626,168,Sequential RNN
0.45620018,0.1907203,-0.4490929,-0.36934444,1.1715169,169,Sequential RNN
-0.8458988,-0.17534095,0.98477715,0.12749106,0.9089715,170,Sequential RNN
-0.9185094,-0.8792424,2.257306,0.41614422,0.124301195,171,Sequential RNN
-0.73976743,-0.32987595,1.4462222,0.50279176,0.120629355,172,Sequential RNN
-1.2166643,-0.64668137,2.0142398,0.5198769,0.32922894,173,Sequential RNN
-0.026418025,0.30619088,-0.50649136,-0.24755614,1.4742751,174,Sequential RNN
1.4064237,0.30962875,-0.7432123,-1.209469,1.2366285,175,Sequential RNN
-1.9145403,0.19796687,1.1032258,0.7964905,0.816857,176,Sequential RNN
-2.6365573,-0.63925284,2.105185,0.9730377,1.1975878,177,Sequential RNN
-1.4462761,-0.22982351,1.4737021,0.71297485,0.48942277,178,Sequential RNN
-0.80237037,-0.103326604,0.28237638,0.36605155,1.2572694,179,Sequential RNN
-1.8464397,-0.2611282,1.2494197,1.1917907,0.6663575,180,Sequential RNN
-1.4554077,-0.25311244,1.3909042,0.86976594,0.44784993,181,Sequential RNN
-0.8139228,-1.1743093,2.4231496,0.1704069,0.394675,182,Sequential RNN
-0.56597143,-0.34448525,1.3590064,0.008332975,0.5431175,183,Sequential RNN
-0.31239426,-0.5675559,1.7499188,-0.5085317,0.6385629,184,Sequential RNN
-0.2074078,-0.24742867,0.91194344,-0.42857134,0.9714644,185,Sequential RNN
0.09396604,-0.14125478,0.6123342,-0.41267768,0.8476323,186,Sequential RNN
-0.19557038,-0.16369477,0.75883275,-0.29508075,0.89551294,187,Sequential RNN
0.5042437,-0.9156303,1.1947961,-0.32168946,0.53828,188,Sequential RNN
-0.827021,0.06595188,0.4349552,0.09008325,1.2360309,189,Sequential RNN
-0.23769788,-0.6648314,0.75410837,-1.7767137,2.925135,190,Sequential RNN
-2.2573311,-0.14748195,1.8083584,0.9913303,0.605124,191,Sequential RNN
-0.19178459,-0.084987134,0.904093,-1.7677699,2.140448,192,Sequential RNN
0.37622508,-0.13088216,0.31310442,-1.1247284,1.5662818,193,Sequential RNN
-0.4749196,-0.19887555,0.91820127,-0.39296532,1.1485592,194,Sequential RNN
-0.07285826,-0.13845517,0.5502226,-0.48459765,1.1456888,195,Sequential RNN
-0.61261594,-0.40867767,1.309565,0.15150161,0.56022716,196,Sequential RNN
-0.9922407,-0.42625374,1.4196367,0.673,0.3258583,197,Sequential RNN
-0.3009549,-0.23670621,0.08973973,0.22848375,1.2194375,198,Sequential RNN
-1.138451,-0.19748111,1.0662968,0.86095166,0.40868333,199,Sequential RNN
-0.7097227,-0.2679345,1.0484052,0.220741,0.70851105,200,Sequential RNN
-0.5822331,-0.37272444,1.2741743,0.101670444,0.5791129,201,Sequential RNN
-0.28935102,-0.19511032,0.8894538,-0.06984744,0.66485506,202,Sequential RNN
-0.45357475,-0.09431239,1.0256035,-0.10808661,0.63037014,203,Sequential RNN
-0.010512885,-0.7531823,1.5313002,-0.54029727,0.7726921,204,Sequential RNN
0.36004457,-0.32405946,0.6952646,-1.2405881,1.5093384,205,Sequential RNN
0.19642307,-0.028777188,0.035464097,-0.61507815,1.4119679,206,Sequential RNN
-0.23644269,-0.08335918,0.33546832,-0.30763695,1.2919705,207,Sequential RNN
-0.66786844,-0.25501305,1.0630488,0.22467253,0.6351601,208,Sequential RNN
