Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-0.6038459,-1.4180827,-0.94233406,-0.6887142,0.6980964,15,MAP,Normal,Sequential LSTM
2,0.2302744,-2.2134123,-1.6498381,-1.3493989,0.8269684,15,MAP,Normal,Sequential LSTM
3,0.16498043,-2.1540554,-1.5958385,-1.2982552,0.81910706,15,MAP,Normal,Sequential LSTM
4,0.06091491,-1.589648,-1.1092285,-0.8531187,0.70495015,15,MAP,Normal,Sequential LSTM
5,0.092646964,-1.8728813,-1.3127272,-1.014111,0.8219499,15,MAP,Normal,Sequential LSTM
6,0.65263087,-1.4297844,-1.0020313,-0.7739977,0.62766945,15,MAP,Normal,Sequential LSTM
7,0.76251626,-2.029965,-1.4580586,-1.1531774,0.8391948,15,MAP,Normal,Sequential LSTM
8,-0.5819844,-2.0437925,-1.3862153,-1.0356635,0.9649047,15,MAP,Normal,Sequential LSTM
9,0.83742803,-2.5088491,-1.8598943,-1.5139388,0.95225304,15,MAP,Normal,Sequential LSTM
10,-0.2327716,-1.6931593,-1.1569614,-0.8711163,0.7867974,15,MAP,Normal,Sequential LSTM
11,0.31051028,-1.8884056,-1.325619,-1.0255996,0.8258125,15,MAP,Normal,Sequential LSTM
12,-0.24073307,-2.0740259,-1.535141,-1.2478635,0.79074013,15,MAP,Normal,Sequential LSTM
13,-0.83290756,-1.9803401,-1.2884567,-0.9196161,1.0152448,15,MAP,Normal,Sequential LSTM
14,-0.15619406,-1.575286,-1.0186487,-0.7219074,0.8167895,15,MAP,Normal,Sequential LSTM
15,-0.33258852,-2.4564197,-1.8642915,-1.5486302,0.86886734,15,MAP,Normal,Sequential LSTM
16,-0.18131284,-2.0374227,-1.5403353,-1.2753397,0.7294082,15,MAP,Normal,Sequential LSTM
17,-0.7555781,-1.5351121,-0.9745209,-0.6756718,0.8225912,15,MAP,Normal,Sequential LSTM
18,-0.9165729,-1.8937579,-1.2632111,-0.9270689,0.92524165,15,MAP,Normal,Sequential LSTM
19,-0.22228481,-2.2404258,-1.6959823,-1.4057415,0.7988968,15,MAP,Normal,Sequential LSTM
20,0.60212183,-2.11284,-1.6070706,-1.3374468,0.74214774,15,MAP,Normal,Sequential LSTM
21,-0.020388989,-1.5234985,-1.1413198,-0.9375817,0.5607953,15,MAP,Normal,Sequential LSTM
22,0.11489457,-1.5030593,-1.0671571,-0.83477926,0.63962716,15,MAP,Normal,Sequential LSTM
