Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-0.88055444,-2.024103,-1.4666988,-1.1695487,0.81791466,15,MAP,Normal,Sequential RNN
2,0.22661687,-3.3765118,-2.6416519,-2.2499008,1.0783069,15,MAP,Normal,Sequential RNN
3,0.34446624,-1.975933,-1.4111962,-1.1101371,0.82867426,15,MAP,Normal,Sequential RNN
4,0.3546771,-2.3004916,-1.6758237,-1.3428156,0.91661495,15,MAP,Normal,Sequential RNN
5,0.05685769,-2.195568,-1.6370348,-1.3392826,0.81957173,15,MAP,Normal,Sequential RNN
6,0.588791,-2.1488426,-1.6354047,-1.3616929,0.75340015,15,MAP,Normal,Sequential RNN
7,0.9110093,-2.5334742,-1.8785021,-1.529339,0.96108234,15,MAP,Normal,Sequential RNN
8,-0.24394925,-2.234155,-1.6034842,-1.2672759,0.92542344,15,MAP,Normal,Sequential RNN
9,1.0887306,-2.510406,-1.8264368,-1.4618154,1.0036317,15,MAP,Normal,Sequential RNN
10,-0.37516913,-2.120679,-1.4495527,-1.0917778,0.9847862,15,MAP,Normal,Sequential RNN
11,0.5089804,-2.1961884,-1.5434563,-1.1954873,0.95779556,15,MAP,Normal,Sequential RNN
12,-0.44175947,-2.541996,-1.9270148,-1.5991707,0.90240103,15,MAP,Normal,Sequential RNN
13,-0.9855513,-2.304089,-1.5952685,-1.2173988,1.0400978,15,MAP,Normal,Sequential RNN
14,0.025063224,-2.187648,-1.5096984,-1.1482859,0.99479896,15,MAP,Normal,Sequential RNN
15,0.07363842,-2.774215,-2.1190066,-1.7697175,0.961429,15,MAP,Normal,Sequential RNN
16,-0.19568186,-2.5318532,-1.9579269,-1.6519688,0.8421587,15,MAP,Normal,Sequential RNN
17,-0.8676312,-2.1058457,-1.4808916,-1.147731,0.9170349,15,MAP,Normal,Sequential RNN
18,-1.0350416,-2.7859898,-1.9780179,-1.547291,1.1855888,15,MAP,Normal,Sequential RNN
19,-0.3577278,-2.6784832,-2.006822,-1.6487619,0.98557156,15,MAP,Normal,Sequential RNN
20,0.7391505,-2.3397403,-1.7316316,-1.4074513,0.8923165,15,MAP,Normal,Sequential RNN
21,-0.058496267,-2.0473998,-1.528536,-1.2519317,0.76136196,15,MAP,Normal,Sequential RNN
22,0.11829243,-2.084682,-1.5468483,-1.2601312,0.78919756,15,MAP,Normal,Sequential RNN
23,-0.07372211,-1.9654073,-1.4810437,-1.2228312,0.71073765,15,MAP,Normal,Sequential RNN
24,0.46731427,-1.6081247,-1.0992671,-0.8279971,0.7466792,15,MAP,Normal,Sequential RNN
25,0.27763146,-1.951508,-1.4701298,-1.213509,0.70635694,15,MAP,Normal,Sequential RNN
26,-1.020523,-2.109423,-1.4734343,-1.1343911,0.9332267,15,MAP,Normal,Sequential RNN
27,-0.035407957,-2.6389976,-1.9132911,-1.5264198,1.0648754,15,MAP,Normal,Sequential RNN
28,0.59031427,-2.3330693,-1.7168365,-1.3883249,0.90423805,15,MAP,Normal,Sequential RNN
29,0.7871721,-2.3856618,-1.7913289,-1.4744922,0.8721027,15,MAP,Normal,Sequential RNN
30,0.025386043,-2.1588829,-1.569163,-1.2547855,0.8653337,15,MAP,Normal,Sequential RNN
31,-0.19009924,-2.3413343,-1.7844533,-1.4875821,0.81714714,15,MAP,Normal,Sequential RNN
32,0.6940298,-1.9972519,-1.5251747,-1.2735121,0.6927089,15,MAP,Normal,Sequential RNN
33,1.1025908,-1.9325775,-1.4597569,-1.207698,0.6937999,15,MAP,Normal,Sequential RNN
34,-0.4723772,-1.9962983,-1.4621419,-1.1773851,0.78380173,15,MAP,Normal,Sequential RNN
35,0.030111816,-2.2285528,-1.6335486,-1.316354,0.87308776,15,MAP,Normal,Sequential RNN
36,0.022689123,-2.6111517,-1.9413382,-1.5842631,0.98286015,15,MAP,Normal,Sequential RNN
37,-0.42838347,-2.7200563,-2.0378833,-1.6742194,1.000996,15,MAP,Normal,Sequential RNN
38,0.56558335,-2.012902,-1.390307,-1.0584038,0.91357356,15,MAP,Normal,Sequential RNN
39,-0.7713768,-2.0141435,-1.4287285,-1.1166459,0.8590169,15,MAP,Normal,Sequential RNN
40,0.45486844,-2.612116,-1.9657185,-1.6211264,0.94850034,15,MAP,Normal,Sequential RNN
41,-0.40214157,-2.4314146,-1.8628851,-1.5598042,0.83423966,15,MAP,Normal,Sequential RNN
42,-0.16866384,-2.4137192,-1.7101127,-1.3350227,1.0324466,15,MAP,Normal,Sequential RNN
43,1.0218363,-2.3876102,-1.7896839,-1.4709316,0.87737536,15,MAP,Normal,Sequential RNN
44,0.11065584,-2.7278743,-2.0006745,-1.613007,1.0670666,15,MAP,Normal,Sequential RNN
45,0.19147515,-2.6772912,-1.992123,-1.6268624,1.0053909,15,MAP,Normal,Sequential RNN
46,0.6933357,-2.5037746,-1.9602709,-1.6705309,0.7975179,15,MAP,Normal,Sequential RNN
47,-0.08968045,-2.1988637,-1.5834842,-1.2554276,0.9029858,15,MAP,Normal,Sequential RNN
48,-0.34240112,-1.9211829,-1.4650371,-1.2218674,0.66933185,15,MAP,Normal,Sequential RNN
49,-0.5620309,-2.781245,-2.0292108,-1.6283042,1.1035075,15,MAP,Normal,Sequential RNN
50,0.4139731,-2.3620667,-1.7126572,-1.3664594,0.9529202,15,MAP,Normal,Sequential RNN
51,0.08827783,-2.2336316,-1.6351477,-1.3160981,0.8781938,15,MAP,Normal,Sequential RNN
52,0.35447472,-2.016757,-1.5465504,-1.295885,0.68996406,15,MAP,Normal,Sequential RNN
53,0.635037,-1.9149343,-1.4118112,-1.1435982,0.73826456,15,MAP,Normal,Sequential RNN
54,-1.2986203,-2.2150285,-1.6623938,-1.3677863,0.8109162,15,MAP,Normal,Sequential RNN
55,0.2551084,-1.9282991,-1.2917013,-0.95233345,0.9341205,15,MAP,Normal,Sequential RNN
56,-0.7036711,-2.044374,-1.5260139,-1.2496781,0.7606227,15,MAP,Normal,Sequential RNN
57,0.7886851,-2.2274437,-1.5829705,-1.2394043,0.9456766,15,MAP,Normal,Sequential RNN
58,0.5139207,-2.2046542,-1.6086949,-1.2909913,0.874489,15,MAP,Normal,Sequential RNN
59,-0.19405991,-2.0382793,-1.4967766,-1.2081034,0.79458165,15,MAP,Normal,Sequential RNN
60,-0.22953233,-2.4464154,-1.8437405,-1.5224566,0.88434345,15,MAP,Normal,Sequential RNN
61,-0.5087742,-2.213858,-1.5758183,-1.2356818,0.9362363,15,MAP,Normal,Sequential RNN
62,0.2696748,-2.3209467,-1.7265624,-1.4096982,0.872178,15,MAP,Normal,Sequential RNN
63,0.006460808,-2.3015487,-1.7366158,-1.4354522,0.8289619,15,MAP,Normal,Sequential RNN
64,1.9580487,-2.8319037,-2.1593611,-1.8008312,0.9868646,15,MAP,Normal,Sequential RNN
65,1.196235,-1.8209018,-1.2871834,-1.0026602,0.783159,15,MAP,Normal,Sequential RNN
66,0.16601864,-2.168635,-1.6299759,-1.342819,0.7904085,15,MAP,Normal,Sequential RNN
67,-0.1275729,-2.105984,-1.5471653,-1.249261,0.8199903,15,MAP,Normal,Sequential RNN
68,0.35533023,-2.2460341,-1.6500881,-1.3323914,0.87446964,15,MAP,Normal,Sequential RNN
69,1.0849563,-2.181025,-1.633789,-1.3420594,0.80299455,15,MAP,Normal,Sequential RNN
70,-0.091963634,-2.377923,-1.7947156,-1.48381,0.8557774,15,MAP,Normal,Sequential RNN
71,-0.1732294,-2.4027324,-1.8013736,-1.4807914,0.882412,15,MAP,Normal,Sequential RNN
72,0.09733231,-2.0300062,-1.4618809,-1.1590154,0.8336465,15,MAP,Normal,Sequential RNN
73,0.68620425,-2.3283043,-1.7128935,-1.3848202,0.9030316,15,MAP,Normal,Sequential RNN
74,-0.46932745,-2.0350835,-1.4886302,-1.197318,0.8018459,15,MAP,Normal,Sequential RNN
75,-0.07142479,-2.3644116,-1.7133973,-1.3663439,0.95527506,15,MAP,Normal,Sequential RNN
76,-0.1514247,-2.3909068,-1.738297,-1.3903931,0.95761615,15,MAP,Normal,Sequential RNN
77,0.09879376,-1.9600259,-1.4359671,-1.1565933,0.7689849,15,MAP,Normal,Sequential RNN
78,-0.4570345,-2.3504245,-1.6833483,-1.3277326,0.9788433,15,MAP,Normal,Sequential RNN
79,0.28025258,-2.6975465,-2.0747519,-1.7427423,0.9138662,15,MAP,Normal,Sequential RNN
80,0.24033909,-2.0753207,-1.5178117,-1.2206056,0.8180686,15,MAP,Normal,Sequential RNN
81,0.51845825,-2.0894227,-1.5059011,-1.1948279,0.85623837,15,MAP,Normal,Sequential RNN
82,0.287436,-2.728765,-2.0973592,-1.7607589,0.9265023,15,MAP,Normal,Sequential RNN
83,0.2412381,-2.355176,-1.7780364,-1.4703655,0.8468736,15,MAP,Normal,Sequential RNN
84,0.8770044,-2.714914,-1.9920813,-1.6067419,1.0606586,15,MAP,Normal,Sequential RNN
85,0.83065504,-2.20799,-1.6474686,-1.3486568,0.8224886,15,MAP,Normal,Sequential RNN
86,0.25788152,-2.295635,-1.7602341,-1.4748138,0.785628,15,MAP,Normal,Sequential RNN
87,1.0058974,-2.5545719,-1.9049966,-1.5587105,0.9531632,15,MAP,Normal,Sequential RNN
88,0.7879043,-2.3392582,-1.6756542,-1.3218894,0.97374856,15,MAP,Normal,Sequential RNN
89,0.63176143,-2.3613617,-1.6980904,-1.344503,0.97326016,15,MAP,Normal,Sequential RNN
90,0.0356735,-2.4711685,-1.8644614,-1.5410281,0.89026,15,MAP,Normal,Sequential RNN
91,0.27412185,-2.6088986,-1.892678,-1.5108634,1.0509562,15,MAP,Normal,Sequential RNN
92,-1.3160738,-2.6570692,-1.8139882,-1.364545,1.2371063,15,MAP,Normal,Sequential RNN
93,0.35752532,-2.364901,-1.8003244,-1.4993507,0.82843935,15,MAP,Normal,Sequential RNN
94,0.2760025,-2.1941907,-1.6124083,-1.3022622,0.8536866,15,MAP,Normal,Sequential RNN
95,-0.42182487,-2.0019329,-1.4191142,-1.1084158,0.85520685,15,MAP,Normal,Sequential RNN
96,-0.07250673,-3.1487172,-2.3462515,-1.91846,1.1775091,15,MAP,Normal,Sequential RNN
97,-0.44457108,-2.320666,-1.5318062,-1.1112679,1.1575445,15,MAP,Normal,Sequential RNN
98,0.9274274,-2.2877119,-1.7179452,-1.4142047,0.8360549,15,MAP,Normal,Sequential RNN
99,0.61273974,-2.16433,-1.6686474,-1.404401,0.7273465,15,MAP,Normal,Sequential RNN
100,-0.816214,-2.531348,-1.9909376,-1.7028469,0.7929786,15,MAP,Normal,Sequential RNN
101,-0.3069719,-2.0148141,-1.4897383,-1.2098224,0.77047724,15,MAP,Normal,Sequential RNN
102,0.44586578,-2.0575902,-1.4621166,-1.1446718,0.87377656,15,MAP,Normal,Sequential RNN
103,0.5696687,-2.5401306,-1.9184395,-1.5870183,0.912247,15,MAP,Normal,Sequential RNN
104,-0.2045216,-2.3345032,-1.7720972,-1.4722807,0.8252541,15,MAP,Normal,Sequential RNN
105,-0.3283941,-2.3838143,-1.774709,-1.4499971,0.89377934,15,MAP,Normal,Sequential RNN
106,0.32387114,-2.2506282,-1.6546354,-1.336914,0.8745382,15,MAP,Normal,Sequential RNN
107,-0.28051728,-2.4661024,-1.8505088,-1.5223382,0.9032997,15,MAP,Normal,Sequential RNN
108,0.096674874,-2.6731281,-1.9776275,-1.6068587,1.0205523,15,MAP,Normal,Sequential RNN
109,0.15770496,-2.535117,-1.9521078,-1.6413077,0.8554866,15,MAP,Normal,Sequential RNN
110,0.3592952,-2.3600647,-1.7166164,-1.3735965,0.94417274,15,MAP,Normal,Sequential RNN
111,-2.1142297,-2.0325725,-1.4439919,-1.1302218,0.86366177,15,MAP,Normal,Sequential RNN
112,-2.4384217,-2.359969,-1.4588118,-0.9784081,1.3223256,15,MAP,Normal,Sequential RNN
