Asset_1_Weight,Asset_2_Weight,Day,Model
1.1775874,-0.17758742,1,Sequential LSTM
1.1806802,-0.1806801,2,Sequential LSTM
1.1776564,-0.1776564,3,Sequential LSTM
1.1800859,-0.1800859,4,Sequential LSTM
1.1771803,-0.17718029,5,Sequential LSTM
1.1806283,-0.1806283,6,Sequential LSTM
1.1800679,-0.1800679,7,Sequential LSTM
1.1787994,-0.17879938,8,Sequential LSTM
1.1688812,-0.16888116,9,Sequential LSTM
1.1478584,-0.14785832,10,Sequential LSTM
1.1806552,-0.1806552,11,Sequential LSTM
1.181194,-0.18119398,12,Sequential LSTM
1.1786815,-0.17868154,13,Sequential LSTM
1.1636114,-0.16361138,14,Sequential LSTM
1.1111208,-0.111120805,15,Sequential LSTM
1.1432686,-0.14326857,16,Sequential LSTM
1.1620768,-0.16207688,17,Sequential LSTM
1.1767975,-0.17679745,18,Sequential LSTM
1.162196,-0.16219608,19,Sequential LSTM
1.1759127,-0.17591275,20,Sequential LSTM
1.1624937,-0.16249372,21,Sequential LSTM
1.1794971,-0.17949706,22,Sequential LSTM
1.1805127,-0.1805127,23,Sequential LSTM
1.18024,-0.18024002,24,Sequential LSTM
1.1767075,-0.17670748,25,Sequential LSTM
1.1801163,-0.18011631,26,Sequential LSTM
1.1667839,-0.1667839,27,Sequential LSTM
1.113344,-0.113344006,28,Sequential LSTM
1.1724238,-0.1724238,29,Sequential LSTM
1.1670846,-0.16708463,30,Sequential LSTM
1.1806371,-0.18063715,31,Sequential LSTM
1.1425914,-0.1425914,32,Sequential LSTM
1.1763892,-0.17638925,33,Sequential LSTM
1.1752553,-0.17525533,34,Sequential LSTM
1.178482,-0.17848212,35,Sequential LSTM
1.1425216,-0.14252166,36,Sequential LSTM
1.17836,-0.17835996,37,Sequential LSTM
1.1804614,-0.18046139,38,Sequential LSTM
1.1736007,-0.17360063,39,Sequential LSTM
1.1808071,-0.18080716,40,Sequential LSTM
1.1530865,-0.15308654,41,Sequential LSTM
1.1791613,-0.1791613,42,Sequential LSTM
1.1654613,-0.16546127,43,Sequential LSTM
