Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.33462006,-0.16610944,0.616412,-0.19461513,1.0789326,1,Sequential LSTM
-0.38207066,0.030779706,0.071944274,0.011550393,1.2677963,2,Sequential LSTM
-0.40722936,-0.16623165,0.7022918,-0.20127015,1.0724393,3,Sequential LSTM
-0.56892395,-0.19857877,0.75881565,0.04463516,0.9640519,4,Sequential LSTM
-0.39185622,-0.18526067,0.6763938,-0.12338346,1.0241065,5,Sequential LSTM
-0.46441147,-0.15562965,0.56064665,0.012587933,1.0468066,6,Sequential LSTM
-0.06392164,-0.050765324,0.21809848,-0.20481963,1.1014081,7,Sequential LSTM
-0.40912914,-0.19592305,0.69817597,-0.07038742,0.9772636,8,Sequential LSTM
-0.41901398,-0.14900355,0.618998,-0.1840916,1.1331111,9,Sequential LSTM
-0.5058203,-0.19266826,0.80826074,-0.106808305,0.9970361,10,Sequential LSTM
-0.49861515,-0.09775823,0.54797345,-0.18398874,1.2323886,11,Sequential LSTM
-0.6994613,-0.18728831,0.79227775,0.12113478,0.97333705,12,Sequential LSTM
-0.2048455,-0.005013629,0.121950015,-0.11019822,1.1981074,13,Sequential LSTM
-0.006128482,0.02349734,0.18477018,-0.3808191,1.1786801,14,Sequential LSTM
-0.6734903,-0.1390508,0.7527867,-0.06471163,1.1244661,15,Sequential LSTM
-0.3602145,-0.12554926,0.5856,-0.18714218,1.0873059,16,Sequential LSTM
-0.5803856,-0.1261405,0.595746,-0.06781902,1.1785991,17,Sequential LSTM
-0.4923858,0.032658223,0.08385123,0.13166401,1.2442124,18,Sequential LSTM
-0.6215723,-0.07895547,0.5314913,-0.017792078,1.1868286,19,Sequential LSTM
-0.48583198,-0.050386682,0.43959892,-0.19055845,1.2871782,20,Sequential LSTM
-0.09388842,-0.070950106,0.4026345,-0.35330078,1.1155047,21,Sequential LSTM
-0.47466174,-0.098067254,0.39347294,0.10982096,1.0694351,22,Sequential LSTM
-0.3117609,-0.1395723,0.57074493,-0.25740784,1.1379961,23,Sequential LSTM
-0.4104759,-0.17323466,0.6048851,-0.0309509,1.0097764,24,Sequential LSTM
-0.36174858,-0.18220925,0.6812759,-0.1450242,1.0077062,25,Sequential LSTM
-0.28725266,-0.21868043,0.744974,-0.14346018,0.90441924,26,Sequential LSTM
-0.3574646,-0.17528524,0.6873894,-0.1327785,0.97813904,27,Sequential LSTM
-0.5324573,-0.14137197,0.6804608,0.05897673,0.9343917,28,Sequential LSTM
-0.235516,-0.20085974,0.6825461,-0.18164183,0.9354715,29,Sequential LSTM
-0.3346241,-0.21097423,0.7498736,-0.13411166,0.9298364,30,Sequential LSTM
-0.44729185,-0.19384167,0.7511208,-0.11323209,1.0032448,31,Sequential LSTM
-0.41569522,-0.21172728,0.79433,-0.08095295,0.91404545,32,Sequential LSTM
-0.40188968,-0.15780321,0.5609547,-0.07927812,1.0780163,33,Sequential LSTM
-0.47281784,-0.20223704,0.8117124,-0.14454776,1.0078902,34,Sequential LSTM
-0.28613144,-0.17003518,0.5461926,-0.11028749,1.0202615,35,Sequential LSTM
-0.34505412,-0.14079869,0.6363364,-0.17555724,1.0250736,36,Sequential LSTM
-0.43078423,-0.12337655,0.61383694,-0.072198905,1.0125227,37,Sequential LSTM
-0.31487107,-0.087714836,0.29412517,-0.013385511,1.1218462,38,Sequential LSTM
-0.47893023,-0.2050449,0.7750249,-0.064129315,0.97307956,39,Sequential LSTM
-0.46245053,-0.17868812,0.7283264,-0.13932091,1.0521332,40,Sequential LSTM
-0.48330826,-0.1728651,0.7424897,-0.17012882,1.0838125,41,Sequential LSTM
-0.49290663,-0.14931166,0.7572927,-0.23162612,1.1165518,42,Sequential LSTM
-0.59243387,-0.1612309,0.6759083,0.0038537923,1.0739026,43,Sequential LSTM
-0.3352944,-0.19318344,0.72260267,-0.20341815,1.0092933,44,Sequential LSTM
-0.48432964,-0.18111579,0.6667585,0.013424788,0.98526216,45,Sequential LSTM
-0.30250767,-0.13171035,0.47678962,-0.17799988,1.1354283,46,Sequential LSTM
-0.3575882,-0.20250568,0.7020153,-0.103806786,0.9618854,47,Sequential LSTM
-0.5716633,-0.17623183,0.813326,-0.13729706,1.0718663,48,Sequential LSTM
-0.54311156,-0.15516423,0.7123349,-0.15221502,1.1381559,49,Sequential LSTM
-0.51608956,-0.179982,0.799388,-0.17144968,1.0681332,50,Sequential LSTM
