Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,Model
-0.29852852,-0.07067899,-2.0736284,-0.08696664,-0.7012279,0.5334003,-0.1409539,0.35859004,-0.076952435,0.5120816,-0.46597055,-0.24173534,3.6142352,1.5661786,-1.4278432,1,Sequential RNN
-0.4434986,-0.037687678,-2.5112953,0.07655046,-1.0252476,0.4923305,-0.049974095,-0.13176252,0.031956207,0.3238548,-0.63782585,-0.07732199,4.678041,1.7531859,-1.441305,2,Sequential RNN
-0.26307788,-0.07729734,-1.9019427,-0.016232217,-0.69207656,0.98334837,-0.07801758,0.13749774,0.1482967,0.5329661,-0.7541628,-0.05530024,3.308067,1.008865,-1.2809337,3,Sequential RNN
-0.3175909,-0.078190975,-2.2462049,-0.032335293,-0.79454434,0.69351363,-0.11156398,0.16880119,-0.023856264,0.4437538,-0.7704734,-0.123871826,4.033961,1.4555233,-1.296921,4,Sequential RNN
-0.27133042,-0.057177845,-2.0837839,-0.042781238,-0.7643171,0.7927791,-0.041621737,0.073698565,0.07167455,0.46393812,-0.76201296,-0.10662366,3.7355485,1.1465423,-1.1545322,5,Sequential RNN
-0.22446741,-0.07275129,-1.6786808,-0.0573293,-0.63800293,0.7451126,-0.066618085,0.20153745,-0.048324093,0.47055694,-0.68665874,-0.13380517,3.0810797,1.385914,-1.2775627,6,Sequential RNN
-0.29634565,-0.09843772,-1.9573836,-0.09130231,-0.83507824,0.99907106,-0.06781171,0.2676878,0.041075736,0.50422776,-0.88107145,-0.14512789,3.6606443,1.3140427,-1.4141906,7,Sequential RNN
-0.32710278,-0.08048143,-2.0622933,-0.10705221,-0.88117343,0.8841958,-0.029691184,0.14949866,0.15042622,0.66015,-0.8284989,-0.11193349,3.7480009,0.9623637,-1.1264086,8,Sequential RNN
-0.37116727,-0.13546835,-2.367118,-0.13778399,-0.8501357,0.42351222,-0.12926637,0.4575291,0.017601173,0.41764483,-0.64366555,-0.22574644,4.1519403,2.1077628,-1.7156394,9,Sequential RNN
-0.25160503,-0.14463949,-2.3944037,-0.137756,-0.91018265,0.5051658,-0.0915709,0.21079029,0.12578969,0.64384705,-0.70570046,-0.12970601,4.1265893,1.3052621,-1.15188,10,Sequential RNN
-0.28336146,-0.120028436,-2.4639862,-0.11427971,-0.93740124,0.7282062,-0.07593923,0.1345855,0.111881904,0.531515,-0.6916318,-0.11193386,4.362374,0.91771835,-0.9877189,11,Sequential RNN
