Asset_1_Weight,Asset_2_Weight,Day,Model
1.2576174,-0.25761738,1,Sequential RNN
1.2556827,-0.25568277,2,Sequential RNN
1.2497491,-0.24974905,3,Sequential RNN
1.254368,-0.25436798,4,Sequential RNN
1.258679,-0.25867897,5,Sequential RNN
1.257089,-0.25708896,6,Sequential RNN
1.2539233,-0.2539233,7,Sequential RNN
1.2573254,-0.25732538,8,Sequential RNN
1.2386179,-0.23861784,9,Sequential RNN
1.2136626,-0.21366265,10,Sequential RNN
1.2547646,-0.25476462,11,Sequential RNN
1.2574065,-0.2574065,12,Sequential RNN
1.2582363,-0.2582363,13,Sequential RNN
1.2621789,-0.26217887,14,Sequential RNN
1.1250911,-0.12509105,15,Sequential RNN
1.2046567,-0.20465668,16,Sequential RNN
1.2591032,-0.25910318,17,Sequential RNN
1.2580541,-0.25805414,18,Sequential RNN
1.2293023,-0.22930233,19,Sequential RNN
1.2473079,-0.24730787,20,Sequential RNN
1.2161583,-0.21615832,21,Sequential RNN
1.253126,-0.253126,22,Sequential RNN
1.2555387,-0.25553864,23,Sequential RNN
1.2505668,-0.25056678,24,Sequential RNN
1.2487582,-0.24875824,25,Sequential RNN
1.2544456,-0.25444558,26,Sequential RNN
1.2380073,-0.23800734,27,Sequential RNN
1.162506,-0.16250592,28,Sequential RNN
1.245158,-0.24515794,29,Sequential RNN
1.2388284,-0.23882847,30,Sequential RNN
1.2528176,-0.25281766,31,Sequential RNN
1.207917,-0.20791698,32,Sequential RNN
1.2579422,-0.25794217,33,Sequential RNN
1.2477487,-0.24774867,34,Sequential RNN
1.2587943,-0.25879437,35,Sequential RNN
1.2061998,-0.20619972,36,Sequential RNN
1.2518809,-0.25188085,37,Sequential RNN
1.2551725,-0.2551725,38,Sequential RNN
1.2600442,-0.26004425,39,Sequential RNN
1.252904,-0.2529041,40,Sequential RNN
1.2603074,-0.2603075,41,Sequential RNN
1.249811,-0.24981104,42,Sequential RNN
1.2601148,-0.26011482,43,Sequential RNN
1.2578946,-0.25789464,44,Sequential RNN
1.250732,-0.2507319,45,Sequential RNN
1.252644,-0.25264394,46,Sequential RNN
1.2552556,-0.2552556,47,Sequential RNN
1.2572978,-0.25729772,48,Sequential RNN
1.2293184,-0.22931834,49,Sequential RNN
1.2159005,-0.21590054,50,Sequential RNN
1.2113725,-0.21137252,51,Sequential RNN
1.2583487,-0.25834876,52,Sequential RNN
1.2584969,-0.25849685,53,Sequential RNN
1.2442012,-0.2442012,54,Sequential RNN
1.222938,-0.22293796,55,Sequential RNN
1.241034,-0.24103397,56,Sequential RNN
1.220306,-0.22030605,57,Sequential RNN
1.1865977,-0.18659766,58,Sequential RNN
1.2542,-0.2542,59,Sequential RNN
1.2307322,-0.23073216,60,Sequential RNN
1.2478362,-0.24783622,61,Sequential RNN
1.2526808,-0.25268075,62,Sequential RNN
1.2409321,-0.2409321,63,Sequential RNN
1.2200412,-0.22004117,64,Sequential RNN
1.2510309,-0.25103095,65,Sequential RNN
1.2510928,-0.2510928,66,Sequential RNN
1.2346778,-0.23467785,67,Sequential RNN
1.208916,-0.208916,68,Sequential RNN
1.2493612,-0.24936111,69,Sequential RNN
1.2551519,-0.2551518,70,Sequential RNN
1.2272649,-0.22726484,71,Sequential RNN
1.2563605,-0.25636047,72,Sequential RNN
1.2140676,-0.21406755,73,Sequential RNN
1.2554948,-0.25549486,74,Sequential RNN
1.2523583,-0.25235826,75,Sequential RNN
1.2475264,-0.24752645,76,Sequential RNN
1.163401,-0.16340096,77,Sequential RNN
1.2583687,-0.25836876,78,Sequential RNN
1.2583655,-0.25836545,79,Sequential RNN
1.2581211,-0.2581212,80,Sequential RNN
1.252965,-0.25296494,81,Sequential RNN
1.2554555,-0.25545552,82,Sequential RNN
1.2534229,-0.2534229,83,Sequential RNN
1.2543521,-0.25435212,84,Sequential RNN
1.2520097,-0.25200975,85,Sequential RNN
1.2589933,-0.2589932,86,Sequential RNN
1.2518581,-0.2518581,87,Sequential RNN
1.2264782,-0.22647826,88,Sequential RNN
1.2597071,-0.2597071,89,Sequential RNN
1.2208383,-0.22083828,90,Sequential RNN
1.2198964,-0.21989648,91,Sequential RNN
1.2592068,-0.2592068,92,Sequential RNN
1.259315,-0.259315,93,Sequential RNN
1.1337326,-0.1337326,94,Sequential RNN
1.2576065,-0.25760645,95,Sequential RNN
1.2597874,-0.2597874,96,Sequential RNN
1.2596754,-0.25967532,97,Sequential RNN
1.1802065,-0.18020657,98,Sequential RNN
1.2445987,-0.24459878,99,Sequential RNN
1.2533568,-0.2533568,100,Sequential RNN
1.2569292,-0.25692913,101,Sequential RNN
1.261467,-0.26146695,102,Sequential RNN
1.2589236,-0.25892365,103,Sequential RNN
