Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,Model
-0.015889399,-0.006253874,-0.07477239,-0.011151519,-0.035600126,0.00701219,-0.012869255,0.022251764,0.05524677,0.03554268,0.03460075,-0.0052756476,0.077971205,0.03211893,-0.02665806,-0.0060870834,-0.039732873,0.043404654,-0.005321917,-0.039755866,0.0012753982,-0.010609974,-0.00825406,-0.028206551,-0.0047701355,-0.03146286,-0.013927519,-0.0037179275,0.050886337,1.0200063,1,Sequential RNN
-0.022041945,-0.007839191,-0.09617976,-0.014234113,-0.04834988,0.001090819,-0.016854841,0.028472772,0.063725725,0.037871126,0.037851337,0.004860001,0.11125353,0.033110943,-0.025081847,-0.0059700347,-0.043576714,0.03668839,-0.015670054,-0.039521024,0.0021876525,-0.012891685,-0.015846971,-0.02485221,0.0067155785,-0.032865606,-0.012637497,-0.0058023063,0.048360534,1.0280273,2,Sequential RNN
-0.014064244,-0.005396499,-0.07200446,-0.009516926,-0.03486442,0.0002472255,-0.016308075,0.01878276,0.06131006,0.05667834,0.0362884,0.009140798,0.062757134,0.024594301,-0.028248899,-0.003160548,-0.04573997,0.04760563,-0.010889625,-0.05366555,-0.006237851,-0.010074941,-0.02132332,-0.030814132,-0.00044374258,-0.030048471,-0.006766321,-0.0060936073,0.06948492,1.018772,3,Sequential RNN
-0.015870832,-0.0058737136,-0.0787177,-0.010475751,-0.036713246,0.0007974407,-0.017422866,0.021088626,0.06190424,0.049742732,0.034394123,0.0084624505,0.075706035,0.027177902,-0.030427104,-0.004013039,-0.046772696,0.050649263,-0.010858676,-0.04965647,-0.0068971803,-0.010560811,-0.021766355,-0.030868823,-0.00012189303,-0.030571215,-0.0068714446,-0.0065569733,0.06882576,1.0222682,4,Sequential RNN
-0.018679729,-0.007554878,-0.07819871,-0.009762533,-0.03695967,-0.0031588203,-0.018613882,0.021022817,0.06181583,0.056736458,0.038845338,0.008602841,0.07636511,0.036259137,-0.03568073,-0.0018964765,-0.050637316,0.05314586,-0.007970312,-0.047422558,-0.009509601,-0.013570815,-0.022033721,-0.03318282,-0.0069758967,-0.026958494,-0.008029792,-0.006220563,0.06824436,1.0219796,5,Sequential RNN
-0.021659939,-0.008606138,-0.08415256,-0.010330397,-0.039709553,-0.007936248,-0.019982878,0.029146438,0.055936143,0.0576537,0.039535526,0.007859327,0.08577788,0.034803398,-0.027688116,-0.0022917115,-0.050115135,0.04540435,-0.0038660038,-0.0406763,-0.008112629,-0.015315811,-0.022517813,-0.028973509,-0.00694332,-0.029217819,-0.004818753,-0.0076201553,0.06194385,1.0224742,6,Sequential RNN
-0.018003762,-0.0075844317,-0.070508,-0.009224081,-0.034150142,-0.00158243,-0.017433107,0.02571756,0.056109942,0.050744504,0.038944934,0.005506948,0.06716535,0.033679716,-0.027022174,-0.0030407924,-0.044184,0.04164293,-0.0033200525,-0.03876776,-0.0049630897,-0.013591119,-0.018282464,-0.029526347,-0.007760037,-0.03216616,-0.0062211053,-0.0064356714,0.056079227,1.0181756,7,Sequential RNN
-0.019041497,-0.008470601,-0.07650812,-0.011289938,-0.036077563,0.000601095,-0.020403074,0.030384006,0.060261745,0.056946,0.048679367,-0.0021435465,0.06354412,0.038178254,-0.029979317,-0.0041222246,-0.044762295,0.04419327,-0.0021396747,-0.04446214,-0.0045205434,-0.015002964,-0.01210078,-0.034821313,-0.009656248,-0.036423653,-0.009635064,-0.0053906436,0.059689987,1.0244733,8,Sequential RNN
-0.016690185,-0.0074231983,-0.071453184,-0.008850259,-0.033384155,0.0007449871,-0.01545471,0.02552973,0.05503118,0.0417088,0.03760265,0.0016355787,0.0717909,0.03559762,-0.027977152,-0.004065473,-0.043504056,0.043751556,-0.004073866,-0.035102807,-0.004094212,-0.012918959,-0.014531816,-0.029177912,-0.0076461043,-0.03333327,-0.0092857415,-0.005099244,0.054255206,1.0164181,9,Sequential RNN
-0.013718516,-0.009251097,-0.071359925,-0.011160744,-0.03437966,-0.0021940607,-0.018099073,0.028492425,0.060818754,0.04587706,0.04057321,-0.0033266076,0.06193027,0.034556024,-0.02394685,-0.006472659,-0.039276976,0.04105421,-0.0037827592,-0.038550925,-0.0022238626,-0.009957588,-0.0079649305,-0.027715897,-0.010447512,-0.04284815,-0.008477817,-0.0022377502,0.051584553,1.0225068,10,Sequential RNN
-0.012147109,-0.006165573,-0.06829118,-0.0105488645,-0.03354268,0.0022131826,-0.013930129,0.018178368,0.060029574,0.039969742,0.036117885,-0.0104013365,0.0657726,0.02720198,-0.020836998,-0.005185595,-0.033304643,0.031857505,-0.00021782613,-0.033879124,-0.0019508314,-0.0056132283,0.0012416624,-0.022249809,-0.0077162855,-0.044873983,-0.008339682,-0.0030430139,0.036743276,1.0229121,11,Sequential RNN
-0.013290377,-0.0069059017,-0.071542665,-0.01157584,-0.03575143,0.0057313535,-0.015135585,0.021139126,0.063926265,0.03661354,0.035313673,-0.01301842,0.0717547,0.034482062,-0.026296984,-0.0061338823,-0.03934938,0.038599562,0.00052855443,-0.03271967,-0.0030979335,-0.006140387,0.001184425,-0.024824588,-0.00908048,-0.045000825,-0.011528132,-0.00361157,0.04197497,1.0237558,12,Sequential RNN
-0.013952049,-0.008357033,-0.06872589,-0.015739603,-0.039664708,0.007985393,-0.01953271,0.033589475,0.0675879,0.025782432,0.04301573,-0.0011824582,0.06168621,0.032927573,-0.036568493,-0.0057239817,-0.042351704,0.054467935,-0.0072300807,-0.032909818,-0.0018451993,0.0044042794,-0.012672299,-0.031615168,-0.03253149,-0.050076645,-0.013886711,-0.0051835175,0.06642735,1.0418752,13,Sequential RNN
-0.014307302,-0.008363196,-0.068598285,-0.014247314,-0.03801821,0.007525449,-0.020405713,0.036555674,0.055356517,0.020552848,0.040465605,0.001559214,0.06636122,0.03306223,-0.03622616,-0.007917402,-0.042169828,0.059324864,-0.009596342,-0.03058223,0.0008161076,0.0013158955,-0.015973696,-0.03309477,-0.027314907,-0.039291136,-0.014777564,-0.006212693,0.06807753,1.0361236,14,Sequential RNN
-0.015856845,-0.00505684,-0.066489905,-0.011828138,-0.032852422,0.0033360259,-0.013980548,0.02541848,0.052611995,0.017392883,0.027745599,-0.0017304794,0.075750105,0.03266884,-0.034201253,-0.0039323336,-0.039625663,0.058275074,-0.012912562,-0.026034854,-0.0031785306,-0.0039140023,-0.011233056,-0.027722437,-0.018738221,-0.035293475,-0.015209376,-0.0035776268,0.065026596,1.025143,15,Sequential RNN
-0.014785565,-0.0040873946,-0.06315768,-0.012833354,-0.030383479,0.0026518046,-0.013618373,0.024064735,0.052707452,0.0242994,0.026704703,0.0038037607,0.06691797,0.03198425,-0.029905919,-0.0062926286,-0.04051508,0.054047614,-0.014757377,-0.026645826,-6.090345e-6,-0.00941073,-0.017808292,-0.023925098,-0.0137471855,-0.029880825,-0.010279794,-0.0032440745,0.06203905,1.016064,16,Sequential RNN
-0.016966939,-0.005254455,-0.066573046,-0.009434192,-0.036099214,-0.0008987471,-0.013759703,0.017905371,0.052418727,0.03761908,0.024031645,0.008514883,0.07398998,0.01610813,-0.024252806,-0.0063322866,-0.03969393,0.069034725,-0.012036454,-0.041520707,-0.012034483,-0.00966587,-0.025230635,-0.025679676,-0.012937131,-0.03651374,-0.007286499,0.0008666652,0.076825984,1.0248554,17,Sequential RNN
-0.018532047,-0.0059428187,-0.07310912,-0.0067998217,-0.040324297,-0.009821656,-0.018001867,0.026466485,0.056586683,0.05090991,0.02931823,0.017744547,0.07037526,0.011310414,-0.027957069,-0.0052220915,-0.041023698,0.08518969,-0.018203048,-0.061116565,-0.009315602,-0.004406683,-0.035346203,-0.02997396,-0.0053939647,-0.049108427,-0.008258534,-0.00011430609,0.086969025,1.0331016,18,Sequential RNN
-0.017672352,-0.0056249024,-0.051153895,-0.0026095058,-0.027821302,-0.0048772064,-0.01276044,0.0158049,0.05457064,0.033908814,0.02702735,0.0032914071,0.04988244,0.030446373,-0.043753788,-0.0064894306,-0.060400672,0.08645684,-0.0081356345,-0.05594835,-0.016369533,0.0001779776,-0.02303601,-0.03011281,-0.011348571,-0.020733828,-0.010471673,-0.0067723896,0.089031085,1.0254945,19,Sequential RNN
-0.0147359865,-0.005821351,-0.04703002,-0.0074470616,-0.025277756,0.013992951,-0.008714305,0.015168343,0.05229965,0.020428434,0.032741345,0.0031241346,0.044059705,0.02435013,-0.045478817,-0.004794939,-0.04814734,0.07371862,-0.0060197585,-0.039571032,-0.019437483,-0.0007800743,-0.017305149,-0.031707775,-0.0011600257,-0.025415368,-0.016451484,-0.0040164627,0.064592205,1.0248367,20,Sequential RNN
-0.013487116,-0.0058826734,-0.047915258,-0.007946251,-0.024184147,0.011025138,-0.008836573,0.015411703,0.054069147,0.024989411,0.031629343,0.00620413,0.04053072,0.024106165,-0.04266714,-0.0041678613,-0.045187484,0.06760597,-0.0067435745,-0.039632183,-0.013482682,-0.0017635575,-0.018023366,-0.028293109,-0.004181934,-0.029374374,-0.01458639,-0.0035361904,0.062982224,1.0213379,21,Sequential RNN
-0.01686847,-0.0068157674,-0.057758708,-0.011872521,-0.030648174,0.017304474,-0.012323931,0.02226026,0.049176976,0.026647331,0.03221793,0.0046722214,0.05576616,0.029062873,-0.042963646,-0.0057389564,-0.04370073,0.064533204,-0.007460717,-0.04045238,-0.010223742,-0.005446877,-0.017909426,-0.032177683,-0.004506464,-0.026719451,-0.017393116,-0.0052246,0.06755737,1.0270065,22,Sequential RNN
-0.016154265,-0.006711204,-0.057957,-0.011579686,-0.025799064,0.011999681,-0.012459936,0.019733682,0.050481915,0.036011104,0.032713056,0.00049322925,0.05505368,0.022273881,-0.03683845,-0.0053287973,-0.043011032,0.06830297,-0.0063798996,-0.03365392,-0.023039011,-0.004281832,-0.014704403,-0.032093227,-0.009634591,-0.031610243,-0.016601417,0.0025949678,0.069218256,1.0189615,23,Sequential RNN
-0.014034803,-0.007086209,-0.051281556,-0.011769544,-0.023881925,0.007365516,-0.0150596015,0.027912298,0.04799083,0.03946395,0.03655061,0.005103301,0.03828261,0.019245619,-0.028898621,-0.0077846795,-0.034521196,0.0709314,-0.0008637263,-0.03894447,-0.023446083,0.00017256354,-0.024274014,-0.031503975,-0.006604147,-0.047087237,-0.011619184,0.0056244205,0.06177985,1.0182381,24,Sequential RNN
-0.014610384,-0.0070747826,-0.058979984,-0.011816575,-0.026009353,0.008399538,-0.015631266,0.028804388,0.048171,0.03719611,0.034427866,0.0037610426,0.053267453,0.021443434,-0.027183283,-0.008083837,-0.034982555,0.06792748,-0.002001457,-0.036375184,-0.021282597,-0.001612043,-0.023225114,-0.03170433,-0.00575657,-0.04614394,-0.012737468,0.0045756935,0.059017118,1.0182196,25,Sequential RNN
-0.015695691,-0.0075148675,-0.062757626,-0.013325851,-0.028609948,0.010428577,-0.017121524,0.031481765,0.049128063,0.034212302,0.038399756,0.00040996517,0.05723972,0.029081492,-0.029009162,-0.008651539,-0.036297467,0.062422805,-0.002276076,-0.034316182,-0.018106947,-0.0033282407,-0.020150734,-0.034161773,-0.007647889,-0.04291538,-0.01416428,0.0031114293,0.059004378,1.0211309,26,Sequential RNN
-0.024013592,-0.0048955614,-0.09307788,-0.0073708687,-0.036905784,0.012583638,-0.017445628,0.021067904,0.052833382,0.02804986,0.062463965,-0.016114067,0.097728945,0.0319128,-0.018299108,-0.010285163,-0.03916138,0.0746281,-0.020149816,-0.046791863,-0.0152110895,-0.013312779,-0.002222307,-0.043542076,0.0006786381,-0.04042708,-0.011957991,-0.00029380972,0.058066115,1.0214645,27,Sequential RNN
-0.025547836,-0.0029231282,-0.09378607,-0.0075870613,-0.042395677,0.004667955,-0.017384121,0.020612074,0.050948497,0.0312948,0.04839069,-0.019441744,0.1059958,0.02718806,-0.013860955,-0.006488139,-0.034667384,0.04892467,-0.016842512,-0.040304635,-0.011353916,-0.0124075,0.006218847,-0.026082788,0.011770563,-0.038215093,-0.0088411495,-0.00384661,0.04073785,1.0252265,28,Sequential RNN
-0.019253476,-0.0032932851,-0.0714609,-0.0072982325,-0.035963055,0.016632829,-0.015738988,0.022518503,0.045335397,0.02570161,0.036246732,-0.012616463,0.08093721,0.028173387,-0.017748164,-0.008057921,-0.032532025,0.048178837,-0.018468471,-0.035523538,-0.011638432,-0.010676434,0.0018333271,-0.029804045,0.010051295,-0.033766713,-0.012616062,-0.005840683,0.042424235,1.0242635,29,Sequential RNN
-0.021103956,-0.0052945176,-0.08413257,-0.010019506,-0.03913304,0.02177656,-0.018830441,0.03225169,0.056294926,0.035138268,0.047859434,-0.013961472,0.08327604,0.04058178,-0.026305774,-0.009931135,-0.040552374,0.048833717,-0.021560814,-0.04300751,-0.0068667,-0.014539083,0.0017718715,-0.03651504,0.01428012,-0.035812303,-0.01704874,-0.007737282,0.044795495,1.0254923,30,Sequential RNN
-0.016361423,-0.0030759654,-0.069877945,-0.0065262034,-0.033990342,0.011037945,-0.012356969,0.018015588,0.04986728,0.029666858,0.03175124,-0.009178072,0.07630459,0.027752055,-0.019292912,-0.006621333,-0.032608364,0.039482817,-0.014190893,-0.034050483,-0.008464955,-0.01054936,-0.00026712244,-0.0243641,0.010241552,-0.033351634,-0.01140102,-0.0049022255,0.036411528,1.0208999,31,Sequential RNN
