Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.27654636,-0.16034943,0.5572178,-0.22598457,1.1056626,1,Sequential RNN
-0.5362851,-0.06347158,0.3964359,-0.14636336,1.3496841,2,Sequential RNN
-0.37779745,-0.10930631,0.4907639,-0.23990615,1.236246,3,Sequential RNN
-0.66724175,-0.13815327,0.65037364,-0.007524823,1.1625462,4,Sequential RNN
-0.3956876,-0.13636717,0.5394978,-0.19861765,1.1911746,5,Sequential RNN
-0.54253155,-0.11716621,0.52306247,-0.09578085,1.2324162,6,Sequential RNN
-0.284105,-0.10052056,0.405151,-0.26818195,1.2476565,7,Sequential RNN
-0.45079127,-0.13576052,0.55218214,-0.15961082,1.1939805,8,Sequential RNN
-0.4833324,-0.09229873,0.50175595,-0.20813638,1.2820116,9,Sequential RNN
-0.37915573,-0.07105534,0.38912594,-0.19521315,1.2562983,10,Sequential RNN
-0.5537446,-0.113234706,0.5941705,-0.17891161,1.2517204,11,Sequential RNN
-0.73124593,-0.11326923,0.62352324,0.06591548,1.1550765,12,Sequential RNN
-0.27705684,-0.073955916,0.30903545,-0.26720342,1.3091807,13,Sequential RNN
-0.34228167,-0.09678167,0.4374691,-0.27351534,1.2751095,14,Sequential RNN
-0.59539306,-0.0719764,0.50453705,-0.101850845,1.2646832,15,Sequential RNN
-0.4225292,-0.074918926,0.4251152,-0.17147224,1.2438052,16,Sequential RNN
-0.574357,-0.13320348,0.65525836,-0.14664191,1.198944,17,Sequential RNN
-0.52910876,-0.06991475,0.40217304,-0.14330019,1.3401507,18,Sequential RNN
-0.6294948,-0.13185233,0.6109593,-0.0014093131,1.1517972,19,Sequential RNN
-0.5176765,-0.115742624,0.5936318,-0.19419706,1.2339844,20,Sequential RNN
-0.5537477,-0.1570883,0.6993626,-0.118353866,1.1298273,21,Sequential RNN
-0.55274576,-0.10139387,0.48042488,-0.08576936,1.2594842,22,Sequential RNN
-0.15838999,-0.13799834,0.45347038,-0.2879548,1.1308727,23,Sequential RNN
-0.3254053,-0.08935407,0.3897692,-0.25038138,1.2753716,24,Sequential RNN
-0.51976556,-0.12890793,0.5928993,-0.14656657,1.2023407,25,Sequential RNN
-0.4334333,-0.12804125,0.5437351,-0.190568,1.2083075,26,Sequential RNN
-0.5102865,-0.093710534,0.4612466,-0.11370879,1.2564592,27,Sequential RNN
-0.5473277,-0.040954534,0.3641778,-0.037220757,1.2613252,28,Sequential RNN
-0.20952007,-0.091119654,0.35322005,-0.27306372,1.2204834,29,Sequential RNN
-0.30449072,-0.08598042,0.37913594,-0.23142605,1.2427613,30,Sequential RNN
-0.43856207,-0.10251897,0.48493508,-0.21392225,1.2700682,31,Sequential RNN
-0.5569606,-0.08445509,0.49757078,-0.08133201,1.2251768,32,Sequential RNN
-0.33775818,-0.10949777,0.42722037,-0.22358988,1.2436255,33,Sequential RNN
-0.37065,-0.10640612,0.46803308,-0.2204831,1.2295061,34,Sequential RNN
-0.33704698,-0.10821523,0.41353205,-0.21029902,1.2420292,35,Sequential RNN
-0.5095392,-0.08270381,0.47509286,-0.10852817,1.2256783,36,Sequential RNN
