Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-0.4726601,1.4152497,1.0439131,0.84595495,0.5448859,29,MAP,Normal,Sequential LSTM
2,0.051740907,1.3443389,0.9261048,0.7031457,0.61370164,29,MAP,Normal,Sequential LSTM
3,0.032251462,1.2202457,0.85138696,0.6547497,0.54125005,29,MAP,Normal,Sequential LSTM
4,0.18598112,1.3030894,0.91132,0.70246917,0.5748683,29,MAP,Normal,Sequential LSTM
5,0.1981369,1.2797191,0.8948761,0.6897177,0.5647047,29,MAP,Normal,Sequential LSTM
6,1.1624674,1.4513918,1.0281032,0.80244964,0.62111837,29,MAP,Normal,Sequential LSTM
7,0.93700784,1.3401436,0.87513834,0.6272458,0.6823318,29,MAP,Normal,Sequential LSTM
8,0.34102666,1.481102,1.019609,0.7735887,0.6771782,29,MAP,Normal,Sequential LSTM
9,0.69465804,1.3399087,0.89539164,0.6584212,0.6522683,29,MAP,Normal,Sequential LSTM
10,-0.27655855,1.4075648,0.97838956,0.74959785,0.6297561,29,MAP,Normal,Sequential LSTM
11,-0.15685992,1.5851191,1.1204777,0.8727791,0.681798,29,MAP,Normal,Sequential LSTM
12,-0.8399479,1.1432792,0.71817803,0.49155813,0.6237781,29,MAP,Normal,Sequential LSTM
13,-1.5709282,1.7977493,1.2770149,0.99941325,0.76410687,29,MAP,Normal,Sequential LSTM
14,-0.25520325,1.9725274,1.4247726,1.1327666,0.8037555,29,MAP,Normal,Sequential LSTM
15,0.8510986,0.9324331,0.52213925,0.30341315,0.6020503,29,MAP,Normal,Sequential LSTM
16,-0.58968276,1.0126427,0.6369738,0.43670607,0.55124307,29,MAP,Normal,Sequential LSTM
17,0.10374046,1.7972133,1.3165855,1.0603646,0.7052559,29,MAP,Normal,Sequential LSTM
18,-0.84751743,1.8408368,1.2873459,0.9922819,0.8121725,29,MAP,Normal,Sequential LSTM
19,-0.5843023,1.1285594,0.7089744,0.48529524,0.6156838,29,MAP,Normal,Sequential LSTM
20,0.4907513,1.3158265,0.88957447,0.662341,0.62546694,29,MAP,Normal,Sequential LSTM
21,-0.40760195,1.2102364,0.8101727,0.59690017,0.587039,29,MAP,Normal,Sequential LSTM
22,-0.7947344,1.4775848,1.0150175,0.7684245,0.6787546,29,MAP,Normal,Sequential LSTM
23,-0.051956885,1.1598989,0.77914315,0.57616365,0.55870724,29,MAP,Normal,Sequential LSTM
24,0.97171146,1.5327402,1.1131095,0.88940585,0.615751,29,MAP,Normal,Sequential LSTM
25,0.30506673,1.1570225,0.7578174,0.54500264,0.5857791,29,MAP,Normal,Sequential LSTM
26,-0.18110189,1.4783877,1.058134,0.8340982,0.61666524,29,MAP,Normal,Sequential LSTM
27,-0.42236623,1.1571449,0.7768331,0.5740903,0.55805576,29,MAP,Normal,Sequential LSTM
28,0.4435861,1.4676173,1.057052,0.83818126,0.60244846,29,MAP,Normal,Sequential LSTM
29,1.5177333,1.2411178,0.8404061,0.6267882,0.5879898,29,MAP,Normal,Sequential LSTM
30,0.08080942,1.2110759,0.8064741,0.5907824,0.593698,29,MAP,Normal,Sequential LSTM
31,0.14805406,1.4070861,0.9429677,0.6955479,0.68103063,29,MAP,Normal,Sequential LSTM
32,0.7639809,1.0758234,0.6786265,0.46688226,0.58283246,29,MAP,Normal,Sequential LSTM
33,0.21756093,1.437729,1.0055348,0.77513367,0.63418615,29,MAP,Normal,Sequential LSTM
34,-0.59753454,1.1941243,0.8182153,0.6178196,0.55159533,29,MAP,Normal,Sequential LSTM
35,0.0923209,1.3633497,0.9643423,0.7516329,0.585489,29,MAP,Normal,Sequential LSTM
36,-0.2417274,1.2526305,0.8664774,0.66062057,0.56662714,29,MAP,Normal,Sequential LSTM
37,0.41130975,1.1827432,0.7892454,0.57947326,0.5774044,29,MAP,Normal,Sequential LSTM
38,0.004806192,1.6864952,1.2584502,1.0302609,0.62809783,29,MAP,Normal,Sequential LSTM
39,-0.056544103,1.3969997,0.9784761,0.75536275,0.6141263,29,MAP,Normal,Sequential LSTM
40,0.31136853,1.3149005,0.8758084,0.64173007,0.6443078,29,MAP,Normal,Sequential LSTM
41,0.015856627,1.3402497,0.8964599,0.6598771,0.6512011,29,MAP,Normal,Sequential LSTM
42,-0.35460544,1.4888988,1.0343186,0.7919835,0.6670346,29,MAP,Normal,Sequential LSTM
43,0.80910254,1.3541764,0.94341445,0.7244388,0.60273725,29,MAP,Normal,Sequential LSTM
44,-0.38040248,1.2672404,0.8610979,0.6445848,0.5959589,29,MAP,Normal,Sequential LSTM
45,-0.36623454,1.3443741,0.90279067,0.6673842,0.64796346,29,MAP,Normal,Sequential LSTM
46,0.8096566,1.0351878,0.6225994,0.40265006,0.6054173,29,MAP,Normal,Sequential LSTM
47,0.06878464,1.3262208,0.9043167,0.6794012,0.61908674,29,MAP,Normal,Sequential LSTM
48,-0.5904346,1.2380399,0.8184204,0.5947228,0.6157344,29,MAP,Normal,Sequential LSTM
49,-0.7509356,1.5043486,1.0734105,0.8436791,0.63234293,29,MAP,Normal,Sequential LSTM
50,0.26946992,1.6818179,1.2184713,0.97146285,0.67989814,29,MAP,Normal,Sequential LSTM
51,0.6935303,1.3699379,0.94506115,0.71856093,0.6234487,29,MAP,Normal,Sequential LSTM
52,0.17503443,1.1054419,0.6929522,0.4730555,0.6052724,29,MAP,Normal,Sequential LSTM
53,0.43146652,1.2836587,0.8739271,0.6555007,0.6012253,29,MAP,Normal,Sequential LSTM
54,-1.0134932,1.2152461,0.8038534,0.58454144,0.6036627,29,MAP,Normal,Sequential LSTM
55,1.5339334,1.5496773,1.0767256,0.8245968,0.69399214,29,MAP,Normal,Sequential LSTM
56,-0.56848586,1.6541924,1.1205131,0.8360106,0.78310186,29,MAP,Normal,Sequential LSTM
57,0.4967116,1.5063585,1.0499994,0.8067159,0.669645,29,MAP,Normal,Sequential LSTM
58,0.66175747,1.1390288,0.74485856,0.5347279,0.57839113,29,MAP,Normal,Sequential LSTM
59,0.3159045,1.4196069,0.9592492,0.7138342,0.6755122,29,MAP,Normal,Sequential LSTM
60,0.40766257,1.2136958,0.8138972,0.60076606,0.58664995,29,MAP,Normal,Sequential LSTM
61,-0.27904135,1.4630876,1.0212619,0.78572637,0.64831895,29,MAP,Normal,Sequential LSTM
62,0.09389845,1.4462848,1.0065076,0.7720641,0.645313,29,MAP,Normal,Sequential LSTM
63,-0.13287303,1.3762302,0.94472593,0.7146926,0.6331738,29,MAP,Normal,Sequential LSTM
64,1.752422,1.1802624,0.77667665,0.5615266,0.59220713,29,MAP,Normal,Sequential LSTM
65,0.27855837,1.3813144,0.98180765,0.7688321,0.58622175,29,MAP,Normal,Sequential LSTM
66,0.14197622,1.1061717,0.7158497,0.5077704,0.5727445,29,MAP,Normal,Sequential LSTM
67,-0.6874667,1.3806639,0.9776798,0.7628505,0.5913242,29,MAP,Normal,Sequential LSTM
68,0.68659383,1.3353773,0.88880384,0.6507372,0.6552857,29,MAP,Normal,Sequential LSTM
69,0.7069683,1.2617633,0.8419042,0.6180788,0.6160861,29,MAP,Normal,Sequential LSTM
70,-0.35996747,1.2145238,0.799053,0.57756704,0.6096468,29,MAP,Normal,Sequential LSTM
71,0.014837522,1.4332185,0.9899526,0.75364923,0.6504323,29,MAP,Normal,Sequential LSTM
72,-0.13450915,1.4309939,0.9958139,0.76382107,0.6385674,29,MAP,Normal,Sequential LSTM
73,0.6405199,1.322836,0.8998818,0.67440647,0.6206277,29,MAP,Normal,Sequential LSTM
74,0.075415745,1.372147,0.9364656,0.7042055,0.639303,29,MAP,Normal,Sequential LSTM
75,-0.04380276,1.6318133,1.1644025,0.9152276,0.6858616,29,MAP,Normal,Sequential LSTM
76,-0.9993807,1.3234026,0.9186267,0.70284224,0.5939535,29,MAP,Normal,Sequential LSTM
77,0.28946373,1.0690511,0.70831424,0.51600677,0.5293323,29,MAP,Normal,Sequential LSTM
78,-1.0120579,1.5961837,1.1484636,0.90978575,0.6569682,29,MAP,Normal,Sequential LSTM
