Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
1,-1.0235305,2.6289237,1.8622655,1.4535629,1.1249664,5,MAP,Normal,Sequential RNN
2,0.12699783,3.650614,2.7216504,2.2264233,1.3631277,5,MAP,Normal,Sequential RNN
3,-0.39786544,2.63343,1.8064992,1.3656656,1.2134084,5,MAP,Normal,Sequential RNN
4,1.2729212,3.0668283,2.1311874,1.6324006,1.3729256,5,MAP,Normal,Sequential RNN
5,0.08182814,2.8482456,2.0197961,1.5781528,1.2156368,5,MAP,Normal,Sequential RNN
6,-0.04453759,3.0637002,2.202156,1.7428701,1.2641987,5,MAP,Normal,Sequential RNN
7,0.27779,3.1782534,2.3599937,1.9237826,1.2006847,5,MAP,Normal,Sequential RNN
8,-0.3813897,2.9098914,2.091693,1.6555142,1.2005949,5,MAP,Normal,Sequential RNN
9,0.4698548,3.5993924,2.584341,2.043221,1.4894495,5,MAP,Normal,Sequential RNN
10,-0.6569345,2.6877725,1.818767,1.3555032,1.2751473,5,MAP,Normal,Sequential RNN
11,-0.78269964,2.7411964,1.8543478,1.381572,1.3013297,5,MAP,Normal,Sequential RNN
12,0.74637175,3.356346,2.3375072,1.7943683,1.4950068,5,MAP,Normal,Sequential RNN
13,0.45984304,3.5208068,2.6837406,2.2375038,1.2282804,5,MAP,Normal,Sequential RNN
14,-0.76481056,4.087623,3.1439734,2.640917,1.3846778,5,MAP,Normal,Sequential RNN
15,0.07691543,2.7855473,1.8710715,1.3835679,1.3418685,5,MAP,Normal,Sequential RNN
16,0.057837225,2.3663611,1.5304391,1.0848122,1.2266017,5,MAP,Normal,Sequential RNN
17,-0.46524918,2.5973942,1.7923949,1.3632528,1.1812268,5,MAP,Normal,Sequential RNN
18,-0.059070338,3.6742435,2.7763162,2.2976344,1.3175862,5,MAP,Normal,Sequential RNN
19,-0.18199359,2.7483072,1.8318597,1.3433049,1.3447618,5,MAP,Normal,Sequential RNN
20,0.4937954,2.59319,1.7041953,1.2302754,1.3044786,5,MAP,Normal,Sequential RNN
21,-0.33682862,2.1453526,1.3330832,0.9000653,1.1918949,5,MAP,Normal,Sequential RNN
22,2.0194492,3.0064275,2.1575315,1.7049882,1.2456391,5,MAP,Normal,Sequential RNN
23,0.5373537,2.66033,1.8528343,1.4223613,1.18489,5,MAP,Normal,Sequential RNN
24,-0.2588949,2.7042437,1.9170146,1.4973456,1.1551516,5,MAP,Normal,Sequential RNN
25,0.003368212,2.612567,1.7650547,1.313249,1.2436091,5,MAP,Normal,Sequential RNN
26,0.28077307,2.8929489,2.0445185,1.5922233,1.2449561,5,MAP,Normal,Sequential RNN
27,-0.6185507,2.6481655,1.7893764,1.3315591,1.2601562,5,MAP,Normal,Sequential RNN
28,0.5828403,2.6334562,1.785947,1.3341429,1.2436044,5,MAP,Normal,Sequential RNN
29,0.5311072,2.8340824,2.022223,1.5894239,1.191293,5,MAP,Normal,Sequential RNN
30,-0.0018705742,2.625997,1.8050182,1.3673574,1.2046746,5,MAP,Normal,Sequential RNN
31,-0.66003054,2.790974,1.9611119,1.5187155,1.2177095,5,MAP,Normal,Sequential RNN
32,1.1147097,2.6146328,1.7401707,1.2739983,1.283154,5,MAP,Normal,Sequential RNN
33,0.5575717,2.9892952,2.186615,1.7587092,1.1778239,5,MAP,Normal,Sequential RNN
34,1.0516785,3.023089,2.1202595,1.6389645,1.3247793,5,MAP,Normal,Sequential RNN
35,-0.18824998,3.10623,2.2822142,1.8429343,1.2091312,5,MAP,Normal,Sequential RNN
36,-0.14915283,2.3461227,1.5078042,1.0608996,1.2301183,5,MAP,Normal,Sequential RNN
37,1.046228,2.9606547,1.9846039,1.4642748,1.4322218,5,MAP,Normal,Sequential RNN
38,0.53277177,3.1185486,2.314321,1.8855903,1.1800944,5,MAP,Normal,Sequential RNN
39,-0.36861137,3.0773647,2.2035708,1.7377545,1.2821736,5,MAP,Normal,Sequential RNN
40,0.8047232,2.711911,1.8721539,1.4244825,1.2322292,5,MAP,Normal,Sequential RNN
41,-0.029634804,3.415177,2.5329862,2.0626936,1.294495,5,MAP,Normal,Sequential RNN
42,0.30404273,2.8827734,2.0289042,1.5737098,1.2529367,5,MAP,Normal,Sequential RNN
43,0.40693444,2.9636283,2.1075506,1.6511788,1.2561773,5,MAP,Normal,Sequential RNN
44,-1.1914613,3.4467564,2.4944427,1.9867679,1.3973907,5,MAP,Normal,Sequential RNN
45,0.19418696,3.1418343,2.1973813,1.6938968,1.3858563,5,MAP,Normal,Sequential RNN
46,0.77668434,2.2515132,1.5224994,1.1338649,1.0697284,5,MAP,Normal,Sequential RNN
47,-0.465197,2.9742641,2.1222496,1.6680437,1.2502153,5,MAP,Normal,Sequential RNN
48,0.40163523,3.08132,2.181299,1.7015009,1.3206586,5,MAP,Normal,Sequential RNN
49,0.6482561,3.7149837,2.6495583,2.081584,1.5633667,5,MAP,Normal,Sequential RNN
50,-0.3728791,2.8168914,1.9578795,1.4999436,1.2604829,5,MAP,Normal,Sequential RNN
51,0.523721,2.6804476,1.8433309,1.3970671,1.2283548,5,MAP,Normal,Sequential RNN
52,-0.028182285,2.875294,2.0305376,1.580201,1.239565,5,MAP,Normal,Sequential RNN
53,-0.629682,2.9919178,2.1364584,1.680416,1.2552705,5,MAP,Normal,Sequential RNN
54,-0.52384686,2.7028353,1.8677557,1.4225777,1.2253658,5,MAP,Normal,Sequential RNN
55,0.079956144,3.071799,2.1214705,1.614854,1.3944775,5,MAP,Normal,Sequential RNN
56,0.12581569,2.9743512,2.2538831,1.8698044,1.0571887,5,MAP,Normal,Sequential RNN
57,0.51211625,3.5751657,2.568137,2.0312934,1.4776777,5,MAP,Normal,Sequential RNN
58,0.31894392,2.411113,1.5584097,1.1038367,1.2512261,5,MAP,Normal,Sequential RNN
59,-0.037281886,2.8660216,2.0536878,1.6206357,1.1919892,5,MAP,Normal,Sequential RNN
60,0.19164346,2.4708834,1.6349105,1.1892563,1.2266765,5,MAP,Normal,Sequential RNN
61,-0.091428,2.8057532,2.0062366,1.5800171,1.1731819,5,MAP,Normal,Sequential RNN
62,-1.1871672,3.0993834,2.1746852,1.6817323,1.3568683,5,MAP,Normal,Sequential RNN
63,-1.0312104,2.7220845,1.8380114,1.3667153,1.2972567,5,MAP,Normal,Sequential RNN
64,2.815106,2.867179,1.905003,1.3920707,1.411862,5,MAP,Normal,Sequential RNN
65,-0.94703335,2.9678419,2.114504,1.659593,1.2521569,5,MAP,Normal,Sequential RNN
66,0.725601,2.4205916,1.5656914,1.1099473,1.2544495,5,MAP,Normal,Sequential RNN
67,-1.0313997,3.0974185,2.2261243,1.7616408,1.2785054,5,MAP,Normal,Sequential RNN
68,0.18877926,2.93469,2.0243275,1.5390167,1.3358327,5,MAP,Normal,Sequential RNN
69,-0.3962463,2.856949,2.0030913,1.5479028,1.2529202,5,MAP,Normal,Sequential RNN
70,-0.034854367,2.8184063,1.9278871,1.4531544,1.3067157,5,MAP,Normal,Sequential RNN
71,-0.030151112,2.8399675,1.9592746,1.4897805,1.2922969,5,MAP,Normal,Sequential RNN
72,-0.41456527,2.8229394,1.9870634,1.5414611,1.2265341,5,MAP,Normal,Sequential RNN
73,-0.084559575,2.666324,1.8120552,1.3566478,1.2535229,5,MAP,Normal,Sequential RNN
74,-0.45970905,2.5248845,1.7331749,1.3111175,1.1617259,5,MAP,Normal,Sequential RNN
75,1.0027528,3.0218375,2.1547005,1.6924331,1.2724053,5,MAP,Normal,Sequential RNN
76,0.96784973,3.1267216,2.2239377,1.742667,1.3247125,5,MAP,Normal,Sequential RNN
77,0.27690485,2.2476947,1.4278089,0.9907307,1.2030709,5,MAP,Normal,Sequential RNN
78,-1.6241305,3.256959,2.3988929,1.941461,1.2590951,5,MAP,Normal,Sequential RNN
79,1.106018,3.097941,2.1435413,1.6347545,1.4004513,5,MAP,Normal,Sequential RNN
80,-1.2852262,3.1380298,2.3311632,1.9010255,1.1839669,5,MAP,Normal,Sequential RNN
81,0.6352566,2.994565,2.0257125,1.5092207,1.4216592,5,MAP,Normal,Sequential RNN
82,-0.39727417,2.8342519,2.0064938,1.565219,1.2146224,5,MAP,Normal,Sequential RNN
83,-0.4815069,2.8553803,1.9998057,1.543702,1.2554393,5,MAP,Normal,Sequential RNN
84,-0.03544436,3.1845486,2.2410524,1.7380779,1.3844523,5,MAP,Normal,Sequential RNN
85,-0.52662814,2.7257059,1.925439,1.4988197,1.1742827,5,MAP,Normal,Sequential RNN
86,-0.58681417,2.915746,2.059634,1.603244,1.2562276,5,MAP,Normal,Sequential RNN
87,0.4877901,2.6454878,1.8194491,1.3790908,1.2120994,5,MAP,Normal,Sequential RNN
88,0.3594078,2.5987196,1.7640811,1.3191384,1.2247183,5,MAP,Normal,Sequential RNN
89,-0.5858336,3.178147,2.3207107,1.8636143,1.2581713,5,MAP,Normal,Sequential RNN
90,-0.29674774,2.7618754,1.9755267,1.5563271,1.1538595,5,MAP,Normal,Sequential RNN
91,0.6576913,3.0133362,2.1549873,1.6974046,1.2595102,5,MAP,Normal,Sequential RNN
92,-1.8106058,2.8734336,1.998323,1.5318047,1.2841058,5,MAP,Normal,Sequential RNN
93,0.6149774,3.9073272,2.9311686,2.4107819,1.4323801,5,MAP,Normal,Sequential RNN
94,0.65987617,2.746828,1.8074447,1.3066628,1.3784175,5,MAP,Normal,Sequential RNN
95,-0.6889696,2.759716,1.9591544,1.532378,1.174715,5,MAP,Normal,Sequential RNN
