Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model
-0.2832631,-0.1929385,0.6799052,-0.19714352,0.99344,1,Sequential LSTM
-0.3340003,-0.011172336,0.16740786,-0.16250749,1.3402723,2,Sequential LSTM
-0.32343197,-0.14532736,0.5660516,-0.19535686,1.0980647,3,Sequential LSTM
-0.5642857,-0.25027865,0.8805104,0.1446666,0.78938735,4,Sequential LSTM
-0.38585547,-0.23572858,0.8309715,-0.08371836,0.87433094,5,Sequential LSTM
-0.57125574,-0.1542907,0.60380006,0.07685257,1.0448939,6,Sequential LSTM
0.13195992,-0.080823116,0.20076987,-0.2934019,1.0414952,7,Sequential LSTM
-0.4701047,-0.24571355,0.87286043,0.0037280726,0.83922976,8,Sequential LSTM
-0.3536086,-0.0694056,0.29615074,-0.14229503,1.2691585,9,Sequential LSTM
-0.49941856,-0.23588294,0.92519426,-0.094665945,0.9047732,10,Sequential LSTM
-0.30329514,-0.038458217,0.27695057,-0.19097136,1.2557741,11,Sequential LSTM
-0.72799045,-0.19709612,0.7772781,0.2638506,0.88395786,12,Sequential LSTM
-0.19116716,-0.03537768,0.20928323,-0.23278476,1.2500464,13,Sequential LSTM
-0.26497522,0.049787495,0.078198664,-0.27372083,1.4107099,14,Sequential LSTM
-0.7029851,-0.16656466,0.8663655,-0.03689982,1.0400841,15,Sequential LSTM
-0.4788438,-0.19683647,0.7927049,-0.107377194,0.99035263,16,Sequential LSTM
-0.42573836,-0.13160512,0.53018194,-0.13586941,1.163031,17,Sequential LSTM
-0.42844385,0.030935436,0.11857002,-0.1017581,1.3806964,18,Sequential LSTM
-0.73479253,-0.15320106,0.74740356,0.094633065,1.045957,19,Sequential LSTM
-0.4132954,0.008879154,0.25218877,-0.20053759,1.3527651,20,Sequential LSTM
-0.5131794,-0.07106769,0.5465683,-0.16119137,1.1988703,21,Sequential LSTM
-0.51257867,-0.10391265,0.43074858,0.05066374,1.135079,22,Sequential LSTM
-0.16541496,-0.17500423,0.5930306,-0.27098536,1.018374,23,Sequential LSTM
-0.42762706,-0.2279694,0.7695047,0.015632087,0.8704596,24,Sequential LSTM
-0.28850532,-0.20483206,0.659885,-0.0890947,0.9225471,25,Sequential LSTM
-0.23536879,-0.24742964,0.7683067,-0.093232945,0.8077247,26,Sequential LSTM
-0.4584541,-0.1892317,0.7036295,-0.031210901,0.97526723,27,Sequential LSTM
-0.6194421,-0.14363925,0.68414634,-0.03311048,1.1120455,28,Sequential LSTM
-0.1372659,-0.22315098,0.66888255,-0.1713028,0.86283714,29,Sequential LSTM
-0.3334353,-0.2521858,0.8474139,-0.08270969,0.8209169,30,Sequential LSTM
-0.4016175,-0.24637395,0.8672282,-0.06988177,0.85064507,31,Sequential LSTM
-0.43061677,-0.24722113,0.8607508,-0.024159458,0.84124655,32,Sequential LSTM
-0.46098098,-0.184819,0.6456427,0.01761473,0.9825426,33,Sequential LSTM
-0.52606875,-0.19279881,0.76227456,-0.05256656,1.0091596,34,Sequential LSTM
-0.44364855,-0.19957016,0.71391296,-0.04116,0.9704658,35,Sequential LSTM
-0.5200386,-0.21562642,0.8657411,-0.07515214,0.94507605,36,Sequential LSTM
-0.566026,-0.16532305,0.621846,0.13045323,0.9790498,37,Sequential LSTM
-0.33893913,-0.09594544,0.36218598,-0.09429656,1.1669952,38,Sequential LSTM
-0.6482856,-0.23722044,1.0027225,0.024397647,0.8583859,39,Sequential LSTM
-0.38465822,-0.22004724,0.78207767,-0.09634874,0.91897655,40,Sequential LSTM
-0.6098948,-0.20491539,0.94230324,-0.09049973,0.9630067,41,Sequential LSTM
-0.29854327,-0.04863284,0.37920204,-0.2770807,1.2450547,42,Sequential LSTM
-0.6531925,-0.11465616,0.5498228,0.07127496,1.1467509,43,Sequential LSTM
-0.48262975,-0.15716471,0.6278449,-0.093459755,1.1054094,44,Sequential LSTM
-0.40397254,-0.20662466,0.627138,0.11322906,0.8702301,45,Sequential LSTM
-0.40396348,-0.122029446,0.44693983,-0.060306393,1.1393595,46,Sequential LSTM
-0.45025977,-0.26265487,0.92640454,-0.01095561,0.79746574,47,Sequential LSTM
-0.45459244,-0.20633881,0.78136474,-0.08128762,0.9608542,48,Sequential LSTM
-0.54926366,-0.09165255,0.46692988,-0.083786465,1.2577728,49,Sequential LSTM
-0.30736813,-0.11629706,0.43677655,-0.1906865,1.1775751,50,Sequential LSTM
-0.37394905,-0.22609577,0.7685856,-0.055881754,0.88734096,51,Sequential LSTM
-0.5545211,-0.14958717,0.5586013,0.096335575,1.0491713,52,Sequential LSTM
-0.58699816,-0.157496,0.7483917,-0.11510052,1.1112031,53,Sequential LSTM
-0.44575953,-0.2523794,0.85211986,0.045047756,0.8009713,54,Sequential LSTM
-0.275184,-0.06226862,0.3005869,-0.22003217,1.2568979,55,Sequential LSTM
-0.15240645,0.05318461,0.03787856,-0.21513712,1.2764804,56,Sequential LSTM
-0.5983659,-0.120795354,0.6673455,-0.1347489,1.1865647,57,Sequential LSTM
-0.5797371,-0.019949635,0.3634286,-0.078456864,1.314715,58,Sequential LSTM
-0.4175674,-0.24173576,0.86217636,-0.07098828,0.86811507,59,Sequential LSTM
-0.47211924,-0.21435425,0.79618865,-0.036840957,0.9271258,60,Sequential LSTM
-0.34834874,-0.19163054,0.62515634,-0.031188425,0.94601136,61,Sequential LSTM
-0.614276,-0.24904759,0.95349324,0.08084668,0.8289837,62,Sequential LSTM
-0.4634658,-0.192893,0.74097496,-0.05963312,0.97501695,63,Sequential LSTM
-0.71018064,-0.19677205,0.80603385,0.18631156,0.91460735,64,Sequential LSTM
-0.38435078,-0.022677802,0.24043876,-0.13444261,1.3010324,65,Sequential LSTM
-0.48188612,-0.07681239,0.4642274,-0.14287136,1.2373425,66,Sequential LSTM
-0.50177574,-0.064116225,0.421438,-0.13171631,1.2761703,67,Sequential LSTM
-0.10371856,-0.19899334,0.53040457,-0.1034748,0.87578213,68,Sequential LSTM
-0.39759097,-0.2495746,0.8385271,-0.008267862,0.8169064,69,Sequential LSTM
-0.44720352,-0.21719895,0.69524837,0.11858275,0.85057133,70,Sequential LSTM
-0.28996316,-0.2285325,0.7474815,-0.10868844,0.87970257,71,Sequential LSTM
-0.320874,-0.21643983,0.7388927,-0.12291489,0.92133605,72,Sequential LSTM
-0.46375898,-0.22497344,0.8287018,-0.05083001,0.9108606,73,Sequential LSTM
-0.5008786,-0.12949362,0.47158515,0.07084147,1.0879456,74,Sequential LSTM
-0.10749807,-0.20796412,0.55878204,-0.093949124,0.85062927,75,Sequential LSTM
-0.68840736,-0.2256346,1.0283239,-0.029640036,0.9153581,76,Sequential LSTM
-0.49103937,-0.019442571,0.36531752,-0.16432254,1.309487,77,Sequential LSTM
-0.11343884,-0.20177159,0.6215417,-0.2268885,0.9205572,78,Sequential LSTM
-0.68477035,-0.23461272,0.89578176,0.18371366,0.8398876,79,Sequential LSTM
-0.48772833,-0.058022134,0.2849032,-0.005413368,1.2662606,80,Sequential LSTM
-0.48241413,-0.14843297,0.53527844,0.038510025,1.0570587,81,Sequential LSTM
-0.55669844,-0.050549243,0.28043276,0.10537873,1.2214361,82,Sequential LSTM
-0.6810935,-0.19782573,0.8150871,0.10886011,0.9549721,83,Sequential LSTM
-0.69014895,-0.16189608,0.6695065,0.18419918,0.9983393,84,Sequential LSTM
-0.4776916,-0.22682618,0.7721566,0.070994444,0.86136675,85,Sequential LSTM
-0.5084932,-0.16700415,0.6556243,-0.04721899,1.0670921,86,Sequential LSTM
-0.4274669,-0.24963476,0.8062553,0.08649972,0.7843467,87,Sequential LSTM
-0.38329813,-0.24645032,0.87021637,-0.09353307,0.85306513,88,Sequential LSTM
-0.5124081,-0.21880156,0.87302405,-0.09837127,0.95655686,89,Sequential LSTM
-0.4876594,-0.05595408,0.37215993,-0.08436682,1.2558204,90,Sequential LSTM
0.13477823,-0.08378717,0.13652632,-0.24335499,1.0558376,91,Sequential LSTM
-0.5309602,-0.19190513,0.74891394,-0.026578244,1.0005296,92,Sequential LSTM
-0.41408822,-0.0040667905,0.21477637,-0.20722067,1.4105994,93,Sequential LSTM
-0.3437955,0.05421202,0.10463294,-0.23339918,1.4183497,94,Sequential LSTM
-0.41112408,-0.23415223,0.8132389,-0.035607703,0.8676451,95,Sequential LSTM
-0.42918393,-0.089845255,0.42635575,-0.12045249,1.213126,96,Sequential LSTM
-0.27124783,-0.11490885,0.5415049,-0.29595494,1.1406066,97,Sequential LSTM
-0.7046331,-0.17687078,0.8520857,0.0049529346,1.0244652,98,Sequential LSTM
-0.39809993,-0.10073624,0.39591873,0.003961162,1.0989563,99,Sequential LSTM
-0.20231518,-0.17801808,0.6034984,-0.23453872,1.0113736,100,Sequential LSTM
-0.48475105,0.009416992,0.14661108,-0.037157375,1.3658804,101,Sequential LSTM
-0.6640412,-0.19950457,0.9493901,-0.038844615,0.9530003,102,Sequential LSTM
-0.37540963,-0.23754098,0.77904856,-0.00899645,0.8428985,103,Sequential LSTM
-0.64924604,-0.17998347,0.8055475,0.007669115,1.0160129,104,Sequential LSTM
-0.46267885,-0.21623515,0.74144185,0.04878161,0.88869053,105,Sequential LSTM
-0.041638803,-0.22540677,0.6082824,-0.15371338,0.8124766,106,Sequential LSTM
-0.4228389,-0.22381808,0.6939554,0.12365646,0.8290451,107,Sequential LSTM
-0.72028095,-0.16554485,0.7300635,0.1734963,0.98226595,108,Sequential LSTM
-0.36970577,-0.22087051,0.693853,0.041886024,0.85483724,109,Sequential LSTM
-0.59780747,-0.19054177,0.7934949,-0.0253737,1.020228,110,Sequential LSTM
-0.22668225,-0.053866744,0.34402174,-0.30928078,1.245808,111,Sequential LSTM
-0.35316074,0.03526369,0.10542399,-0.22083695,1.43331,112,Sequential LSTM
-0.5762975,-0.10660517,0.42871737,0.0966255,1.1575599,113,Sequential LSTM
-0.5674584,-0.07474964,0.50634086,-0.024855135,1.1607223,114,Sequential LSTM
-0.6010937,-0.11858044,0.6806448,-0.15319143,1.1922208,115,Sequential LSTM
-0.34578425,0.045985386,0.07632024,-0.20081559,1.4242942,116,Sequential LSTM
-0.4852675,-0.07769457,0.5226936,-0.19144647,1.231715,117,Sequential LSTM
-0.5149357,-0.08416403,0.4474509,-0.06521685,1.2168657,118,Sequential LSTM
-0.75970453,-0.1336779,0.76751643,0.07257271,1.0532933,119,Sequential LSTM
-0.44016153,-0.020698348,0.2757814,-0.19431332,1.3793918,120,Sequential LSTM
-0.45921448,0.03330887,0.23910347,-0.20628148,1.3930836,121,Sequential LSTM
-0.3923235,0.021122249,0.23212156,-0.1668587,1.3059384,122,Sequential LSTM
-0.48849154,-0.037818797,0.34023076,-0.16170265,1.3477823,123,Sequential LSTM
-0.65830964,-0.1433077,0.818313,-0.02076519,1.0040696,124,Sequential LSTM
-0.31716752,0.030827058,0.14580578,-0.2238002,1.364335,125,Sequential LSTM
-0.5597416,0.031461425,0.27919862,-0.1009633,1.3500448,126,Sequential LSTM
-0.3877936,-0.009924043,0.24250682,-0.15837876,1.3135896,127,Sequential LSTM
-0.43962103,0.16616528,0.19024774,-0.19720174,1.2804097,128,Sequential LSTM
-0.4214879,-0.010693117,0.2684879,-0.14980207,1.3134952,129,Sequential LSTM
-0.28533244,0.11772813,0.049581993,-0.2059865,1.3240088,130,Sequential LSTM
-0.6377632,-0.046502322,0.298779,0.16345605,1.2220305,131,Sequential LSTM
-0.47239015,-0.067448996,0.41790146,-0.19957289,1.3215106,132,Sequential LSTM
-0.5575551,-0.011264429,0.47497666,-0.19240092,1.2862438,133,Sequential LSTM
-0.24430238,-0.08224982,0.23927993,-0.12207667,1.2093489,134,Sequential LSTM
-0.5074789,0.036105942,0.37945232,-0.18885443,1.2807751,135,Sequential LSTM
-0.43183273,-0.004365211,0.1707582,-0.1111439,1.3765837,136,Sequential LSTM
-0.5076107,0.12881398,0.27041683,-0.19964649,1.3080263,137,Sequential LSTM
-0.756689,-0.12391786,0.5774554,0.3505346,0.9526169,138,Sequential LSTM
-0.87284887,0.035660043,0.67767787,0.20837037,0.95114064,139,Sequential LSTM
-0.6117227,-0.18113686,0.7504471,0.005708272,1.0367043,140,Sequential LSTM
-0.44355676,-0.056925584,0.37495875,-0.21109772,1.3366213,141,Sequential LSTM
-0.60445964,-0.045280673,0.51794845,-0.13312012,1.264912,142,Sequential LSTM
-0.29338178,-0.096193455,0.504302,-0.29311678,1.17839,143,Sequential LSTM
0.06566774,-0.23458831,0.64033157,-0.262931,0.79152006,144,Sequential LSTM
-0.6079761,-0.07909879,0.525286,-0.086958095,1.2487469,145,Sequential LSTM
-0.57181066,-0.20957908,0.8539783,-0.03829376,0.9657052,146,Sequential LSTM
0.05330534,-0.13858432,0.27364564,-0.16376452,0.9753979,147,Sequential LSTM
-0.20103888,0.11316301,-0.035535738,-0.24052262,1.3639343,148,Sequential LSTM
-0.691305,-0.17273995,0.68552667,0.22462091,0.95389736,149,Sequential LSTM
-0.3079763,-0.045749582,0.20079449,-0.07694044,1.2298719,150,Sequential LSTM
-0.74812,-0.15705507,0.73513645,0.1867667,0.98327196,151,Sequential LSTM
-0.4031091,-0.009908367,0.19266056,-0.18693326,1.4072901,152,Sequential LSTM
-0.61484736,-0.098116115,0.6763606,-0.120618954,1.1572218,153,Sequential LSTM
-0.34634057,-0.108798504,0.45078212,-0.20746355,1.2118205,154,Sequential LSTM
-0.7142625,-0.17869703,0.9484846,-0.040137928,0.9846128,155,Sequential LSTM
-0.4874472,-0.099192865,0.5267561,-0.16707355,1.2269576,156,Sequential LSTM
-0.65623844,-0.13009761,0.827116,-0.12941626,1.0886363,157,Sequential LSTM
-0.6479486,-0.041299853,0.6369618,-0.14421807,1.1965047,158,Sequential LSTM
-0.73423624,-0.18755548,0.95732015,0.00022744287,0.9642441,159,Sequential LSTM
-0.73165697,-0.15894228,0.72626555,0.21535039,0.9489833,160,Sequential LSTM
-0.21641424,0.10458749,-0.059473585,-0.16864218,1.3399425,161,Sequential LSTM
-0.489911,-0.074280016,0.55670017,-0.23094957,1.2384404,162,Sequential LSTM
-0.4695487,0.00027044213,0.19062418,-0.11131905,1.3899732,163,Sequential LSTM
-0.5526818,-0.051915962,0.36083397,-0.062294167,1.3060579,164,Sequential LSTM
-0.43877894,-0.15870915,0.6589051,-0.16292049,1.1015035,165,Sequential LSTM
-0.47186688,-0.1878775,0.7841398,-0.17267038,1.048275,166,Sequential LSTM
