Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,Model
-0.21510781,-0.12094726,-1.3666514,-0.11180258,-0.42287245,0.61511135,-0.13626076,0.6476542,-0.17136872,0.41737548,-0.34488535,-0.13501501,2.434866,0.72904587,-0.8191415,1,Sequential RNN
-0.26288214,0.002472257,-1.7029877,0.03990168,-0.61073315,0.5701287,0.03495133,-0.19418928,0.056055486,0.8905997,-0.6008743,-0.09742355,3.006554,0.89418703,-1.0257599,2,Sequential RNN
-0.18805465,-0.037889607,-1.288769,-0.027712047,-0.36311615,0.8550314,0.030812219,0.014351689,0.26045942,0.5449966,-0.64463496,-0.060172606,2.287269,0.39755785,-0.7801294,3,Sequential RNN
-0.19327264,-0.088783644,-1.346919,-0.068816595,-0.3909658,1.0198678,-0.079640165,0.37486222,0.04703894,0.28933367,-0.472812,-0.09487657,2.3432484,0.492899,-0.8311636,4,Sequential RNN
-0.16493991,-0.06894525,-1.1819541,-0.069638185,-0.33920634,0.8560818,-0.042797197,0.24629381,0.1811067,0.4556168,-0.5749309,-0.085818514,2.087938,0.58460516,-0.8834119,5,Sequential RNN
-0.13079484,-0.096767105,-0.94111264,-0.08265589,-0.28508222,0.81919295,-0.07944766,0.45597154,-0.08870897,0.44710723,-0.5495919,-0.13080773,1.6587288,1.0720763,-1.0681078,6,Sequential RNN
-0.103388004,-0.07334328,-0.90445733,-0.05227236,-0.25834173,1.292804,-0.018053956,0.19555704,0.10000943,0.4333874,-0.4653825,-0.06714122,1.4950842,0.3352825,-0.90974426,7,Sequential RNN
-0.17807674,-0.071001515,-1.195499,-0.06645906,-0.3674412,1.0271081,-0.010981978,0.21570632,0.10509377,0.4974912,-0.618051,-0.071658894,2.1524503,0.27977157,-0.6984519,8,Sequential RNN
-0.25341517,-0.12691036,-1.7476426,-0.11820239,-0.4779237,0.653751,-0.13838178,0.5817679,-0.09705996,0.37954876,-0.04607082,-0.12712374,2.7334707,0.92383814,-1.139646,9,Sequential RNN
-0.25311336,-0.089522466,-1.7618623,-0.08034733,-0.5220954,0.78714126,-0.050465338,0.24776027,0.16555719,0.39572018,-0.42216882,-0.07064455,3.0412445,0.3053878,-0.69259167,10,Sequential RNN
-0.15568954,-0.09581394,-1.1546776,-0.06295697,-0.35267305,1.332406,-0.010593865,0.268515,-0.010297183,0.44155818,-0.75411224,-0.0856935,2.1326537,0.21687756,-0.7095026,11,Sequential RNN
-0.1831628,-0.06317744,-1.3559777,-0.07226051,-0.40802407,0.76098496,-0.026832871,0.20573747,-0.0017542948,0.44733137,-0.5440986,-0.099249065,2.3935945,0.8214635,-0.8745746,12,Sequential RNN
-0.117786005,-0.028564673,-0.9374922,-0.049289797,-0.26592034,0.9318553,0.03672922,0.012646741,0.19963326,0.67925555,-0.74486923,-0.052619632,1.7549196,0.24823585,-0.6667337,13,Sequential RNN
-0.38727272,-0.11920683,-2.6655314,-0.10472895,-0.8049806,0.6297574,-0.087986276,0.3546019,-0.16541852,0.16267547,-0.8367065,-0.22158854,4.9597936,1.19005,-0.9034582,14,Sequential RNN
-0.19871263,-0.08123342,-1.6930112,-0.10373118,-0.4314769,0.2471242,-0.06255828,0.28475598,0.07386965,0.87845683,-0.25437897,-0.09083476,2.4935684,0.99067855,-1.0525165,15,Sequential RNN
