Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,-0.3753944,-3.3321347,-1.9963318,-1.4627908,0.9895704,29,5.0,MAP,t-Distribution,Sequential LSTM
2,0.025923623,-3.566513,-2.158362,-1.5959238,1.0431664,29,5.0,MAP,t-Distribution,Sequential LSTM
3,-0.08163045,-3.3644302,-2.0347438,-1.5036458,0.98503923,29,5.0,MAP,t-Distribution,Sequential LSTM
4,0.2374338,-3.5591958,-2.1800876,-1.6292498,1.021651,29,5.0,MAP,t-Distribution,Sequential LSTM
5,0.10222911,-3.7032053,-2.2713692,-1.699471,1.0607123,29,5.0,MAP,t-Distribution,Sequential LSTM
6,0.7853189,-3.4675856,-2.076718,-1.5211835,1.0303625,29,5.0,MAP,t-Distribution,Sequential LSTM
7,0.6557045,-4.095123,-2.5035987,-1.8679186,1.17901,29,5.0,MAP,t-Distribution,Sequential LSTM
8,-0.06791799,-4.001648,-2.3998091,-1.7600092,1.1866513,29,5.0,MAP,t-Distribution,Sequential LSTM
9,0.13438645,-4.5711746,-2.8632684,-2.1811032,1.2652266,29,5.0,MAP,t-Distribution,Sequential LSTM
10,-0.3693842,-3.7883284,-2.3173258,-1.7297839,1.0897272,29,5.0,MAP,t-Distribution,Sequential LSTM
11,-0.101914786,-3.8758793,-2.3090432,-1.6832238,1.1607211,29,5.0,MAP,t-Distribution,Sequential LSTM
12,-0.9836045,-4.2662234,-2.6734576,-2.0372815,1.1799299,29,5.0,MAP,t-Distribution,Sequential LSTM
13,-1.4757946,-4.1742563,-2.4560077,-1.7697119,1.2728884,29,5.0,MAP,t-Distribution,Sequential LSTM
14,-0.29405177,-4.0526657,-2.3032608,-1.6045206,1.2959691,29,5.0,MAP,t-Distribution,Sequential LSTM
15,0.5123522,-4.699666,-3.0071595,-2.3311453,1.2538185,29,5.0,MAP,t-Distribution,Sequential LSTM
16,-0.13391195,-3.9714713,-2.583314,-2.0288615,1.028355,29,5.0,MAP,t-Distribution,Sequential LSTM
17,0.2109383,-3.9660242,-2.325349,-1.6700372,1.2154214,29,5.0,MAP,t-Distribution,Sequential LSTM
18,-0.87006533,-4.0697794,-2.3690417,-1.68974,1.2599162,29,5.0,MAP,t-Distribution,Sequential LSTM
19,-0.95508695,-4.484082,-2.8394651,-2.1825788,1.2183416,29,5.0,MAP,t-Distribution,Sequential LSTM
20,0.36415818,-5.3961725,-3.3604662,-2.5473726,1.5080628,29,5.0,MAP,t-Distribution,Sequential LSTM
21,-0.62094766,-4.4245434,-2.7435122,-2.0720813,1.2453176,29,5.0,MAP,t-Distribution,Sequential LSTM
22,0.026213802,-4.319444,-2.6486042,-1.9812441,1.2377678,29,5.0,MAP,t-Distribution,Sequential LSTM
23,-0.1966472,-4.153104,-2.6235883,-2.0126755,1.1330737,29,5.0,MAP,t-Distribution,Sequential LSTM
24,0.99652064,-3.9958472,-2.4142685,-1.7825605,1.1716425,29,5.0,MAP,t-Distribution,Sequential LSTM
25,0.20964156,-4.4871387,-2.8452086,-2.1893952,1.2163513,29,5.0,MAP,t-Distribution,Sequential LSTM
26,-0.07601952,-3.9314737,-2.3125336,-1.665903,1.1993201,29,5.0,MAP,t-Distribution,Sequential LSTM
27,-0.91039395,-3.8941417,-2.4363399,-1.8540705,1.079948,29,5.0,MAP,t-Distribution,Sequential LSTM
