Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
1,0.5925914,-2.6224098,-1.5137243,-1.0708977,0.8213205,10,5.0,MAP,t-Distribution,Sequential RNN
2,-0.4958099,-2.535717,-1.4355075,-0.99606633,0.81504136,10,5.0,MAP,t-Distribution,Sequential RNN
3,-0.17775519,-2.5657048,-1.5222776,-1.1055161,0.77297676,10,5.0,MAP,t-Distribution,Sequential RNN
4,-0.26393312,-2.4136918,-1.412035,-1.0119572,0.7420331,10,5.0,MAP,t-Distribution,Sequential RNN
5,2.0047965,-3.0125794,-1.8791308,-1.4264133,0.8396653,10,5.0,MAP,t-Distribution,Sequential RNN
6,-0.6840824,-2.8404024,-1.6943616,-1.2366146,0.8489936,10,5.0,MAP,t-Distribution,Sequential RNN
7,0.0026519252,-2.3578522,-1.2930635,-0.86776996,0.78880143,10,5.0,MAP,t-Distribution,Sequential RNN
8,-0.9209304,-3.068904,-1.8113643,-1.3090829,0.9315925,10,5.0,MAP,t-Distribution,Sequential RNN
9,-0.8727189,-2.368527,-1.2306739,-0.7761972,0.842928,10,5.0,MAP,t-Distribution,Sequential RNN
10,-0.24397737,-2.3310137,-1.3020896,-0.8911208,0.76223284,10,5.0,MAP,t-Distribution,Sequential RNN
11,-0.2870594,-2.8311265,-1.6999869,-1.2481917,0.83795464,10,5.0,MAP,t-Distribution,Sequential RNN
12,-0.41545433,-2.9745028,-1.8536469,-1.405959,0.83033645,10,5.0,MAP,t-Distribution,Sequential RNN
13,-0.70522237,-3.6445675,-2.1613753,-1.5689647,1.0987571,10,5.0,MAP,t-Distribution,Sequential RNN
14,0.72074074,-3.886532,-2.294896,-1.6591709,1.1790931,10,5.0,MAP,t-Distribution,Sequential RNN
15,0.9219775,-2.8805957,-1.7821201,-1.3433713,0.813757,10,5.0,MAP,t-Distribution,Sequential RNN
16,-0.07713683,-2.9130006,-1.8383123,-1.4090645,0.79613525,10,5.0,MAP,t-Distribution,Sequential RNN
17,-0.711945,-3.3470075,-2.062047,-1.5488131,0.9519061,10,5.0,MAP,t-Distribution,Sequential RNN
18,-0.13340478,-4.116778,-2.4314735,-1.7583361,1.248483,10,5.0,MAP,t-Distribution,Sequential RNN
19,-0.17248501,-2.6146145,-1.5656741,-1.1467105,0.777061,10,5.0,MAP,t-Distribution,Sequential RNN
20,-0.40537518,-2.78721,-1.5916157,-1.1140761,0.8857031,10,5.0,MAP,t-Distribution,Sequential RNN
