Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model,Estimation_Method,Distribution
-0.25614133,0.0028856203,-1.7515762,-0.014208131,-0.54521877,-0.088671856,0.052142788,-0.2059036,1.0092943,1.3171594,0.08390267,-0.0770414,2.5652273,0.8343378,-0.33336765,-0.016274324,-0.6330357,-0.23675412,0.0053230454,-1.0569545,0.626544,-0.14404938,0.007274054,-0.01817488,0.013924688,-0.32217944,-0.008807785,-0.029458527,0.21980196,1,Sequential LSTM,MAP,t-Distribution
-0.28928697,0.009565266,-1.8609463,-0.027405823,-0.6305078,0.01011522,0.04309921,-0.22559349,1.2925235,1.2259687,0.16131262,0.17200828,2.743188,0.96359164,-0.38914284,-0.010046072,-0.6468102,-0.6115362,-0.10473958,-0.82975775,0.5789068,-0.046837427,-0.13936852,0.0011769728,0.102219485,-0.39254683,-0.016040906,-0.0071423925,-0.07596637,2,Sequential LSTM,MAP,t-Distribution
-0.27792278,0.0024508121,-1.8219966,-0.008215281,-0.5706453,-0.13122717,0.045318708,-0.16338801,0.82339907,1.4425212,0.10423464,0.18166567,2.6423864,0.91565406,-0.33269176,-0.036983725,-0.7535153,-0.5316903,-0.12723854,-1.0608226,0.60205525,-0.07117516,-0.18504423,0.016178863,0.11431276,-0.009051374,0.004978677,-0.061054256,0.24750596,3,Sequential LSTM,MAP,t-Distribution
-0.28072834,0.0002461285,-1.7784808,-0.0065875505,-0.5278127,-0.13633095,0.038830876,-0.113351785,0.97403926,1.5027316,0.07578494,0.15366706,2.4878285,0.8897051,-0.3731944,-0.05296037,-0.75337994,-0.24390526,-0.14270547,-1.1544893,0.58767486,-0.09229818,-0.17070796,0.024434455,0.09500226,-0.23326197,0.021832004,-0.07329584,0.28171363,4,Sequential LSTM,MAP,t-Distribution
-0.2616273,0.018463092,-1.8280253,-0.011807335,-0.60456395,-0.054217108,0.04061897,-0.14148612,1.1887984,1.6371225,-0.0038314566,0.011881707,2.5978642,0.7937667,-0.33207884,-0.05623241,-0.71508694,-0.4794947,-0.13173524,-1.2628324,0.5238893,-0.025420567,-0.024333177,0.052567117,0.12293005,-0.42545676,0.01880502,-0.041360065,0.3928828,5,Sequential LSTM,MAP,t-Distribution
-0.2641235,0.0016626079,-1.8041152,-0.01945411,-0.59462404,-0.038925283,0.02649878,-0.089085385,1.1039381,1.4849868,-0.038463604,0.09573656,2.6439457,0.719379,-0.29065895,-0.0512379,-0.58566576,-0.4492368,-0.13206385,-1.1352164,0.54094267,-0.026918784,-0.09718407,0.069168314,0.11882009,-0.44458094,0.0100598745,-0.030612994,0.27702916,6,Sequential LSTM,MAP,t-Distribution
-0.34879306,0.011519839,-1.8694253,-0.010028817,-0.775457,-0.2544335,0.0506832,-0.1549806,1.6712462,1.112172,-0.27093267,-0.37499136,3.202092,0.32565975,-0.1695783,0.0019950664,-0.48754185,-0.30686304,-0.0831539,-0.8805616,0.2956623,-0.21692649,0.25865197,0.062512495,0.15852714,-1.3383466,0.055890847,0.1540492,1.1813521,7,Sequential LSTM,MAP,t-Distribution
-0.40066966,-0.009315151,-2.2031472,-0.012759386,-0.809402,-0.16501041,0.010265977,-0.094252616,1.1345925,1.1774955,-0.06887738,-0.56983376,3.6024213,0.33187303,-0.15980715,-0.0011674131,-0.12205213,-0.38236302,0.011159076,-0.89687955,0.21965045,-0.14307813,0.46311715,-0.020615892,0.013635811,-1.0787342,-0.027957335,0.18754129,1.0141702,8,Sequential LSTM,MAP,t-Distribution
-0.29816082,-0.004411707,-1.7460744,0.0011877054,-0.61879075,-0.24169095,0.043214094,-0.16497737,1.6052934,1.3069197,-0.10194341,-0.57169706,2.6909394,0.8979333,-0.43510133,-0.014400105,-0.45075163,0.037830386,-0.03335394,-1.0449249,0.27336153,-0.21630274,0.41982687,-0.07957034,-0.09224023,-1.4811842,-0.0775845,0.25777128,1.1388826,9,Sequential LSTM,MAP,t-Distribution
-0.31924716,-0.027283512,-1.8421044,-0.00823628,-0.58697176,-0.08616455,0.024674729,-0.06637356,1.157821,1.1706038,-0.01848437,-0.39572483,2.8077235,0.75309426,-0.39607358,-0.014673235,-0.34582555,0.11236449,-0.021443352,-0.9264781,0.28445724,-0.19568546,0.24735418,-0.12823167,-0.08584951,-1.0494744,-0.12259225,0.16739783,0.91142637,10,Sequential LSTM,MAP,t-Distribution
