Asset_1_Weight,Asset_2_Weight,Day,Model,Estimation_Method,Distribution
1.1696568,-0.16965677,1,Sequential LSTM,MAP,t-Distribution
1.1759353,-0.1759353,2,Sequential LSTM,MAP,t-Distribution
1.1709944,-0.17099439,3,Sequential LSTM,MAP,t-Distribution
1.1747531,-0.17475303,4,Sequential LSTM,MAP,t-Distribution
1.1710076,-0.17100757,5,Sequential LSTM,MAP,t-Distribution
1.1756322,-0.1756323,6,Sequential LSTM,MAP,t-Distribution
1.1748468,-0.17484674,7,Sequential LSTM,MAP,t-Distribution
1.1719472,-0.1719472,8,Sequential LSTM,MAP,t-Distribution
1.1636962,-0.16369618,9,Sequential LSTM,MAP,t-Distribution
1.1481297,-0.14812975,10,Sequential LSTM,MAP,t-Distribution
1.1708231,-0.17082311,11,Sequential LSTM,MAP,t-Distribution
1.1722802,-0.1722802,12,Sequential LSTM,MAP,t-Distribution
1.1730145,-0.1730145,13,Sequential LSTM,MAP,t-Distribution
1.1428459,-0.14284585,14,Sequential LSTM,MAP,t-Distribution
1.1174471,-0.11744713,15,Sequential LSTM,MAP,t-Distribution
1.131409,-0.13140908,16,Sequential LSTM,MAP,t-Distribution
1.1488173,-0.14881724,17,Sequential LSTM,MAP,t-Distribution
1.1694002,-0.16940024,18,Sequential LSTM,MAP,t-Distribution
1.1587607,-0.15876065,19,Sequential LSTM,MAP,t-Distribution
1.1683487,-0.16834866,20,Sequential LSTM,MAP,t-Distribution
1.1289887,-0.12898874,21,Sequential LSTM,MAP,t-Distribution
1.1747286,-0.17472868,22,Sequential LSTM,MAP,t-Distribution
1.1753541,-0.17535412,23,Sequential LSTM,MAP,t-Distribution
1.1678373,-0.16783725,24,Sequential LSTM,MAP,t-Distribution
1.1703122,-0.17031221,25,Sequential LSTM,MAP,t-Distribution
1.1757655,-0.17576554,26,Sequential LSTM,MAP,t-Distribution
1.1612248,-0.1612248,27,Sequential LSTM,MAP,t-Distribution
1.1104386,-0.110438615,28,Sequential LSTM,MAP,t-Distribution
1.1692221,-0.16922215,29,Sequential LSTM,MAP,t-Distribution
1.1628819,-0.1628818,30,Sequential LSTM,MAP,t-Distribution
1.170786,-0.17078598,31,Sequential LSTM,MAP,t-Distribution
1.1392055,-0.1392055,32,Sequential LSTM,MAP,t-Distribution
1.1680238,-0.16802378,33,Sequential LSTM,MAP,t-Distribution
1.1698699,-0.16986987,34,Sequential LSTM,MAP,t-Distribution
1.17215,-0.17214999,35,Sequential LSTM,MAP,t-Distribution
1.1351506,-0.13515058,36,Sequential LSTM,MAP,t-Distribution
1.1742806,-0.1742806,37,Sequential LSTM,MAP,t-Distribution
1.1755557,-0.17555565,38,Sequential LSTM,MAP,t-Distribution
1.1640477,-0.16404775,39,Sequential LSTM,MAP,t-Distribution
1.1701362,-0.17013626,40,Sequential LSTM,MAP,t-Distribution
1.1405128,-0.14051285,41,Sequential LSTM,MAP,t-Distribution
1.1686462,-0.1686462,42,Sequential LSTM,MAP,t-Distribution
1.1554408,-0.15544079,43,Sequential LSTM,MAP,t-Distribution
1.1712096,-0.17120962,44,Sequential LSTM,MAP,t-Distribution
1.1735002,-0.17350018,45,Sequential LSTM,MAP,t-Distribution
1.1640357,-0.16403574,46,Sequential LSTM,MAP,t-Distribution
1.1756232,-0.17562321,47,Sequential LSTM,MAP,t-Distribution
1.1645172,-0.16451713,48,Sequential LSTM,MAP,t-Distribution
1.1604313,-0.16043125,49,Sequential LSTM,MAP,t-Distribution
1.151198,-0.15119809,50,Sequential LSTM,MAP,t-Distribution
1.1386893,-0.13868928,51,Sequential LSTM,MAP,t-Distribution
1.1699615,-0.16996141,52,Sequential LSTM,MAP,t-Distribution
1.1380693,-0.13806933,53,Sequential LSTM,MAP,t-Distribution
1.1629813,-0.16298127,54,Sequential LSTM,MAP,t-Distribution
1.1541308,-0.15413088,55,Sequential LSTM,MAP,t-Distribution
1.1586403,-0.15864024,56,Sequential LSTM,MAP,t-Distribution
1.1569194,-0.15691933,57,Sequential LSTM,MAP,t-Distribution
1.1405454,-0.1405454,58,Sequential LSTM,MAP,t-Distribution
1.1710001,-0.17100011,59,Sequential LSTM,MAP,t-Distribution
1.153304,-0.15330401,60,Sequential LSTM,MAP,t-Distribution
1.1692265,-0.16922651,61,Sequential LSTM,MAP,t-Distribution
1.1730357,-0.17303573,62,Sequential LSTM,MAP,t-Distribution
1.1546867,-0.15468669,63,Sequential LSTM,MAP,t-Distribution
1.1490501,-0.14905007,64,Sequential LSTM,MAP,t-Distribution
1.1734945,-0.1734944,65,Sequential LSTM,MAP,t-Distribution
1.1577388,-0.15773879,66,Sequential LSTM,MAP,t-Distribution
1.1619854,-0.16198543,67,Sequential LSTM,MAP,t-Distribution
1.1398714,-0.1398714,68,Sequential LSTM,MAP,t-Distribution
1.1724311,-0.17243107,69,Sequential LSTM,MAP,t-Distribution
1.1757005,-0.17570052,70,Sequential LSTM,MAP,t-Distribution
1.1564285,-0.15642841,71,Sequential LSTM,MAP,t-Distribution
1.1741638,-0.17416388,72,Sequential LSTM,MAP,t-Distribution
1.1433932,-0.14339311,73,Sequential LSTM,MAP,t-Distribution
1.1689094,-0.16890939,74,Sequential LSTM,MAP,t-Distribution
1.1744684,-0.17446835,75,Sequential LSTM,MAP,t-Distribution
1.1679628,-0.16796274,76,Sequential LSTM,MAP,t-Distribution
1.1192914,-0.11929144,77,Sequential LSTM,MAP,t-Distribution
1.1725048,-0.17250475,78,Sequential LSTM,MAP,t-Distribution
1.1736355,-0.17363547,79,Sequential LSTM,MAP,t-Distribution
1.1676133,-0.16761325,80,Sequential LSTM,MAP,t-Distribution
1.1749672,-0.17496713,81,Sequential LSTM,MAP,t-Distribution
1.1718057,-0.1718058,82,Sequential LSTM,MAP,t-Distribution
1.1624396,-0.16243954,83,Sequential LSTM,MAP,t-Distribution
1.1750053,-0.17500527,84,Sequential LSTM,MAP,t-Distribution
1.1707737,-0.17077368,85,Sequential LSTM,MAP,t-Distribution
1.1540488,-0.15404876,86,Sequential LSTM,MAP,t-Distribution
1.1713121,-0.17131205,87,Sequential LSTM,MAP,t-Distribution
1.1537315,-0.15373144,88,Sequential LSTM,MAP,t-Distribution
1.1614122,-0.16141227,89,Sequential LSTM,MAP,t-Distribution
1.142427,-0.14242694,90,Sequential LSTM,MAP,t-Distribution
1.152142,-0.15214208,91,Sequential LSTM,MAP,t-Distribution
1.1693884,-0.16938838,92,Sequential LSTM,MAP,t-Distribution
1.1073589,-0.10735889,93,Sequential LSTM,MAP,t-Distribution
1.1177315,-0.11773142,94,Sequential LSTM,MAP,t-Distribution
1.1716346,-0.17163454,95,Sequential LSTM,MAP,t-Distribution
1.1680039,-0.16800392,96,Sequential LSTM,MAP,t-Distribution
1.1607286,-0.16072856,97,Sequential LSTM,MAP,t-Distribution
1.1372765,-0.13727656,98,Sequential LSTM,MAP,t-Distribution
1.1636325,-0.16363251,99,Sequential LSTM,MAP,t-Distribution
1.1726397,-0.17263977,100,Sequential LSTM,MAP,t-Distribution
1.1632105,-0.16321054,101,Sequential LSTM,MAP,t-Distribution
1.1501974,-0.15019734,102,Sequential LSTM,MAP,t-Distribution
1.1717602,-0.17176025,103,Sequential LSTM,MAP,t-Distribution
1.1125517,-0.11255172,104,Sequential LSTM,MAP,t-Distribution
1.165307,-0.165307,105,Sequential LSTM,MAP,t-Distribution
1.1747423,-0.17474233,106,Sequential LSTM,MAP,t-Distribution
1.1733537,-0.17335363,107,Sequential LSTM,MAP,t-Distribution
1.1751989,-0.17519887,108,Sequential LSTM,MAP,t-Distribution
1.1658244,-0.16582446,109,Sequential LSTM,MAP,t-Distribution
1.1527772,-0.15277717,110,Sequential LSTM,MAP,t-Distribution
1.1757393,-0.1757393,111,Sequential LSTM,MAP,t-Distribution
1.1664342,-0.16643415,112,Sequential LSTM,MAP,t-Distribution
1.1657087,-0.16570869,113,Sequential LSTM,MAP,t-Distribution
1.0901067,-0.09010677,114,Sequential LSTM,MAP,t-Distribution
1.1161534,-0.11615338,115,Sequential LSTM,MAP,t-Distribution
1.150971,-0.15097101,116,Sequential LSTM,MAP,t-Distribution
1.1004683,-0.10046822,117,Sequential LSTM,MAP,t-Distribution
1.1555805,-0.15558054,118,Sequential LSTM,MAP,t-Distribution
1.1682216,-0.16822155,119,Sequential LSTM,MAP,t-Distribution
1.1324257,-0.13242571,120,Sequential LSTM,MAP,t-Distribution
1.1285051,-0.12850513,121,Sequential LSTM,MAP,t-Distribution
1.090691,-0.090690956,122,Sequential LSTM,MAP,t-Distribution
1.0280465,-0.028046515,123,Sequential LSTM,MAP,t-Distribution
1.0886239,-0.08862386,124,Sequential LSTM,MAP,t-Distribution
1.0893896,-0.089389525,125,Sequential LSTM,MAP,t-Distribution
1.0093839,-0.0093839085,126,Sequential LSTM,MAP,t-Distribution
1.0892481,-0.089248024,127,Sequential LSTM,MAP,t-Distribution
1.0539986,-0.053998575,128,Sequential LSTM,MAP,t-Distribution
1.1185514,-0.118551336,129,Sequential LSTM,MAP,t-Distribution
1.1284839,-0.12848394,130,Sequential LSTM,MAP,t-Distribution
1.1577466,-0.15774661,131,Sequential LSTM,MAP,t-Distribution
1.1266544,-0.12665434,132,Sequential LSTM,MAP,t-Distribution
1.0154389,-0.015438922,133,Sequential LSTM,MAP,t-Distribution
1.033807,-0.033807013,134,Sequential LSTM,MAP,t-Distribution
1.051396,-0.051396035,135,Sequential LSTM,MAP,t-Distribution
1.0966655,-0.09666549,136,Sequential LSTM,MAP,t-Distribution
1.025652,-0.025652025,137,Sequential LSTM,MAP,t-Distribution
1.1546131,-0.15461315,138,Sequential LSTM,MAP,t-Distribution
1.1297406,-0.12974066,139,Sequential LSTM,MAP,t-Distribution
1.1335194,-0.13351944,140,Sequential LSTM,MAP,t-Distribution
1.1068076,-0.10680763,141,Sequential LSTM,MAP,t-Distribution
1.0280365,-0.02803651,142,Sequential LSTM,MAP,t-Distribution
1.0957973,-0.09579725,143,Sequential LSTM,MAP,t-Distribution
1.0625756,-0.06257561,144,Sequential LSTM,MAP,t-Distribution
1.0742673,-0.07426732,145,Sequential LSTM,MAP,t-Distribution
1.1557705,-0.1557705,146,Sequential LSTM,MAP,t-Distribution
1.1363862,-0.1363861,147,Sequential LSTM,MAP,t-Distribution
1.145377,-0.14537701,148,Sequential LSTM,MAP,t-Distribution
1.1697603,-0.16976036,149,Sequential LSTM,MAP,t-Distribution
1.1481508,-0.14815076,150,Sequential LSTM,MAP,t-Distribution
1.1687843,-0.16878426,151,Sequential LSTM,MAP,t-Distribution
1.1570234,-0.15702343,152,Sequential LSTM,MAP,t-Distribution
1.0654455,-0.065445505,153,Sequential LSTM,MAP,t-Distribution
1.1365768,-0.13657676,154,Sequential LSTM,MAP,t-Distribution
1.1369776,-0.13697755,155,Sequential LSTM,MAP,t-Distribution
1.0462185,-0.04621853,156,Sequential LSTM,MAP,t-Distribution
1.0580539,-0.058053795,157,Sequential LSTM,MAP,t-Distribution
