Asset_1_Weight,Asset_2_Weight,Day,Model,Estimation_Method,Distribution
1.1797729,-0.17977287,1,Sequential RNN,MAP,t-Distribution
1.1864362,-0.18643624,2,Sequential RNN,MAP,t-Distribution
1.188201,-0.1882009,3,Sequential RNN,MAP,t-Distribution
1.1854808,-0.18548085,4,Sequential RNN,MAP,t-Distribution
1.1794841,-0.17948413,5,Sequential RNN,MAP,t-Distribution
1.1855124,-0.18551244,6,Sequential RNN,MAP,t-Distribution
1.1881616,-0.18816158,7,Sequential RNN,MAP,t-Distribution
1.1824923,-0.1824922,8,Sequential RNN,MAP,t-Distribution
1.1743345,-0.17433456,9,Sequential RNN,MAP,t-Distribution
1.1627201,-0.16272002,10,Sequential RNN,MAP,t-Distribution
1.1846156,-0.18461563,11,Sequential RNN,MAP,t-Distribution
1.1840966,-0.18409662,12,Sequential RNN,MAP,t-Distribution
1.1820663,-0.18206629,13,Sequential RNN,MAP,t-Distribution
1.160497,-0.16049695,14,Sequential RNN,MAP,t-Distribution
1.0889126,-0.08891265,15,Sequential RNN,MAP,t-Distribution
1.169223,-0.16922298,16,Sequential RNN,MAP,t-Distribution
1.1532718,-0.15327178,17,Sequential RNN,MAP,t-Distribution
1.1788611,-0.17886113,18,Sequential RNN,MAP,t-Distribution
1.1682781,-0.16827813,19,Sequential RNN,MAP,t-Distribution
1.1876509,-0.18765095,20,Sequential RNN,MAP,t-Distribution
1.1757653,-0.17576523,21,Sequential RNN,MAP,t-Distribution
1.1881673,-0.18816736,22,Sequential RNN,MAP,t-Distribution
1.187294,-0.18729402,23,Sequential RNN,MAP,t-Distribution
1.1866001,-0.18660015,24,Sequential RNN,MAP,t-Distribution
1.1879052,-0.18790519,25,Sequential RNN,MAP,t-Distribution
1.1875709,-0.18757097,26,Sequential RNN,MAP,t-Distribution
1.182909,-0.18290906,27,Sequential RNN,MAP,t-Distribution
1.1443902,-0.14439017,28,Sequential RNN,MAP,t-Distribution
1.183732,-0.18373202,29,Sequential RNN,MAP,t-Distribution
1.1824527,-0.18245268,30,Sequential RNN,MAP,t-Distribution
1.186852,-0.18685202,31,Sequential RNN,MAP,t-Distribution
1.1666329,-0.16663289,32,Sequential RNN,MAP,t-Distribution
1.1775706,-0.17757054,33,Sequential RNN,MAP,t-Distribution
1.1812545,-0.18125454,34,Sequential RNN,MAP,t-Distribution
1.1806706,-0.18067068,35,Sequential RNN,MAP,t-Distribution
1.1681838,-0.16818382,36,Sequential RNN,MAP,t-Distribution
1.1873906,-0.18739057,37,Sequential RNN,MAP,t-Distribution
1.1876018,-0.18760175,38,Sequential RNN,MAP,t-Distribution
1.1716499,-0.17164987,39,Sequential RNN,MAP,t-Distribution
1.1861739,-0.18617387,40,Sequential RNN,MAP,t-Distribution
1.1401831,-0.1401831,41,Sequential RNN,MAP,t-Distribution
1.1877153,-0.18771534,42,Sequential RNN,MAP,t-Distribution
1.1598903,-0.15989032,43,Sequential RNN,MAP,t-Distribution
1.1842091,-0.18420906,44,Sequential RNN,MAP,t-Distribution
1.1860263,-0.18602629,45,Sequential RNN,MAP,t-Distribution
1.1792302,-0.17923015,46,Sequential RNN,MAP,t-Distribution
1.1861725,-0.18617252,47,Sequential RNN,MAP,t-Distribution
1.1740912,-0.17409118,48,Sequential RNN,MAP,t-Distribution
1.1679822,-0.16798225,49,Sequential RNN,MAP,t-Distribution
1.159728,-0.15972807,50,Sequential RNN,MAP,t-Distribution
1.1707866,-0.17078668,51,Sequential RNN,MAP,t-Distribution
1.1789528,-0.1789528,52,Sequential RNN,MAP,t-Distribution
1.1416519,-0.14165191,53,Sequential RNN,MAP,t-Distribution
1.186788,-0.18678793,54,Sequential RNN,MAP,t-Distribution
1.1681066,-0.16810651,55,Sequential RNN,MAP,t-Distribution
1.1856871,-0.18568704,56,Sequential RNN,MAP,t-Distribution
1.1613818,-0.16138189,57,Sequential RNN,MAP,t-Distribution
1.1372681,-0.13726813,58,Sequential RNN,MAP,t-Distribution
1.1854932,-0.18549323,59,Sequential RNN,MAP,t-Distribution
1.1804426,-0.18044259,60,Sequential RNN,MAP,t-Distribution
1.1877129,-0.18771286,61,Sequential RNN,MAP,t-Distribution
1.1841546,-0.1841546,62,Sequential RNN,MAP,t-Distribution
1.1841199,-0.18411998,63,Sequential RNN,MAP,t-Distribution
1.1716557,-0.17165567,64,Sequential RNN,MAP,t-Distribution
1.1875706,-0.18757054,65,Sequential RNN,MAP,t-Distribution
1.1743404,-0.1743404,66,Sequential RNN,MAP,t-Distribution
1.174182,-0.17418209,67,Sequential RNN,MAP,t-Distribution
1.1671684,-0.16716842,68,Sequential RNN,MAP,t-Distribution
1.1863192,-0.18631928,69,Sequential RNN,MAP,t-Distribution
1.1875961,-0.18759605,70,Sequential RNN,MAP,t-Distribution
1.172235,-0.17223503,71,Sequential RNN,MAP,t-Distribution
1.1857269,-0.18572687,72,Sequential RNN,MAP,t-Distribution
1.1699101,-0.1699101,73,Sequential RNN,MAP,t-Distribution
1.1814795,-0.18147942,74,Sequential RNN,MAP,t-Distribution
1.1878501,-0.18785013,75,Sequential RNN,MAP,t-Distribution
1.1804408,-0.18044075,76,Sequential RNN,MAP,t-Distribution
1.1316916,-0.13169152,77,Sequential RNN,MAP,t-Distribution
1.181401,-0.181401,78,Sequential RNN,MAP,t-Distribution
1.1825658,-0.1825658,79,Sequential RNN,MAP,t-Distribution
1.1768678,-0.17686786,80,Sequential RNN,MAP,t-Distribution
1.1867119,-0.1867119,81,Sequential RNN,MAP,t-Distribution
1.1847814,-0.1847814,82,Sequential RNN,MAP,t-Distribution
1.175598,-0.17559807,83,Sequential RNN,MAP,t-Distribution
1.1857579,-0.1857579,84,Sequential RNN,MAP,t-Distribution
1.1875724,-0.18757236,85,Sequential RNN,MAP,t-Distribution
1.1597967,-0.15979674,86,Sequential RNN,MAP,t-Distribution
1.1879933,-0.18799332,87,Sequential RNN,MAP,t-Distribution
1.1751748,-0.17517488,88,Sequential RNN,MAP,t-Distribution
1.1673851,-0.16738516,89,Sequential RNN,MAP,t-Distribution
1.177118,-0.1771179,90,Sequential RNN,MAP,t-Distribution
1.1663445,-0.16634448,91,Sequential RNN,MAP,t-Distribution
1.1772377,-0.17723775,92,Sequential RNN,MAP,t-Distribution
1.1026256,-0.10262562,93,Sequential RNN,MAP,t-Distribution
1.0966696,-0.09666956,94,Sequential RNN,MAP,t-Distribution
1.1817782,-0.18177818,95,Sequential RNN,MAP,t-Distribution
1.1786644,-0.17866446,96,Sequential RNN,MAP,t-Distribution
1.1665635,-0.1665635,97,Sequential RNN,MAP,t-Distribution
1.1326661,-0.13266607,98,Sequential RNN,MAP,t-Distribution
1.1869297,-0.18692973,99,Sequential RNN,MAP,t-Distribution
1.1877205,-0.18772049,100,Sequential RNN,MAP,t-Distribution
1.1725539,-0.1725539,101,Sequential RNN,MAP,t-Distribution
1.1637173,-0.16371723,102,Sequential RNN,MAP,t-Distribution
1.1802316,-0.18023154,103,Sequential RNN,MAP,t-Distribution
1.1649882,-0.1649882,104,Sequential RNN,MAP,t-Distribution
1.1872574,-0.18725735,105,Sequential RNN,MAP,t-Distribution
1.1856554,-0.18565531,106,Sequential RNN,MAP,t-Distribution
1.18398,-0.18398,107,Sequential RNN,MAP,t-Distribution
1.1849465,-0.18494657,108,Sequential RNN,MAP,t-Distribution
1.1845256,-0.18452565,109,Sequential RNN,MAP,t-Distribution
1.1576762,-0.15767618,110,Sequential RNN,MAP,t-Distribution
1.1856668,-0.18566678,111,Sequential RNN,MAP,t-Distribution
1.1784252,-0.17842516,112,Sequential RNN,MAP,t-Distribution
1.1778356,-0.17783561,113,Sequential RNN,MAP,t-Distribution
1.102056,-0.10205607,114,Sequential RNN,MAP,t-Distribution
1.109363,-0.109362915,115,Sequential RNN,MAP,t-Distribution
1.0788323,-0.07883222,116,Sequential RNN,MAP,t-Distribution
1.1333691,-0.13336903,117,Sequential RNN,MAP,t-Distribution
1.1676644,-0.16766436,118,Sequential RNN,MAP,t-Distribution
1.1823808,-0.1823808,119,Sequential RNN,MAP,t-Distribution
1.1608417,-0.16084166,120,Sequential RNN,MAP,t-Distribution
1.1606665,-0.16066653,121,Sequential RNN,MAP,t-Distribution
1.118841,-0.1188411,122,Sequential RNN,MAP,t-Distribution
0.81848955,0.18151043,123,Sequential RNN,MAP,t-Distribution
1.0995297,-0.099529766,124,Sequential RNN,MAP,t-Distribution
1.1266845,-0.12668455,125,Sequential RNN,MAP,t-Distribution
0.6972385,0.30276152,126,Sequential RNN,MAP,t-Distribution
1.1250141,-0.125014,127,Sequential RNN,MAP,t-Distribution
1.1001443,-0.10014427,128,Sequential RNN,MAP,t-Distribution
1.1820886,-0.18208857,129,Sequential RNN,MAP,t-Distribution
1.0665218,-0.06652178,130,Sequential RNN,MAP,t-Distribution
1.1824502,-0.18245015,131,Sequential RNN,MAP,t-Distribution
1.1953154,-0.19531539,132,Sequential RNN,MAP,t-Distribution
0.77296793,0.22703208,133,Sequential RNN,MAP,t-Distribution
0.9256041,0.07439588,134,Sequential RNN,MAP,t-Distribution
1.0910062,-0.09100615,135,Sequential RNN,MAP,t-Distribution
1.1273764,-0.12737647,136,Sequential RNN,MAP,t-Distribution
1.1402222,-0.14022222,137,Sequential RNN,MAP,t-Distribution
1.1869658,-0.18696587,138,Sequential RNN,MAP,t-Distribution
1.1506703,-0.15067026,139,Sequential RNN,MAP,t-Distribution
1.0613441,-0.061344154,140,Sequential RNN,MAP,t-Distribution
1.1237677,-0.12376769,141,Sequential RNN,MAP,t-Distribution
0.916769,0.08323095,142,Sequential RNN,MAP,t-Distribution
1.1403737,-0.14037374,143,Sequential RNN,MAP,t-Distribution
0.98894924,0.011050767,144,Sequential RNN,MAP,t-Distribution
1.1445444,-0.14454432,145,Sequential RNN,MAP,t-Distribution
1.1621977,-0.16219768,146,Sequential RNN,MAP,t-Distribution
1.1762389,-0.17623883,147,Sequential RNN,MAP,t-Distribution
1.1706498,-0.17064977,148,Sequential RNN,MAP,t-Distribution
1.1850413,-0.18504134,149,Sequential RNN,MAP,t-Distribution
1.1781667,-0.17816678,150,Sequential RNN,MAP,t-Distribution
1.1836442,-0.18364422,151,Sequential RNN,MAP,t-Distribution
1.196891,-0.19689095,152,Sequential RNN,MAP,t-Distribution
1.06748,-0.06747999,153,Sequential RNN,MAP,t-Distribution
1.1404833,-0.14048325,154,Sequential RNN,MAP,t-Distribution
1.1595668,-0.15956673,155,Sequential RNN,MAP,t-Distribution
1.084167,-0.084166944,156,Sequential RNN,MAP,t-Distribution
1.0000106,-1.0583795e-5,157,Sequential RNN,MAP,t-Distribution
1.027303,-0.027302993,158,Sequential RNN,MAP,t-Distribution
1.1427696,-0.14276958,159,Sequential RNN,MAP,t-Distribution
1.2081391,-0.20813902,160,Sequential RNN,MAP,t-Distribution
1.1796377,-0.17963773,161,Sequential RNN,MAP,t-Distribution
1.1764858,-0.1764858,162,Sequential RNN,MAP,t-Distribution
1.1469434,-0.14694345,163,Sequential RNN,MAP,t-Distribution
1.1156316,-0.1156316,164,Sequential RNN,MAP,t-Distribution
1.0445763,-0.044576265,165,Sequential RNN,MAP,t-Distribution
1.1456277,-0.14562778,166,Sequential RNN,MAP,t-Distribution
1.1794393,-0.17943929,167,Sequential RNN,MAP,t-Distribution
1.1392224,-0.13922241,168,Sequential RNN,MAP,t-Distribution
1.0695404,-0.069540374,169,Sequential RNN,MAP,t-Distribution
1.179535,-0.17953502,170,Sequential RNN,MAP,t-Distribution
0.99498785,0.0050121523,171,Sequential RNN,MAP,t-Distribution
1.1442319,-0.14423195,172,Sequential RNN,MAP,t-Distribution
1.1712451,-0.17124516,173,Sequential RNN,MAP,t-Distribution
0.9865502,0.013449778,174,Sequential RNN,MAP,t-Distribution
1.1866931,-0.18669309,175,Sequential RNN,MAP,t-Distribution
0.90139717,0.09860285,176,Sequential RNN,MAP,t-Distribution
0.98987997,0.01012001,177,Sequential RNN,MAP,t-Distribution
1.136719,-0.13671897,178,Sequential RNN,MAP,t-Distribution
1.1922739,-0.19227387,179,Sequential RNN,MAP,t-Distribution
1.1568182,-0.15681809,180,Sequential RNN,MAP,t-Distribution
1.0313888,-0.03138874,181,Sequential RNN,MAP,t-Distribution
1.0117208,-0.01172076,182,Sequential RNN,MAP,t-Distribution
1.1699402,-0.16994028,183,Sequential RNN,MAP,t-Distribution
1.1076034,-0.10760348,184,Sequential RNN,MAP,t-Distribution
1.0887357,-0.08873564,185,Sequential RNN,MAP,t-Distribution
1.1682657,-0.16826567,186,Sequential RNN,MAP,t-Distribution
1.1514875,-0.15148747,187,Sequential RNN,MAP,t-Distribution
1.1085309,-0.10853091,188,Sequential RNN,MAP,t-Distribution
0.80440223,0.19559774,189,Sequential RNN,MAP,t-Distribution
1.1510801,-0.1510801,190,Sequential RNN,MAP,t-Distribution
1.1623323,-0.16233233,191,Sequential RNN,MAP,t-Distribution
1.1810267,-0.18102668,192,Sequential RNN,MAP,t-Distribution
1.1867334,-0.18673332,193,Sequential RNN,MAP,t-Distribution
1.187078,-0.187078,194,Sequential RNN,MAP,t-Distribution
1.1834568,-0.18345672,195,Sequential RNN,MAP,t-Distribution
1.1755955,-0.1755955,196,Sequential RNN,MAP,t-Distribution
1.1209124,-0.12091239,197,Sequential RNN,MAP,t-Distribution
1.154081,-0.15408102,198,Sequential RNN,MAP,t-Distribution
1.1471924,-0.14719239,199,Sequential RNN,MAP,t-Distribution
1.0768825,-0.07688243,200,Sequential RNN,MAP,t-Distribution
1.1469604,-0.14696032,201,Sequential RNN,MAP,t-Distribution
1.1069211,-0.10692104,202,Sequential RNN,MAP,t-Distribution
1.1827347,-0.18273471,203,Sequential RNN,MAP,t-Distribution
1.1161793,-0.1161794,204,Sequential RNN,MAP,t-Distribution
1.1723967,-0.17239664,205,Sequential RNN,MAP,t-Distribution
1.1429801,-0.1429801,206,Sequential RNN,MAP,t-Distribution
1.1874272,-0.18742721,207,Sequential RNN,MAP,t-Distribution
1.1841863,-0.18418631,208,Sequential RNN,MAP,t-Distribution
1.1558437,-0.15584376,209,Sequential RNN,MAP,t-Distribution
1.1840762,-0.18407618,210,Sequential RNN,MAP,t-Distribution
1.1288316,-0.12883161,211,Sequential RNN,MAP,t-Distribution
1.1718581,-0.1718581,212,Sequential RNN,MAP,t-Distribution
1.1467152,-0.14671516,213,Sequential RNN,MAP,t-Distribution
1.1706854,-0.17068538,214,Sequential RNN,MAP,t-Distribution
1.1531286,-0.15312862,215,Sequential RNN,MAP,t-Distribution
1.0858265,-0.085826546,216,Sequential RNN,MAP,t-Distribution
1.1306398,-0.13063985,217,Sequential RNN,MAP,t-Distribution
1.1849309,-0.18493095,218,Sequential RNN,MAP,t-Distribution
1.1421745,-0.1421745,219,Sequential RNN,MAP,t-Distribution
1.1834105,-0.18341051,220,Sequential RNN,MAP,t-Distribution
1.1597527,-0.15975273,221,Sequential RNN,MAP,t-Distribution
1.1769742,-0.1769742,222,Sequential RNN,MAP,t-Distribution
1.1677151,-0.16771506,223,Sequential RNN,MAP,t-Distribution
1.1468109,-0.14681084,224,Sequential RNN,MAP,t-Distribution
1.1407012,-0.14070112,225,Sequential RNN,MAP,t-Distribution
1.1471189,-0.14711894,226,Sequential RNN,MAP,t-Distribution
1.185799,-0.18579903,227,Sequential RNN,MAP,t-Distribution
1.1442041,-0.14420418,228,Sequential RNN,MAP,t-Distribution
1.1815982,-0.18159823,229,Sequential RNN,MAP,t-Distribution
1.1666446,-0.16664457,230,Sequential RNN,MAP,t-Distribution
1.1775829,-0.17758283,231,Sequential RNN,MAP,t-Distribution
1.1816788,-0.18167877,232,Sequential RNN,MAP,t-Distribution
1.1879454,-0.18794532,233,Sequential RNN,MAP,t-Distribution
1.1297264,-0.1297264,234,Sequential RNN,MAP,t-Distribution
1.1712801,-0.17128018,235,Sequential RNN,MAP,t-Distribution
1.1581143,-0.15811431,236,Sequential RNN,MAP,t-Distribution
1.18109,-0.18109004,237,Sequential RNN,MAP,t-Distribution
1.180173,-0.180173,238,Sequential RNN,MAP,t-Distribution
1.1860238,-0.18602388,239,Sequential RNN,MAP,t-Distribution
1.1868804,-0.18688029,240,Sequential RNN,MAP,t-Distribution
1.1844991,-0.1844991,241,Sequential RNN,MAP,t-Distribution
1.1828377,-0.18283768,242,Sequential RNN,MAP,t-Distribution
1.0686156,-0.06861555,243,Sequential RNN,MAP,t-Distribution
1.1339295,-0.13392949,244,Sequential RNN,MAP,t-Distribution
0.7682269,0.23177308,245,Sequential RNN,MAP,t-Distribution
1.1810523,-0.18105236,246,Sequential RNN,MAP,t-Distribution
1.1862482,-0.18624823,247,Sequential RNN,MAP,t-Distribution
1.0966599,-0.09665992,248,Sequential RNN,MAP,t-Distribution
1.1394004,-0.13940041,249,Sequential RNN,MAP,t-Distribution
